Add By,Add Date/Time,Modified Date/Time,Permit Type Code,Permit Type Description,Permit Primary Key,Additional Permit Description,Permit Number,Permit Work Description,Additional Permit Location,Permit Issued Date/Time,Last Permit Activity Date/Time,Permit Status,Permit Work Type,MMRP Zone,Street Number,Pre-Direction,Street Name,Suffix,Post Direction,Zip Code,Community Area,Ward,X Coord,Y Coord,Latitude,Longitude,Central Business District,Address Key,Address Grouping Key,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards
CN00052,09/12/2022 08:07:03 AM,09/12/2022 09:00:07 PM,REINS_PERM,PERMIT - REINSTATE REVOKED PMT,3280618,,100988081,REINSTATE PERMIT 100523853 AND CHANGE ALL CONTRACTORS,,09/12/2022 08:16:00 AM,09/12/2022 10:08:16 AM,C,,Chatham,8215,S,ELLIS,AVE,,60619,44,8,1184367.8055234153,1850655.0217854963,41.74536568888367,-87.60001782702481,,498813,430722,"(41.74536568888367, -87.60001782702481)",9,21546,40,141,35
WEB,06/11/2022 09:41:38 PM,09/12/2022 08:50:13 PM,RENO_PERM,PERMIT - RENOVATION/ALTERATION,3263190,,100975699,"SR 2019 CBC- ALTERATIONS AND REPAIR TO AN EXISTING 3 STORY (INCLUDING ATTIC), 2 UNIT RESIDENTIAL FRAMED BUILDING, DUPLEXING THE BASEMENT WITH THE FIRST FLOOR UNIT AND THE ADDITION OF 292 SF OF LIVING SPACE TO THE 2ND FLOOR UNIT.",,,07/22/2022 04:52:58 PM,O,,West Woodlawn,6352,S,EVANS,AVE,,60637,42,20,1182276.6454951062,1862832.9846703515,41.77883190569543,-87.60730349982789,,441432,376213,"(41.778831905695434, -87.60730349982789)",53,22260,9,332,4
WEB,09/12/2022 07:23:32 PM,09/12/2022 07:28:49 PM,EPP_PERM,PERMIT - EASY PERMIT PROCESS,3280881,,100988241,"Fences: 200ft in x 6ft in: qty 1, Garage",,,09/12/2022 07:28:49 PM,O,,Humboldt Park,523,N,DRAKE,AVE,,60624,23,27,1152658.6092718989,1903460.6888914416,41.89095439790733,-87.71481369409207,,78085,40337,"(41.89095439790733, -87.71481369409207)",41,21572,24,584,46
WEB,09/12/2022 07:11:15 PM,09/12/2022 07:11:20 PM,RENO_PERM,PERMIT - RENOVATION/ALTERATION,3280880,,100988240,"SPR 2019 CBC ERECT 2-CAR GARAGE TO 2-STORY, 2-DWELLING UNITS RESIDENCE WITH BASEMENT.",,,09/12/2022 07:11:20 PM,O,,Belmont Cragin,2127,N,LAWLER,AVE,,60639,19,36,1142413.7030514893,1913795.0428948742,41.91950951341819,-87.75218143227659,,138322,94346,"(41.91950951341819, -87.75218143227659)",7,22615,19,306,44
WEB,05/09/2022 07:02:10 AM,09/12/2022 04:30:53 PM,RENO_PERM,PERMIT - RENOVATION/ALTERATION,3256371,,100970875,"SPR 2019 CBC INTERIOR AND EXTERIOR RENOVATION OF AN EXISTING THREE-FAMILY APARTMENT BUILDING, REPAIR EXISTING FRONT PORCH AND NEW PARKING PAD. ALL PLUMBING, MECHANICAL AND ELECTRICAL SYSTEMS WILL BE REPLACED AND UPDATED TO ENERGY EFFICIENT SYSTEMS PER PLANS",,,09/12/2022 04:30:53 PM,O,,West Woodlawn,6321,S,RHODES,AVE,,60637,42,20,1181031.0256194216,1863121.0491836693,41.77965115069118,-87.6118611353021,,441604,376375,"(41.77965115069118, -87.6118611353021)",53,22260,9,332,4
WEB,07/19/2022 03:32:36 PM,09/12/2022 04:08:25 PM,RENO_PERM,PERMIT - RENOVATION/ALTERATION,3270177,,100980735,"SELF CERT 2019 CBRC: INTERIOR ALTERATIONS TO EXISTING BANK, FIRST FLOOR AND BASEMENT, INCLUDING DEMOLITION AND CONSTRUCTION OF NON-STRUCTURAL PARTITIONS, CEILINGS, FINISHES AND FURNITURE/ EQUIPMENT AND ASSOCIATED MEP IMPROVEMENT'S, AS PER PLANS. B OCC.",,,09/12/2022 04:08:25 PM,O,,North Belmont Cragin,5200,W,FULLERTON,AVE,,60639,19,31,1141305.554932016,1915502.6112406112,41.92421579723144,-87.75621075458939,,152661,7860,"(41.92421579723144, -87.75621075458939)",7,22615,19,80,17
WEB,03/15/2022 09:25:54 PM,09/12/2022 03:17:35 PM,RENO_PERM,PERMIT - RENOVATION/ALTERATION,3244553,,100962616,"SPR 2019 CBRC - 2ND FLOOR ADDITION TO EXISTING SINGLE FAMILY HOUSE
 AND NEW 2 CAR FRAME GARAGE AS PER PLANS 

**CERTIFIED CORRECTIONS SUBJECT TO FIELD INSPECTIONS & AUDIT **",,09/12/2022 03:17:33 PM,09/12/2022 03:18:02 PM,O,,North Belmont Cragin,4843,W,SCHUBERT,AVE,,60639,19,31,1143459.231148098,1917475.2460712465,41.92958885656611,-87.74824770707822,,151628,106513,"(41.92958885656611, -87.74824770707822)",7,22615,19,304,17
WEB,09/12/2022 03:09:27 PM,09/12/2022 03:09:29 PM,EL_PERM,PERMIT - ELECTRIC WIRING,3280826,,100988204,PUTTING IN TEN OUTLETS,,,09/12/2022 03:09:29 PM,O,,Auburn Gresham,7636,S,PEORIA,ST,,60620,71,17,1171592.9497155207,1854044.546953743,41.75495620422333,-87.64672779324862,,491231,423463,"(41.754956204223326, -87.64672779324862)",17,21554,70,572,31
WEB,09/08/2022 10:05:48 AM,09/12/2022 02:11:05 PM,RENO_PERM,PERMIT - RENOVATION/ALTERATION,3280158,,100987739,"RS-3 2019 CBC
REMOVE AND REPLACE EXIST. COVERED CONC. FRONT PORCH W/. NEW OPEN WOOD PORCH IN SAME LOCATION & ADDRESS VIOLATIONS INSPECTION #13565960 OF AN EXIST. 2 STORY MULTI-DWELLING BRICK BUILDING W/. BASEMENT",,09/12/2022 02:11:02 PM,09/12/2022 02:11:05 PM,O,,Auburn Gresham,7611,S,MORGAN,ST,,60620,71,17,1171004.4884290001,1854295.9311532516,41.75565890222156,-87.64887700598976,,491100,423341,"(41.755658902221555, -87.64887700598976)",17,21554,70,572,31
WEB,08/31/2022 07:38:34 PM,09/12/2022 11:55:50 AM,RENO_PERM,PERMIT - RENOVATION/ALTERATION,3278907,,100986881,"2019 CBC SELF CERT: INTERIOR RENOVATIONS TO 1ST FLOOR AND 2ND FLOOR APARTMENTS, REPAIRS TO REAR PORCH, AND REPAIRS TO FRONT FACADE, FOR AN EXISTING TWO-STORY, THREE RESIDENCE BUILDING, TYPE III-A CONSTRUCTION, R-5 OCCUPANCY.",,,09/12/2022 11:55:50 AM,O,,West Woodlawn,6415,S,LANGLEY,AVE,,60637,42,20,1182037.1720153738,1862553.0929044548,41.77806940115135,-87.60819007203368,,441490,376268,"(41.77806940115135, -87.60819007203368)",53,22260,9,332,4
CN00005,09/12/2022 08:56:43 AM,09/12/2022 08:59:36 AM,WRECK_PERM,PERMIT - WRECKING/DEMOLITION,3280633,,100988094,WRECK AND REMOVE A 1 STORY MASONRY BUILDING,,,09/12/2022 08:59:55 AM,O,,Humboldt Park,3435,W,CHICAGO,AVE,,60651,23,27,1153218.561181452,1905079.1814880916,41.89538460604397,-87.71271426352342,,77541,39822,"(41.89538460604397, -87.71271426352342)",41,21572,24,584,46
CN00005,08/30/2022 09:57:19 AM,09/12/2022 08:43:52 AM,EPP_PERM,PERMIT - EASY PERMIT PROCESS,3278270,,100986484,SOLAR PANEL PERMIT.  ERECT A PHOTOVOLTAIC ARRAY ON THE ROOF,,09/12/2022 08:43:43 AM,09/12/2022 08:43:52 AM,O,,West Pullman,1459,W,115TH,ST,,60643,53,34,1168410.0359613004,1828433.5324411222,41.6847448010475,-87.65912729789538,,603215,532899,"(41.6847448010475, -87.65912729789538)",45,22212,50,642,22
