DISTRICT,ADDRESS,CITY,STATE,ZIP,WEBSITE,LOCATION,Boundaries - ZIP Codes,Community Areas,Zip Codes,Census Tracts,Wards,Historical Wards 2003-2015
Headquarters,3510 S Michigan Ave,Chicago,IL,60653,http://home.chicagopolice.org,"(41.8307016873, -87.6233953459)",36,1,4301,446,9,12
18,1160 N Larrabee St,Chicago,IL,60610,http://home.chicagopolice.org/community/districts/18th-district-near-north/,"(41.9032416531, -87.6433521393)",54,37,14926,108,46,41
19,850 W Addison St,Chicago,IL,60613,http://home.chicagopolice.org/community/districts/19th-district-town-hall/,"(41.9474004564, -87.651512018)",53,57,21186,727,25,38
20,5400 N Lincoln Ave,Chicago,IL,60625,http://home.chicagopolice.org/community/districts/20th-district-lincoln/,"(41.9795495131, -87.6928445094)",20,6,21849,29,24,46
22,1900 W Monterey Ave,Chicago,IL,60643,http://home.chicagopolice.org/community/districts/22nd-district-morgan-park/,"(41.6914347795, -87.6685203937)",13,74,22212,378,42,33
24,6464 N Clark St,Chicago,IL,60626,http://home.chicagopolice.org/community/districts/24th-district-rogers-park/,"(41.9997634842, -87.6713242922)",9,10,21853,242,24,46
25,5555 W Grand Ave,Chicago,IL,60639,http://home.chicagopolice.org/community/districts/25th-district-grand-central/,"(41.9186088912, -87.765574479)",2,19,22615,307,45,52
1,1718 S State St,Chicago,IL,60616,http://home.chicagopolice.org/community/districts/1st-district-central/,"(41.8583725929, -87.627356171)",40,34,21194,330,9,12
2,5101 S Wentworth Ave,Chicago,IL,60609,http://home.chicagopolice.org/community/districts/2nd-district-wentworth/,"(41.8018110912, -87.6305601801)",37,3,14924,224,9,12
3,7040 S Cottage Grove Ave,Chicago,IL,60637,http://home.chicagopolice.org/community/districts/3rd-district-grand-crossing/,"(41.7664308925, -87.6057478606)",60,9,22260,348,32,31
4,2255 E 103rd St,Chicago,IL,60617,http://home.chicagopolice.org/community/districts/4th-district-south-chicago/,"(41.7079332906, -87.5683491228)",25,48,21202,174,37,47
5,727 E 111th St,Chicago,IL,60628,http://home.chicagopolice.org/community/districts/5th-district-calumet/,"(41.6927233639, -87.6045058667)",19,47,21861,601,43,30
6,7808 S Halsted St,Chicago,IL,60620,http://home.chicagopolice.org/community/districts/6th-district-gresham/,"(41.7521368378, -87.6442289066)",59,70,21554,487,31,17
7,1438 W 63rd St,Chicago,IL,60636,http://home.chicagopolice.org/community/districts/7th-district-englewood/,"(41.7796315359, -87.6608870173)",23,65,22257,277,2,19
8,3420 W 63rd St,Chicago,IL,60629,http://home.chicagopolice.org/community/districts/8th-district-chicago-lawn/,"(41.778987189, -87.7088638153)",58,64,21867,344,6,44
9,3120 S Halsted St,Chicago,IL,60608,http://home.chicagopolice.org/community/districts/9th-district-deering/,"(41.8373944311, -87.6464077068)",43,58,14920,676,48,26
10,3315 W Ogden Ave,Chicago,IL,60623,http://home.chicagopolice.org/community/districts/10th-district-ogden/,"(41.8566845327, -87.708381958)",57,30,21569,202,14,36
11,3151 W Harrison St,Chicago,IL,60612,http://home.chicagopolice.org/community/districts/11th-district-harrison/,"(41.8735822883, -87.705488126)",28,28,21184,36,14,36
12,"1412 S Blue Island Ave
",Chicago,IL,60608,http://home.chicagopolice.org/community/districts/12th-district-near-west/,"(41.8629766244, -87.6569725149)",43,29,14920,96,26,48
14,2150 N California Ave,Chicago,IL,60647,http://home.chicagopolice.org/community/districts/14th-district-shakespeare/,"(41.9211033246, -87.6974518223)",1,23,22535,322,41,15
15,5701 W Madison St,Chicago,IL,60644,http://home.chicagopolice.org/community/districts/15th-district-austin/,"(41.8800834614, -87.768199889)",32,26,22216,67,7,52
16,5151 N Milwaukee Ave,Chicago,IL,60630,http://home.chicagopolice.org/community/districts/16th-district-jefferson-park/,"(41.9740944511, -87.7661488432)",48,11,21869,780,50,20
17,4650 N Pulaski Rd,Chicago,IL,60630,http://home.chicagopolice.org/community/districts/17th-district-albany-park/,"(41.9660534171, -87.728114561)",48,14,21869,257,38,28
