"dataset_link","u_id","public","derived_view","parent_uid","domain","type","name","description","visits","creation_date","last_update_date_data","category","keywords","downloads","owner","owner_uid","contactemail","license","publication_stage","published_version_name","published_version_uid","data_provided_by","source_link","publishing","data_change","api_endpoint","provenance"
"https://data.cityofevanston.org/d/7xbn-7s28","7xbn-7s28","true","true","g6dd-kdn2","data.cityofevanston.org","chart","Rodent Treatment Requests","Number of rodent treatment requests received by the City.","16","2020-02-21T22:04:00.000Z","2020-02-21T22:01:00.000Z","Health & Human Services",,"0","pdeignan","smhr-bdg4",,,"published",,,,,,,"https://data.cityofevanston.org/resource/7xbn-7s28.json","official"
"https://data.cityofevanston.org/d/g9au-2u83","g9au-2u83","true","true","ytx8-b22k","data.cityofevanston.org","chart","General Fund Revenue by Type","Complete data for the 2019 and 2020 Adopted Budget, and 2021 Projected Budget.","16","2020-02-21T20:50:00.000Z","2020-02-04T20:52:00.000Z","City Manager's Office (Finance)",,"0","Kate Lewis-Lakin","x83w-c32m",,,"published",,,,,,,"https://data.cityofevanston.org/resource/g9au-2u83.json","official"
"https://data.cityofevanston.org/d/ci9n-bjid","ci9n-bjid","true","true","ytx8-b22k","data.cityofevanston.org","chart","Property Taxes by Fund","Complete data for the 2019 and 2020 Adopted Budget, and 2021 Projected Budget.","8","2020-02-21T20:49:00.000Z","2020-02-04T20:52:00.000Z","City Manager's Office (Finance)",,"0","Kate Lewis-Lakin","x83w-c32m",,,"published",,,,,,,"https://data.cityofevanston.org/resource/ci9n-bjid.json","official"
"https://data.cityofevanston.org/d/arrp-hu8x","arrp-hu8x","true","true","ytx8-b22k","data.cityofevanston.org","chart","2020 Adopted Budget - By Department","Complete data for the 2019 and 2020 Adopted Budget, and 2021 Projected Budget.","115","2020-02-21T20:43:00.000Z","2020-02-04T20:52:00.000Z","City Manager's Office (Finance)",,"0","Kate Lewis-Lakin","x83w-c32m",,,"published",,,,,,,"https://data.cityofevanston.org/resource/arrp-hu8x.json","official"
"https://data.cityofevanston.org/d/r9dq-yacf","r9dq-yacf","true","true","ytx8-b22k","data.cityofevanston.org","chart","2020 Adopted Budget - By Fund","Complete data for the 2019 and 2020 Adopted Budget, and 2021 Projected Budget.","45","2020-02-21T20:41:00.000Z","2020-02-04T20:52:00.000Z","City Manager's Office (Finance)",,"0","Kate Lewis-Lakin","x83w-c32m",,,"published",,,,,,,"https://data.cityofevanston.org/resource/r9dq-yacf.json","official"
"https://data.cityofevanston.org/d/r5km-g9kp","r5km-g9kp","true","true","6uat-4g4s","data.cityofevanston.org","chart","ParkEvanston Mobile App Transactions by Month","","25","2020-02-21T19:16:00.000Z","2020-02-21T19:15:00.000Z","Parking",,"0","pdeignan","smhr-bdg4",,,"published",,,,,,,"https://data.cityofevanston.org/resource/r5km-g9kp.json","official"
"https://data.cityofevanston.org/d/6uat-4g4s","6uat-4g4s","true","false",,"data.cityofevanston.org","dataset","ParkEvanston Mobile App Transactions",,"13","2020-02-21T18:56:00.000Z","2020-02-21T19:15:00.000Z","Parking",,"12","pdeignan","smhr-bdg4",,,"published",,,,,,,"https://data.cityofevanston.org/resource/6uat-4g4s.json","official"
"https://data.cityofevanston.org/d/rfnq-c44j","rfnq-c44j","true","true","wiqg-i4mz","data.cityofevanston.org","chart","311 Channels Data","","26","2020-02-20T18:21:00.000Z","2020-11-13T01:00:00.000Z",,,"0","Kate Lewis-Lakin","x83w-c32m",,,"published",,,,,,,"https://data.cityofevanston.org/resource/rfnq-c44j.json","official"
"https://data.cityofevanston.org/d/wiqg-i4mz","wiqg-i4mz","true","false",,"data.cityofevanston.org","dataset","311 Channels Data",,"26","2020-02-13T17:55:00.000Z","2020-11-13T01:00:00.000Z",,,"48","Kate Lewis-Lakin","x83w-c32m",,,"published",,,,,,,"https://data.cityofevanston.org/resource/wiqg-i4mz.json","official"
"https://data.cityofevanston.org/d/79wk-htkn","79wk-htkn","true","false",,"data.cityofevanston.org","dataset","Evanston Energy and Water Benchmarking - 2018 Data Reported in 2019","The Evanston Energy and Water Benchmarking Ordinance (33-O16) requires all buildings in Evanston 20,000 square feet and greater to track and report their annual energy and water data to the City. The City then tracks this data and publishes it annually to show how energy and performance have changed over time. This dataset includes 2018 calendar year data for each City, Type I and Type II building that complied with the ordinance.

For more information on the ordinance, compliance process and rules please visit: www.cityofevanston.org/benchmarking.

The ordinance authorizes the City to share property-specific information with the public, beginning with the second year in which a building is required to comply.
This view shows data for a single year.","138","2020-02-04T20:09:00.000Z","2020-02-04T20:24:00.000Z",,"benchmarking,greenhouse gas emissions,climate change,energy,water,energy efficiency,energy disclosure,water disclosure,energy data,water data,building energy data,building water data,climate action and resilience plan,carp,sustainability","37","Kumar Jensen","cepd-scbf","benchmarking@cityofevanston.org",,"published",,,"Office of Sustainability",,,,"https://data.cityofevanston.org/resource/79wk-htkn.json","official"
