"serialno","sporder","pwgtp","wgtp","agep","cit","rel","sch","schg","schl","sex","esr","lanx","eng","msp","mar","wkw","wkhp","ds","jwtr","np","ten","hht","agecateg","boro","citizenstatus","educattain","est_childcare","est_commuting","est_eitc","est_ficatax","est_heap","est_housing","est_incometax","est_moop","est_nutrition","est_povgap","est_povgapindex","ethnicity","famtype_pu","ftptwork","intp_adj","mrgp_adj","nycgov_income","nycgov_pov_stat","nycgov_rel","nycgov_threshold","off_pov_stat","off_threshold","oi_adj","pa_adj","povunit_id","povunit_rel","pretaxincome_pu","retp_adj","rntp_adj","semp_adj","ssip_adj","ssp_adj","totalworkhrs_pu","wagp_adj"
"36","1","369","383","57","1","0","1","0","10","1","1","2",,"1","1","52","40","2","1","3","3","1","2","4","1","3","0","3171.714","0","4332.68370495","0","0","7032.332806072","14844","0","0","0","1","1","1","0","0","27255.657788978","2","0","21592.6566877243","2","15720","0","0","1","1","56636.3883","0","917.271","0","0","0","3","56055.45"
"36","2","404","383","45","1","1","1","0","13","2","1","2",,"1","1","1","40","2","1","3","3","1","2","4","1","4","0","3171.714","0","4332.68370495","0","0","7032.332806072",,"0","0","0","1","1","2","0","0","27255.657788978","2","1","21592.6566877243","2","15720","0","0","1","2","56636.3883","0","917.271","0","0","0","3","580.9383"
"36","3","393","383","13","1","2","2","4","4","1",,"2",,,"5",,"0","2",,"3","3","1","1","4","1","1","0","3171.714","0","4332.68370495","0","0","7032.332806072",,"0","0","0","1","1","3","0","0","27255.657788978","2","2","21592.6566877243","2","15720","0","0","1","3","56636.3883","0","917.271","0","0","0","3","0"
"158","1","64","61","26","4","0","1","0","13","2","1","1","1","1","1","47","40","2","4","2","3","1","2","2","2","4","0","1823.6","0","8654.451885","0","0","26725.0113482","2879","0","0","0","3","2","2","0","0","73048.0267668","2","0","16031.2426005227","2","13078","0","0","1","1","113130.09","0","1630.704","0","0","0","1","51978.69"
"158","2","79","61","30","1","1","1","0","14","1","1","2",,"1","1","52","40","2","4","2","3","1","2","2","1","4","0","1823.6","0","8654.451885","0","0","26725.0113482",,"0","0","0","1","2","1","0","0","73048.0267668","2","1","16031.2426005227","2","13078","0","0","1","2","113130.09","0","1630.704","0","0","0","1","61151.4"
"194","1","70","67","60","4","0","1","0","13","1","1","1","2","4","3","52","40","1","1","2","1","2","2","4","2","4","0","1383.75","0","4366.20996","50","0","10054.3081624","2438","870","0","0","3","5","1","0","2140.299","45867.5118776","2","0","16031.2426005227","2","13078","0","0","1","1","63189.78","0","0","0","0","0","3","57074.64"
"194","2","76","67","84","5","4","1","0","2","2","6","1","4","3","2",,"0","1",,"2","1","2","3","4","3","1","0","1383.75","0","4366.20996","50","0","10054.3081624",,"870","0","0","3","5","3","0","2140.299","45867.5118776","2","4","16031.2426005227","2","13078","0","0","1","4","63189.78","0","0","0","6115.14","0","3","0"
"197","1","78","75","56","5","0","1","0","6","2","6","1","4","6","5",,"0","2",,"3","3","3","2","1","3","1","0","90.24","0","0","40","8110.26131490476","0","0","2885.925","8404.4922","0.38922921","4","4","3","0","0","13188.1643149048","1","0","21592.6566877243","1","15720","0","1223.028","1","1","2242.218","0","234.4137","0","0","0","4","0"
"197","2","62","75","19","5","2","3","6","9","1","3","1","2","6","5","8","20","2",,"3","3","3","2","1","3","2","0","90.24","0","0","40","8110.26131490476","0",,"2885.925","8404.4922","0.38922921","4","4","2","0","0","13188.1643149048","1","2","21592.6566877243","1","15720","0","0","1","4","2242.218","0","234.4137","1019.19","0","0","4","0"
"197","3","77","75","13","1","2","2","4","4","1",,"2",,,"5",,"0","1",,"3","3","3","1","1","1","1","0","90.24","0","0","40","8110.26131490476","0",,"2885.925","8404.4922","0.38922921","4","4","3","0","0","13188.1643149048","1","2","21592.6566877243","1","15720","0","0","1","3","2242.218","0","234.4137","0","0","0","4","0"
