"title","alternate_title","primary_artist_last","primary_artist_first","primary_artist_middle","secondary_artist_last","secondary_artist_first","secondary_artist_middle","artists_keyword","primary_architect_last","primary_architect_first","primary_architect_middle","secondary_architect_last","secondary_architect_first","secondary_architect_middle","landscape_architect_last","landscape_architect_first","landscape_architect_middle","architecture_firm","foundry","fabricator","date_created","date_created_approximation","date_dedicated","date_dedicated_approximation","artwork_type1","artwork_type2","material","location_name","address","city","state","zip_code","borough","subject_keyword","inscription","managing_city_agency","acquisition","pdc_records","latitude","longitude","block","lot"
"Column of Jerash","Whispering Column of Jerash","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","120","N","1964","N","Column","Monument/Memorial","Marble","Flushing Meadows Corona Park","United Nations Avenue South","Flushing","NY","11368","Queens","1964-65 World's Fair, antiquity","THIS COLUMN WAS PRESENTED TO/ THE NEW YORK WORLDS FAIR AND THE CITY OF NEW YORK BY/ HIS MAJESTY KING HUSSEIN / OF THE HASHEMITE KINGDOM OF JORDAN/ ON THE OCCASION / OF JORDAN'S PARTICIPATION IN THE FAIR./ THE COLUMN WAS RECEIVED BY THE HONORABLE ROBERT MOSES, PRESIDENT, / NEW YORK WORLD'S FAIR 1964-1965 CORPORATION./ THIS IS ONE OF MANY COLUMNS IN A TEMPLE ERECTED BY THE ROMANS/IN 120 A.D./ THAT STOOD IN THE ROMAN CITY OF JERASH, JORDAN./ THE COLUMNS ARE KNOWN AS THE WHISPERING COLUMNS OF JERASH.","Department of Parks and Recreation","Gift of King Hussein of Jordan","NULL","40.746509","-73.842321","2018","1"
"Amiable Child Memorial","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1797","Y","1967","N","Urn","Monument/Memorial","Granite","Riverside Park","Riverside Drive and West 124th Street","New York","NY","10027","Manhattan","Children, tomb","West side of pedestal: ERECTED TO THE MEMORY / OF AN AMIABLE CHILD / ST. CLAIRE POLLOCK / DIED 15 JULY 1797 / IN THE FIFTH YEAR OF HIS AGE  East side of pedestal: MAN THAT IS BORN OF WOMAN / IS OF FEW DAYS AND FULL / OF TROUBLE. HE COMETH / LIKE A FLOWER AND IS / CUT DOWN; HE FLEETH ALSO / AS A SHADOW AND / CONTINUETH NOT.' / [space] JOB - XIV: 1-2","Department of Parks and Recreation","NULL","NULL","40.814761,","-73.963162","1897","1"
"Fort George Memorial Tablet","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1818","N","1818","N","Tablet","Marker","White Vermont marble","Battery Park","State Street and Bridge Street","New York","NY","10004","Manhattan","American Revolutionary War","TO PERPETUATE / THE SITE OF THE S.W. BASTION OF / FORT GEORGE / IN 40°42'8"" N. LATITUDE / AS OBSERVED BY / CAPT. JOHN MONTRESOR AND DAVID RITTENHOUSE / IN OCTOBER 1769 / THE CORPORATION OF THE CITY OF NEW YORK / HAVE ERECTED / THIS MONUMENT / A.D. MDCCCXVIII","Department of Parks and Recreation","Gift of the Corporation of the City of New York","NULL","40.703913","-74.014488","3","1"
"Firemen's Memorial","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1834","N","1834","N","Sarcophagus","Monument/Memorial","Marble","James J. Walker Park","Leroy Street & Clarkson Street","New York","NY","10014","Manhattan","Firefighters","THIS MONUMENT IS ERECTED / BY THE MEMBERS OF / EAGLE FIRE ENGINE COMPANY / NO. 13 / IN CONNECTION WITH THE FRIENDS OF THE / DECEASED / TO COMMEMORATE THE SAD EVENT / CONNECTED WITH THEIR DEATH / AND THE LOSS / WHICH THEY DEPLORE /

Marble side 2:
HERE ARE INTERRED / THE BODIES OF / EUGENE UNDERHILL / AGED 20 YEARS 7 MONTHS AND 9 DAYS / AND FREDERICK A. WARD / AGED 22 YEARS 1 MONTH AND 16 DAYS / WHO LOST THEIR LIVES BY THE FALLING OF A BUILDING / WHILE ENGAGED / IN THE DISCHARGE OF THEIR DUTY AS / FIRE MEN / ON THE FIRST DAY OF DUTY / MDCCCXXXIV /

Bronze plaque:
THIS GROUND WAS USED AS A CEMETERY / BY TRINITY PARISH / DURING THE YEARS 1834-1898. / IT WAS MADE A PUBLIC PARK / BY THE CITY OF NEW YORK / IN THE YEAR 1897-8. / THIS MONUMENT STOOD IN THE CEMETERY / AND WAS REMOVED TO THIS SPOT / IN THE YEAR 1898. /","Department of Parks and Recreation","Gift of Eagle Fire Company and Friends","2252","40.730092","-74.006382","582","1"
"Madison Square Fountain","Southern Fountain","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Delate Fountains (2015)","1842","N","1867; 1990; 2015","N","Fountain","Monument/Memorial","North Jay Granite","Madison Square Park","West 23rd Street between 5th Avenue and Madison Avenue","New York","NY","10010","Manhattan","Fountain","THIS FOUNTAIN ORIGINALLY STOOD ON SITE OF OLD POST OFFICE. BEGUN IN 1842, COMPLETED JAN. 7, 1843. EMBELLISHED 1847. IT WAS REMOVED TO MADISON SQUARE PARK AND REDEDICATED JUNE 28, 1867.","Department of Parks and Recreation","NULL","1945","40.741722","-73.988297","852","1"
"Eagles and Prey","NULL","Fratin","Christophe","NULL","NULL","NULL","NULL","French","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1850","N","1863","N","Statue","Artwork","Bronze, granite","Central Park","The Mall","New York","NY","10019","Manhattan","Animals, eagle","PRESENTED BY / G. W. BURNHAM / MDCCCLXIII","Department of Parks and Recreation","Gift of Gordon Webster Burnham","1177","40.772435","-73.972532","1111","1"
"George Washington","NULL","Brown","Henry","Kirke","Ward","John Quincy","Adams","American","Upjohn","NULL","Richard","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Ames","NULL","1856","N","1856","N","Statue","Monument/Memorial","Bronze, granite","Union Square Park","Union Square Park","New York","NY","10003","Manhattan","President of the United States, American Revolutionary War, War, Colonial, equestrian","NULL","Department of Parks and Recreation","Gift of Merchants of New York","4211","40.735370","-73.990703","845","2"
"General William Jenkins Worth","NULL","Batterson","James","Goodwin","NULL","NULL","NULL","American","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1857","Y","1857","N","Obelisk","Monument/Memorial","Granite, bronze, cast iron","Worth Square","Broadway and 24th Street","New York","NY","10032","Manhattan","Military, Equestrian, Mexican-American War, War","South side: MAJ. GEN. WORTH West side: BY THE CORPORATION / OF THE / CITY OF NEW YORK / 1857. / HONOR THE BRAVE North side: UNDER THIS MONUMENT / LIES THE BODY OF / WILLIAM JENKINS WORTH / BORN IN HUDSON N.Y. / MARCH 1, 1794 / DIED IN TEXAS / MAY 7, 1849 East side: DUCIT AMOR PATRIAE Pavement Inscription: MAJOR GENERAL / WILLIAM JENKINS WORTH / 1794 - 1849 / WILLIAM J. WORTH, BORN IN HUDSON, N.Y. / BEGAN HIS MILITARY CAREER IN THE WAR OF 1812, / AND FROM 1820-1828 WAS COMMANDANT OF CADETS AT WEST POINT. / IN THE MEXICAN-AMERICAN WAR, HE DISTINGUISHED HIMSELF / IN BATTLES INSCRIBED ON THIS MONUMENT. / BREVETTED A MAJOR GENERAL IN 1846, WE WAS AWARDED A / CONGRESSIONAL SWORD OF HONOR IN 1847. / WORTH WAS ARMY COMMANDER OF THE DEPARTMENT OF TEXAS, / WHEN CHOLERA TOOK HIS LIFE IN 1849. / NAMED IN HIS HONOR ARE FORT WORTH, TEXAS; / LAKE WORTH, FLORIDA; AND WORTH STREET IN LOWER MANHATTAN. // DEDICATED 1857 / JAMES GOODWIN BATTERSON, ARCHITECT / MONUMENT AND TOMB ARE QUINCY GRANITE AND BRONZE / CAST-IRON FENCE REPLICATES THE CONGRESSIONAL SWORD // RESTORATION IN 1995 MADE POSSIBLE BY / THE PAUL AND KLARA PORZELT FOUNDATION AND/ JAMES A. WOODRUFF, JR., COMMANDER USN (RET.), / GREAT-GREAT-GRANDSON OF MAJOR GENERAL WORTH, / AND OTHER PRIVATE DONATIONS / THROUGH THE ADOPT-A-MONUMENT PROGRAM SPONSORED BY / THE MUNICIPAL ART SOCIETY, / ART COMMISSION OF THE CITY OF NEW YORK, / CITY OF NEW YORK / PARKS & RECREATION. / PERPETUAL MAINTENANCE ENDOWMENT FUNDED BY / JAMES A. WOODRUFF, JR., COMMANDER, USN (RET.)","Department of Parks and Recreation","Gift of Corporation of the City of New York","1945, 1972","40.742745","-73.988969","826","42"
"Johann Christoph Friedrich Von Schiller","NULL","Richter","C.L.","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1859","N","1859","N","Bust, pedestal","Monument/Memorial","Bronze, granite","Central Park","The Mall","New York","NY","10019","Manhattan","Bust, German, Philosopher, Poet, Author, Playwright","(FRONT OF PEDESTAL) JOHANN CHRISTOPH / FRIEDRICH VON / SCHILLER / 1759 - 1805 / POET / DRAMATIST / HISTORIAN
(BACK OF BUST) C.L. RICHTER. FECIT.","Department of Parks and Recreation","Gift of German-American Group, Cannstatter Volksfest-Verein","2969","40.773185","-73.971735","1111","1"
"Flushing Park Memorial","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1865","Y","1865","N","Obelisk","Monument/Memorial","Granite","Flushing Greens","Northern Boulevard and Linden Street","Flushing","NY","11354","Queens","American Civil War, War","Side 1: ERECTED / IN MEMORY OF THE / PATRIOTIC VOLUNTEERS / FROM / FLUSHING / WHO / SACRIFICED THEIR LIVES / IN THE WAR / FOR THE PRESERVATION / OF OUR UNION / 1861-1865 /  Side 2: CAPT. WM. DERMODY / LIEUT. EMIL SCHUBERT --- SGT. WM. H. TEPPY / SGT. ASA. FOWLER --- CORP. WASHT. W. FOWLER / HENRY APEL --- BENJ. COVERT / JOHN B. BAUER --- CHRIS. CROOKER / JOHN BRADY --- HARSN. CURTIS / L. BRUNNEMER --- PHILIP DERKES / JOHN BUCKLEY --- JOS. A. DOBIECK / JOHN W. BYRD --- JOHN DOHERTY / JAS. BYRNS --- JAS. E. ELDERD / THADDS. CAMPBELL --- CHAS. ERLING / JOS. CATHCART --- JAS. FEELY / VALENT. CLINCH --- WM. H. H. FIELD / WM. J. CONN --- GEO. H. FOWLER / THOS. CONNER --- WM. GOODWIN /Side 3: CAPT. LOUIS BRISKY / SGT. BENJ. HARPELL --- SGT. JAS. P. SMITH / CORP. GEO. HUNTSMAN --- CORP. WM. E. JOHNSTON / WM. GRIFFIN --- THOS. H. JENKINS / LOUIS GROESEL --- ROBERT KANE / SETH HARPELL --- JOHN KENALEY /JOHN HEFEPMEHL --- PHILIP KENNA / VALENT. HELFRICH --- JOHN KEPPLER / JOHN HEPPLER --- JOS. KIERSTEAD / JOHN HICKS --- PETER KIMMEEP / JOHN HUNTSMAN --- WASH. D. KNIGHT / JOHN HODGES --- PHILIP MAHER / PATRICK HURLEY --- JACOB MANNWEILER / C. JACKSON --- PATRICK MARTIN / THOS. JACKSON --- THOS. MCREADY / Side 4: CAPT. ELIJAH W. PECK / SGT. FREDK. WERNER --- SGT. ADAM WORTH / CORP. JOHN MARA --- COPR. LORENZO D. WOOD / MARTIN MOORE --- ELIAS H. SEAMAN / EDW. D. MURRAY --- CHAS. D. SMITH / HENRY NEIMER --- JAS. STARKINS / ANTHONY PARKS --- JURGEN STURNBERG / SAML. O. PORTLAND --- J. STEINBRUECKER / ANDW. REINHARDT --- JOHN STONEBANKS / GOTHARD RENIKER --- CHAS. W. TOWNSEND / FRANK RICHTER --- WILLIS H. TYRRELL / CHRISTN. SCHATZMAN --- GEO. VIX / GEO. W. SCHENCK --- CARL WIDDEMAN / DAVID SCHULTZ --- ROBT. WRIGHT JR. /","Department of Parks and Recreation","Gift of G.A.R. (Grand Army of the Republic)","NULL","40.763383","-73.830149","4977","125"
