"bronx_cooperatives_comparable_properties_boro_block_lot","bronx_cooperatives_comparable_properties_address","borough","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta","bronx_cooperatives_comparable_properties_neighborhood","bronx_cooperatives_comparable_properties_building_classification","bronx_cooperatives_comparable_properties_total_units","bronx_cooperatives_comparable_properties_year_built","bronx_cooperatives_comparable_properties_gross_sqft","bronx_cooperatives_comparable_properties_est_gross_income","bronx_cooperatives_comparable_properties_gross_income_per_sqft","bronx_cooperatives_comparable_properties_full_market_value","bronx_cooperatives_comparable_properties_market_value_per_sqft","comparable_rental_1_boro_block_lot","comparable_rental_1_address","comparable_rental_1_neighborhood","comparable_rental_1_building_classification","comparable_rental_1_total_units","comparable_rental_1_year_built","comparable_rental_1_gross_sqft","comparable_rental_1_est_gross_income","comparable_rental_1_gross_income_per_sqft","comparable_rental_1_full_market_value","comparable_rental_1_market_value_per_sqft","comparable_rental_1_dist_from_coop_in_miles","comparable_rental_2_boro_block_lot","comparable_rental_2_address","comparable_rental_2_neighborhood","comparable_rental_2_building_classification","comparable_rental_2_total_units","comparable_rental_2_year_built","comparable_rental_2_gross_sqft","comparable_rental_2_est_gross_income","comparable_rental_2_gross_income_per_sqft","comparable_rental_2_full_market_value","comparable_rental_2_market_value_per_sqft","comparable_rental_2_dist_from_coop_in_miles"
"2-03106-0044","1961 MAPES AVENUE
Bronx, NY 
(40.84434329928, -73.887537986259)","2","10460","40.843956","-73.887824","6","17","36501","2012938","2031060044","East Tremont                                                               ",,,"24","1910","23550","235500","10","551000","23.4","2-03080-0038","2037 BELMONT AVENUE
Bronx, NY 
(40.847875903687, -73.890421067013)","EAST TREMONT","C1-WALK-UP","17","1909","11629","125843","10.82","295000","25.4","0.3",,,,,,,,,,,,
"2-04292-0014","2100 WALLACE AVENUE
Bronx, NY 
(40.85322084953, -73.864820183521)","2","10462","40.853263","-73.86484","11","13","228","2093291","2042920014","Pelham Parkway                                                             ",,,"148","1940","144354","1478184","10.24","4590000","31.8","2-04286-0022","2100 BRONX PARK
Bronx, NY 
(40.853699684387, -73.869138050698)","PELHAM PARKWAY SOUTH","D1-ELEVATOR","157","1929","168990","1729743","10.24","4930000","29.2","0.2",,,,,,,,,,,,
"2-03252-0209","80 GOUVERNEUR AVENUE
Bronx, NY 
(40.829223469784, -73.908419560941)","2",,,,,,,,,,,,"207","1930","197406","2624741","13.3","6140000","31.1","2-02420-0120","280 161 STREET
Bronx, NY 
(40.825385656249, -73.917963755735)","MELROSE/CONCOURSE","D1-ELEVATOR","204","1980","239712","2629541","10.97","8170000","34.1","4.35","2-03124-0001","883 180 STREET
Bronx, NY 
(40.845219086535, -73.882815979207)","EAST TREMONT","D1-ELEVATOR","196","1979","181093","2624741","14.49","9580000","53","2.65"
"2-04291-0001","2075 WALLACE AVENUE
Bronx, NY 
(40.852425524595, -73.864920113098)","2","10462","40.85267","-73.864881","11","13","22404","2048821","2042910001","Pelham Parkway                                                             ",,,"190","1930","174400","1785856","10.24","5550000","31.8","2-04286-0022","2100 BRONX PARK
Bronx, NY 
(40.853699684387, -73.869138050698)","PELHAM PARKWAY SOUTH","D1-ELEVATOR","157","1929","168990","1729743","10.24","4930000","29.2","0.15","2-04291-0024","2131 WALLACE AVENUE
Bronx, NY 
(40.854141610891, -73.864860937708)","PELHAM PARKWAY SOUTH","D7-ELEVATOR","187","1929","178126","1920049","10.78","5480000","30.8","0"
"2-02464-0023","1235 GRAND
Bronx, NY 
(40.825576999979, -73.918448999722)","2",,,,,,,,,,,,"131","1929","181700","1468136","8.08","3790000","20.86","2-02461-0130","1011 SHERIDAN AVENUE
Bronx, NY 
(40.829390426893, -73.919467948212)","MELROSE/CONCOURSE","D7-ELEVATOR","115","1929","150948","1023242","6.78","2400000","15.9","0.4","2-02438-0080","1115 COLLEGE AVENUE
Bronx, NY 
(40.830836135402, -73.914552194044)","MELROSE/CONCOURSE","D1-ELEVATOR","44","1929","42732","345388","8.08","809000","18.93","0.3"
"2-05919-0448","3750 HUDSON MANOR TERRACE
Bronx, NY 
(40.888557878984, -73.915598599857)","2","10463","40.888713","-73.915597","8","11","309","2091925","2059190448","North Riverdale-Fieldston-Riverdale                                        ",,,"104","1954","163944","1926342","11.75","6650000","40.6","2-05909-0163","3950 BLACKSTONE AVENUE
Bronx, NY 
(40.890261642548, -73.911362719053)","RIVERDALE","D1-ELEVATOR","176","1959","237000","2849258","12.02","9830000","41.5","0.25","2-04222-0093","1545 RHINELANDER AVENUE
Bronx, NY 
(40.855823864137, -73.841490693618)","PELHAM PARKWAY SOUTH","D1-ELEVATOR","106","1962","112339","1316992","11.72","4540000","40.4","4.4"
"2-02410-0032","320 151 STREET
Bronx, NY 
(40.818281553805, -73.920240886156)","2",,,,,,,,,,,,"12","1918","7560","99036","13.1","232000","30.7","2-02407-0016","386 161 STREET
Bronx, NY 
(40.824260613036, -73.914189388441)","MELROSE/CONCOURSE","C7-WALK-UP","15","1918","12800","129323","10.1","369000","28.8","0.5","2-02472-0023","1055 GRAND
Bronx, NY 
(40.825576999979, -73.918448999722)","MELROSE/CONCOURSE","C7-WALK-UP","59","1918","47850","628155","13.13","2290000","47.9","0.95"
"2-03280-0013","2962 DECATUR AVENUE
Bronx, NY 
(40.86829433307, -73.883727818096)","2","10458","40.868371","-73.883629","7","11","415","2016434","2032800013","Bedford Park-Fordham North                                                 ",,,"74","1940","43195","479464","11.1","1490000","34.5","2-03297-0001","2929 BAINBRIDGE AVENUE
Bronx, NY 
(40.870190987252, -73.885584709637)","BEDFORD PARK/NORWOOD","D1-ELEVATOR","55","1955","59085","683603","11.57","2360000","39.9","0.2",,,,,,,,,,,,
"2-05826-1685","255 FIELDSTON TERRACE
Bronx, NY 
(40.896406389469, -73.89903997597)","2","10471","40.895686","-73.898158","8","11","351","2084558","2058261685","North Riverdale-Fieldston-Riverdale                                        ",,,"76","1965","85523","1017723","11.9","3510000","41","2-05746-0567","2675 HENRY HUDSON PARKWAY
Bronx, NY 
(40.825576999979, -73.918448999722)","RIVERDALE","D1-ELEVATOR","78","1951","92782","1085344","11.7","3740000","40.3","1.45","2-05864-0516","6555 BROADWAY
Bronx, NY 
(40.825576999979, -73.918448999722)","RIVERDALE","D1-ELEVATOR","73","1961","62570","816808","13.05","2980000","47.6","0.7"
"2-05788-0119","3215 NETHERLAND AVENUE
Bronx, NY 
(40.88393349525, -73.911596407659)","2","10463","40.884167","-73.911488","8","11","297","2084120","2057880119","Spuyten Duyvil-Kingsbridge                                                 ",,,"49","1939","75000","806250","10.75","2510000","33.5","2-05781-1100","3900 HENRY HUDSON PARKWAY
Bronx, NY 
(40.825576999979, -73.918448999722)","RIVERDALE","D1-ELEVATOR","37","1928","37962","396156","10.44","1230000","32.4","0.4","2-05791-0388","511 235 STREET
Bronx, NY 
(40.885270655874, -73.907787840625)","RIVERDALE","D7-ELEVATOR","55","1936","64000","814380","12.72","2810000","43.9","0.25"
