"date_created","boro","map_atlas","block","lot","address","street_number","street_name","parcel_name","agency","current_uses","total_area","open_petroleum_spill","govt_clean_up_program","structure_completed","number_structures","total_gross_area_structures","ratio_building_to_floor_area","allowable_building_to_floor_area","land_use_category","community_district","census_tract","census_block","school_dist","council_district","zip_code","fire_comp","health_area","health_ctr","police_prct","major_use","number_of_easements","commercial_floor_area","residential_floor_area","office_floor_area","retail_floor_area","garage_floor_area","storage_floor_area","factory_floor_area","other_floor_area","num_floors","residential_units","residential_and_non_residential_units","lot_front","lot_depth","bldg_front","bldg_depth","proximity_code","irr_lot_code","lot_type_code","bsmt_code","assess_land","exempt_land","exempt_tot","year_alter_1","year_alter_2","his_dist","landmark","condominium_number","coordinates","e_designation_number","industrial_business_zone","zone_dist_1","zone_dist_2","overlay_1","overlay_2","sp_dist_1","sp_dist_2","potential_urban_ag","contact","edc___occupied","pluto_version","latitude","longitude","bin","bbl","nta"
"2021-07-26T00:00:00.000","1",,"2","1","4 SOUTH STREET","4","SOUTH STREET","SI FERRY TERMINAL","DOT;DSBS","FERRY TERMINAL;NO USE;WATERFRONT PROPERTY","209215",,,"1908","1","280000","1.34","6.5","7","101","9","1025","2","1","10004","L015","7700","15","1","Y7","0","280000","0","0","0","0","0","0","280000","5","0","1","314.28","564.84","268","210","1","Y","2","0","18818100",,"36234450","2006","2006",,,"0","980670/194440",,,"M1-4",,,,"LM",,,"DCAS Land Use Planning (212)386-0622","100","20v8","40.700369","-74.012911","1085792","1000020001","Battery Park City-Lower Manhattan"
"2021-07-26T00:00:00.000","1",,"2","2","10 SOUTH STREET","10","SOUTH STREET","BATTERY MARITIME BLDG","DSBS","IN USE-TENANTED;LONG-TERM AGREEMENT;WATERFRONT PROPERTY","191502",,,"1900","1","158197","0.83","10","7","101","9","1025","2","1","10004","L015","7700","15","1","Y7","0","158197","0","0","0","0","0","0","158197","5","0","1","311.61","555.84","205","270","0","Y","2","0","18787500",,"26160750","2001","0",,,"0","981037/194506",,,"C4-6",,,,"LM",,,"DCAS Land Use Planning (212)386-0622","100","20v8","40.700551","-74.011588","1000003","1000020002","Battery Park City-Lower Manhattan"
"2021-07-26T00:00:00.000","1",,"2","3","MARGINAL STREET","0","MARGINAL STREET","MTA SUBSTATION","DSBS","NO USE-NON RES STRC;TRANSIT SUBSTATION","38800",,,"1900","1","7500","0.19","10","7","101","9","1",,"1",,,,,,"Y7","0","7500","0","0","0","0","0","0","7500","1","0","0","91.9","564.56","50","75","0","N","2","5","735750",,"925200","0","0",,,"0","981224/194590",,,"C4-6",,,,"LM",,,"DCAS Land Use Planning (212)386-0622","0","20v8","40.700781","-74.010913","1089745","1000020003","Battery Park City-Lower Manhattan"
"2021-07-26T00:00:00.000","1",,"2","23","1 PIER 6","1","PIER 6","PIER 6","DSBS","IN USE-TENANTED;FINAL COMMITMNT-DISP;LONG-TERM AGREEMENT;NO USE;FINAL COMMITMNT-DISP","510025",,,"1987","1","24346","0.05","10","7","101","9","1025","2","1","10004","L015","7700","15","1","T2","0","24346","0","0","0","0","0","0","24346","2","0","0","793.67","551","85","551","0","Y","5","0","15255450",,"19285200","0","0",,,"0","981687/194732",,,"C4-6",,,,"LM",,,"DCAS Land Use Planning (212)386-0622","100","20v8","40.701171","-74.009243","1075697","1000020023","Battery Park City-Lower Manhattan"
"2021-07-26T00:00:00.000","1",,"3","1","10 BATTERY PARK","10","BATTERY PARK","BATTERY PARK","PARKS","PARK","945425",,,"1951","6","945425","1","0","9","101","13","2005","2","1","10004","E010","7700","15","1","Q1","0","945425","0","0","0","0","0","0","945425","1","0","4","323","1260","89","57","1","Y","1","0","127100700",,"145939500","0","0",,,"0","979916/195328",,,"PARK",,,,,,,"DCAS Land Use Planning (212)386-0622","0","20v8","40.702806","-74.015631","1077335","1000030001","Battery Park City-Lower Manhattan"
"2021-07-26T00:00:00.000","1",,"3","2","PETER MINUIT PLAZA","0","PETER MINUIT PLAZA","PETER MINUIT PLAZA/BATTERY PK","PARKS","PARK","39900",,,"0","3","0","0","0","9","101","9","1023","2","1","10004","L015","7700","15","1","Q1","0","0","0","0","0","0","0","0","0","0","0","0","496","76","0","0","0","Y","1","0","5211900",,"5211900","0","0",,,"0","980470/194954",,,"PARK","C5-5",,,"LM",,,"DCAS Land Use Planning (212)386-0622","0","20v8","40.70178","-74.013633","1089623","1000030002","Battery Park City-Lower Manhattan"
"2021-07-26T00:00:00.000","1",,"3","3","PETER MINUIT PLAZA","0","PETER MINUIT PLAZA","PETER MINUIT PLAZA/BATTERY PK","PARKS","PARK","33600",,,"1951","2","0","0","0","9","101","9","1020","2","1","10004","L015","7700","15","1","Q1","0","0","0","0","0","0","0","0","0","1","0","1","180","370","16","19","1","Y","1","0","4947750",,"4947750","0","0",,,"0","980605/195017",,,"PARK",,,,,,,"DCAS Land Use Planning (212)386-0622","0","20v8","40.701953","-74.013146","1090057","1000030003","Battery Park City-Lower Manhattan"
"2021-07-26T00:00:00.000","1",,"6","1","24 SOUTH STREET","24","SOUTH STREET","VIETNAM VETERANS PLAZA","PARKS","PARK","35166",,,"0","0","0","0","0","9","101","9","1017","2","1","10004","L015","7700","15","1","Q9","1","0","0","0","0","0","0","0","0","0","0","0","234.67","349.33","0","0","0","Y","1","0","29162250",,"29162250","0","0",,,"0","981505/195256",,,"PARK",,,,,,,"DCAS Land Use Planning (212)386-0622","0","20v8","40.702609","-74.0099","1000000","1000060001","Battery Park City-Lower Manhattan"
"2021-07-26T00:00:00.000","1",,"12","28","WHITEHALL STREET","0","WHITEHALL STREET","BOWLING GREEN PARK","PARKS","PARK","22500",,,"0","0","0","0","0","9","101","13","2012","2","1","10004","L015","7700","15","1","Q1","0","0","0","0","0","0","0","0","0","0","0","0","200","140","0","0","0","Y","1","0","6993000",,"6993000","0","0",,,"0","980468/196126",,,"PARK",,,,,,,"DCAS Land Use Planning (212)386-0622","0","20v8","40.704997","-74.013641","1000000","1000120028","Battery Park City-Lower Manhattan"
"2021-07-26T00:00:00.000","1",,"16","1","22 BATTERY PLACE","22","BATTERY PLACE","PIER A / MARINE UNIT #1","DSBS","FERRY TERMINAL;IN USE-TENANTED;FINAL COMMITMNT-DISP;LONG-TERM AGREEMENT;NO USE;WATERFRONT PROPERTY","83100",,,"1886","1","28732","0.35","10","5","101","317.04","4001","2","1","10004","L015","8900","15","1","K2","0","28732","0","0","28732","0","0","0","0","3","0","1","77","293","40","323","1","Y","5","0","3253500",,"8269650","2012","0",,,"0","979250/195800",,,"C6-4",,,,"LM",,,"DCAS Land Use Planning (212)386-0622","100","20v8","40.704101","-74.018033","1085492","1000160001","Battery Park City-Lower Manhattan"
