"borough","facility_name","street_address","city","state","zip_code","phone_number_s","comments","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta"
"Bronx","Concourse","1365 Jerome Avenue","Bronx","NY","10452","929-252-8991",,"40.839604","-73.918421","4","16","219","2008289","2028560020","Highbridge"
"Bronx","Crotona","1910 Monterey Avenue","Bronx","NY","10457","929-252-7310 | 929-252-7311","This center includes a children's area that does not provide supervision.","40.846932","-73.895099","6","15","37504","2011826","2030600032","East Tremont"
"Bronx","Fordham","2541-2549 Bainbridge Avenue","Bronx","NY","10458","929-252-3331 | 929-252-3332","This center includes a Children's Corner, which provides supervision during limited hours.","40.862345","-73.89335","7","15","39901","2016777","2032930008","Bedford Park-Fordham North"
"Bronx","Hunts Point","847 Barretto Street","Bronx","NY","10474","929-252-4352 | 929-252-4349",,"40.817689","-73.890379","2","17","93","2005939","2027390015","Hunts Point"
"Bronx","Rider","300 Canal Place","Bronx","NY","10451","718-742-3924",,"40.813153","-73.927579","1","8","51","2000978","2023400072","Mott Haven-Port Morris"
"Bronx","Family Services Call Center, Bronx Satellite","847 Barretto Street","Bronx","NY","10474","929-252-4269 | 718-883-8296","Primarily handles face to face recertifications and emergency walk-in activities for the Family Call Center's active child only cases whose payees are not in receipt of cash assistance.","40.817689","-73.890379","2","17","93","2005939","2027390015","Hunts Point"
"Brooklyn","Bushwick","2 George St","Brooklyn","NY","11206","212-331-4289 | 212-331-4284","This center includes a children's area that does not provide supervision.","40.70004","-73.93273","4","34","425","3071940","3031560001","Bushwick South"
"Brooklyn","Clinton Hill","495 Clermont Ave","Brooklyn","NY","11238","929-221-1568 | 929-221-2809","This center includes a Children's Corner, which provides supervision during limited hours.","40.682851","-73.968809","2","35","199","3335094","3020090001","Clinton Hill"
"Brooklyn","Coney Island","3050 West 21st Street","Brooklyn","NY","11224","929-221-3856 | 929-221-3867","This center includes a children's area that does not provide supervision.","40.57353","-73.987448","13","47","352","3189654","3070710123","Seagate-Coney Island"
"Brooklyn","Dekalb","275 Bergen Street","Brooklyn","NY","11217","718-636-2495 | 929-221-0565","This center includes a Children's Corner, which provides supervision during limited hours.","40.683749","-73.982816","2","33","39","3335918","3001970028","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"Brooklyn","Michael J. Handy Veterans' Service Center","25 Chapel Street, 6th Fl., Room 606","Brooklyn","NY","11201","718-222-2430","Primarily services cash assistance recipient cases in which at least one household member is a Veteran.","40.697254","-73.986015","2","33","13","3335884","3001180006","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"Brooklyn","Transportation Unit","25 Chapel Street, 6th Fl.","Brooklyn","NY","11201","718-473-8310",,"40.697254","-73.986015","2","33","13","3335884","3001180006","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"Brooklyn","Family Services Call Center, Brooklyn Satellite","404 Pine Street, 3rd Fl.","Brooklyn","NY","11208","929-221-8265/8270 | 718-883-8296","Primarily handles face to face recertifications and emergency walk-in activities for the Family Call Center's active child only cases whose payees are not in receipt of cash assistance. This center includes a children's area that does not provide supervision.","40.67588","-73.871091","5","42","1196","3094690","3042140001","East New York"
"Manhattan","Dyckman","4055 10th Avenue","New York","NY","10034","212-569-9543 | 212-569-9626","This center includes a Children's Corner, which provides supervision during limited hours.","40.870388","-73.914561","12","10","299","1064513","1022130001","Marble Hill-Inwood"
"Manhattan","East End","2322 Third Avenue","New York","NY","10035","212-274-4951","This center includes a Children's Corner, which provides supervision during limited hours.","40.804468","-73.935267","11","9","242","1054497","1017750033","East Harlem North"
"Manhattan","St. Nicholas","132 W. 125th Street","New York","NY","10027","212-274-5162",,"40.808451","-73.947112","10","9","222","1057820","1019090012","Central Harlem South"
"Manhattan","Waverly","12 West 14th Street","New York","NY","10011","212-620-9224","This center includes a Children's Corner, which provides supervision during limited hours.","40.736301","-73.994342","2","3","63","1009716","1005770034","West Village"
"Manhattan","Union Square","109 E. 16th Street","New York","NY","10003","929-252-5580 | 929-252-5520","Primarily serves individuals identified as having significant barriers to employment and needing specialized services. This center includes a children's area that does not provide supervision.","40.735681","-73.988713","5","2","50","1017821","1008720013","Gramercy"
"Manhattan","Residential Treatment Service Center","109 E. 16th Street","New York","NY","10003","929-252-5910","Primarily serves individuals currently residing in a residential treatment facility. This center includes a children's area that does not provide supervision.","40.735681","-73.988713","5","2","50","1017821","1008720013","Gramercy"
"Manhattan","Special Project Center","109 E. 16th Street, 6th Fl.","New York","NY","10003","929-252-5775 | 929-252-5742","Primarily serves ACS youth that have been referred.","40.735681","-73.988713","5","2","50","1017821","1008720013","Gramercy"
"Manhattan","Home Visit Needed/Reasonable Accommodations Request Operations","109 E. 16th Street","New York","NY","10003","929-252-6704","Applicants and participants are not seen at this location.","40.735681","-73.988713","5","2","50","1017821","1008720013","Gramercy"
"Manhattan","Family Services Call Center, Manhattan Satellite","132 W. 125th Street","New York","NY","10027","212-666-7566 | 718-883-8296","Primarily handles face to face recertifications and emergency walk-in activities for the Family Call Center’s active child only cases whose payees are not in receipt of cash assistance.","40.808451","-73.947112","10","9","222","1057820","1019090012","Central Harlem South"
"Queens","Jamaica","165-08 88th Avenue","Queens","NY","11432","718-523-2146 | 718-883-8250","This center includes a Children's Corner, which provides supervision during limited hours.","40.708661","-73.796703","12","27","460","4210062","4098150056","Jamaica"
"Queens","Queens","32-20 Northern Blvd, 4th Floor","Queens","NY","11101","718-784-5919 | 718-784-6043",,"40.75197","-73.931799","1","26","171","4003105","4002147501","Hunters Point-Sunnyside-West Maspeth"
"Queens","Rockaway","219 Beach 59th Street","Queens","NY","11692","718-637-2144 | 718-637-2140","This center includes a Children's Corner, which provides supervision during limited hours.","40.592902","-73.789051","14","31","964","4301932","4159000008","Hammels-Arverne-Edgemere"
"Queens","Refugee and Immigrant","32-20 Northern Boulevard","Queens","NY","11101","929-221-4902","This center includes a Children's Corner, which provides supervision during limited hours.","40.75197","-73.931799","1","26","171","4003105","4002147501","Hunters Point-Sunnyside-West Maspeth"
"Queens","Office of Burial Services (OBS)","33-28 Northern Boulevard","Queens","NY","11101","718-473-8310",,"40.752052","-73.927444","1","26","171","4461879","400214240","Hunters Point-Sunnyside-West Maspeth"
"Queens","Family Services Call Center, Queens Satellite","32-20 Northern Boulevard","Queens","NY","11101","718-752-3937 | 718-883-8296","Primarily handles face to face recertifications and emergency walk-in activities for the Family Call Center's active child only cases whose payees are not in receipt of cash assistance.","40.75197","-73.931799","1","26","171","4003105","4002147501","Hunters Point-Sunnyside-West Maspeth"
"Queens","Family Service Call Center","165-08 88th Avenue 5th Fl.","Queens","NY","11432","718-752-3937 | 718-883-8296","Primarily a mail and phone operation servicing active child only cases whose payees are not in receipt of cash assistance.","40.708661","-73.796703","12","27","460","4210062","4098150056","Jamaica"
"Staten Island","Richmond","201 Bay Street","Staten Island","NY","10301","929-221-7915 | 929-221-7909",,"40.636992","-74.076212","1","49","21","5013238","5004970009","Stapleton-Rosebank"
