"complaint","date","address","street_name","borough","block","lot","bin","postcode","landmark_name","work_reported","action_taken","status","community_council","community_board","nta","latitude","longitude"
"CMP-15-00003","2014-07-01T00:00:00.000","131","East 65th Street","Manhattan","1400","113","1042450","10065","Upper East Side - Historic District","Construction of rear yard addition without permits; photographs with complaint file","Warning Letter Issued","Closed","04","MN-8","Upper East Side-Carnegie Hill","40.76613981857926","-73.96579132189767"
"CMP-15-00002","2014-07-01T00:00:00.000","1156","Dean Street","Brooklyn","1212","24","3030313","11216","Crown Heights North - Historic District","Painting front walls","Warning Letter Issued","Closed","36","BK-8","Crown Heights North","40.67694366645024","-73.95129007012825"
"CMP-15-00001","2014-07-01T00:00:00.000","180","10th Avenue","Manhattan","718","7502","1088996","10011","Chelsea - Historic District","Installation of bar on patio","No Warning Letter Issued","Closed","03","MN-4","Hudson Yards-Chelsea-Flatiron-Union Square","40.746215183444626","-74.00522937407204"
"CMP-15-00004","2014-07-01T00:00:00.000","93","St. Johns Place","Brooklyn","945","77","3019314","11217","Park Slope - Historic District","work being done; working on building façade","No Warning Letter Issued","Closed","39","BK-6","Park Slope-Gowanus","40.67720674265087","-73.97602168537509"
"CMP-15-00005","2014-07-01T00:00:00.000","903","Sterling Place","Brooklyn","1241","58","3031568","11216","Crown Heights North  II - Historic District","painting base of building without permits","Warning Letter Issued","Closed","36","BK-8","Crown Heights North","40.67245484480163","-73.94872661471051"
"CMP-15-00006","2014-07-03T00:00:00.000","466","Broome Street","Manhattan","485","40","1007280","10013","SoHo-Cast Iron - Historic District","Installation illumination at periphery of window","Warning Letter Issued","Closed","01","MN-2","SoHo-TriBeCa-Civic Center-Little Italy","40.72247043132549","-74.00121217644269"
"CMP-15-00008","2014-07-07T00:00:00.000","568","Hancock Street","Brooklyn","1660","38","3046079","11233","Bedford Stuyvesant/Expanded Stuyvesant Heights - Historic District","Stuccoing over bay, windows in noncompliance, cornice in noncompliance","Warning Letter Issued","Closed","36","BK-3","Stuyvesant Heights","40.68448807251932","-73.93297525196117"
"CMP-15-00007","2014-07-07T00:00:00.000","369","Greenwich Street","Manhattan","181","13","1002072","10013","Tribeca West - Historic District","installation of platform at sidewalk café","Warning Letter Issued","Closed","01","MN-1","SoHo-TriBeCa-Civic Center-Little Italy","40.71935193104859","-74.01029941018136"
"CMP-15-00009","2014-07-07T00:00:00.000","71","West 12th Street","Manhattan","576","76","1009634","10011","Greenwich Village - Historic District","Interior demolition without permits","No Warning Letter Issued","Closed","03","MN-2","West Village","40.735818152384134","-73.99727205664855"
"CMP-15-00013","2014-07-08T00:00:00.000","113","St. Johns Place","Brooklyn","945","68","3019305","11217","Park Slope - Historic District","Jackhammering front steps","No Warning Letter Issued","Closed","39","BK-6","Park Slope-Gowanus","40.67703922122439","-73.97559272555742"
"CMP-15-00011","2014-07-08T00:00:00.000","10-12","East 16th Street","Manhattan","843","41","1016078","10003","Ladies' Mile - Historic District","Alteration to façade","Warning Letter Issued","Closed","02","MN-5","Hudson Yards-Chelsea-Flatiron-Union Square","40.73715736425176","-73.9922634548858"
