"id","hpd_building_id","address","bbl","bin","council_district","community_district","census_tract_2010","neighborhood_tabulation_area","zip_code","borough","latitude","longitude","total_ih_floor_area","transferred_ih_floor_area","remaining_ih_floor_area","property_type","geocoding_method"
"7","963","1595 2 AVENUE","1015280028","1048662","5","8","13800","MN32","10028","Manhattan","40.77587665","-73.95354435","0","0","0","Compensated Development","Geocoded on BBL"
"9","1009","1691 2 AVENUE","1015330027","1048814","5","8","14602","MN32","10128","Manhattan","40.77908429","-73.95123846","0","12914","0","Compensated Development","Geocoded on BBL"
"17","2174","299 3 AVENUE","1009030057","1082133","2","6","6400","MN21","10010","Manhattan","40.7385617","-73.98294388","0","4650","0","Compensated Development","Geocoded on BBL"
"19","2315","587 3 AVENUE","1009190005","1020351","4","6","7800","MN20","10016","Manhattan","40.74839486","-73.97578457","0","4550.8","0","Compensated Development","Geocoded on BBL"
"21","2414","985 3 AVENUE","1013320047","1038641","4","6","10800","MN19","10022","Manhattan","40.76121871","-73.96641617","0","5272","0","Compensated Development","Geocoded on BBL"
"29","4980","239 10 AVENUE","1006960032","1012369","3","4","9900","MN13","10001","Manhattan","40.74864163","-74.0038343","0","4140","0","Compensated Development","Geocoded on BBL"
"31","5065","452 10 AVENUE","1007330070","1080374","3","4","11100","MN13","10018","Manhattan","40.75540748","-73.99815341","0","28647","0","Compensated Development","Geocoded on BBL"
"55","12965","2 EAST 30 STREET","1008590084","1016946","4","5","7400","MN17","10016","Manhattan","40.74553104","-73.98603133","0","28130.25","0","Compensated Development","Geocoded on BBL"
"62","13724","303 EAST 44 STREET","1013370105","1038767","4","6","9000","MN19","10017","Manhattan","40.7511302","-73.97071623","0","4620","0","Compensated Development","Geocoded on BBL"
"64","14300","250 EAST 54 STREET","1013277502","1038562","4","6","9800","MN19","10022","Manhattan","40.75733511","-73.96715087","0","10031","0","Compensated Development","Geocoded on BBL"
"65","14577","430 EAST 58 STREET","1013690034","1040549","5","6","10601","MN19","10022","Manhattan","40.75825278","-73.96127398","0","20490","0","Compensated Development","Geocoded on BBL"
"93","31206","540 WEST 21 STREET","1006920053","1076121","3","4","9900","MN13","10011","Manhattan","40.74699737","-74.00705704","0","11800","0","Compensated Development","Geocoded on BBL"
"97","31904","215 WEST 28 STREET","1007780031","1080551","3","5","9500","MN17","10001","Manhattan","40.74777694","-73.99405014","0","14400","0","Compensated Development","Geocoded on BBL"
"105","34286","609 WEST 56 STREET","1011040025","1027165","6","4","13500","MN15","10019","Manhattan","40.77005319","-73.99242715","0","25025","0","Compensated Development","Geocoded on BBL"
"114","38615","79 WEST 118 STREET","1017170007","1053179","9","10","19000","MN11","10026","Manhattan","40.80325021","-73.94793018","0","3686","0","Compensated Development","Geocoded on BBL"
"124","129388","615 4 AVENUE","3006310001","3008966","38","7","14300","BK37","11215","Brooklyn","40.66433058","-73.9935097","0","5170","0","Compensated Development","Geocoded on BBL"
"158","335312","1 MC GUINNESS BLVD SOUTH","3027000006","3000000","33","1","49900","BK76","11222","Brooklyn","40.72253242","-73.94710936","0","330","0","Compensated Development","Geocoded on BBL"
