"year","month","language","calls","minutes"
"2018","January","SPANISH","1215","14102.9"
"2018","January","MANDARIN","238","3089.8"
"2018","January","RUSSIAN","72","800.6"
"2018","January","CANTONESE","62","817.7"
"2018","January","FRENCH","54","782.4"
"2018","January","BENGALI","41","559.6"
"2018","January","HAITIAN CREOLE","39","490.1"
"2018","January","KOREAN","39","423"
"2018","January","ARABIC","30","308.7"
"2018","January","PORTUGUESE","14","153.9"
"2018","January","HUNGARIAN","12","474.5"
"2018","January","ALBANIAN","12","65.9"
"2018","January","URDU","10","101.8"
"2018","January","PUNJABI","8","63.5"
"2018","January","UZBEK","6","288.8"
"2018","January","HINDI","5","67.1"
"2018","January","POLISH","4","39"
"2018","January","TAGALOG","4","18.2"
"2018","January","WOLOF","3","19.8"
"2018","January","ITALIAN","3","12.6"
"2018","February","SPANISH","1222","14169.2"
"2018","February","MANDARIN","192","2533.5"
"2018","February","RUSSIAN","58","680.5"
"2018","February","CANTONESE","55","772.4"
"2018","February","FRENCH","54","546"
"2018","February","KOREAN","53","791"
"2018","February","BENGALI","42","795.9"
"2018","February","HAITIAN CREOLE","36","523.9"
"2018","February","ARABIC","36","432.5"
"2018","February","TOISHANESE","13","336.6"
"2018","February","URDU","13","226.5"
"2018","February","UZBEK","8","50.9"
"2018","February","TIBETAN","7","108.9"
"2018","February","HINDI","7","70.2"
"2018","February","TURKISH","7","54"
"2018","February","PUNJABI","6","35.7"
"2018","February","PORTUGUESE","5","193.8"
"2018","February","POLISH","5","90.2"
"2018","February","AMHARIC","4","77"
"2018","February","BURMESE","4","76.9"
"2018","March","SPANISH","1269","15502.6"
"2018","March","MANDARIN","297","4244.9"
"2018","March","RUSSIAN","63","775.1"
"2018","March","CANTONESE","55","732.4"
"2018","March","FRENCH","44","605.4"
"2018","March","ARABIC","35","299.1"
"2018","March","HAITIAN CREOLE","32","424.3"
"2018","March","BENGALI","26","317.7"
"2018","March","KOREAN","20","263.6"
"2018","March","TIBETAN","20","183.9"
"2018","March","POLISH","9","143.8"
"2018","March","URDU","9","140.2"
"2018","March","UZBEK","8","205.1"
"2018","March","BURMESE","8","91.8"
"2018","March","HINDI","8","84"
"2018","March","NEPALI","6","98"
"2018","March","ITALIAN","6","82.1"
"2018","March","PORTUGUESE","6","51.9"
"2018","March","TOISHANESE","5","118"
"2018","March","INDONESIAN","4","201.9"
"2018","April","SPANISH","1290","15078.3"
"2018","April","MANDARIN","215","3000.8"
"2018","April","RUSSIAN","91","1435.8"
"2018","April","CANTONESE","53","880.9"
"2018","April","BENGALI","43","640"
"2018","April","FRENCH","36","474"
"2018","April","ARABIC","27","430.7"
"2018","April","HAITIAN CREOLE","25","309.9"
"2018","April","KOREAN","22","242.3"
"2018","April","NEPALI","14","212.9"
"2018","April","POLISH","14","120.4"
"2018","April","URDU","12","140.6"
"2018","April","UZBEK","10","154"
"2018","April","ALBANIAN","10","138.3"
"2018","April","PUNJABI","10","92.6"
"2018","April","HINDI","8","176.4"
"2018","April","FULANI","7","192.6"
"2018","April","TAGALOG","6","65.7"
"2018","April","TIBETAN","5","66.8"
"2018","April","PORTUGUESE","4","70.2"
"2018","May","SPANISH","1384","16192.3"
"2018","May","MANDARIN","273","3690.3"
"2018","May","RUSSIAN","70","1100.3"
"2018","May","FRENCH","62","670.5"
"2018","May","CANTONESE","59","872.3"
"2018","May","BENGALI","58","761.1"
"2018","May","ARABIC","24","463.4"
"2018","May","POLISH","18","204.1"
"2018","May","PUNJABI","18","160"
"2018","May","UZBEK","16","183.3"
"2018","May","HAITIAN CREOLE","15","158.4"
"2018","May","KOREAN","11","197.3"
"2018","May","PORTUGUESE","10","59.8"
"2018","May","TAGALOG","7","148.1"
"2018","May","URDU","7","132.2"
"2018","May","HINDI","6","110.1"
"2018","May","ALBANIAN","6","96.7"
"2018","May","JAPANESE","6","75.2"
"2018","May","THAI","5","96.9"
"2018","May","TIBETAN","5","40.8"
"2018","June","SPANISH","1272","15735.7"
"2018","June","MANDARIN","268","3972.5"
"2018","June","RUSSIAN","80","1000.8"
"2018","June","CANTONESE","56","960.2"
"2018","June","FRENCH","40","623.5"
"2018","June","BENGALI","39","539.8"
"2018","June","HAITIAN CREOLE","38","405.4"
"2018","June","ARABIC","34","386.6"
"2018","June","KOREAN","33","397.1"
"2018","June","URDU","27","434.9"
"2018","June","PUNJABI","19","318.5"
"2018","June","UZBEK","15","296"
"2018","June","TIBETAN","12","240.2"
"2018","June","NEPALI","12","207.3"
"2018","June","HINDI","8","102.6"
"2018","June","POLISH","7","96.1"
"2018","June","ALBANIAN","6","126.3"
"2018","June","TURKISH","6","67.1"
"2018","June","PORTUGUESE","4","45.6"
"2018","June","FULANI","4","38.7"
"2018","July","SPANISH","1333","17401.9"
"2018","July","MANDARIN","277","4270.4"
"2018","July","RUSSIAN","91","1140.7"
"2018","July","FRENCH","62","764.3"
"2018","July","CANTONESE","55","995.4"
"2018","July","BENGALI","53","936.9"
"2018","July","HAITIAN CREOLE","47","643.5"
"2018","July","ARABIC","31","437.8"
"2018","July","POLISH","15","298.8"
"2018","July","UZBEK","14","146.2"
"2018","July","URDU","12","231.3"
"2018","July","HINDI","12","204.9"
"2018","July","PUNJABI","12","185.4"
"2018","July","KOREAN","12","153.3"
"2018","July","TIBETAN","8","180.7"
"2018","July","VIETNAMESE","6","198.7"
