"borough","ntaname","site","address","number","street","categoriesaccepted","categoriesavailable","additionalmaterialinformation","pickupstatus","hours","website","phone","email","partnerstatus","borocd","councildist","ct2010","bbl","bin","latitude","longitude","police_precinct","point_1"
"MANHATTAN","Murray Hill-Kips Bay","Tropicalfete","295 Madison Avenue, New York, NY 10017, USA","295","MADISON AVENUE","Arts/Crafts, Automotive, Electronics, Food/Beverage, Musical Instruments, Sports Equipment, Tools/Equipment","Arts/Crafts, Automotive, Electronics, Food/Beverage, Musical Instruments",,"Pickup","Monday Closed, Tuesday Closed, Wednesday Closed, Thursday Closed, Friday Closed, Saturday 11:00 AM-05:00 PM, Sunday Closed","http://tropicalfete.com","(646) 504-3383","alton@tropicalfete.com",,"105","04","82","1012750050","1035321","40.751861","-73.979473","014","POINT (-73.97947299988 40.7518609999884)"
"QUEENS","Flushing","Flushing Food Pantry","14032 Cherry Ave, NY, New York 11355, USA","140-32","CHERRY AVENUE","Food/Beverage","Food/Beverage","Food Pantry available for walk-ins, every Wednesday 12pm-2pm.",,"Monday Closed, Tuesday Closed, Wednesday 12:00 PM-02:00 PM, Thursday Closed, Friday Closed, Saturday Closed, Sunday Closed","https://www.icnarelief.org/wp/index.php/new-york/","(929) 329-7986","manwar@icnarelief.org",,"407","20","859","4051927504","4540148","40.754394","-73.821624","109","POINT (-73.8216239997488 40.7543939998864)"
"BROOKLYN","Erasmus","Beyond Hunger","21 Snyder Avenue, Brooklyn, NY, USA","21","SNYDER AVENUE","Food/Beverage","Food/Beverage","Items Accepted: Non-perishable Food. Please call first to arrange your donation.",,"Monday Closed, Tuesday 10:00 AM-01:00 PM, Wednesday Closed, Thursday 10:00 AM-01:00 PM, Friday Closed, Saturday Closed, Sunday Closed","https://www.camba.org/Pages/support/In-Kind-Donations.aspx","(718) 282-3082","janetm@camba.org",,"314","40","794","3051030008","3117220","40.648752","-73.957267","070","POINT (-73.9572670001729 40.6487519998081)"
"BROOKLYN","Bedford","St. Stephen Outreach Community","874 Myrtle Ave, Brooklyn, NY 11206, USA","874","MYRTLE AVENUE","Clothing/Personal Accessories, Food/Beverage, Footwear","Clothing/Personal Accessories, Food/Beverage, Footwear","Call to schedule drop-off donation.",,"Friday 9:00 AM-5:00 PM, Thursday 9:00 AM-5:00 PM, Wednesday 9:00 AM-5:00 PM, Tuesday 9:00 AM-5:00 PM, Monday 9:00 AM-5:00 PM, Sunday Closed, Wednesday 09:00 AM-10:30 AM, Friday 09:00 AM-10:30 AM, Thursday Closed, Saturday Closed, Tuesday Closed, Monday C",,"(718) 938-4532","sheilawilliams874@yahoo.com",,"303","36","25901","3017550032","3048641","40.695405","-73.947091","079","POINT (-73.9470910003504 40.6954050000439)"
"STATEN IS","West New Brighton-New Brighton-St. George","Clothing","17 Brook Street, Staten Island, NY 10301, USA","17","BROOK STREET",,"Clothing/Personal Accessories, Footwear",,,"Monday Closed, Tuesday 11:00 AM-06:30 PM, Wednesday 11:00 AM-06:30 PM, Thursday 11:00 AM-06:30 PM, Friday 11:00 AM-06:30 PM, Saturday 11:00 AM-06:30 PM, Sunday Closed","http://etgstores.com/clothing/index.html","(718) 273-7139","clothing@etgstores.com",,"501","49","11","5000230038","5000385","40.637406","-74.081209","120","POINT (-74.0812089996966 40.6374059999901)"
"BRONX","Bedford Park-Fordham North","Our Lady of Refuge Thrift","2845 Briggs Avenue, Bronx, NY 10458, USA","2845","BRIGGS AVENUE","Clothing/Personal Accessories, Kitchen Items, Footwear, Household Furniture/Furnishings","Clothing/Personal Accessories, Kitchen Items, Footwear, Household Furniture/Furnishings",,,"Monday Closed, Tuesday Closed, Wednesday Closed, Thursday Closed, Friday 11:00 AM-03:00 PM, Saturday 11:00 AM-03:00 PM, Sunday Closed",,"(718) 733-9026","noemail@email.com",,"207","15","40702","2033020072","2017109","40.869353","-73.888989","052","POINT (-73.8889890000433 40.8693529997443)"
"STATEN IS","Charleston-Richmond Valley-Tottenville","Totenville Thrift Shop","223 Main Street, Staten Island, NY, USA","223","MAIN STREET","Clothing/Personal Accessories, Kitchen Items, Footwear","Clothing/Personal Accessories, Kitchen Items, Footwear",,,"Monday 10:00 AM-04:00 PM, Tuesday 10:00 AM-04:00 PM, Wednesday 10:00 AM-04:00 PM, Thursday 10:00 AM-04:00 PM, Friday 10:00 AM-04:00 PM, Saturday 10:00 AM-04:00 PM, Sunday Closed","http://simhs.org/thrift-shops","(718) 984-7439","info@simhs.org",,"503","51","248",,,"40.509662","-74.247445","123","POINT (-74.2474449998878 40.5096619996048)"
"BROOKLYN","Park Slope-Gowanus","Record & Tape Center","439 5th Avenue, Brooklyn, NY 11215, USA","439","5 AVENUE",,"Books/Media, Electronics",,,"Monday 11:00 AM-05:30 PM, Tuesday 11:00 AM-10:00 PM, Wednesday 11:00 AM-05:30 PM, Thursday 11:00 AM-10:00 PM, Friday 11:00 AM-09:00 PM, Saturday 10:30 AM-10:00 PM, Sunday 11:00 AM-10:00 PM",,"(718) 499-8483","noemail@email.com",,"306","39","137","3010050001","3022111","40.669287","-73.986024","078","POINT (-73.9860239998087 40.6692869997984)"
"MANHATTAN","Midtown-Midtown South","Bottomless Closet","16, E. 52nd Street, New York, NY, 10022, USA","16","EAST   52 STREET","Clothing/Personal Accessories, Footwear","Clothing/Personal Accessories, Footwear","Please call ahead to ensure that your donation can be accepted. Professional clothing only.",,"Monday 09:00 AM-05:30 PM, Tuesday 09:00 AM-05:30 PM, Wednesday 09:00 AM-05:30 PM, Thursday 09:00 AM-05:30 PM, Friday Closed, Saturday Closed, Sunday Closed","http://www.bottomlesscloset.org/","(212) 563-2499","info@bottomlesscloset.org","Partner","105","04","102","1012870058","1035475","40.75915","-73.97534","018","POINT (-73.975339999942 40.7591499997759)"
"MANHATTAN","Battery Park City-Lower Manhattan","Center for Hearing and Communicaiton","50 Broadway, New York, NY, USA","50","BROADWAY","HealthCare",,"Walk-in donations of used Hearing Aids welcome, can also mail. Need Name and Address for tax receipt. Mail address: Center for Hearing and Communication, Donation 50 Broadway floor 6 10004",,"Monday 09:00 AM-05:00 PM, Tuesday 09:00 AM-05:00 PM, Wednesday 09:00 AM-05:00 PM, Thursday 09:00 AM-05:00 PM, Friday 09:00 AM-05:00 PM, Saturday Closed, Sunday Closed","http://chchearing.org/","(917) 305-7921","twilliams@chchearing.org",,"101","01","9","1000220024","1000813","40.706349","-74.012522","001","POINT (-74.0125219995916 40.7063490002095)"
"MANHATTAN","Lincoln Square","Westside Records","233 West 72nd Street, New York, NY 10023, USA","233","WEST   72 STREET",,"Books/Media",,,"Monday 11:00 AM-6:00 PM, Tuesday 11:00 AM-6:00 PM, Wednesday 11:00 AM-6:00 PM, Thursday 11:00 AM-6:00 PM, Friday 11:00 AM-6:00 PM, Saturday 11:00 AM-6:00 PM, Sunday 12:00 PM-06:00 PM","http://www.westsiderbooks.com/recordstore.html","(212) 874-1588","records@westsiderbooks.com",,"107","06","159","1011640019","1030516","40.779333","-73.982693","020","POINT (-73.9826929999829 40.7793329997214)"
"MANHATTAN","Midtown-Midtown South","The Alliance for Positive Change","64 West 35th Street, New York, NY 10001, USA","64","WEST   35 STREET","Clothing/Personal Accessories, Footwear, Personal Care/Hygiene",,"We accept new or gently worn clothing, shoes, and unopened toiletries that will stock ""hygiene kits"".",,"Monday 09:00 AM-05:00 PM, Tuesday 09:00 AM-05:00 PM, Wednesday 09:00 AM-05:00 PM, Thursday 09:00 AM-05:00 PM, Friday 09:00 AM-05:00 PM, Saturday Closed, Sunday Closed","http://alliance.nyc/","(212) 645-0875","ebony@alliance.nyc",,"105","04","76","1008360007","1015868","40.749979","-73.986751","014","POINT (-73.9867510000596 40.7499790004337)"
"MANHATTAN","Manhattanville","African Services Committee","429 W 127th St, New York, NY 10027, USA","429","WEST  127 STREET","Clothing/Personal Accessories, Food/Beverage, Footwear, Baby Care, Personal Care/Hygiene","Clothing/Personal Accessories, Food/Beverage, Footwear, Baby Care, Personal Care/Hygiene","Also accepts toiletries, personal hygiene, diapers, tampons, toothbrushes and NEW clothing.  Call anytime to arrange for donation drop-off. Pantry is open M-F 9am-5pm, initial referral required.",,"Monday 09:00 PM-05:00 PM, Tuesday 09:00 AM-05:00 PM, Wednesday 09:00 AM-05:00 PM, Thursday 09:00 AM-05:00 PM, Friday 09:00 AM-05:00 PM, Saturday Closed, Sunday Closed","http://www.africanservices.org/","(212) 222-3882","info@africanservices.org",,"109","07","21303","1019670060","1084104","40.813453","-73.954456","026","POINT (-73.9544560000453 40.813453000259)"
"BROOKLYN","North Side-South Side","Main Drag Music","330 Wythe Avenue, Brooklyn, NY 11249, USA","330","WYTHE AVENUE",,"Musical Instruments",,,"Monday 12:00 PM-08:00 PM, Tuesday 12:00 PM-08:00 PM, Wednesday 12:00 PM-08:00 PM, Thursday 12:00 PM-08:00 PM, Friday 12:00 PM-08:00 PM, Saturday 12:00 PM-08:00 PM, Sunday 12:00 PM-07:00 PM","http://maindragmusic.com","(718) 388-6365","info@maindragmusic.com",,"301","33","551","3024037501","3062888","40.714899","-73.965062","090","POINT (-73.9650619999123 40.7148989996923)"
"BROOKLYN","Canarsie","RCCG International Center Brooklyn","781 E 93rd St, Brooklyn, NY 11236, USA","781","EAST   93 STREET","Food/Beverage","Food/Beverage","Food pantry Tues-Friday 9am-4pm. Sat by appointment only. SAT food pantry 1-3pm. Call ahead for drop-off.",,"Monday Closed, Tuesday 09:00 AM-04:00 PM, Wednesday 09:00 AM-04:00 PM, Thursday 09:00 AM-04:00 PM, Friday 09:00 AM-04:00 PM, Saturday 01:00 PM-03:00 PM, Sunday Closed",,"(347) 955-4403","info@rccgbrooklyn.org",,"317","42","960","3081190047","3325406","40.649243","-73.911824","067","POINT (-73.9118239999786 40.6492429999677)"
"BROOKLYN","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill","The Bike Truck","216 Hoyt Street, Brooklyn, NY 11217, USA","216","HOYT STREET","Sports Equipment","Sports Equipment","Will pick up on an case by case basis--call to discuss.",,"Monday 12:00 PM-08:00 PM, Tuesday 12:00 PM-08:00 PM, Wednesday 12:00 PM-08:00 PM, Thursday 12:00 PM-08:00 PM, Friday 12:00 PM-08:00 PM, Saturday 12:00 PM-08:00 PM, Sunday 12:00 PM-06:00 PM","http://www.thebiketruck.com/","(718) 596-3999","info@thebiketruck.com",,"306","33","69","3004030033","3341589","40.68374","-73.98995","076","POINT (-73.9899500000934 40.6837399999043)"
"BROOKLYN","Bushwick South","Beacon's Closet","23, Bogart St, New York, NY, 11206, USA","23","BOGART STREET",,"Clothing/Personal Accessories, Footwear","We buy, sell, and trade vintage and modern clothing, shoes and accessories, with the public. We buy 7 days a week with no appointments, walk on in.  Our buying counter closes 1/2 hour before store closing.",,"Friday 11:00 AM-08:00 PM, Thursday 11:00 AM-08:00 PM, Monday 11:00 AM-08:00 PM, Tuesday 11:00 AM-08:00 PM, Wednesday 11:00 AM-08:00 PM, Saturday 11:00 AM-08:00 PM, Sunday 11:00 AM-08:00 PM","http://beaconscloset.com","(718) 417-5683","service@beaconscloset.com",,"301","34","485","3031180017","3071586","40.704046","-73.933297","090","POINT (-73.9332970000575 40.704046000126)"
"BROOKLYN","North Side-South Side","Arbor Vitae Vintage Clothing","309 Bedford Ave, Brooklyn, NY 11211, USA","309","BEDFORD AVENUE",,"Clothing/Personal Accessories, Footwear",,,"Monday 12:00 PM-08:00 PM, Tuesday 12:00 PM-08:00 PM, Wednesday 12:00 PM-08:00 PM, Thursday 12:00 PM-08:00 PM, Friday 10:00 AM-09:00 PM, Saturday 10:00 AM-09:00 PM, Sunday 12:00 PM-08:00 PM","http://arborvitaevintage.com/","(864) 663-3463","arborvitaevintage@gmail.com",,"301","34","551","3024060001","3321275","40.71336","-73.961842","090","POINT (-73.9618419998094 40.7133599997674)"
"BROOKLYN","East Flatbush-Farragut","God's Battalion of Prayer","661 Linden Boulevard, Brooklyn, NY 11203, USA","661","LINDEN BOULEVARD","Food/Beverage","Food/Beverage","No expired foods. Drop-off during open hours.",,"Monday Closed, Tuesday 09:00 AM-01:00 PM, Wednesday Closed, Thursday 09:00 AM-01:00 PM, Friday Closed, Saturday Closed, Sunday Closed",,"(718) 774-5447","lcockfield@battalionministries.org",,"317","41","870","3048670025","3108481","40.653916","-73.933916","067","POINT (-73.9339159998245 40.6539159996269)"
"QUEENS","Woodside","Habitat NYC ReStore","62-01 Northern Blvd, Flushing, NY 11377, USA","62-01","NORTHERN BOULEVARD","Automotive, Building Products, Appliances, Household Furniture/Furnishings, Kitchen Items, Office Furniture/Furnishings, Camping/Outdoor Equipment, Lawn/Garden Supplies, Tools/Equipment","Building Products, Appliances, Household Furniture/Furnishings, Kitchen Items, Office Furniture/Furnishings, Camping/Outdoor Equipment, Lawn/Garden Supplies, Tools/Equipment","Pick-up on case-by-case basis. To donate, please submit photos of the donation item/items to restore@habitatnyc.org. See https://habitatnyc.org/restore/restore-donate/ for more information.","Pickup","Monday 10:00 AM-6:00 PM, Tuesday 10:00 AM-6:00 PM, Wednesday 10:00 AM-6:00 PM, Thursday 10:00 AM-6:00 PM, Friday 10:00 AM-6:00 PM, Saturday 10:00 AM-07:00 PM, Sunday 12:00 PM-06:00 PM","https://habitatnyc.org/restore","(646) 779-8852","Restore@habitatnyc.org","Partner","401","26","297","4011630074","4026208","40.754373","-73.900112","114","POINT (-73.9001120003695 40.7543729998173)"
