"application_id","license_number","license_type","application_or_renewal","business_name","status","start_date","end_date","temp_op_letter_issued","temp_op_letter_expiration","license_category","application_category","building_number","street","street_2","unit_type","unit","description","city","state","zip","contact_phone","longitude","latitude","active_vehicles"
"1691-2020-ALAU","2095700-DCA","Business","Application","MYINT CLEANER LLC","Issued","2020-02-23T00:00:00.000","2020-04-24T00:00:00.000",,,"Laundries","Basic","16418","69TH AVE",,,,,"FLUSHING","NY","11365","9179690183","-73.804646","40.7330751",
"3741-2020-RSLS","2033704-DCA","Business","Renewal","PREMIUM HALAL MEAT & FISH, INC","Issued","2020-02-23T00:00:00.000","2020-02-25T00:00:00.000",,,"Stoop Line Stand","Basic","1500","OLMSTEAD AVE",,,,,"BRONX","NY","10462","718-863-0529","-73.85515","40.8362448",
"3742-2020-RNWS","1244695-DCA","Business","Renewal","MILLER, ARNOLD","Issued","2020-02-23T00:00:00.000","2020-02-25T00:00:00.000",,,"Newsstand","Special","S/E/C","WEST   57 STREET","8 AVENUE",,,,"NEW YORK","NY","10019","7328635043","-73.982877","40.7667145",
"1689-2020-ALAU","2095179-DCA","Business","Application","631 WASH LOAD LLC","Issued","2020-02-23T00:00:00.000","2020-03-09T00:00:00.000",,,"Laundries","Basic","631","ACADEMY ST",,,,,"NEW YORK","NY","10034","9179092922","-73.924466","40.8655147",
"1693-2020-AECD","2095731-1-DCA","Business","Application","HOMETOWN VILLAGE CONVENIENCE CORP","Issued","2020-02-24T00:00:00.000","2020-05-14T00:00:00.000",,,"Electronic Cigarette Dealer","Basic","18","SAINT MARKS PL",,,,,"NEW YORK","NY","10003","3479560401","-73.988836","40.7290875",
"3757-2020-RSWC","2014465-DCA","Business","Renewal","PATRICIAS MORRIS PARK CORP.","Pending","2020-02-24T00:00:00.000","2020-05-28T00:00:00.000","2020-05-28","07/09/2020","Sidewalk Cafe","Special","1082","MORRIS PARK AVE",,,,,"BRONX","NY","10461","7184901963","-73.853538","40.8493158",
"3758-2020-RSWC","1221041-DCA","Business","Renewal","LEAHLALA, LLC","Pending","2020-02-24T00:00:00.000","2020-05-29T00:00:00.000","2020-05-29","06/29/2020","Sidewalk Cafe","Special","442","COURT ST",,,,,"BROOKLYN","NY","11231","7185226900","-73.997562","40.6789329",
"3745-2020-RSWC","1172157-DCA","Business","Renewal","E. A. T. IS OWNED BY ELI ZABAR, INC.","Issued","2020-02-24T00:00:00.000","2020-02-24T00:00:00.000",,,"Sidewalk Cafe","Special","1064","MADISON AVE",,,,,"NEW YORK","NY","10028","2127722011","-73.961366","40.7773781",
"3791-2020-RSSB","1413726-DCA","Business","Renewal","GO NEWYORK TOURS INC","Issued","2020-02-24T00:00:00.000","2020-06-05T00:00:00.000",,,"Sightseeing Bus","Special","2","E 42ND ST",,,,,"NEW YORK","NY","10017","2126640300","-73.980653","40.753372",
"3775-2020-RSLS","2069326-DCA","Business","Renewal","DELITERIA 1061 INC","Issued","2020-02-24T00:00:00.000","2020-02-25T00:00:00.000",,,"Stoop Line Stand","Basic","1061","2ND AVE",,,,,"NEW YORK","NY","10022","917-806-5671","-73.965863","40.7585424",
