"program_type","program","site_name","borough_community","agency","contact_number","grade_level_age_group","location_1","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta"
"After-School Programs","Beacon","IS 49","Staten Island","Jewish Community Center of Staten Island","718.556.1565","6 and up",,,,,,,,,,
"After-School Programs,Jobs & Internships,Youth Employment","In-School Youth Employment (ISY)","Intermediate School 217 - Rafael Hernandez School","Bronx","Simpson Street Development Association, Inc.","718.589.1510","High School",,,,,,,,,,
"After-School Programs","Out of School Time","Building T 149","Queens","Rockaway Artist Alliance, Inc.","(718) 474-0861","Elem/MS",,,,,,,,,,
"Reading & Writing,NDA Programs,Family Literacy","Adolescent Literacy","K 533- School for Democracy and Leadership 600 Kingston Avenue","Brooklyn","CAMBA","718.282.5575","grades 6 to 8",,,,,,,,,,
"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","Voyagees Prepatory High School","Queens","Central Brooklyn Economic Development Corporation","(718) 592-5757"," High School",,,,,,,,,,
"Family Support,NDA Programs"," Housing","AIDS Center of Queens County Jamaica Site","Queens","St. Luke A.M.E Church","(718) 896-2500","Adults",,,,,,,,,,
"Immigration Services,Immigrant Support Services","Domestic Violence Program","Jewish Board of Family and Children Services (JBFCS)-Genesis","Manhattan","New York Legal Assistance Group (NYLAG)","212.613.5098","Adult",,,,,,,,,,
"Immigration Services,Immigrant Support Services","Domestic Violence Program","Jewish Board of Family and Children Services - Horizons","Brooklyn","New York Legal Assistance Group (NYLAG)","212.613.5098","Adult",,,,,,,,,,
"Immigration Services,Immigrant Support Services","Legal Assistance Program","Safe Horizon - Immigration Law Project","Manhattan,Bronx,Queens,Staten Island, Brooklyn","Safe Horizon, Inc.",,"All Ages",,,,,,,,,,
"Runaway & Homeless Youth","Transitional Independent Living (TIL)","Good Shepherd Services","Manhattan","Good Shepherd Services","646.485.6900",,,,,,,,,,,
"Runaway & Homeless Youth","Transitional Independent Living (TIL)","Green Chimneys","Manhattan","Green Chimneys","212.491.5911 ext. 13",,,,,,,,,,,
