"parid","borocode","block","lot","taxyear","street_num","street_name","postcode","bldg_class","taxclass","owner_name","borough","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"1000080039","1","8","39","2021","32","PEARL STREET","10004","H3","4","32 PEARL, LLC","MANHATTAN","40.703235","-74.012421","101","1","9","1078968","1000080039","Battery Park City-Lower Manhattan"
"1000080051","1","8","51","2021","6","WATER STREET","10004","H2","4","AI IV LLC","MANHATTAN","40.702744","-74.012201","101","1","9","1090472","1000080051","Battery Park City-Lower Manhattan"
"1000100033","1","10","33","2021","8","STONE STREET","10004","H2","4","B.H. 8 STONE STREET AG, LLC","MANHATTAN","40.704025","-74.012638","101","1","9","1087618","1000100033","Battery Park City-Lower Manhattan"
"1000110029","1","11","29","2021","11","STONE STREET","10004","H2","4","PREMIER EMERALD, LLC","MANHATTAN","40.704039","-74.012317","101","1","9","1000041","1000110029","Battery Park City-Lower Manhattan"
"1000161301","1","16","1301","2021","102","NORTH END AVENUE","10282","RH","4","GOLDMAN SACHS","MANHATTAN","40.714812","-74.016153","101","1","31703","1085867","1000167512","Battery Park City-Lower Manhattan"
"1000169002","1","16","9002","2021","2","WEST STREET","10004","RH","4","URBAN COMMONS 2 WEST IV LLC","MANHATTAN","40.705523","-74.01711","101","1","31704","1085789","1000167513","Battery Park City-Lower Manhattan"
"1000190024","1","19","24","2021","50","TRINITY PLACE","10006","HB","4","TRINITY NYC HOTEL, LLC","MANHATTAN","40.707632","-74.013068","101","1","13","1000801","1000190024","Battery Park City-Lower Manhattan"
"1000290043","1","29","43","2021","9","SOUTH WILLIAM STREET","10004","HB","4","SOUTH WILLIAM ST ASSOC","MANHATTAN","40.704703","-74.010398","101","1","9","1000842","1000290043","Battery Park City-Lower Manhattan"
"1000311002","1","31","1002","2021","75","WALL STREET","10005","RH","4","75 WALL HOTEL, LLC","MANHATTAN","40.705486","-74.007874","101","1","7","1085950","1000317501","Battery Park City-Lower Manhattan"
"1000370008","1","37","8","2021","110","WALL STREET","10005","H9","4","110 WALL STREET L.P.","MANHATTAN","40.704638","-74.006694","101","1","7","1000872","1000370008","Battery Park City-Lower Manhattan"
"1000370013","1","37","13","2021","129","FRONT STREET","10005","H3","4","129 FRONT HOTEL LLC","MANHATTAN","40.705187","-74.006369","101","1","7","1000873","1000370013","Battery Park City-Lower Manhattan"
"1000390038","1","39","38","2021","126","WATER STREET","10005","H3","4","HCIN WATER STREET ASSOCIATES, LLC","MANHATTAN","40.705431","-74.007055","101","1","7","1000881","1000390038","Battery Park City-Lower Manhattan"
"1000390041","1","39","41","2021","120","WATER STREET","10005","HB","4","120-122 WATER STREET LLC","MANHATTAN","40.705299","-74.007242","101","1","7","1000000","1000390041","Battery Park City-Lower Manhattan"
"1000400016","1","40","16","2021","52","WILLIAM STREET","10005","H3","4","SCCQ DOWNTOWN LLC","MANHATTAN","40.706773","-74.009143","101","1","7","1001006","1000400016","Battery Park City-Lower Manhattan"
"1000410015","1","41","15","2021","60","PINE STREET","10005","H5","4","GREAT EMPIRE REALTY LLC","MANHATTAN","40.706523","-74.00826","101","1","7","1001008","1000410015","Battery Park City-Lower Manhattan"
"1000411302","1","41","1302","2021","66","PINE STREET","10005","RH","4","UNAVAILABLE OWNER","MANHATTAN","40.7064","-74.008043","101","1","7","1001007","1000417504","Battery Park City-Lower Manhattan"
"1000411303","1","41","1303","2021","66","PINE STREET","10005","RH","4","EBNB 70 PINE OWNER LLC","MANHATTAN","40.7064","-74.008043","101","1","7","1001007","1000417504","Battery Park City-Lower Manhattan"
"1000520008","1","52","8","2021","133","GREENWICH STREET","10006","H2","4","UNION INVESTMENT REAL ESTATE GMBH","MANHATTAN","40.709468","-74.012931","101","1","13","1089248","1000520008","Battery Park City-Lower Manhattan"
"1000530002","1","53","2","2021","99","WASHINGTON STREET","10006","H2","4","GOLDEN SEAHORSE LLC","MANHATTAN","40.708351","-74.014323","101","1","13","1088967","1000530002","Battery Park City-Lower Manhattan"
"1000530037","1","53","37","2021","102","GREENWICH STREET","10006","H8","4","THE KING'S COLLEGE","MANHATTAN","40.708321","-74.01345","101","1","13","1001054","1000530037","Battery Park City-Lower Manhattan"
"1000530038","1","53","38","2021","100","GREENWICH STREET","10006","H2","4","JITEN HOTEL MANAGEMENT SERVICES, INC.","MANHATTAN","40.708263","-74.013475","101","1","13","1090417","1000530038","Battery Park City-Lower Manhattan"
"1000531201","1","53","1201","2021","123","WASHINGTON STREET","10006","RH","4","123 WASHINGTON LLC","MANHATTAN","40.709139","-74.01402","101","1","13","1088442","1000537502","Battery Park City-Lower Manhattan"
"1000550016","1","55","16","2021","80","WEST STREET","10006","H2","4","HMC FINANCIAL CENTER, INC.","MANHATTAN","40.709493","-74.014976","101","1","13","1001061","1000550016","Battery Park City-Lower Manhattan"
"1000560001","1","56","1","2021","140","WASHINGTON STREET","10006","H2","4","130 OWNERS GROUP","MANHATTAN","40.709729","-74.013818","101","1","13","1001063","1000560001","Battery Park City-Lower Manhattan"
"1000640001","1","64","1","2021","51","NASSAU STREET","10038","H2","4","HCIN MAIDEN HOTEL ASSOCIATES, LLC","MANHATTAN","40.708931","-74.009035","101","1","1502","1079032","1000640001","Battery Park City-Lower Manhattan"
"1000641102","1","64","1102","2021","170","BROADWAY","10038","RH","4","INN ON BROADWAY US INC.","MANHATTAN","40.709669","-74.010092","101","1","1502","1001088","1000647502","Battery Park City-Lower Manhattan"
"1000650024","1","65","24","2021","24","JOHN STREET","10038","H1","4","WESTBURY REALTY ASSOCIATES,LLC","MANHATTAN","40.709765","-74.008765","101","1","1502","1001105","1000650024","Battery Park City-Lower Manhattan"
"1000651102","1","65","1102","2021","180","BROADWAY","10038","RH","4","180 BROADWAY PROPERTY LLC","MANHATTAN","40.710037","-74.009779","101","1","1502","1001102","1000657502","Battery Park City-Lower Manhattan"
"1000680016","1","68","16","2021","84","WILLIAM STREET","10038","HS","4","84 WILLIAM STREET PROPERTY OWNER LLC","MANHATTAN","40.708028","-74.007939","101","1","1502","1001113","1000680016","Battery Park City-Lower Manhattan"
"1000680028","1","68","28","2021","15","GOLD STREET","10038","HB","4","GILD HALL LLC","MANHATTAN","40.707753","-74.006918","101","1","1502","1085948","1000680028","Battery Park City-Lower Manhattan"
"1000690001","1","69","1","2021","215","PEARL STREET","10038","H2","4","LAM PEARL STREET HOTEL LLC","MANHATTAN","40.707086","-74.006243","101","1","1502","1000000","1000690001","Battery Park City-Lower Manhattan"
"1000690030","1","69","30","2021","4","PLATT STREET","10038","H3","4","LAM PLATT STREET HOTEL LLC","MANHATTAN","40.707704","-74.006644","101","1","1502","1089243","1000690030","Battery Park City-Lower Manhattan"
"1000720007","1","72","7","2021","151","MAIDEN LANE","10038","H2","4","151 MAIDEN LLC","MANHATTAN","40.705714","-74.005399","101","1","1502","1082759","1000720007","Battery Park City-Lower Manhattan"
"1000720012","1","72","12","2021","161","FRONT STREET","10038","H2","4","SEAPORT HEIGHTS LLC","MANHATTAN","40.706051","-74.0051","101","1","1502","1089746","1000720012","Battery Park City-Lower Manhattan"
