"appeal_type","appeal_subtype","agency","status_flag","date_filed","date_closed","exam_no","title","expiration","extension","acronym"
"Jurisdictional Issue",,"Transit Authority - NYCTA","Closed","2018-12-24T00:00:00.000","2018-12-27T00:00:00.000",,,,,"NYCTA"
"Other",,"Police Department - NYPD","Closed","2018-12-21T00:00:00.000","2018-12-21T00:00:00.000",,,,,"NYPD"
"Jurisdictional Issue",,"Transit Authority - NYCTA","Closed","2018-12-18T00:00:00.000","2018-12-24T00:00:00.000",,,,,"NYCTA"
"Jurisdictional Issue",,"Transit Authority - NYCTA","Closed","2018-12-17T00:00:00.000","2018-12-18T00:00:00.000",,,,,"NYCTA"
"Other",,"Department of Citywide Administrative Services - DCAS","Closed","2018-12-13T00:00:00.000","2018-12-21T00:00:00.000",,,,,"DCAS"
"Section 50","Psych","Police Department - NYPD","Closed","2018-12-06T00:00:00.000","2018-12-12T00:00:00.000","6321","Police Communications Technician","2021-02-01T00:00:00.000",,"NYPD"
"Section 50","Psych","Police Department - NYPD","Closed","2018-12-05T00:00:00.000","2018-12-10T00:00:00.000","5320","Police Officer","2021-06-30T00:00:00.000",,"NYPD"
"Jurisdictional Issue",,"Department of Citywide Administrative Services - DCAS","Closed","2018-12-04T00:00:00.000","2018-12-05T00:00:00.000",,,,,"DCAS"
"Other",,"Civil Service Commission - NYCCSC","Closed","2018-12-03T00:00:00.000","2018-12-03T00:00:00.000",,,,,"NYCCSC"
"Section 50","Veterans Credits","Department of Citywide Administrative Services - DCAS","Closed","2018-11-30T00:00:00.000","2018-12-24T00:00:00.000","5001","Sanitation Worker","2020-03-16T00:00:00.000",,"DCAS"
"Section 76","Termination","Police Department - NYPD","Closed","2018-11-29T00:00:00.000","2018-12-04T00:00:00.000",,,,,"NYPD"
"Section 50","Psych","Police Department - NYPD","Closed","2018-11-28T00:00:00.000","2018-12-14T00:00:00.000","7323","Police Officer","2021-12-13T00:00:00.000",,"NYPD"
"Section 50","Psych","Department of Correction - DOC","Closed","2018-11-28T00:00:00.000","2018-12-24T00:00:00.000","7320","Correction Officer","2021-01-11T00:00:00.000",,"DOC"
"Jurisdictional Issue",,"Department of Citywide Administrative Services - DCAS","Closed","2018-11-24T00:00:00.000","2018-11-26T00:00:00.000",,,,,"DCAS"
"Section 50","Character","Department of Correction - DOC","Closed","2018-11-23T00:00:00.000","2018-12-13T00:00:00.000","8308","Correction Officer","2022-01-31T00:00:00.000",,"DOC"
"Section 50","Character","Police Department - NYPD","Closed","2018-11-20T00:00:00.000","2018-12-06T00:00:00.000","3313","Police Officer","2019-09-24T00:00:00.000",,"NYPD"
"Section 50","Character","Police Department - NYPD","Closed","2018-11-10T00:00:00.000","2018-11-29T00:00:00.000","6312","School Safety Agent","2020-11-23T00:00:00.000",,"NYPD"
"Waiting for DQ",,"Department of Citywide Administrative Services - DCAS","Closed","2018-11-03T00:00:00.000","2018-12-18T00:00:00.000",,,,,"DCAS"
"Section 50","Psych","Police Department - NYPD","Closed","2018-11-01T00:00:00.000","2018-11-08T00:00:00.000","6302","School Safety Agent","2020-10-19T00:00:00.000",,"NYPD"
"Waiting for DQ",,"Department of Citywide Administrative Services - DCAS","Closed","2018-10-30T00:00:00.000","2018-12-18T00:00:00.000",,,,,"DCAS"
"Waiting for DQ",,"Department of Citywide Administrative Services - DCAS","Closed","2018-10-29T00:00:00.000","2018-12-18T00:00:00.000",,,,,"DCAS"
"Waiting for DQ",,"Department of Citywide Administrative Services - DCAS","Closed","2018-10-29T00:00:00.000","2018-12-18T00:00:00.000",,,,,"DCAS"
"Waiting for Appeal Request",,"Fire Department - FDNY","Closed","2018-10-25T00:00:00.000","2018-12-18T00:00:00.000",,,,,"FDNY"
"Waiting for DQ",,"Department of Citywide Administrative Services - DCAS","Closed","2018-10-24T00:00:00.000","2018-12-18T00:00:00.000",,,,,"DCAS"
"Waiting for DQ",,"Department of Citywide Administrative Services - DCAS","Closed","2018-10-24T00:00:00.000","2018-12-18T00:00:00.000",,,,,"DCAS"
"Section 50","Psych","Police Department - NYPD","Closed","2018-10-23T00:00:00.000","2018-11-28T00:00:00.000","4330","School Safety Agent","2020-04-29T00:00:00.000",,"NYPD"
"Section 50","Psych","Police Department - NYPD","Closed","2018-10-22T00:00:00.000","2018-12-18T00:00:00.000","3314","Police Officer","2019-12-09T00:00:00.000",,"NYPD"
"Section 50","Psych","Police Department - NYPD","Closed","2018-10-15T00:00:00.000","2018-11-15T00:00:00.000","4306","Police officer","2019-12-23T00:00:00.000",,"NYPD"
"Section 50","Psych","Police Department - NYPD","Closed","2018-10-12T00:00:00.000","2018-11-05T00:00:00.000","5329","Police Officer","2021-07-07T00:00:00.000",,"NYPD"
"Section 50","Character","Police Department - NYPD","Closed","2018-10-11T00:00:00.000","2018-12-18T00:00:00.000","7323","Police Officer","2021-12-13T00:00:00.000",,"NYPD"
"Section 50","Psych","Police Department - NYPD","Closed","2018-10-11T00:00:00.000","2018-10-29T00:00:00.000","7314","School Safety Agent","2022-03-08T00:00:00.000",,"NYPD"
"Section 50","Timeliness","Department of Citywide Administrative Services - DCAS","Closed","2018-10-10T00:00:00.000","2018-12-14T00:00:00.000","7019","Procurement Analyst","2022-08-29T00:00:00.000",,"DCAS"
"Section 50","Medical","Department of Correction - DOC","Closed","2018-10-10T00:00:00.000","2018-10-29T00:00:00.000","8309","Correction Officer","2022-06-06T00:00:00.000",,"DOC"
"Section 50","Character","Transit Authority - NYCTA","Closed","2018-10-10T00:00:00.000","2018-12-13T00:00:00.000","3600","Track Worker","2018-12-17T00:00:00.000",,"NYCTA"
"Section 50","Psych","Police Department - NYPD","Closed","2018-10-09T00:00:00.000","2018-11-05T00:00:00.000","5300","Police Officer","2021-03-01T00:00:00.000",,"NYPD"
"Waiting for DQ",,"Department of Citywide Administrative Services - DCAS","Closed","2018-10-09T00:00:00.000","2018-10-23T00:00:00.000",,,,,"DCAS"
"Section 50","Score","Department of Citywide Administrative Services - DCAS","Closed","2018-10-05T00:00:00.000","2018-11-29T00:00:00.000","7005","Computer Specialist (Software)","2022-05-16T00:00:00.000",,"DCAS"
"Section 50","Score","Transit Authority - NYCTA","Closed","2018-10-05T00:00:00.000","2018-11-30T00:00:00.000","6718","Maintenance Supervisor (Car Equipment)","2022-09-12T00:00:00.000",,"NYCTA"
