"county","year","totalpopulation"
"Adams","2020","5739"
"Adams","2020","7058"
"Adams","2020","46"
"Adams","2020","5811"
"Adams","2020","7722"
"Adams","2020","7802"
"Adams","2020","7224"
"Adams","2020","1313"
"Adams","2020","150"
"Adams","2020","7024"
"Adams","2020","7428"
"Adams","2020","7259"
"Adams","2020","7611"
"Adams","2020","5536"
"Adams","2020","531"
"Adams","2020","3318"
"Adams","2020","7777"
"Adams","2020","7244"
"Adams","2020","1026"
"Adams","2020","6854"
"Adams","2020","2079"
"Adams","2020","3159"
"Adams","2020","5539"
"Adams","2020","7449"
"Adams","2020","9000"
"Adams","2020","9152"
"Adams","2020","9126"
"Adams","2020","36"
"Adams","2020","7247"
"Adams","2020","654"
"Adams","2020","328"
"Adams","2020","6996"
"Adams","2020","7112"
"Adams","2020","6902"
"Adams","2020","1593"
"Adams","2020","7008"
"Adams","2020","7096"
"Adams","2020","8209"
"Adams","2020","4187"
"Adams","2020","805"
"Adams","2020","6676"
"Adams","2020","455"
"Adams","2020","379"
"Adams","2020","5788"
"Adams","2020","4914"
"Adams","2020","5668"
"Adams","2020","79"
"Adams","2020","9179"
"Adams","2020","3626"
"Adams","2020","8621"
"Adams","2020","1806"
"Adams","2020","6902"
"Adams","2020","6704"
"Adams","2020","7182"
"Adams","2020","243"
"Adams","2020","6558"
"Adams","2020","7365"
"Adams","2020","7924"
"Adams","2020","190"
"Adams","2020","4015"
"Adams","2020","6838"
"Adams","2020","915"
"Adams","2020","5143"
"Adams","2020","8041"
"Adams","2020","3495"
"Adams","2020","7302"
"Adams","2020","1234"
"Adams","2020","7794"
"Adams","2020","4439"
"Adams","2020","6607"
"Adams","2020","7609"
"Adams","2020","5771"
"Adams","2020","8612"
"Adams","2020","1439"
"Adams","2020","4604"
"Adams","2020","9227"
"Adams","2020","724"
"Adams","2020","7071"
"Adams","2020","2447"
"Adams","2020","7693"
"Adams","2020","6190"
"Adams","2020","5615"
"Adams","2020","7686"
"Adams","2020","6654"
"Adams","2020","5351"
"Adams","2020","8971"
"Adams","2020","3779"
"Adams","2020","2239"
"Adams","2020","7501"
"Adams","2020","3351"
"Adams","2020","57"
"Adams","2020","6845"
"Adams","2020","6491"
"Adams","2020","5769"
"Adams","2020","6969"
"Adams","2020","104"
"Adams","2020","7672"
"Adams","2020","2024"
"Adams","2020","7092"
"Adams","2020","1121"
"Adams","2020","9166"
"Alamosa","2020","225"
"Alamosa","2020","37"
"Alamosa","2020","14"
"Alamosa","2020","199"
"Alamosa","2020","14"
"Alamosa","2020","3"
"Alamosa","2020","3"
"Alamosa","2020","57"
"Alamosa","2020","207"
"Alamosa","2020","154"
"Alamosa","2020","135"
"Alamosa","2020","240"
"Alamosa","2020","197"
"Alamosa","2020","204"
"Alamosa","2020","59"
"Alamosa","2020","208"
"Alamosa","2020","165"
"Alamosa","2020","181"
"Alamosa","2020","327"
"Alamosa","2020","67"
"Alamosa","2020","460"
"Alamosa","2020","181"
"Alamosa","2020","250"
"Alamosa","2020","190"
"Alamosa","2020","250"
"Alamosa","2020","203"
"Alamosa","2020","221"
"Alamosa","2020","194"
"Alamosa","2020","174"
"Alamosa","2020","171"
"Alamosa","2020","142"
"Alamosa","2020","286"
"Alamosa","2020","263"
"Alamosa","2020","123"
"Alamosa","2020","183"
"Alamosa","2020","6"
