WDID,Structure Name,Structure Type,Water Source,GNIS ID,Stream Mile,DIV,WD,County,Q10,Q40,Q160,Section,Township,Range,PM,CoordsEW,CoordsEW Dir,CoordsNS,CoordsNS Dir,UTM x,UTM y,Latitude,Longitude,Location Accuracy,Adjudication Date,Previous Adj Date,Appropriation Date,Admin No,Order No,Priority No,Associated Case Numbers,Decreed Uses,Net Absolute,Net Conditional,Net APEX Absolute,Net APEX Conditional,Decreed Units,Seasonal Limits,Comments,Modified,More Information,Location,Counties
0600593,SOUTH BOULDER CANON DITCH,Ditch,SOUTH BOULDER CREEK,00180974,4.80,1,6,BOULDER,SE,SE,SE,9,1.0 S,70.0 W,S,,,,,480936.0,4424722.0,39.972445,-105.223258,GPS,06/02/1882,,04/01/1865,5570.00000,0,,"82CW0052, 80CW0468",12345678Q,0.6500,0.0000,2.2160,0.0000,C,No,"TFR FM COTTONWOOD NO 1 D 08/29/1983 TOWN OF ERIE TFR, ALT PT TO COTTONWOOD D 90CW108",10/18/2019 12:05:00 PM,https://dwr.state.co.us/Tools/WaterRights/NetAmounts/1487037,"(39.972445, -105.223258)",85
0600650,GOODHUE DITCH,Ditch,SOUTH BOULDER CREEK,00180974,6.92,1,6,BOULDER,SE,SE,NE,20,1.0 S,70.0 W,S,,,,,479319.0,4422352.0,39.951053,-105.242118,GPS,03/13/1907,04/10/1905,12/01/1873,20188.08736,0,,CA4842,0,24.0000,0.0000,0.0000,0.0000,C,No,455 STORAGE IN GOODHUE RES NO 1,09/21/2020 02:28:00 PM,https://dwr.state.co.us/Tools/WaterRights/NetAmounts/1696834,"(39.951053, -105.242118)",85
0602105,HEART LAKE MIN LEVEL,Reservoir,SOUTH BOULDER CREEK,00180974,39.98,1,6,GILPIN,SE,SW,NE,17,2.0 S,74.0 W,S,,,,,440711.0,4414219.0,39.875956,-105.693333,Digitized,12/31/1976,12/31/1975,03/17/1976,46097.00000,0,,W8351,M,501.1000,0.0000,0.0000,0.0000,A,No,,02/13/2013 08:12:00 AM,https://dwr.state.co.us/Tools/WaterRights/NetAmounts/1487865,"(39.875956, -105.693333)",89
0600588,S BOULDER BEAR CR DITCH,Ditch,SOUTH BOULDER CREEK,00180974,6.74,1,6,BOULDER,NE,SE,NE,20,1.0 S,70.0 W,S,,,,,479356.5,4422610.6,39.953388,-105.241693,GPS,03/13/1907,,09/01/1881,11567.00000,0,,85CW0119,12568W,0.0000,0.0000,15.0000,0.0000,C,No,ALT PT TO HENRY WANEKA R LAFAYETTE TFR LTD 1.5AF,09/21/2020 02:25:00 PM,https://dwr.state.co.us/Tools/WaterRights/NetAmounts/1696699,"(39.953388, -105.241693)",85
0600929,HUNTER/HINE DITCH,Ditch,SOUTH BOULDER CREEK,00180974,2.39,1,6,BOULDER,SW,NW,SE,34,1.0 N,70.0 W,S,,,,,481577.9,4428216.9,40.003948,-105.215839,GPS,06/02/1882,,05/01/1860,3774.00000,0,,92CW0076,1,0.0076,0.0000,0.0000,0.0000,C,No,TFR FM JONES DONNELLY 08/23/1994 GAPTER RIPARIAN AUG,06/13/2007 07:58:00 AM,https://dwr.state.co.us/Tools/WaterRights/NetAmounts/1487640,"(40.003948, -105.215839)",85
0600564,COMMUNITY DITCH,Ditch,SOUTH BOULDER CREEK,00180974,9.76,1,6,BOULDER,SW,NE,SE,25,1.0 S,71.0 W,S,,,,,476018.0,4420292.0,39.932406,-105.280686,Digitized,11/03/1907,03/13/1907,06/20/1906,20890.20624,0,,85CW0119,12568W,0.0000,0.0000,15.0000,0.0000,C,No,ALT PT TO HENRY WANEKA R LAFAYETTE TFR LTD 436.3AF,09/21/2020 02:26:00 PM,https://dwr.state.co.us/Tools/WaterRights/NetAmounts/1696750,"(39.932406, -105.280686)",85
0600588,S BOULDER BEAR CR DITCH,Ditch,SOUTH BOULDER CREEK,00180974,6.74,1,6,BOULDER,NE,SE,NE,20,1.0 S,70.0 W,S,,,,,479356.5,4422610.6,39.953388,-105.241693,GPS,06/02/1882,,06/01/1873,8553.00000,0,,"W8348, 85CW0119, 80CW0469",1234568QW,0.0000,0.0000,5.6930,0.0000,C,No,"ALT PT TO GOODHUE D, ALT PT TO GOODHUE D, ALT PT TO GOODHUE D LAFAYETTE TFR LTD 250AF",09/21/2020 02:25:00 PM,https://dwr.state.co.us/Tools/WaterRights/NetAmounts/1696698,"(39.953388, -105.241693)",85
0600567,DAVIDSON DITCH,Ditch,SOUTH BOULDER CREEK,00180974,8.40,1,6,BOULDER,NW,SW,NW,29,1.0 S,70.0 W,S,,,,,477805.0,4420976.0,39.938618,-105.259795,GPS,06/02/1882,,04/01/1865,5570.00000,0,,"85CW0119, 80CW0468",1234568QW,0.0000,0.0000,3.3815,0.0000,C,No,"ALT PT TO COTTONWOOD D 90CW108, ALT PT TO COTTONWOOD NO 1 D LAFAYETTE TFR LTD 226AF",09/21/2020 02:26:00 PM,https://dwr.state.co.us/Tools/WaterRights/NetAmounts/1696768,"(39.938618, -105.259795)",85
0600564,COMMUNITY DITCH,Ditch,SOUTH BOULDER CREEK,00180974,9.76,1,6,BOULDER,SW,NE,SE,25,1.0 S,71.0 W,S,,,,,476018.0,4420292.0,39.932406,-105.280686,Digitized,03/13/1907,,10/01/1897,17441.00000,0,,85CW0119,12568W,0.0000,0.0000,15.0000,0.0000,C,No,ALT PT TO HENRY WANEKA R LAFAYETTE TFR LTD 172.2AF,09/21/2020 02:26:00 PM,https://dwr.state.co.us/Tools/WaterRights/NetAmounts/1696738,"(39.932406, -105.280686)",85
0600570,DRY CREEK NO 2 DITCH,Ditch,SOUTH BOULDER CREEK,00180974,6.48,1,6,BOULDER,SE,NW,NW,21,1.0 S,70.0 W,S,,,,,479658.0,4422843.0,39.955486,-105.238165,Digitized,03/13/1907,,10/01/1897,17441.00000,0,,85CW0119,12568W,0.0000,0.0000,15.0000,0.0000,C,No,ALT PT TO HENRY WANEKA R LAFAYETTE TFR LTD 172.2AF,09/21/2020 02:27:00 PM,https://dwr.state.co.us/Tools/WaterRights/NetAmounts/1696807,"(39.955486, -105.238165)",85
