"loanrange","businessname","address","city","state","zip","naicscode","businesstype","raceethnicity","gender","veteran","nonprofit","jobsretained","dateapproved","lender","cd","loanamount"
"a $5-10 million","1888 INDUSTRIAL SERVICES LLC","800 8th Ave Ste 301","GREELEY","CO","80631","213112","Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered",,"250","6/26/2020","Bank of Colorado","CO - 04",
"a $5-10 million","4 RIVERS EQUIPMENT LLC","924 11TH ST","GREELEY","CO","80631","453998","Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered",,"444","4/10/2020","Atlantic Union Bank","CO - 04",
"a $5-10 million","ADVISORS ASSET MANAGEMENT, INC","18925 Base Camp Road","MONUMENT","CO","80132","523110","Corporation","Unanswered","Unanswered","Unanswered",,"268","4/5/2020","Wintrust Bank, National Association","CO - 04",
"a $5-10 million","ALCOHOL MONITORING SYSTEMS INC.","1241 E Minneral Ave., Suite 200","LITTLETON","CO","80120","423450","Corporation","Unanswered","Unanswered","Unanswered",,"270","4/15/2020","U.S. Bank, National Association","CO - 01",
"a $5-10 million","ALL COPY PRODUCTS, INC.","1635 W 13TH AVE","DENVER","CO","80204","532420","Corporation","White","Male Owned","Non-Veteran",,"408","4/15/2020","OneWest Bank, A Division of","CO - 01",
"a $5-10 million","ALLOSOURCE, INC.","6278 S. Troy Cir","ENGLEWOOD","CO","80111","621991","Non-Profit Organization","Unanswered","Unanswered","Unanswered","Y","457","4/7/2020","Commerce Bank","CO - 01",
"a $5-10 million","ALVARADO CONCEPTS, LLC","924 W. COLFAX AVE","DENVER","CO","80204","722513","Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered",,"500","4/8/2020","Citizens Bank, National Association","CO - 01",
"a $5-10 million","AMAZING CARE HOME HEALTH SERVI","2821 S. PARKER RD Suite 615","AURORA","CO","80014","621610","Corporation","Unanswered","Unanswered","Unanswered",,"479","4/14/2020","First Commonwealth Bank","CO - 01",
"a $5-10 million","AMERICAN FINANCING CORPORATION","3045 S PARKER RD STE 100","AURORA","CO","80014","522292","Corporation","Unanswered","Unanswered","Unanswered",,,"5/3/2020","Wells Fargo Bank, National Association","CO - 01",
"a $5-10 million","APOGEE ENGINEERING LLC","8610 EXPLORER DR","COLORADO SPRINGS","CO","80920","541330","Corporation","Asian","Male Owned","Non-Veteran",,"330","4/7/2020","Farmers & Stockmens Bank","CO - 05",
"a $5-10 million","APPLIANCE FACTORY OUTLET","321 W 84th Ave.","DENVER","CO","80260","532210","Subchapter S Corporation","White","Male Owned","Non-Veteran",,"495","4/15/2020","U.S. Bank, National Association","CO - 07",
"a $5-10 million","ARAPAHOE MENTAL HEALTH CENTER, INC.","116 Inverness Drive East Suite 105","ENGLEWOOD","CO","80112","621112","Non-Profit Organization","Unanswered","Male Owned","Unanswered","Y","459","4/14/2020","AMG National Trust Bank","CO - 04",
