"county","fipscode","year","age","malepopulation","femalepopulation","totalpopulation"
"Adams","1","1990","0","2354","2404","4758"
"Adams","1","1990","1","2345","2375","4720"
"Adams","1","1990","2","2413","2219","4632"
"Adams","1","1990","3","2321","2261","4582"
"Adams","1","1990","4","2433","2302","4735"
"Adams","1","1990","5","2401","2216","4617"
"Adams","1","1990","6","2370","2228","4598"
"Adams","1","1990","7","2436","2276","4712"
"Adams","1","1990","8","2249","2151","4400"
"Adams","1","1990","9","2344","2265","4609"
"Adams","1","1990","10","2196","2119","4315"
"Adams","1","1990","11","2152","1940","4092"
"Adams","1","1990","12","2071","1886","3957"
"Adams","1","1990","13","1988","1886","3874"
"Adams","1","1990","14","1897","1840","3737"
"Adams","1","1990","15","1902","1801","3703"
"Adams","1","1990","16","1829","1747","3576"
"Adams","1","1990","17","1931","1846","3777"
"Adams","1","1990","18","1887","1763","3650"
"Adams","1","1990","19","1985","1926","3911"
"Adams","1","1990","20","1902","1912","3814"
"Adams","1","1990","21","1758","1849","3607"
"Adams","1","1990","22","1714","1862","3576"
"Adams","1","1990","23","1901","2024","3925"
"Adams","1","1990","24","2071","2157","4228"
"Adams","1","1990","25","2243","2407","4650"
"Adams","1","1990","26","2420","2482","4902"
"Adams","1","1990","27","2597","2649","5246"
"Adams","1","1990","28","2587","2566","5153"
"Adams","1","1990","29","2854","2787","5641"
"Adams","1","1990","30","2839","2729","5568"
"Adams","1","1990","31","2793","2653","5446"
"Adams","1","1990","32","2757","2653","5410"
"Adams","1","1990","33","2657","2533","5190"
"Adams","1","1990","34","2654","2567","5221"
"Adams","1","1990","35","2563","2384","4947"
"Adams","1","1990","36","2448","2314","4762"
"Adams","1","1990","37","2442","2283","4725"
"Adams","1","1990","38","2204","2068","4272"
"Adams","1","1990","39","2198","2176","4374"
"Adams","1","1990","40","2085","2056","4141"
"Adams","1","1990","41","2028","2034","4062"
"Adams","1","1990","42","2070","1992","4062"
"Adams","1","1990","43","1952","1995","3947"
"Adams","1","1990","44","1455","1448","2903"
"Adams","1","1990","45","1479","1540","3019"
"Adams","1","1990","46","1460","1467","2927"
"Adams","1","1990","47","1513","1515","3028"
"Adams","1","1990","48","1274","1315","2589"
"Adams","1","1990","49","1242","1375","2617"
"Adams","1","1990","50","1186","1280","2466"
"Adams","1","1990","51","1183","1275","2458"
"Adams","1","1990","52","1146","1289","2435"
"Adams","1","1990","53","1147","1204","2351"
"Adams","1","1990","54","1162","1216","2378"
"Adams","1","1990","55","1103","1201","2304"
"Adams","1","1990","56","1056","1086","2142"
"Adams","1","1990","57","1083","1128","2211"
"Adams","1","1990","58","1032","1043","2075"
"Adams","1","1990","59","1094","1110","2204"
"Adams","1","1990","60","1028","1073","2101"
"Adams","1","1990","61","982","1030","2012"
"Adams","1","1990","62","948","1045","1993"
"Adams","1","1990","63","852","953","1805"
"Adams","1","1990","64","818","934","1752"
"Adams","1","1990","65","771","959","1730"
"Adams","1","1990","66","737","883","1620"
"Adams","1","1990","67","673","854","1527"
"Adams","1","1990","68","696","795","1491"
"Adams","1","1990","69","622","752","1374"
"Adams","1","1990","70","571","627","1198"
"Adams","1","1990","71","496","630","1126"
"Adams","1","1990","72","470","562","1032"
"Adams","1","1990","73","436","551","987"
"Adams","1","1990","74","373","535","908"
"Adams","1","1990","75","328","486","814"
"Adams","1","1990","76","311","431","742"
"Adams","1","1990","77","284","432","716"
"Adams","1","1990","78","233","371","604"
"Adams","1","1990","79","240","354","594"
"Adams","1","1990","80","196","317","513"
"Adams","1","1990","81","172","277","449"
"Adams","1","1990","82","163","249","412"
"Adams","1","1990","83","114","262","376"
"Adams","1","1990","84","96","232","328"
"Adams","1","1990","85","79","185","264"
"Adams","1","1990","86","68","146","214"
"Adams","1","1990","87","57","131","188"
"Adams","1","1990","88","53","112","165"
"Adams","1","1990","89","35","127","162"
"Adams","1","1990","90","144","437","581"
"Adams","1","1991","0","2433","2461","4894"
"Adams","1","1991","1","2424","2426","4850"
"Adams","1","1991","2","2458","2273","4731"
"Adams","1","1991","3","2379","2312","4691"
"Adams","1","1991","4","2482","2344","4826"
"Adams","1","1991","5","2446","2268","4714"
"Adams","1","1991","6","2418","2278","4696"
"Adams","1","1991","7","2477","2334","4811"
"Adams","1","1991","8","2316","2221","4537"
"Adams","1","1991","9","2394","2317","4711"
