"county","fipscode","year","age","malepopulation","femalepopulation","totalpopulation"
"Douglas","35","1990","0","635","600","1235"
"Douglas","35","1990","1","608","602","1210"
"Douglas","35","1990","2","585","594","1179"
"Douglas","35","1990","3","614","539","1153"
"Douglas","35","1990","4","613","562","1175"
"Douglas","35","1990","5","602","579","1181"
"Douglas","35","1990","6","603","559","1162"
"Douglas","35","1990","7","567","547","1114"
"Douglas","35","1990","8","539","512","1051"
"Douglas","35","1990","9","581","531","1112"
"Douglas","35","1990","10","546","526","1072"
"Douglas","35","1990","11","522","482","1004"
"Douglas","35","1990","12","527","487","1014"
"Douglas","35","1990","13","493","450","943"
"Douglas","35","1990","14","476","422","898"
"Douglas","35","1990","15","463","436","899"
"Douglas","35","1990","16","459","386","845"
"Douglas","35","1990","17","450","407","857"
"Douglas","35","1990","18","371","314","685"
"Douglas","35","1990","19","296","273","569"
"Douglas","35","1990","20","236","239","475"
"Douglas","35","1990","21","185","200","385"
"Douglas","35","1990","22","172","214","386"
"Douglas","35","1990","23","187","238","425"
"Douglas","35","1990","24","261","309","570"
"Douglas","35","1990","25","308","399","707"
"Douglas","35","1990","26","373","497","870"
"Douglas","35","1990","27","431","566","997"
"Douglas","35","1990","28","498","619","1117"
"Douglas","35","1990","29","584","702","1286"
"Douglas","35","1990","30","681","749","1430"
"Douglas","35","1990","31","698","752","1450"
"Douglas","35","1990","32","706","776","1482"
"Douglas","35","1990","33","726","750","1476"
"Douglas","35","1990","34","728","769","1497"
"Douglas","35","1990","35","715","774","1489"
"Douglas","35","1990","36","722","707","1429"
"Douglas","35","1990","37","713","721","1434"
"Douglas","35","1990","38","674","712","1386"
"Douglas","35","1990","39","741","736","1477"
"Douglas","35","1990","40","682","683","1365"
"Douglas","35","1990","41","670","666","1336"
"Douglas","35","1990","42","699","699","1398"
"Douglas","35","1990","43","659","623","1282"
"Douglas","35","1990","44","507","461","968"
"Douglas","35","1990","45","493","483","976"
"Douglas","35","1990","46","512","424","936"
"Douglas","35","1990","47","515","414","929"
"Douglas","35","1990","48","395","365","760"
"Douglas","35","1990","49","367","353","720"
"Douglas","35","1990","50","355","314","669"
"Douglas","35","1990","51","317","300","617"
"Douglas","35","1990","52","297","248","545"
