"year","institutionname","institutionlevelid","institutionlevel","institutiontype","taxtype","cobased","division","agedesc","agemin","agemax","gender","ethnicity","studentlevel","degreelevel","residencyid","residency","cip2","cip","programname","recordcount"
"2017","Colorado Mesa University","4","University","Public","Not-for-Profit","Yes","DHE","25-40","25","40","Male","Hispanic","Undergraduate","Certificate","1","In-State","43","43.0107","Criminal Justice/Police Science",
"2017","Community College of Aurora","2","College","Public","Not-for-Profit","Yes","DHE","Over 40","40",,"Male","White, non-Hispanic","Undergraduate","Associate","1","In-State","43","43.0103","Criminal Justice/Law Enforcement Administration",
"2017","University of Colorado Denver","4","University","Public","Not-for-Profit","Yes","DHE","25-40","25","40","Male","Unknown Ethnicity","Graduate","Professional","1","In-State","51","51.1201","Medicine","15"
"2017","Colorado State University","4","University","Public","Not-for-Profit","Yes","DHE","25-40","25","40","Female","More than one race/ethnicity (non-hispanic)","Graduate","Masters","1","In-State","26","26.0406","Cell/Cellular and Molecular Biology",
"2017","Colorado State University","4","University","Public","Not-for-Profit","Yes","DHE","21-24","21","24","Male","Unknown Ethnicity","Undergraduate","Bachelor","2","Out-of-State","14","14.1401","Environmental/Environmental Health Engineering",
"2017","University of Colorado Denver","4","University","Public","Not-for-Profit","Yes","DHE","21-24","21","24","Female","More than one race/ethnicity (non-hispanic)","Undergraduate","Bachelor","1","In-State","45","45.1101","Sociology",
"2017","University of Northern Colorado","4","University","Public","Not-for-Profit","Yes","DHE","25-40","25","40","Female","Non-Resident Alien","Graduate","Doctoral","2","Out-of-State","13","13.1001","Special Education and Teaching, General",
"2017","Colorado State University - Pueblo","4","University","Public","Not-for-Profit","Yes","DHE","25-40","25","40","Female","Unknown Ethnicity","Graduate","Masters","1","In-State","51","51.3801","Registered Nursing/Registered Nurse",
"2017","Colorado State University","4","University","Public","Not-for-Profit","Yes","DHE","25-40","25","40","Female","Hispanic","Undergraduate","Bachelor","1","In-State","30","30.2001","International/Global Studies",
"2017","Lamar Community College","2","College","Public","Not-for-Profit","Yes","DHE","25-40","25","40","Male","Native American or Alaskan Native","Undergraduate","Associate","1","In-State","1","1.0101",,
"2017","University of Colorado Denver","4","University","Public","Not-for-Profit","Yes","DHE","21-24","21","24","Female","More than one race/ethnicity (non-hispanic)","Undergraduate","Bachelor","1","In-State","45","45.1001","Political Science and Government, General",
"2017","Trinidad State Junior College","2","College","Public","Not-for-Profit","Yes","DHE","25-40","25","40","Male","Unknown Ethnicity","Undergraduate","Certificate","1","In-State","52","52.0201","Business Administration and Management, General",
