"town_code","town_name","fiscal_year","previous_fiscal_year_budget","current_fiscal_year_budget","net_dollar_change","net_percent_change","previous_fiscal_year_population","current_fiscal_year_population","net_population_change","net_population_percent_change","certification_date"
"1","Andover","2022","11986213.00","11896099.00","-90114.00","-0.0075181377137216","3151.00","3293.00","142.00","0.04506505871152","2022-02-08T00:00:00.000"
"2","Ansonia","2022","51009402.00","51817522.00","808120.00","0.0158425695717821","18600.00","18500.00","-100.00","-0.00537634408602","2022-01-12T00:00:00.000"
"3","Ashford","2022","14856232.00","14796669.00","-59563.00","-0.0040092938774785","4261.00","4255.00","-6.00","-0.00140812015959","2022-02-02T00:00:00.000"
"4","Avon","2022","72737679.00","74763336.00","2025657.00","0.0278487989697884","18932.00","18932.00","0.00","0.00000000000000","2022-02-03T00:00:00.000"
"5","Barkhamsted","2022","10196642.00","10735444.00","538802.00","0.0528411216163125","3647.00","3647.00","0.00","0.00000000000000","2022-01-20T00:00:00.000"
"6","Beacon Falls","2022","21288068.00","21591670.00","303602.00","0.0142616042000617","6222.00","6049.00","-173.00","-0.02780456444873","2022-01-25T00:00:00.000"
"7","Berlin","2022","69681204.00","71281156.00","1599952.00","0.0229610269076292","20436.00","20154.00","-282.00","-0.01379917792132","2022-01-18T00:00:00.000"
"8","Bethany","2022","20680195.00","21490654.00","810459.00","0.0391901043486292","5600.00","5294.00","-306.00","-0.05464285714286","2022-02-10T00:00:00.000"
"9","Bethel","2022","63235178.00","64365826.00","1130648.00","0.0178800477164783","20401.00","20401.00","0.00","0.00000000000000","2022-02-22T00:00:00.000"
"10","Bethlehem","2022","8433800.00","10537190.00","2103390.00","0.2494000331997440","3433.00","3433.00","0.00","0.00000000000000","2022-02-09T00:00:00.000"
"11","Bloomfield","2022","68584432.00","71382260.00","2797828.00","0.0407939224458402","21535.00","21535.00","0.00","0.00000000000000","2022-02-10T00:00:00.000"
"12","Bolton","2022","21015594.00","20807510.00","-208084.00","-0.0099014094010381","4868.00","4868.00","0.00","0.00000000000000","2022-02-09T00:00:00.000"
"13","Bozrah","2022","5723373.00","6061126.00","337753.00","0.0590129282155820","2600.00","2600.00","0.00","0.00000000000000","2022-02-10T00:00:00.000"
"14","Branford","2022","93382130.00","95435541.00","2053411.00","0.0219893356469809","28094.00","28020.00","-74.00","-0.00263401438029","2022-02-10T00:00:00.000"
"15","Bridgeport","2022","481339499.00","503605028.00","22265529.00","0.0462574317010290","141280.00","148654.00","7374.00","0.05219422423556","2022-01-29T00:00:00.000"
"16","Bridgewater","2022","6942658.00","7091009.00","148351.00","0.0213680408857818","1700.00","1644.00","-56.00","-0.03294117647059","2022-02-02T00:00:00.000"
"17","Bristol","2022","164272978.00","168310298.00","4037320.00","0.0245768966336022","60032.00","59947.00","-85.00","-0.00141591151386","2022-01-26T00:00:00.000"
"18","Brookfield","2022","54340654.00","56142493.00","1801839.00","0.0331582133700489","16973.00","17517.00","544.00","0.03205090437754","2022-02-10T00:00:00.000"
"19","Brooklyn","2022","21913060.00","22392835.00","479775.00","0.0218944775398780","8208.00","8451.00","243.00","0.02960526315789","2022-02-01T00:00:00.000"
"20","Burlington","2022","31087592.00","31623790.00","536198.00","0.0172479746903523","9520.00","9560.00","40.00","0.00420168067227","2022-01-14T00:00:00.000"
"21","Canaan","2022","1660302.00","1724092.00","63790.00","0.0384207210495440","1062.00","1053.00","-9.00","-0.00847457627119","2022-02-09T00:00:00.000"
"22","Canterbury","2022","12005944.00","11690204.00","-315740.00","-0.0262986400736169","5079.00","5079.00","0.00","0.00000000000000","2022-02-02T00:00:00.000"
"23","Canton","2022","31478612.00","32383845.00","905233.00","0.0287570811571997","10288.00","10288.00","0.00","0.00000000000000","2022-01-11T00:00:00.000"
"24","Chaplin","2022","7148612.00","7415745.00","267133.00","0.0373685129364973","2239.00","2141.00","-98.00","-0.04376953997320","2022-02-14T00:00:00.000"
"25","Cheshire","2022","90950780.00","93152091.00","2201311.00","0.0242033218406703","29147.00","29200.00","53.00","0.00181836895735","2022-02-09T00:00:00.000"
"26","Chester","2022","3918093.00","3950145.00","32052.00","0.0081805102635389","4213.00","4234.00","21.00","0.00498457156421","2022-01-25T00:00:00.000"
"27","Clinton","2022","40902659.00","41547251.00","644592.00","0.0157591710602482","12925.00","13185.00","260.00","0.02011605415861","2022-01-10T00:00:00.000"
"28","Colchester","2022","45072797.00","45971165.00","898368.00","0.0199314899405954","15809.00","15548.00","-261.00","-0.01650958314884","2022-01-24T00:00:00.000"
"29","Colebrook","2022","5191807.00","5439754.00","247947.00","0.0477573607801677","1484.00","1361.00","-123.00","-0.08288409703504","2022-02-10T00:00:00.000"
"30","Columbia","2022","13794212.00","13938679.00","144467.00","0.0104730157837215","5417.00","5450.00","33.00","0.00609193280414","2022-01-24T00:00:00.000"
"31","Cornwall","2022","5943751.00","6182951.00","239200.00","0.0402439469621120","1500.00","1566.00","66.00","0.04400000000000","2022-02-10T00:00:00.000"
"32","Coventry","2022","36655958.00","37359375.00","703417.00","0.0191897044404078","12249.00","12433.00","184.00","0.01502163441914","2022-01-10T00:00:00.000"
"33","Cromwell","2022","44710416.00","46056208.00","1345792.00","0.0301001896291907","14203.00","14300.00","97.00","0.00682954305428","2022-02-09T00:00:00.000"
"34","Danbury","2022","207514231.00","211139499.00","3625268.00","0.0174699729388680","84890.00","86518.00","1628.00","0.01917775945341","2022-02-10T00:00:00.000"
"35","Darien","2022","111732269.00","115843722.00","4111453.00","0.0367973642421958","21499.00","21499.00","0.00","0.00000000000000","2022-01-31T00:00:00.000"
"36","Deep River","2022","15658129.00","16048730.00","390601.00","0.0249455729991751","4443.00","4415.00","-28.00","-0.00630204816565","2022-02-09T00:00:00.000"
"37","Derby","2022","36110614.00","36425687.00","315073.00","0.0087252185742397","12325.00","12339.00","14.00","0.00113590263692","2022-02-22T00:00:00.000"
"38","Durham","2022","21721158.00","21512452.00","-208706.00","-0.0096084195879428","7221.00","7221.00","0.00","0.00000000000000","2022-01-11T00:00:00.000"
"39","Eastford","2022","4576508.00","1545342.00","-3031166.00","-0.6623316292684290","1650.00","1700.00","50.00","0.03030303030303","2022-02-08T00:00:00.000"
"40","East Granby","2022","18129757.00","18314377.00","184620.00","0.0101832583856474","5166.00","5147.00","-19.00","-0.00367789392180","2022-01-18T00:00:00.000"
"41","East Haddam","2022","26149605.00","26764190.00","614585.00","0.0235026494664069","8997.00","8988.00","-9.00","-0.00100033344448","2022-02-01T00:00:00.000"
"42","East Hampton","2022","35874790.00","37007997.00","1133207.00","0.0315878364723529","12827.00","12850.00","23.00","0.00179309269510","2022-02-01T00:00:00.000"
"43","East Hartford","2022","162417215.00","165108657.00","2691442.00","0.0165711621148041","50000.00","50000.00","0.00","0.00000000000000","2022-01-22T00:00:00.000"
"44","East Haven","2022","68752976.00","71919355.00","3166379.00","0.0460544282475860","28860.00","28860.00","0.00","0.00000000000000","2022-01-13T00:00:00.000"
