"unnamed_column","prefix","_2009_number_active","_2010_number_active","_2011_number_active","_2012_number_active","_2013_number_active","_2014_number_active","_2015_number_active","_2016_number_active","_2017_number_active","_2018_number_active","_2019_number_active","_2020_number_active","_2021_number_active"
"Agent for Student Athlete","ATH","30","NA","33","n/a",,"n/a","38","n/a","n/a",,,,
"Amusement Engineer","ENGR",,,,,"24","16","15","14","22","21",,,
"Amusement Park/Ride","PARK",,,,"84","84","85","87","93","94","96",,,
"Apple Juice and Cider Manufacturer","AJC","101","99","94","94","92","88","87","87","82","79","73","69",
"Appraisal Management Company","AMC",,,,,"n/a","156","n/a","148","n/a","152","n/a","138",
"Appraisal School","APL",,,,,,,,,"23","n/a","25",,
"Appraiser; State Certified General","RCG","581","575","553","562","535","545","531","551","525","539","534","553",
"Appraiser; State Certified Residential","RCR","1,030","1,006","931","894","851","850","824","808","767","760","717","705",
"Appraiser; State Provisional Licensed","RSP","224","190","99","92","99","102","86","75","75","72","56","60",
"Architect","ARI","4,548","4,600","4,447","4,416","4,402","4,467","4,443","4,496","4,328","4,395","4,442","4,473",
"Architecture Corporation","ARC","186","195","190","179","192","195","203","208","230","246","256","264",
"Auto Fire Sprinkler System Layout Technician","AST","30","30","29","33","34","36","34","36","37","38","38","39","38"
"Bakery","BAK","4,108","4,119","4,108","4,186","4,201","4,185","4,158","4,080","4,019","3,868","3,757","3,546",
"Bedding Importer","IMP","60","126","199","255","297","353","420","474","489","512","556","566",
"Bedding Manufacturer","MFG","1,910","1,832","1,913","2,064","2,253","2,409","2,547","2,852","3,129","3,264","3,459","3,701",
"Bedding Renovator","REN","29","27","26","23","25","23","22","22","22","23","22","21",
"Bedding Secondhand Dealer","SHD","197","213","223","237","228","229","221","231","233","234","219","212",
"Bedding Sterilization","STP","530","534","546","563","545","542","519","527","534","522","506","488",
"Bedding Supply Dealer","SDL","11","11","11","10","9","9","12","10","10","9","10","9",
"Community Association Manager","CAM","287",,"279","309","328","323","332","279","340","349","361",,"295"
