"efc","gender","robertawillisscholarshipneed","robertawillisneedmerit"
"$10,909 < $15,618","Female","2345.71527777778","4534.09090909091"
"$10,909 < $15,618","Male","2168.37820512821","4045.1"
"$15,618 < $22,806","Female","1848.625",
"$15,618 < $22,806","Male","341",
"$2,146 < $3,646","Female","2073.63514652015","4859.20965608466"
"$2,146 < $3,646","Male","2145.86234860248","4882.34057971014"
"$22,806 < $36,995","Female",,
"$22,806 < $36,995","Male",,
"$3,646 < $5,562","Male","2803.97656343284","4865.25292740047"
"$3,646 < $5,562","Female","2682.65589556004","4853.34610123119"
"$36,995 +","Male",,
"$36,995 +","Female",,
"$5,562 < $7,738","Male","3127.49884423898","4859.87927107061"
"$5,562 < $7,738","Female","2921.24521880819","4824.96912751678"
"$7,738 < $10,908","Female","2759.33819393939","4591.29219600726"
"$7,738 < $10,908","Male","2803.56493653672","4625.34226190476"
"< $879","Female","2365.72720853081","4839.79384816754"
"< $879","Male","2543.38644133644","4963.62941176471"
"$879 < $2,146","Female","1684.83547284345","4795.40542420028"
"$879 < $2,146","Male","1716.86556608243","4921.58924205379"
