"township","age_group","age","count"
"Andover","1","Under 1 year old","8"
"Andover","2","Ages 1-4","24"
"Andover","3","Ages 5-17","101"
"Andover","4","Ages 18-64","340"
"Andover","5","Ages 65 and older","93"
"Ansonia","1","Under 1 year old","163"
"Ansonia","2","Ages 1-4","676"
"Ansonia","3","Ages 5-17","2193"
"Ansonia","4","Ages 18-64","5102"
"Ansonia","5","Ages 65 and older","871"
"Ashford","1","Under 1 year old","18"
"Ashford","2","Ages 1-4","80"
"Ashford","3","Ages 5-17","280"
"Ashford","4","Ages 18-64","698"
"Ashford","5","Ages 65 and older","144"
"Avon","1","Under 1 year old","13"
"Avon","2","Ages 1-4","87"
"Avon","3","Ages 5-17","323"
"Avon","4","Ages 18-64","1022"
"Avon","5","Ages 65 and older","541"
"Barkhamsted","1","Under 1 year old","6"
"Barkhamsted","2","Ages 1-4","38"
"Barkhamsted","3","Ages 5-17","135"
"Barkhamsted","4","Ages 18-64","380"
"Barkhamsted","5","Ages 65 and older","99"
"Beacon Falls","1","Under 1 year old","20"
"Beacon Falls","2","Ages 1-4","61"
"Beacon Falls","3","Ages 5-17","227"
"Beacon Falls","4","Ages 18-64","675"
"Beacon Falls","5","Ages 65 and older","188"
"Berlin","1","Under 1 year old","40"
"Berlin","2","Ages 1-4","184"
"Berlin","3","Ages 5-17","617"
"Berlin","4","Ages 18-64","1905"
"Berlin","5","Ages 65 and older","988"
"Bethany","1","Under 1 year old","13"
"Bethany","2","Ages 1-4","38"
"Bethany","3","Ages 5-17","145"
"Bethany","4","Ages 18-64","442"
"Bethany","5","Ages 65 and older","123"
"Bethel","1","Under 1 year old","90"
"Bethel","2","Ages 1-4","340"
"Bethel","3","Ages 5-17","1111"
"Bethel","4","Ages 18-64","2251"
"Bethel","5","Ages 65 and older","692"
"Bethlehem","1","Under 1 year old","5"
"Bethlehem","2","Ages 1-4","46"
"Bethlehem","3","Ages 5-17","133"
"Bethlehem","4","Ages 18-64","362"
"Bethlehem","5","Ages 65 and older","128"
"Bloomfield","1","Under 1 year old","101"
"Bloomfield","2","Ages 1-4","460"
"Bloomfield","3","Ages 5-17","1431"
"Bloomfield","4","Ages 18-64","3938"
"Bloomfield","5","Ages 65 and older","1536"
"Bolton","1","Under 1 year old","15"
"Bolton","2","Ages 1-4","38"
"Bolton","3","Ages 5-17","153"
"Bolton","4","Ages 18-64","465"
"Bolton","5","Ages 65 and older","118"
"Bozrah","1","Under 1 year old","11"
"Bozrah","2","Ages 1-4","41"
"Bozrah","3","Ages 5-17","124"
"Bozrah","4","Ages 18-64","423"
"Bozrah","5","Ages 65 and older","89"
"Branford","1","Under 1 year old","94"
"Branford","2","Ages 1-4","337"
"Branford","3","Ages 5-17","1141"
"Branford","4","Ages 18-64","3905"
"Branford","5","Ages 65 and older","1321"
"Bridgeport","1","Under 1 year old","1797"
"Bridgeport","2","Ages 1-4","7599"
"Bridgeport","3","Ages 5-17","23078"
"Bridgeport","4","Ages 18-64","48848"
"Bridgeport","5","Ages 65 and older","9341"
"Bridgewater","1","Under 1 year old","0"
"Bridgewater","2","Ages 1-4","13"
"Bridgewater","3","Ages 5-17","22"
"Bridgewater","4","Ages 18-64","124"
"Bridgewater","5","Ages 65 and older","39"
"Bristol","1","Under 1 year old","420"
"Bristol","2","Ages 1-4","1776"
"Bristol","3","Ages 5-17","5512"
"Bristol","4","Ages 18-64","13169"
"Bristol","5","Ages 65 and older","3642"
"Brookfield","1","Under 1 year old","40"
"Brookfield","2","Ages 1-4","204"
"Brookfield","3","Ages 5-17","738"
"Brookfield","4","Ages 18-64","1652"
"Brookfield","5","Ages 65 and older","405"
"Brooklyn","1","Under 1 year old","36"
"Brooklyn","2","Ages 1-4","180"
"Brooklyn","3","Ages 5-17","542"
"Brooklyn","4","Ages 18-64","1443"
"Brooklyn","5","Ages 65 and older","435"
"Burlington","1","Under 1 year old","10"
"Burlington","2","Ages 1-4","48"
"Burlington","3","Ages 5-17","229"
"Burlington","4","Ages 18-64","629"
"Burlington","5","Ages 65 and older","187"
"Canaan","1","Under 1 year old","20"
"Canaan","2","Ages 1-4","83"
"Canaan","3","Ages 5-17","236"
"Canaan","4","Ages 18-64","627"
"Canaan","5","Ages 65 and older","282"
"Canterbury","1","Under 1 year old","22"
"Canterbury","2","Ages 1-4","84"
"Canterbury","3","Ages 5-17","329"
"Canterbury","4","Ages 18-64","752"
"Canterbury","5","Ages 65 and older","188"
