"township","gender","count"
"Andover","F","321"
"Andover","M","296"
"Ansonia","F","5391"
"Ansonia","M","4385"
"Ashford","F","694"
"Ashford","M","625"
"Avon","F","1291"
"Avon","M","937"
"Barkhamsted","F","381"
"Barkhamsted","M","344"
"Beacon Falls","F","696"
"Beacon Falls","M","593"
"Berlin","F","2261"
"Berlin","M","1788"
"Bethany","F","398"
"Bethany","M","409"
"Bethel","F","2737"
"Bethel","M","2311"
"Bethlehem","F","394"
"Bethlehem","M","346"
"Bloomfield","F","4496"
"Bloomfield","M","3779"
"Bolton","F","453"
"Bolton","M","433"
"Bozrah","F","383"
"Bozrah","M","392"
"Branford","F","3864"
"Branford","M","3322"
"Bridgeport","F","50155"
"Bridgeport","M","43242"
"Bridgewater","F","117"
"Bridgewater","M","115"
"Bristol","F","14632"
"Bristol","M","11734"
"Brookfield","F","1867"
"Brookfield","M","1520"
"Brooklyn","F","1630"
"Brooklyn","M","1270"
"Burlington","F","642"
"Burlington","M","600"
"Canaan","F","731"
"Canaan","M","615"
"Canterbury","F","770"
"Canterbury","M","657"
"Canton","F","949"
"Canton","M","810"
"Chaplin","F","403"
"Chaplin","M","410"
"Cheshire","F","2180"
"Cheshire","M","1940"
"Chester","F","451"
"Chester","M","389"
"Clinton","F","1878"
"Clinton","M","1546"
"Colchester","F","2135"
"Colchester","M","1777"
"Colebrook","F","139"
"Colebrook","M","138"
"Columbia","F","585"
"Columbia","M","476"
"Cornwall","F","213"
"Cornwall","M","187"
"Coventry","F","1412"
"Coventry","M","1231"
"Cromwell","F","1883"
"Cromwell","M","1479"
"Danbury","F","16892"
"Danbury","M","14167"
"Darien","F","813"
"Darien","M","737"
"Deep River","F","592"
"Deep River","M","536"
"Derby","F","3348"
"Derby","M","2714"
"Durham","F","545"
"Durham","M","474"
"East Granby","F","540"
"East Granby","M","436"
"East Haddam","F","931"
"East Haddam","M","766"
"East Hampton","F","1362"
"East Hampton","M","1200"
"East Hartford","F","15969"
"East Hartford","M","13512"
"East Haven","F","6340"
"East Haven","M","5102"
"East Lyme","F","2062"
"East Lyme","M","1631"
"East Windsor","F","2140"
"East Windsor","M","1779"
"Eastford","F","164"
"Eastford","M","179"
"Easton","F","458"
"Easton","M","459"
"Ellington","F","1516"
"Ellington","M","1221"
"Enfield","F","6930"
"Enfield","M","5689"
"Essex","F","582"
"Essex","M","504"
"Fairfield","F","4887"
"Fairfield","M","4059"
"Farmington","F","2619"
"Farmington","M","2104"
"Franklin","F","228"
"Franklin","M","199"
"Glastonbury","F","2943"
"Glastonbury","M","2280"
"Goshen","F","306"
"Goshen","M","269"
"Granby","F","855"
"Granby","M","823"
"Greenwich","F","5035"
"Greenwich","M","3925"
"Griswold","F","2608"
"Griswold","M","2167"
"Groton","F","5951"
"Groton","M","4650"
"Guilford","F","1726"
"Guilford","M","1545"
"Haddam","F","761"
"Haddam","M","678"
"Hamden","F","10956"
"Hamden","M","8997"
"Hampton","F","315"
"Hampton","M","298"
"Hartford","F","51125"
"Hartford","M","45046"
"Hartland","F","182"
"Hartland","M","171"
"Harwinton","F","539"
"Harwinton","M","444"
"Hebron","F","766"
"Hebron","M","660"
"Kent","F","400"
"Kent","M","290"
"Killingly","F","4466"
"Killingly","M","3603"
"Killingworth","F","460"
"Killingworth","M","407"
"Lebanon","F","936"
"Lebanon","M","1404"
"Ledyard","F","1952"
"Ledyard","M","1626"
"Lisbon","F","600"
"Lisbon","M","517"
"Litchfield","F","1006"
"Litchfield","M","847"
"Lyme","F","190"
"Lyme","M","174"
"Madison","F","1236"
"Madison","M","1021"
"Manchester","F","13848"
"Manchester","M","11743"
"Mansfield","F","1548"
"Mansfield","M","1228"
"Marlborough","F","540"
"Marlborough","M","446"
"Meriden","F","17778"
"Meriden","M","14999"
"Middlebury","F","743"
"Middlebury","M","545"
"Middlefield","F","433"
"Middlefield","M","402"
"Middletown","F","9604"
"Middletown","M","8423"
"Milford","F","6530"
"Milford","M","5502"
"Monroe","F","1668"
"Monroe","M","1415"
"Montville","F","3134"
"Montville","M","2762"
"Morris","F","309"
"Morris","M","278"
"Naugatuck","F","7465"
"Naugatuck","M","6054"
"New Britain","F","27464"
"New Britain","M","23778"
"New Canaan","F","962"
"New Canaan","M","750"
"New Fairfield","F","1145"
"New Fairfield","M","1036"
"New Hartford","F","650"
"New Hartford","M","614"
"New Haven","F","41760"
"New Haven","M","38494"
"New London","F","9100"
"New London","M","8101"
"New Milford","F","4100"
"New Milford","M","3485"
"Newington","F","4500"
"Newington","M","3627"
"Newtown","F","2106"
"Newtown","M","1889"
"Norfolk","F","218"
"Norfolk","M","208"
"North Branford","F","1474"
"North Branford","M","1160"
"North Canaan","F","119"
"North Canaan","M","95"
"North Haven","F","2875"
"North Haven","M","2482"
"North Stonington","F","591"
"North Stonington","M","549"
"Norwalk","F","16436"
"Norwalk","M","13371"
"Norwich","F","12706"
"Norwich","M","10895"
"Old Lyme","F","694"
"Old Lyme","M","604"
"Old Saybrook","F","1210"
"Old Saybrook","M","940"
"Orange","F","1161"
"Orange","M","1032"
"Out of State","F","2764"
"Out of State","M","2132"
"Oxford","F","1104"
"Oxford","M","930"
"Plainfield","F","3768"
"Plainfield","M","3057"
"Plainville","F","3209"
"Plainville","M","2620"
"Plymouth","F","2126"
"Plymouth","M","1824"
"Pomfret","F","476"
"Pomfret","M","376"
"Portland","F","1270"
"Portland","M","1091"
"Preston","F","666"
"Preston","M","533"
"Prospect","F","948"
"Prospect","M","790"
"Putnam","F","2528"
"Putnam","M","2085"
"Redding","F","525"
"Redding","M","522"
"Ridgefield","F","1407"
