"project_id","project_name","project_description","address","current_phase","current_phase_type","project_details_url","latitude","longitude","regions"
"H1741","Globe Avenue DDA",,,,,,,,
"H2741","Kinston Ave Rehab",,,,,,,,
"H2810","Culver Terrace Mobile Home Park",,,,,,,,
"H2850","Mollica Restoration",,,,,,,,
"H3840","Irving Place DDA",,,,,,,,
"H3880","Helms and Caroline Ave",,,,,,,,
"H4750","Housing Property Acquisiton",,,,,,,,
"H4830","W. Washington Residential",,,,,,,,
"H4835","Tilden Terrace DDA",,,,,,,,
"PE001","Radio System Replacement","Replace obsolete components of the City’s radio system.  The existing radio system was purchased in 1999.  Specific components needing replacement include:   Subscriber units (portable and mobile radios); infrastructure components (cable, duplexers, multi-couplers, combiners, filters);  and microwave link between the tower and CCPD Dispatch.",,,,,,,
"PE002","Radio System Replacement","This project will be used to replace obsolete components of the City’s radio system.  The existing radio system was purchased in 1999.  Specific components needing replacement include:          ·         Subscriber units (portable and mobile radios).  ·         Infrastructure components (cable, duplexers, multi-couplers, combiners, filters).  ·         Microwave link between the tower and Culver City Police Department Dispatch.",,,,,,,
"PE003","Police Vehicle In-Car Cameras","In-car video cameras are a necessary tool for patrol vehicles. The Police Department will use this technology to capture video evidence during vehicle pursuits, traffic stops, and consensual encounters with the public; to protect officers from false allegations and ensure the public is equally protected from any police misconduct; and as a training tool for issues identified from recorded incidents.",,,,,,,
"PF001","Bike Rack Installation","In 2012, the City received a $45,000 California Bicycle Transportation Account grant to fund the purchase and installation of roughly 200 bicycle racks as well as up to two bike repair stations. The grant will be matched with $5,000 in Gas Tax funds. The project will be awarded in April 2014 and is anticipated to be complete in December 2014.",,,,,,,
"PF002","City Hall Palm Tree Replacement","This project is created to fund the removal and replacement of distressed palm trees in the City Hall Courtyard raised planters. The project will also replace up-lights and irrigation at each of the six (6) planters.",,,,,,,
"PF003","City Hall EV Charging Stations","This project is being initiated to install electric vehicle (EV) charging stations at City Hall.  One EV charging station is scheduled to be installed in FY2014-15.",,,,,,,
"PF004","City Facilities Energy Efficiencies","This project is being initiated in order to be comply with required upgrades of existing facility lighting and HVAC units to energy efficient systems as identified in past building audits. Capital project funds will be utilized to implement recommended measures at high energy use facilities. Partial costs of upgrades will be reimbursed from utility company incentives/rebates.",,,,,,,
"PF005","Slurry Seal Pavement - CDBG (ECC)","This CDBG-funded project is to slurry seal six streets located in East Culver City (ECC).",,,,,,,
