"fiscal_year","service","department","program","expense_category","recommended_amount","approved_amount","fund","fund_type","description","expense_type"
"2020","Operating Departments","Public Works","Tree Maintenance","Contract Services","0","963276.7","General Fund","Tax Supported Funds","Other Contractual Services","Operating Expense"
"2013","Public Safety","Fire","Communications","Other","0.00","2860.00","General Fund","Tax Supported Funds","Cell Phone Allowance","Personnel Cost"
"2020","Public Safety","Police","Operating Bureaus","Office Supp&Exp","0","96320","General Fund","Tax Supported Funds","Communications","Operating Expense"
"2021","General Government","Administrative Services","City Clerk","Office Supp&Exp","0","6114","General Fund","Tax Supported Funds","Departmental Special Supplies","Operating Expense"
"2021","General Government","Administrative Services","Art Fund","Capital","0","1510","Cultural Trust Fund","Non-Tax Supported Funds","IT Equipment - Hardware","Operating Expense"
"2021","General Government","Finance","Finance Administration","Contract Services","0","132798","General Fund","Tax Supported Funds","Audit Services","Operating Expense"
"2021","General Government","Administrative Services","City Clerk","Repair-Maint","0","3000","General Fund","Tax Supported Funds","R&M - Equipment","Operating Expense"
"2021","Operating Departments","Public Works","Parking Meters","Office Supp&Exp","0","62395","General Fund","Tax Supported Funds","Departmental Special Supplies","Operating Expense"
"2022","Public Safety","Fire","Community Risk Reduction","Capital","0","900","General Fund","Tax Supported Funds","IT Equipment - Software","Operating Expense"
"2021","Public Safety","Fire","Fire Suppression","Capital","0","3869.13","General Fund","Tax Supported Funds","Departmental Special Equipment","Operating Expense"
"2021","Operating Departments","Parks Recreation & Comm Svs","PR&CS Administrative Division","Travel/Trng/Dues","0","3000","General Fund","Tax Supported Funds","Conferences & Conventions","Operating Expense"
"2022","Operating Departments","Transportation","Para Transit Services","Equip Maint Chgs","0","53825","Para Transit","Non-Tax Supported Funds","Equip Maint Expenses","Operating Expense"
"2021","General Government","Administrative Services","Art Fund","Travel/Trng/Dues","0","300","Cultural Trust Fund","Non-Tax Supported Funds","Subscriptions","Operating Expense"
"2021","Operating Departments","Public Works","Mobility & Traffic Engineering","Travel/Trng/Dues","0","1210.4","General Fund","Tax Supported Funds","Conferences & Conventions","Operating Expense"
"2022","General Government","Administrative Services","Human Resources","Public Notices/Ad","0","10725.42","General Fund","Tax Supported Funds","Advertising and Public Relatio","Operating Expense"
"2021","Operating Departments","Public Works","Parking Meters","Contract Services","0","273830","General Fund","Tax Supported Funds","Other Contractual Services","Operating Expense"
"2021","Operating Departments","Transportation","Transportation Admin","Capital","0","15000","Municipal Bus Lines Fund","Non-Tax Supported Funds","IT Equipment - Software","Operating Expense"
"2021","Operating Departments","Public Works","Streets","Other O&M","0","6833.53","General Fund","Tax Supported Funds","Rental of Equipment","Operating Expense"
"2021","Public Safety","Police","Fed Justice Asset Seizure Fund","Capital","0","65687.57","Asset Seizure Fund","Non-Tax Supported Funds","Departmental Special Equipment","Operating Expense"
"2021","General Government","Information Technology","Information Technology","Capital","0","33784","Building Surcharge Fund","Non-Tax Supported Funds","IT Equipment - Software","Operating Expense"
"2021","General Government","Administrative Services","City Clerk","Sal/Spc Comp/OT","0","9296","General Fund","Tax Supported Funds","Contract Labor","Personnel Cost"
"2022","Operating Departments","Public Works","Refuse Collection - Admin","Equip Maint Chgs","0","1468572","Refuse Disposal Fund","Non-Tax Supported Funds","Equip Maint Expenses","Operating Expense"
"2021","General Government","Information Technology","Information Technology","Capital","0","116693.37","Equipment Replacement Fund","Non-Tax Supported Funds","IT Equipment - Hardware","Operating Expense"
"2021","Public Safety","Fire","Fire Suppression","Travel/Trng/Dues","0","12950","General Fund","Tax Supported Funds","Certification Training","Operating Expense"
"2021","General Government","Finance","Finance Administration","Contract Services","0","200299.57","General Fund","Tax Supported Funds","Other Contractual Services","Operating Expense"
"2021","Operating Departments","Community Development","Economic Development","Sal/Spc Comp/OT","0","33223","General Fund","Tax Supported Funds","Regular Salaries-Bi-Weekly","Personnel Cost"
