"site_id","site_name","address_es","city","zip","certification_date","acreage","notes"
"DE-1252","Cannery Village","703 Chestnut Street","Milton",,"2002-05-07T00:00:00.000","35.00",
"DE-1206","920 French St.,","920 French St.","Wilmington",,"2002-09-11T00:00:00.000","1.70",
"DE-1169 (BPA)","Hessler Property","401 Garasches Lane","Wilmington",,"2002-09-17T00:00:00.000","8.75",
"DE-1203 (VCP)","Hessler Property","401 Garasches Lane","Wilmington",,"2002-09-17T00:00:00.000","8.75",
"DE-1087","Deemer Steel","9th & Washington Sts.","New Castle",,"2002-09-17T00:00:00.000","6.74",
"DE-1237","Riverfront Office Building","101 Avenue of the Arts","Wilmington",,"2002-09-17T00:00:00.000","1.97",
"DE-0197","Harper Thiel","3201 Miller Rd.","Wilmington",,"2002-09-17T00:00:00.000","2.48",
"DE-1147","Peninsula Park","Lots 1, 2, 3, Industrial Street","Wilmington",,"2002-11-19T00:00:00.000","12.00",
"DE-0163","Del Chapel Place","1 Scholar Dr. (Formerly 70 S. Chapel St.)","Newark",,"2002-11-19T00:00:00.000","21.00",
"DE-0084","Dureco","New Castle","New Castle",,"2002-12-12T00:00:00.000","98.00",
"DE-1277","Former BABS Real Estate Property","Marsh Lane","Wilmington",,"2003-01-09T00:00:00.000","5.00",
"DE-1057","Penn-Del","S. Walnut St.","Wilmington",,"2005-02-10T00:00:00.000","5.00",
"DE 1167","Lewes Boat Yard","Front Street & Lewes-Rehoboth Canal","Lewes",,"2003-04-15T00:00:00.000","1.27",
"DE-1068","DE Compressed Steel","503 S. Market St.","Wilmington",,"2003-04-15T00:00:00.000","2.40",
"DE-0199","NVF-Newark","Margaret & Race Sts.","Newark",,"2003-05-21T00:00:00.000","10.20",
"DE-1198","Wilmington Rolling Mils","11th and Church Streets","Wilmington",,"2003-08-25T00:00:00.000","3.10",
"DE-1291","320 “A” Street","320 A Street","Wilmington",,"2003-08-25T00:00:00.000","5.30",
"DE-1294","Peninsula Ventures","7th and Industrial Streets","Wilmington",,"2003-10-27T00:00:00.000","16.70",
"DE-1206","900 French Street","900 French Street","Wilmington",,"2003-09-23T00:00:00.000","0.90",
"DE-1171 (BPA)","Capitol Scrap","West Street","Dover",,"2003-09-23T00:00:00.000","1.50",
"DE-1181","Cobra Machine","2 James Ct.","Wilmington",,"2004-02-04T00:00:00.000","1.70",
"DE-1224","Christina Landing Townhomes","200-207 A Street","Wilmington",,"2004-02-05T00:00:00.000","2.00",
"DE-1228","Christina Landing Tower 1","200-207 A Street","Wilmington",,"2004-02-05T00:00:00.000","2.00",
"DE-1247","Christina Landing Tower 2","200-207 A Street","Wilmington",,"2004-02-05T00:00:00.000","3.97",
"DE-0066","ACE/Eastern Disposal","Dover","Dover",,"2004-04-16T00:00:00.000","26.30",
"DE-1310","Basher Lane","Basher Lane","Hockessin",,"2004-02-17T00:00:00.000","11.80",
"DE-1281","Petrillo Prop.","758 Grantham Ln","New Castle",,"2004-04-13T00:00:00.000","30.00",
"DE-1309","Riverfront Headquarters/AAA","Justison and West Sts.","Wilmington",,"2004-04-13T00:00:00.000","2.43",
"DE-1322","Ion Power","0 Governor Lea Road","Bear",,"2004-05-04T00:00:00.000","18.50",
"DE-1324","Riverwalk at Deemers Beach","Route 9","New Castle",,"2004-08-24T00:00:00.000","60.75",
"DE-1328","Marina Overlook","500 Industrial Park (7th St. Penin.)","Wilmington",,"2004-08-24T00:00:00.000","13.24",
"DE-1293","Christina Marina","1126 E 7th St.","Wilmington",,"2004-09-22T00:00:00.000","8.30",
"DE-1332","Madison Garden","710 W 3rd St.","Wilmington",,"2005-02-10T00:00:00.000","0.76",
"DE-1347","Speakman Townhomes","301 E. 30th St.","Wilmington",,"2005-02-10T00:00:00.000","6.20",
"DE-1300","Russell-Stanley","1207 E. 12th Street","Wilmington",,"2005-02-10T00:00:00.000","15.00",
"DE-1342","Sussex Materials","Wintjen Road","Milford",,"2005-02-10T00:00:00.000","17.10",
"DE-1345","Former New Arc Welding","0-40 Commerce St.","Wilmington",,"2005-02-10T00:00:00.000","29.00",
"DE-0270","Budd Metal","1000 S. Heald St.","Wilmington",,"2005-05-04T00:00:00.000","11.74",
"DE-1110","Dover Ice House","645 W North St.","Dover",,"2005-07-29T00:00:00.000","2.59",
"DE-0324","Wiley Cork","1400 N Church, 904-906 E 16th Sts.","Wilmington",,"2005-07-29T00:00:00.000","3.79",
"DE-1359","DelSteel","8 Eastlawn Ave.","Wilmington",,"2005-07-29T00:00:00.000","1.60",
"DE-0325","Burns & McBride","101. S. Market St.","Wilmington",,"2005-08-26T00:00:00.000","1.50",
"DE-1360","Former Timmons Marina","Dagsboro","Dagsboro",,"2005-08-19T00:00:00.000","51.90",
"DE-1248","5th & Tatnall","415-127 Tatnall St.","Wilmington",,"2005-11-14T00:00:00.000","0.11",
"DE-1369","Naga Foods","1331 N. Heald St.","Wilmington",,"2005-11-18T00:00:00.000","0.50",
"DE-1372","Habitat for Humanity of New Castle County Property","1330 Thatcher Street and 1303 N. Heald Street","Wilmington",,"2005-12-15T00:00:00.000","0.76",
"DE-1374","NVF Wilmington Property","700 Maryland Avenue","Wilmington",,"2006-01-26T00:00:00.000","2.01",
"DE-1357","Lexington Avenue Property","513 Lexington Avenue","Smyrna",,"2006-02-10T00:00:00.000","2.40",
"DE-1427","Chem-Solv Property","5301-03 North DuPont Highway","Cheswold",,"2006-03-23T00:00:00.000","2.40",
"DE-1329","707 S. Market Street","707 S. Market Street","Wilmington",,"2006-03-24T00:00:00.000","2.40",
"DE-1382","38 Vandever Avenue","38 Vandever Avenue","Wilmington","19801","2006-03-24T00:00:00.000","0.38",
"DE-1377","Justison Landing Project","300, 350 & 400 S. Madison Streets","Wilmington","19810","2006-04-06T00:00:00.000","11.00","Amended 6/8/06 to include a portion of 221 S. Madison and the “triangle”"
"DE-1384","Up the Creek Restaurant","1195 E. Seventh Street","Wilmington","19801","2006-04-13T00:00:00.000","4.52",
"DE 1389","Schwartz Property","201-211 South Market Street","Wilmington","19801","2006-06-13T00:00:00.000","0.62",
"DE-1385","Christina Crescent Property","100 Justison Street","Wilmington","19801","2006-06-13T00:00:00.000","5.90",
"DE-0131","Christina Crescent Property","101 South West Street","Wilmington","19801",,,
"DE-1331","Christina Crescent Property",,"Wilmington","19801",,,
"DE-0327","Bell Funeral Home Property","1908,1914,1920, 2002 and 2004 N. Market Street","Wilmington","19801","2006-06-20T00:00:00.000","1.70",
"DE-1393","Intersection of Rt. 13 and Rt.154","North DuPont Highway, Rose Bowl Road (Rt. 154) and Rt. 13","Dover","19901","2006-06-23T00:00:00.000","1.30",
"DE-1376","Delaware Humane Association Property","701 A Street","Wilmington","19801","2006-06-23T00:00:00.000","6.05",
"DE-0328","12th and Brandywine Streets Garden Project Property","12th and Brandywine Streets","Wilmington","19801","2006-06-26T00:00:00.000","0.33",
"DE-1394","0 Miller Road Property","0 Miller Road","New Castle","19720","2006-08-02T00:00:00.000","2.30",
"DE-1392","Railroad Crossing Project Property","5th and Duncan Streets","Wilmington","19801","2006-08-02T00:00:00.000","3.00",
"DE-1396","New Castle Avenue and B Street Lots Project Property","New Castle Avenue and B Street","Wilmington","19801","2006-08-07T00:00:00.000","0.34",
"DE-1395","Pavilion Project","501 N. DuPont Street","Wilmington","19805","2006-08-15T00:00:00.000","0.71",
"DE-1397","1101 East 8th Street Property","1101 East 8th Street","Wilmington","19801","2006-08-18T00:00:00.000","1.20",
"DE-1367","Newark Housing Authority Cleveland Heights Development","McKee Lane & Terrace Drive","Newark","19711","2006-09-29T00:00:00.000","6.77",
"DE-287","Former Peninsula Plating Facility Property","West 5th Street and River Road","Blades","19973","2006-10-31T00:00:00.000","5.73",
"DE-1405","Heald Street Concrete Plant Property","1100 South Heald Street","Wilmington","19801","2006-12-12T00:00:00.000","9.07",
"DE-0151","Donovan Property","16773 Old Orchard Road","Lewes","19958","2006-12-12T00:00:00.000","7.98",
"DE-1383","600 A Street Property","600 A Street","Wilmington","19801","2006-12-12T00:00:00.000","2.00",
"DE-1334","Former Chesapeake Supply","West Street/Railroad Street Corridor","Dover","19901","2006-12-15T00:00:00.000","1.30",
"DE-1404","1000 East 12th Street Property","1000 East 12th Street","Wilmington","19801","2007-01-05T00:00:00.000","6.77",
"DE-1401","Howard Street Commercial Redevelopment Property","310-600 South Market Street","Wilmington","19801","2007-01-10T00:00:00.000","8.70",
"DE-1408","SIP, Inc. Property","1101 and 1225 East 8th Street","Wilmington","19801","2007-01-10T00:00:00.000","6.00",
"DE-045","Deemer Landfill Property","9th and Washington Streets","New Castle","19720","2007-01-10T00:00:00.000","4.30",
"DE-1410","1190 E. 7th Street Property*","1190 E. 7th Street","Wilmington","19801","2007-06-06T00:00:00.000","1.44",
"DE-1412","Former Milford Fertilizer Property","4991 Summit Bridge Road","Middletown","19963","2007-06-07T00:00:00.000","4.57",
"DE-1414","Pep Up/Calhoun Property","Route 113 and Laurel Road","Georgetown","19947","2007-08-03T00:00:00.000","13.00",
"DE-1418","Limestone Shopping Center Property","2600 Limestone Road","Marshallton","19808","2007-10-03T00:00:00.000","4.70",
"DE-1461","(Formerly) NVF Yorklyn Property/Yorklyn Redevelopment Project","1166 Yorklyn Road","Yorklyn","19736","2007-10-03T00:00:00.000","37.00",
"DE-1420","Former Kershaw Construction Property","473-475 Old Airport Road","New Castle","19720","2007-10-10T00:00:00.000","1.92",
"DE-1419","Delaware and Van Buren Avenue Property","Intersections of Delaware Avenue and Van Buren Street","Wilmington","19801","2007-10-10T00:00:00.000","1.69",
"DE-1424","Mt. Vernon Street Property","00 Mt. Vernon Street","Smyrna","19977","2007-12-05T00:00:00.000","0.57",
"DE-1158","Former P&C Roofing Property","720 South Madison Street","Wilmington","19801","2007-12-05T00:00:00.000","1.33",
"DE-1425","Former Star Building Property","123 South Justison Street","Wilmington","19801","2007-12-05T00:00:00.000","0.33",
"DE- 1109","Brandywine Fibre Property","1421 Clifford Brown Walk","Wilmington","19801","2007-12-05T00:00:00.000","1.20",
"DE-1423","Panella Ski Shop Property","3916 Concord Pike","Wilmington","19803","2007-12-05T00:00:00.000","0.18",
"DE-1428","Crozier Center Property","400 Christiana Road","Newark","19713","2008-01-04T00:00:00.000","25.25",
"DE-1429","97 Vandever Property","97 Vandever Avenue","Wilmington","19802","2008-01-04T00:00:00.000","1.01",
"DE-1426","Dureco Landfill Property","950 River Road","New Castle","19720","2008-01-17T00:00:00.000","7.74",
"DE-1430","Lippincott Project","300, 308, 314, 316 and 318 N. Market Street/7 and 9 E. Third Street/ 4 E. Fourth Street","Wilmington","19801","2008-01-25T00:00:00.000","0.60",
"DE-1314","Former Dover Machine Works","326 West Loockerman Street","Dover","19901","2008-01-25T00:00:00.000","0.75",
"DE-1431","1020 Christiana Avenue","1020 Christiana Avenue","Wilmington","19801","2008-02-13T00:00:00.000","13.62",
"DE-1433","300 Greenhill Avenue","300 Greenhill Avenue","Wilmington","19801","2008-02-15T00:00:00.000","0.58",
"DE-1434","Delaware Children’s Museum Property","550 South Madison Street","Wilmington","19801","2008-02-29T00:00:00.000","6.65",
"DE-1438","Delaware Civic Center","Crawford Carroll Avenue and West Rustic Lane","Dover","19901","2008-04-24T00:00:00.000","43.70",
"DE-0339","Kalmar Nyckel Challenge","1120 and 1112 East 7th Street","Wilmington","19801","2008-04-24T00:00:00.000","3.36",
"DE-1083","Sunday Breakfast Mission Property","100-110 North Poplar Street","Wilmington","19801","2008-04-30T00:00:00.000","1.64",
"DE-1421","Former Pack and Processing Facility","1101 East 8th Street","Wilmington","19801","2008-05-30T00:00:00.000","3.39",
"DE-1442","B Street Pack & Processing Property","600/610 and 620 Bradford Street, 410 C Street, 1400 B Street","Wilmington","19801","2008-07-18T00:00:00.000","2.83",
"DE-1444","605 Vandever Avenue Property","605 Vandever Avenue","Wilmington","19801","2008-07-30T00:00:00.000","0.52",
"DE-1445","Sears Distribution Center","200 Sears Boulevard","Newport","19804","2008-08-21T00:00:00.000","12.50",
"DE-1446","829 N. Church Street","829 N. Church Street","Wilmington","19801","2008-08-21T00:00:00.000","0.04",
"DE-1304","Wilmington Piece Dye","0 Riddle Lane/38 Bancroft Mills Road","Wilmington","19806","2008-08-21T00:00:00.000","21.73",
"DE-0281","Diamond State Salvage","1300 North Pine Street, 1300 North Spruce Street and 702 East 14th Street","Wilmington","19801","2008-09-19T00:00:00.000","4.25",
"DE-1153","Curtis Paper Company","925 Paper Mill Road","Newark","19711","2008-09-19T00:00:00.000","7.32",
"DE-1417","Former Wilson Baker Bulk Plant Property","25056 Shorty Road","Georgetown","19947","2008-09-19T00:00:00.000","0.33",
"DE 1415","900 South Madison Street Facility","760 Justison Street","Wilmington","19801","2008-10-23T00:00:00.000","1.83",
"DE-1449","2440 Red Lion Road Property","2440 Red Lion Road","Kirkwood","19708","2008-11-07T00:00:00.000","0.47",
"DE-1450","A and Townsend Street Property","1017, 1019 and 1021 A Street, 333, 335 and 337 Townsend Street","Wilmington","19802","2008-11-07T00:00:00.000","0.19",
"DE-1452","Ministry Row Property","625. E. 10th Street","Wilmington","19801","2008-11-07T00:00:00.000","0.33",
"DE-1173","Former Domino Auto Salvage Property","810 S. Walnut Street","Wilmington","19801","2008-11-07T00:00:00.000","1.60",
"DE-1453","222 Maryland Avenue","222 Maryland Avenue","Wilmington","19801","2008-11-07T00:00:00.000","0.05",
"DE-1451","680 Forest Street Property","680 Forrest Street Property","Dover","19904","2008-11-07T00:00:00.000","0.99",
"DE-1455","4001 New Castle Avenue (a/k/a Dixon Auto)","4001 New Castle Avenue","New Castle","19720","2008-11-24T00:00:00.000","0.60",
"DE-1458","900 S.  Franklin Street Property","900 S. Franklin Street","Wilmington",,"2008-12-08T00:00:00.000","0.58",
"DE-1460","Milton Rails-to-Trails Property","Chestnut Street to Lavinia Street, (Railroad Segment)","Milton","19968","2009-01-15T00:00:00.000","3.00",
"DE-0149","Former Jackson Pit Property","19000 Block of Beaver Dam Road","Lewes","19958","2009-01-29T00:00:00.000","18.33",
"DE-1462","Consolidated Fabrication Site","900/901 Green Street, 1216 D Street and 700 South Heald Street","Wilmington","19801","2009-02-12T00:00:00.000","0.11",
"DE-0326","512 South Claymont Property","512 South Claymont Street","Wilmington","19801","2009-02-25T00:00:00.000","0.19",
"DE-1464","Former Classic Image Site","112 West Market Street","Newport","19804","2009-03-20T00:00:00.000","0.29",
"DE-1465","925 North Church Street Property","925 North Church Street","Wilmington","19801","2009-03-20T00:00:00.000","0.18",
"DE-1466","Garrett House-609 Washington Street","609 Washington Street","Wilmington","19801","2009-04-08T00:00:00.000","0.23",
"DE-1472","Former Thompson Gas Station Property","NW Corner of Central Avenue and Front Street","Laurel","19956","2009-06-22T00:00:00.000","0.20",
"DE-1175","Merkin Auto Site","501 Garasches Lane","Wilmington","19801","2009-06-22T00:00:00.000","6.06",
"DE-1474","Seeds of Greatness Church Site","610 West Seventh Street","New Castle","19720","2009-07-10T00:00:00.000","15.99",
"DE-0105","Former Chrysler Newark Plant Site","550 S. College Avenue","Newark","19711","2009-09-10T00:00:00.000","271.00",
"DE-1481","Kempf Storage Site","1101 East 7th Street and 1220 East 8th Street","Wilmington","19801","2009-10-05T00:00:00.000","3.72",
"DE-1131","Former American Scrap & Waste Site","20 Commerce Street","Wilmington","19801","2009-10-29T00:00:00.000","1.63",
"DE-1482","Former Foulk Road Getty Site","1712 Foulk Road","Wilmington","19803","2009-12-02T00:00:00.000","0.67",
"DE-1483","Middletown Manor Site","0 and 17 Wood Street","Middletown","19709","2009-12-21T00:00:00.000","1.40",
"DE-1484","DMA Expansion Site","0, 118 and 116 Middleboro Road","Wilmington","19804","2009-12-21T00:00:00.000","10.87",
