"business_name","trade_name","category","current_license_valid_from","current_license_valid_to","address_1","address_2","city","state","zip","country","license_number","geocoded_location"
"ENCORE RECEIVABLE MGT INC","ENCORE RECEIVABLE MGT INC","MERCANTILE AGENCY OR COLLECTIONS AGENCY","2022-01-01T00:00:00.000","2024-12-31T00:00:00.000","GLORIETTA 5 AYALA CTR",,"MAKATI CITY","OO","00000","PHILIPPINES","2012102994",
"PEREGRINE FALCON GROUP LLC","PEREGRINE FALCON GROUP LLC","GENERAL SERVICES","2022-01-01T00:00:00.000","2024-12-31T00:00:00.000","1708 SPARKLE TOWER I",,"DUBAI",,"00000","UNITED ARAB EMIRATES","2021708391","
DUBAI,  00000
(26.065087, -80.232207)"
"RAINBOW RESORT SVCS LLC","RAINBOW RESORT SVCS LLC","GENERAL SERVICES","2022-01-01T00:00:00.000","2022-12-31T00:00:00.000","3221 ESTATE GOLDEN ROCK",,"CHRISTIANSTED","VI","008204339","UNITED STATES","2008200321","
CHRISTIANSTED, VI 008204339
(17.740089, -64.713093)"
"OCWEN USVI SERVICES, LLC","OCWEN USVI SERVICES, LLC","GENERAL SERVICES","2022-01-01T00:00:00.000","2024-12-31T00:00:00.000","BLDG1  SUITE 1-103A ESTATE NEG","WILLIAM D ROEBUCK INDUSTRIAL PA","CHRISTIANSTED","VI","00850","VIRGIN ISLANDS  U.S.","2019700475",
"INOVASOURCE ENERGY AND TECHNOLOG","INOVASOURCE ENERGY AND TECHNOLOG","WHOLESALER","2022-03-08T00:00:00.000","2022-12-31T00:00:00.000","711 CALLE UN APT 7S",,"SAN JUAN","PR","009074232","UNITED STATES","2022702704","
SAN JUAN, PR 009074232
(18.45188, -66.079054)"
"INOVASOURCE ENERGY AND TECHNOLOG","INOVASOURCE ENERGY AND TECHNOLOG","GENERAL SERVICES","2022-03-08T00:00:00.000","2022-12-31T00:00:00.000","711 CALLE UN APT 7S",,"SAN JUAN","PR","009074232","UNITED STATES","2022702705","
SAN JUAN, PR 009074232
(18.45188, -66.079054)"
"TRANSWORLD SYSTEMS INC","CREDIT MANAGEMENT SERVICES","MERCANTILE AGENCY OR COLLECTIONS AGENCY","2022-06-06T00:00:00.000","2022-12-31T00:00:00.000","METRO OFFICE PARK  18 CALLE 1  SUITE 101",,"GUAYNABO","PR","00968","UNITED STATES","2022706314","
GUAYNABO, PR 00968
(18.412806, -66.10484)"
"VTS CONSULTANTS INC","VTS CONSULTANTS INC","GENERAL SERVICES","2022-01-01T00:00:00.000","2022-12-31T00:00:00.000","19 RESEARCH DR STE 3",,"AMHERST","MA","010022781","UNITED STATES","2008600450","
AMHERST, MA 010022781
(42.374471, -72.491495)"
"ADVANCED CALL CTR TECH LLC","ADVANCED CALL CTR TECH LLC","MERCANTILE AGENCY OR COLLECTIONS AGENCY","2022-01-01T00:00:00.000","2022-12-31T00:00:00.000","AVENIDA REFORMA 12-23 ZONA 10",,"GUATEMALA CITY",,"01010","GUATEMALA","2021710523","
GUATEMALA CITY,  01010
(42.131694, -72.204318)"
"ADVANCED CALL CTR TECH LLC","ADVANCED CALL CTR TECH LLC","MERCANTILE AGENCY OR COLLECTIONS AGENCY","2022-01-01T00:00:00.000","2022-12-31T00:00:00.000","AVENIDA REFORMA 12-33 ZONA 10",,"GUATEMALA CITY",,"01010","GUATEMALA","2021712343","
GUATEMALA CITY,  01010
(42.131694, -72.204318)"
