"award_number","rebate_amount","city","state","county","zip","age","gender","date_of_purchase","dealership","vehicle_type","make","model","year","lease","gasoline_emissions","alt_fuel_emissions","emissions_avoided"
"CVR071501","2200","Hockessin","DE","New Castle","19707","81","M","2015-07-20T00:00:00.000","Sheridan Ford","Plug-in Hybrid","Ford","Fusion Energi","2016","No","14815","6575","8240"
"CVR071502","2200","Wilmington","DE","New Castle","19809","47","M","2015-07-20T00:00:00.000","Porter Ford","Plug-in Hybrid","Ford","C-Max Energi","2015","Yes","14815","6575","8240"
"CVR071503","2200","Wilmington","DE","New Castle","19810","47","M","2015-07-22T00:00:00.000","Darcars of Lanham Severn. Inc.","Electric","Ford","Focus Electric","2015","Yes","14815","5539","9276"
"CVR071504","2200","Wilmington","DE","New Castle","19808","66","M","2015-07-20T00:00:00.000","Sheridan Ford","Plug-in Hybrid","Ford","C-Max Energi","2015","Yes","14815","6575","8240"
"CVR071505","2200","New Castle","DE","New Castle","19720","51","M","2015-07-24T00:00:00.000","Sheridan Ford","Plug-in Hybrid","Ford","Fusion Energi","2015","Yes","14815","6575","8240"
"CVR071506","2200","Milton","DE","Sussex","19968","78","M","2015-07-24T00:00:00.000","Nucar Lewes Automall","Plug-in Hybrid","Chevrolet","Volt","2015","No","14815","6575","8240"
"CVR081507","2200","Magnolia","DE","Kent","19962","51","F","2015-07-31T00:00:00.000","Willis Ford","Plug-in Hybrid","Ford","C-Max Energi","2015","Yes","14815","6575","8240"
"CVR081508","2200","Wilmington","DE","New Castle","19810","47","M","2015-08-06T00:00:00.000","Nucar Chevrolet","Plug-in Hybrid","Chevrolet","Volt","2015","Yes","14815","6575","8240"
"CVR081509","2200","Dover","DE","Kent","19904","62","M","2015-07-31T00:00:00.000","Willis Ford","Plug-in Hybrid","Ford","C-Max Energi","2015","No","14815","6575","8240"
"CVR081510","2200","Newark","DE","New Castle","19711","72","M","2015-07-31T00:00:00.000","Porter Ford","Plug-in Hybrid","Ford","Fusion Energi","2015","Yes","14815","6575","8240"
"CVR081513","2200","Wilmington","DE","New Castle","19810","51","F","2015-07-25T00:00:00.000","Sheridan Ford","Plug-in Hybrid","Ford","C-Max Energi","2015","Yes","14815","6575","8240"
"CVR081514","2200","Newark","DE","New Castle","19711","40","F","2015-07-30T00:00:00.000","Porter Ford","Plug-in Hybrid","Ford","C-Max Energi","2015","Yes","14815","6575","8240"
"CVR081515","2200","Clayton","DE","Kent","19938","52","F","2015-07-28T00:00:00.000","Sheridan Ford","Plug-in Hybrid","Ford","C-Max Energi","2015","Yes","14815","6575","8240"
"CVR081516","2200","Wilmington","DE","New Castle","19805","45","F","2015-07-20T00:00:00.000","Sheridan Ford","Plug-in Hybrid","Ford","C-Max Energi","2015","No","14815","6575","8240"
"CVR081517","2200","Wilmington","DE","Kent","19934","62","M","2015-08-16T00:00:00.000","Koons of Silver Springs","Plug-in Hybrid","Ford","C-Max Energi","2015","No","14815","6575","8240"
"CVR081518","2200","Wilmington","DE","New Castle","19803","26","M","2015-07-17T00:00:00.000","Sheridan Ford","Plug-in Hybrid","Ford","C-Max Energi","2014","No","14815","6575","8240"
"CVR081519","2200","Newark","DE","New Castle","19713","41","M","2015-07-31T00:00:00.000","Porter Ford","Plug-in Hybrid","Ford","Fusion Energi","2015","Yes","14815","6575","8240"
"CVR081520","2200","Townsend","DE","New Castle","19734","39","M","2015-07-21T00:00:00.000","Willis Ford","Plug-in Hybrid","Ford","C-Max Energi","2015","Yes","14815","6575","8240"
"CVR081521","2200","Millsboro","DE","Sussex","19966","41","M","2015-08-22T00:00:00.000","Boulevard Ford","Plug-in Hybrid","Ford","Fusion Energi","2015","Yes","14815","6575","8240"
"CVR081522","2200","Wilmington","DE","New Castle","19805","59","F","2015-07-22T00:00:00.000","Diver Chevrolet","Plug-in Hybrid","Chevrolet","Volt","2015","No","14815","6575","8240"
"CVR081523","2200","Middletown","DE","New Castle","19709","35","M","2015-08-08T00:00:00.000","Sheridan Ford","Plug-in Hybrid","Ford","Fusion Energi","2015","Yes","14815","6575","8240"
