"meeting_id","item_id","motion_id","vote","voter","item_title","motion_description","motion_status","conflict_of_interest_","url"
"1671","52369","9171a795-9419-47ff-91c1-9305e6a54c51","Abstain","S. McKeen - Councillor","Bylaw 17547 - To amend Bylaw 16524, a Bylaw to authorize the City of Edmonton to construct, finance and assess Water, Sanitary Sewer and Storm Sewer underground Local Improvement located West of 104 Street NW and North of 102 Avenue NW for Fox One","That Bylaw 17547 be read a first time.","Carried","Yes","Minutes (http://sirepub.edmonton.ca/sirepub/mtgviewer.aspx?meetid=1671&doctype=MINUTES)"
"1671","52369","5f3ca22b-6818-4578-bfef-6da183eb9550","Abstain","S. McKeen - Councillor","Bylaw 17547 - To amend Bylaw 16524, a Bylaw to authorize the City of Edmonton to construct, finance and assess Water, Sanitary Sewer and Storm Sewer underground Local Improvement located West of 104 Street NW and North of 102 Avenue NW for Fox One","Title:<BR><BR> <P>Action: That Bylaw 17547 be read a third time. </P> <P>Department: Distribution List</P> <P></P>","Carried","Yes","Minutes (http://sirepub.edmonton.ca/sirepub/mtgviewer.aspx?meetid=1671&doctype=MINUTES)"
"1671","52369","94876dd5-ff74-4232-9392-6c113be58603","Abstain","S. McKeen - Councillor","Bylaw 17547 - To amend Bylaw 16524, a Bylaw to authorize the City of Edmonton to construct, finance and assess Water, Sanitary Sewer and Storm Sewer underground Local Improvement located West of 104 Street NW and North of 102 Avenue NW for Fox One","That Bylaw 17547 be considered for third reading.","Carried","Yes","Minutes (http://sirepub.edmonton.ca/sirepub/mtgviewer.aspx?meetid=1671&doctype=MINUTES)"
"1671","52369","18c663bb-352a-4db9-a50b-27e626883dd8","Abstain","S. McKeen - Councillor","Bylaw 17547 - To amend Bylaw 16524, a Bylaw to authorize the City of Edmonton to construct, finance and assess Water, Sanitary Sewer and Storm Sewer underground Local Improvement located West of 104 Street NW and North of 102 Avenue NW for Fox One","That Bylaw 17547 be read a second time.","Carried","Yes","Minutes (http://sirepub.edmonton.ca/sirepub/mtgviewer.aspx?meetid=1671&doctype=MINUTES)"
"1611","56554","92ee9b89-3c61-4321-aa9f-40fe731df7c3","Abstain","B. Henderson - Councillor","Bylaw 17735 - Amendment to the Riverview Area Structure Plan","Title:<BR><BR> <P>Action: That Bylaw 17735 be read a third time.</P> <P>Department: Distribution List</P> <P></P>","Carried","No","Minutes (http://sirepub.edmonton.ca/sirepub/mtgviewer.aspx?meetid=1611&doctype=MINUTES)"
"1611","56553","9fd00559-54c2-46a7-9f70-8e746ae00b5c","Abstain","B. Henderson - Councillor","Bylaw 17736 - Adoption of the Stillwater Neighbourhood Structure Plan","Title:<BR><BR> <P>Action: That Bylaw 17736 be read a third time. </P> <P>Department: Distribution List</P> <P></P>","Carried","No","Minutes (http://sirepub.edmonton.ca/sirepub/mtgviewer.aspx?meetid=1611&doctype=MINUTES)"
"1504","49166","30617a98-6bc8-4369-af1e-3d9e4180ce6a","Abstain","A. Sohi - Councillor","Bylaw 17452 - To allow for the development of low rise apartments, row housing and the continued use of a school and park site, Blue Quill","That Bylaw 17452 be read a first time.","Carried","Not Known","Minutes (http://sirepub.edmonton.ca/sirepub/mtgviewer.aspx?meetid=1504&doctype=MINUTES)"
"1504","49166","e6a9bfc4-e3df-453d-8167-77487125758c","Abstain","A. Sohi - Councillor","Bylaw 17452 - To allow for the development of low rise apartments, row housing and the continued use of a school and park site, Blue Quill","That Bylaw 17452 be read aÂ second time.","Carried","Not Known","Minutes (http://sirepub.edmonton.ca/sirepub/mtgviewer.aspx?meetid=1504&doctype=MINUTES)"
"1504","49155","e5d5bebf-da7e-4a78-a905-d1e4403f4633","Abstain","A. Sohi - Councillor","Removal of Reserve Designation - Allowing for leasing","Title:<BR><BR> <P>Action:1. That the removal of the Reserve designation from the lands legally described as: - Lot 1R  Block 10  Plan 4054MC excepting thereout all mines and minerals - Lot 3R  Block 10  Plan 4054MC excepting thereout all mines and minerals as outlined in Attachment 1 of the December 14  2015  Sustainable Development report CR_3054  be approved.<BR>2. That a designated officer within Administration notify the Registrar of Titles of the Northern Alberta Land Titles Office that the provisions of the <EM>Municipal Governament Act</EM>  R.S.A. 2000  c.M-26 have been complied with and request that the Registrar remove the designation of Municipal Reserve from the lands shown in Attachment 1 of the December 14  2015  Sustainable Development report CR_3054.</P> <P>Department:Sustainable Dev.</P> <P></P>","Carried","Not Known","Minutes (http://sirepub.edmonton.ca/sirepub/mtgviewer.aspx?meetid=1504&doctype=MINUTES)"
"1504","49166","f89a94ca-9a9f-4502-a844-9c2a31edb9e7","Abstain","A. Sohi - Councillor","Bylaw 17452 - To allow for the development of low rise apartments, row housing and the continued use of a school and park site, Blue Quill","That Bylaw 17452 be considered for third reading.","Carried","Not Known","Minutes (http://sirepub.edmonton.ca/sirepub/mtgviewer.aspx?meetid=1504&doctype=MINUTES)"
"1504","48578","4fdb3065-acaf-4c3e-b823-11ff41040a04","Abstain","A. Sohi - Councillor","Bylaw 17434 - To allow development of low rise apartment housing, Britannia Youngstown","Title:<BR><BR> <P>Action:That Bylaw 17434 be read a third time.</P> <P>Department:Distribution List</P> <P></P>","Carried","Not Known","Minutes (http://sirepub.edmonton.ca/sirepub/mtgviewer.aspx?meetid=1504&doctype=MINUTES)"
"1504","49496","7f3801e0-85f7-4c52-999c-aedeb3d02713","Abstain","A. Sohi - Councillor","Bylaw 17473 - To allow for Semi-detached Housing and Duplex Housing, Laurel","Title:<BR><BR> <P>Action:That Bylaw 17473 be read a third time.</P> <P>Department:Distribution List</P> <P></P>","Carried","Not Known","Minutes (http://sirepub.edmonton.ca/sirepub/mtgviewer.aspx?meetid=1504&doctype=MINUTES)"
"1466","47282","4b933dff-9aa5-4a7e-8ca9-3eae5cb52bc4","Abstain","D. Loken - Councillor","Bylaw 17268 - Amendment to the North Saskatchewan River Valley Area Redevelopment Plan","Title:<BR><BR> <P>Action: That Bylaw 17268 be read a third time. </P> <P>Department: Distribution List</P> <P></P>","Carried","No","Minutes (http://sirepub.edmonton.ca/sirepub/mtgviewer.aspx?meetid=1466&doctype=MINUTES)"
"1466","47281","68336cb6-84b9-41d2-9746-3f2f52399ed4","Abstain","D. Loken - Councillor","Bylaw 17181 - To amend Bylaw 14380 - Arterial Roads for Development to Include a New Catchment, Riverview","Title:<BR><BR> <P>Action: That Bylaw 17181 be read a third time.</P> <P>Department: Distribution List</P> <P></P>","Carried","No","Minutes (http://sirepub.edmonton.ca/sirepub/mtgviewer.aspx?meetid=1466&doctype=MINUTES)"
