"row_id","site_id","location_description","direction","speed_limit","speed_unit_of_measure","minimum_speed_detection_setting","maximum_speed_detection_setting","log_timestamp","vehicle_count_for_log_interval","speed_range_for_bin","bin_number","minimum_speed_for_bin_number","maximum_speed_for_bin_number","bin_over_speed_limit_flag","vehicle_count_at_slowest_speed_detected","vehicle_count_at_highest_speed_detected"
"DFS195-2018090716:15:00-01","DFS195","Balwin (7055 132 Ave)","EB","25","KPH","15","75","2018-09-07T16:15:00.000","135","15","1","6","20","0","7","4"
"DFS195-2018090716:15:00-02","DFS195","Balwin (7055 132 Ave)","EB","25","KPH","15","75","2018-09-07T16:15:00.000","135","6","2","21","26","1","23","8"
"DFS195-2018090716:15:00-03","DFS195","Balwin (7055 132 Ave)","EB","25","KPH","15","75","2018-09-07T16:15:00.000","135","6","3","27","32","2","24","13"
"DFS195-2018090716:15:00-04","DFS195","Balwin (7055 132 Ave)","EB","25","KPH","15","75","2018-09-07T16:15:00.000","135","6","4","33","38","2","28","17"
"DFS195-2018090716:15:00-05","DFS195","Balwin (7055 132 Ave)","EB","25","KPH","15","75","2018-09-07T16:15:00.000","135","6","5","39","44","2","22","28"
"DFS195-2018090716:15:00-06","DFS195","Balwin (7055 132 Ave)","EB","25","KPH","15","75","2018-09-07T16:15:00.000","135","6","6","45","50","2","26","46"
"DFS195-2018090716:15:00-07","DFS195","Balwin (7055 132 Ave)","EB","25","KPH","15","75","2018-09-07T16:15:00.000","135","6","7","51","56","2","5","16"
"DFS195-2018090716:15:00-08","DFS195","Balwin (7055 132 Ave)","EB","25","KPH","15","75","2018-09-07T16:15:00.000","135","6","8","57","62","2","0","3"
"DFS195-2018090716:15:00-09","DFS195","Balwin (7055 132 Ave)","EB","25","KPH","15","75","2018-09-07T16:15:00.000","135","6","9","63","68","2","0","0"
"DFS195-2018090716:15:00-10","DFS195","Balwin (7055 132 Ave)","EB","25","KPH","15","75","2018-09-07T16:15:00.000","135","157","10","69","225","2","0","0"
"DFS195-2018090716:30:00-01","DFS195","Balwin (7055 132 Ave)","EB","25","KPH","15","75","2018-09-07T16:30:00.000","47","15","1","6","20","0","0","0"
"DFS195-2018090716:30:00-02","DFS195","Balwin (7055 132 Ave)","EB","25","KPH","15","75","2018-09-07T16:30:00.000","47","6","2","21","26","1","1","0"
"DFS195-2018090716:30:00-03","DFS195","Balwin (7055 132 Ave)","EB","25","KPH","15","75","2018-09-07T16:30:00.000","47","6","3","27","32","2","1","0"
"DFS195-2018090716:30:00-04","DFS195","Balwin (7055 132 Ave)","EB","25","KPH","15","75","2018-09-07T16:30:00.000","47","6","4","33","38","2","17","3"
"DFS195-2018090716:30:00-05","DFS195","Balwin (7055 132 Ave)","EB","25","KPH","15","75","2018-09-07T16:30:00.000","47","6","5","39","44","2","12","15"
"DFS195-2018090716:30:00-06","DFS195","Balwin (7055 132 Ave)","EB","25","KPH","15","75","2018-09-07T16:30:00.000","47","6","6","45","50","2","11","16"
