"row_id","site_id","location_description","direction","speed_limit","speed_unit_of_measure","minimum_speed_detection_setting","maximum_speed_detection_setting","log_timestamp","vehicle_count_for_log_interval","speed_range_for_bin","bin_number","minimum_speed_for_bin_number","maximum_speed_for_bin_number","bin_over_speed_limit_flag","vehicle_count_at_slowest_speed_detected","vehicle_count_at_highest_speed_detected"
"DFS096-2016122307:47:47-01","DFS096","Bellamy Hill NO 99 Ave SB","SB","50","KPH","15","75","2016-12-23T07:47:00.000","51","15","1","6","20","0","2","1"
"DFS096-2016122307:47:47-02","DFS096","Bellamy Hill NO 99 Ave SB","SB","50","KPH","15","75","2016-12-23T07:47:00.000","51","6","2","21","26","0","2","0"
"DFS096-2016122307:47:47-03","DFS096","Bellamy Hill NO 99 Ave SB","SB","50","KPH","15","75","2016-12-23T07:47:00.000","51","6","3","27","32","0","5","1"
"DFS096-2016122307:47:47-04","DFS096","Bellamy Hill NO 99 Ave SB","SB","50","KPH","15","75","2016-12-23T07:47:00.000","51","6","4","33","38","0","7","4"
"DFS096-2016122307:47:47-05","DFS096","Bellamy Hill NO 99 Ave SB","SB","50","KPH","15","75","2016-12-23T07:47:00.000","51","6","5","39","44","0","16","8"
"DFS096-2016122307:47:47-06","DFS096","Bellamy Hill NO 99 Ave SB","SB","50","KPH","15","75","2016-12-23T07:47:00.000","51","6","6","45","50","1","14","16"
"DFS096-2016122307:47:47-07","DFS096","Bellamy Hill NO 99 Ave SB","SB","50","KPH","15","75","2016-12-23T07:47:00.000","51","6","7","51","56","2","4","17"
"DFS096-2016122307:47:47-08","DFS096","Bellamy Hill NO 99 Ave SB","SB","50","KPH","15","75","2016-12-23T07:47:00.000","51","6","8","57","62","2","1","4"
"DFS096-2016122307:47:47-09","DFS096","Bellamy Hill NO 99 Ave SB","SB","50","KPH","15","75","2016-12-23T07:47:00.000","51","6","9","63","68","2","0","0"
"DFS096-2016122307:47:47-10","DFS096","Bellamy Hill NO 99 Ave SB","SB","50","KPH","15","75","2016-12-23T07:47:00.000","51","157","10","69","225","2","0","0"
"DFS096-2016122308:02:47-01","DFS096","Bellamy Hill NO 99 Ave SB","SB","50","KPH","15","75","2016-12-23T08:02:00.000","47","15","1","6","20","0","2","0"
"DFS096-2016122308:02:47-02","DFS096","Bellamy Hill NO 99 Ave SB","SB","50","KPH","15","75","2016-12-23T08:02:00.000","47","6","2","21","26","0","2","0"
"DFS096-2016122308:02:47-03","DFS096","Bellamy Hill NO 99 Ave SB","SB","50","KPH","15","75","2016-12-23T08:02:00.000","47","6","3","27","32","0","5","2"
"DFS096-2016122308:02:47-04","DFS096","Bellamy Hill NO 99 Ave SB","SB","50","KPH","15","75","2016-12-23T08:02:00.000","47","6","4","33","38","0","4","3"
"DFS096-2016122308:02:47-05","DFS096","Bellamy Hill NO 99 Ave SB","SB","50","KPH","15","75","2016-12-23T08:02:00.000","47","6","5","39","44","0","17","2"
"DFS096-2016122308:02:47-06","DFS096","Bellamy Hill NO 99 Ave SB","SB","50","KPH","15","75","2016-12-23T08:02:00.000","47","6","6","45","50","1","13","16"
"DFS096-2016122308:02:47-07","DFS096","Bellamy Hill NO 99 Ave SB","SB","50","KPH","15","75","2016-12-23T08:02:00.000","47","6","7","51","56","2","2","18"
"DFS096-2016122308:02:47-08","DFS096","Bellamy Hill NO 99 Ave SB","SB","50","KPH","15","75","2016-12-23T08:02:00.000","47","6","8","57","62","2","2","6"
"DFS096-2016122308:02:47-09","DFS096","Bellamy Hill NO 99 Ave SB","SB","50","KPH","15","75","2016-12-23T08:02:00.000","47","6","9","63","68","2","0","0"
"DFS096-2016122308:02:47-10","DFS096","Bellamy Hill NO 99 Ave SB","SB","50","KPH","15","75","2016-12-23T08:02:00.000","47","157","10","69","225","2","0","0"
"DFS096-2016122308:17:47-01","DFS096","Bellamy Hill NO 99 Ave SB","SB","50","KPH","15","75","2016-12-23T08:17:00.000","52","15","1","6","20","0","4","2"
"DFS096-2016122308:17:47-02","DFS096","Bellamy Hill NO 99 Ave SB","SB","50","KPH","15","75","2016-12-23T08:17:00.000","52","6","2","21","26","0","3","0"
"DFS096-2016122308:17:47-03","DFS096","Bellamy Hill NO 99 Ave SB","SB","50","KPH","15","75","2016-12-23T08:17:00.000","52","6","3","27","32","0","5","1"
"DFS096-2016122308:17:47-04","DFS096","Bellamy Hill NO 99 Ave SB","SB","50","KPH","15","75","2016-12-23T08:17:00.000","52","6","4","33","38","0","7","6"
"DFS096-2016122308:17:47-05","DFS096","Bellamy Hill NO 99 Ave SB","SB","50","KPH","15","75","2016-12-23T08:17:00.000","52","6","5","39","44","0","16","6"
