"date","year","month","day","rain_gauge_id","quadrant","amount","rain_gauge_moved","latitude","longitude","geocoded_column"
"2018-07-17T00:00:00.000","2018","July","17","P007","SW","0",,,,
"2015-06-03T00:00:00.000","2015","June","3","P017","SW","0",,,,
"2016-08-02T00:00:00.000","2016","August","2","P012","SW","39",,"53.3384770700","-113.6594260800","POINT (-113.65942608 53.33847707)"
"2017-09-15T00:00:00.000","2017","September","15","P205","NW","20",,"53.74526637","-113.49379386","POINT (-113.49379386 53.74526637)"
"2013-06-03T00:00:00.000","2013","June","3","P011","SW","7",,"53.3961315200","-113.6889365900","POINT (-113.68893659 53.39613152)"
"2012-07-26T00:00:00.000","2012","July","26","P313","SE","1",,"53.45407","-113.29557","POINT (-113.29557 53.45407)"
"2013-06-25T00:00:00.000","2013","June","25","P006","SW","12",,"53.5122637500","-113.7870551600","POINT (-113.78705516 53.51226375)"
"2014-06-06T00:00:00.000","2014","June","6","P107","NW","19",,"53.628509","-113.563592","POINT (-113.563592 53.628509)"
"2016-07-11T00:00:00.000","2016","July","11","P229","NE","21",,"53.6000985900","-113.2706081200","POINT (-113.27060812 53.60009859)"
"2014-09-26T00:00:00.000","2014","September","26","P007","SW","0",,"53.5067247200","-113.6883910300","POINT (-113.68839103 53.50672472)"
"2014-05-30T00:00:00.000","2014","May","30","P209","NE","16",,"53.71736","-113.39692","POINT (-113.39692 53.71736)"
"2015-06-03T00:00:00.000","2015","June","3","P231","NE","6",,"53.5730744300","-113.2707016700","POINT (-113.27070167 53.57307443)"
"2016-06-13T00:00:00.000","2016","June","13","P006","SW","21",,"53.5121696900","-113.7868900300","POINT (-113.78689003 53.51216969)"
"2013-09-10T00:00:00.000","2013","September","10","P304","SE","2",,"53.3379604400","-113.4887463200","POINT (-113.48874632 53.33796044)"
"2017-09-15T00:00:00.000","2017","September","15","P204","NW","8",,"53.7161854400","-113.4993669700","POINT (-113.49936697 53.71618544)"
"2015-07-13T00:00:00.000","2015","July","13","P323","SE","10",,"53.5409419700","-113.3870814800","POINT (-113.38708148 53.54094197)"
"2012-06-06T00:00:00.000","2012","June","6","P313","SE","4",,"53.45407","-113.29557","POINT (-113.29557 53.45407)"
"2018-05-09T00:00:00.000","2018","May","9","P323","SE","-1",,"53.5436946666667","-113.384427333333","POINT (-113.384427333333 53.5436946666667)"
"2016-08-02T00:00:00.000","2016","August","2","P210","NE","52",,"53.6861848400","-113.3937587200","POINT (-113.39375872 53.68618484)"
"2012-08-24T00:00:00.000","2012","August","24","P004","SW","30",,"53.45471","-113.78678","POINT (-113.78678 53.45471)"
"2016-08-11T00:00:00.000","2016","August","11","P002","SW","14",,"53.4823723400","-113.8856630000","POINT (-113.885663 53.48237234)"
"2019-05-27T00:00:00.000","2019","May","27","P015","SW","4",,"53.372704","-113.592058","POINT (-113.592058 53.372704)"
"2014-05-27T00:00:00.000","2014","May","27","P011","SW","12",,"53.396131","-113.688936","POINT (-113.688936 53.396131)"
"2016-08-11T00:00:00.000","2016","August","11","P231","NE","81",,"53.5730683200","-113.2707548400","POINT (-113.27075484 53.57306832)"
"2013-06-26T00:00:00.000","2013","June","26","P232","NE","24",,"53.5615428800","-113.3469533800","POINT (-113.34695338 53.56154288)"
"2014-07-21T00:00:00.000","2014","July","21","P111","NW","27",,"53.715718","-113.590458","POINT (-113.590458 53.715718)"
"2013-07-15T00:00:00.000","2013","July","15","P107","NW","46",,"53.6285387445","-113.5636387020","POINT (-113.563638702 53.6285387445)"
"2014-05-30T00:00:00.000","2014","May","30","P305","SE","12",,"53.338101","-113.391046","POINT (-113.391046 53.338101)"
"2015-06-23T00:00:00.000","2015","June","23","P216","NE","6",,"53.7450356500","-113.3219689900","POINT (-113.32196899 53.74503565)"
"2015-09-16T00:00:00.000","2015","September","16","P110","NW","44",,"53.6811901400","-113.5938218600","POINT (-113.59382186 53.68119014)"
"2012-07-26T00:00:00.000","2012","July","26","P016","SW","6",,"53.3957","-113.59009","POINT (-113.59009 53.3957)"
"2019-07-08T00:00:00.000","2019","July","8","P224","NE","4",,"53.566643","-113.225698","POINT (-113.225698 53.566643)"
"2013-06-13T00:00:00.000","2013","June","13","P224","NE","22",,"53.5705448800","-113.2218439400","POINT (-113.22184394 53.57054488)"
"2015-09-16T00:00:00.000","2015","September","16","P102","NW","53",,"53.5425008500","-113.7927177200","POINT (-113.79271772 53.54250085)"
"2017-09-15T00:00:00.000","2017","September","15","P110","NW","-1",,"53.6811195300","-113.5939058000","POINT (-113.5939058 53.68111953)"
"2014-05-30T00:00:00.000","2014","May","30","P104","NW","20",,"53.570618","-113.787023","POINT (-113.787023 53.570618)"
"2019-07-19T00:00:00.000","2019","July","19","P014","SW","42",,"53.34006","-113.583793","POINT (-113.583793 53.34006)"
"2014-05-30T00:00:00.000","2014","May","30","P302","SE","-1",,"53.3957649700","-113.4893625200","POINT (-113.48936252 53.39576497)"
"2015-04-29T00:00:00.000","2015","April","29","P016","SW","0",,"53.3956362400","-113.5901674400","POINT (-113.59016744 53.39563624)"
"2012-05-24T00:00:00.000","2012","May","24","P014","SW","6",,"53.33836","-113.58595","POINT (-113.58595 53.33836)"
"2017-06-15T00:00:00.000","2017","June","15","P212","NE","2",,"53.62939759","-113.39966957","POINT (-113.39966957 53.62939759)"
"2012-08-24T00:00:00.000","2012","August","24","P001","SW","27",,"53.51062","-113.88594","POINT (-113.88594 53.51062)"
"2014-07-26T00:00:00.000","2014","July","26","P227","NE","73",,"53.65745","-113.24503","POINT (-113.24503 53.65745)"
"2015-06-23T00:00:00.000","2015","June","23","P230","NE","1",,"53.5994077600","-113.3201385200","POINT (-113.32013852 53.59940776)"
"2016-04-19T00:00:00.000","2016","April","19","P102","NW","-1",,"53.5428296500","-113.7930966100","POINT (-113.79309661 53.54282965)"
"2019-07-08T00:00:00.000","2019","July","8","P011","SW","18",,"53.398039","-113.691005","POINT (-113.691005 53.398039)"
"2015-06-23T00:00:00.000","2015","June","23","P105","NW","15",,"53.5731732400","-113.6884983600","POINT (-113.68849836 53.57317324)"
"2013-08-20T00:00:00.000","2013","August","20","P013","SW","12",,"53.3667795400","-113.6643802500","POINT (-113.66438025 53.36677954)"
"2017-08-15T00:00:00.000","2017","August","15","P211","NE","10",,"53.65748877","-113.39363303","POINT (-113.39363303 53.65748877)"
"2016-04-19T00:00:00.000","2016","April","19","P204","NW","-1",,"53.7161854400","-113.4993669700","POINT (-113.49936697 53.71618544)"
"2016-04-19T00:00:00.000","2016","April","19","P010","SW","-1",,"53.4246073300","-113.6890781200","POINT (-113.68907812 53.42460733)"
"2013-06-03T00:00:00.000","2013","June","3","P312","SE","12",,"53.4806079100","-113.2954792200","POINT (-113.29547922 53.48060791)"
"2018-06-11T00:00:00.000","2018","June","11","P120","NW","47",,"53.711274","-113.688369","POINT (-113.688369 53.711274)"
"2012-08-24T00:00:00.000","2012","August","24","P313","SE","4",,"53.45407","-113.29557","POINT (-113.29557 53.45407)"
"2015-04-29T00:00:00.000","2015","April","29","P009","SW","0",,"53.4451655300","-113.6889276600","POINT (-113.68892766 53.44516553)"
"2015-07-18T00:00:00.000","2015","July","18","P010","SW","38",,"53.4247305200","-113.6892439600","POINT (-113.68924396 53.42473052)"
"2019-08-06T00:00:00.000","2019","August","6","P216","NE","69",,"53.73902","-113.315939","POINT (-113.315939 53.73902)"
"2015-07-31T00:00:00.000","2015","July","31","P323","SE","16",,"53.5409419700","-113.3870814800","POINT (-113.38708148 53.54094197)"
"2012-08-15T00:00:00.000","2012","August","15","P313","SE","12",,"53.45407","-113.29557","POINT (-113.29557 53.45407)"
"2013-07-11T00:00:00.000","2013","July","11","P224","NE","7",,"53.5705448800","-113.2218439400","POINT (-113.22184394 53.57054488)"
