"row_id","site_id","location_description","direction","speed_limit","speed_unit_of_measure","minimum_speed_detection_setting","maximum_speed_detection_setting","log_timestamp","vehicle_count_for_log_interval","speed_range_for_bin","bin_number","minimum_speed_for_bin_number","maximum_speed_for_bin_number","bin_over_speed_limit_flag","vehicle_count_at_slowest_speed_detected","vehicle_count_at_highest_speed_detected"
"DFS068-2016091413:13:29-01","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T13:13:00.000","84","15","1","6","20","0","10","0"
"DFS068-2016091413:13:29-02","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T13:13:00.000","84","6","2","21","26","0","5","1"
"DFS068-2016091413:13:29-03","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T13:13:00.000","84","6","3","27","32","0","7","0"
"DFS068-2016091413:13:29-04","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T13:13:00.000","84","6","4","33","38","0","13","5"
"DFS068-2016091413:13:29-05","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T13:13:00.000","84","6","5","39","44","0","34","9"
"DFS068-2016091413:13:29-06","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T13:13:00.000","84","6","6","45","50","1","12","20"
"DFS068-2016091413:13:29-07","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T13:13:00.000","84","6","7","51","56","2","3","37"
"DFS068-2016091413:13:29-08","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T13:13:00.000","84","6","8","57","62","2","0","11"
"DFS068-2016091413:13:29-09","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T13:13:00.000","84","6","9","63","68","2","0","1"
"DFS068-2016091413:13:29-10","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T13:13:00.000","84","157","10","69","225","2","0","0"
"DFS068-2016091413:28:29-01","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T13:28:00.000","87","15","1","6","20","0","9","2"
"DFS068-2016091413:28:29-02","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T13:28:00.000","87","6","2","21","26","0","4","0"
"DFS068-2016091413:28:29-03","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T13:28:00.000","87","6","3","27","32","0","13","1"
"DFS068-2016091413:28:29-04","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T13:28:00.000","87","6","4","33","38","0","12","0"
"DFS068-2016091413:28:29-05","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T13:28:00.000","87","6","5","39","44","0","24","6"
"DFS068-2016091413:28:29-06","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T13:28:00.000","87","6","6","45","50","1","18","26"
"DFS068-2016091413:28:29-07","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T13:28:00.000","87","6","7","51","56","2","7","34"
"DFS068-2016091413:28:29-08","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T13:28:00.000","87","6","8","57","62","2","0","16"
"DFS068-2016091413:28:29-09","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T13:28:00.000","87","6","9","63","68","2","0","1"
"DFS068-2016091413:28:29-10","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T13:28:00.000","87","157","10","69","225","2","0","1"
"DFS068-2016091413:43:29-01","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T13:43:00.000","86","15","1","6","20","0","0","0"
"DFS068-2016091413:43:29-02","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T13:43:00.000","86","6","2","21","26","0","5","1"
"DFS068-2016091413:43:29-03","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T13:43:00.000","86","6","3","27","32","0","9","0"
"DFS068-2016091413:43:29-04","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T13:43:00.000","86","6","4","33","38","0","12","2"
"DFS068-2016091413:43:29-05","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T13:43:00.000","86","6","5","39","44","0","32","0"
"DFS068-2016091413:43:29-06","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T13:43:00.000","86","6","6","45","50","1","20","20"
"DFS068-2016091413:43:29-07","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T13:43:00.000","86","6","7","51","56","2","6","45"
"DFS068-2016091413:43:29-08","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T13:43:00.000","86","6","8","57","62","2","2","14"
"DFS068-2016091413:43:29-09","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T13:43:00.000","86","6","9","63","68","2","0","4"
"DFS068-2016091413:43:29-10","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T13:43:00.000","86","157","10","69","225","2","0","0"
"DFS068-2016091413:58:29-01","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T13:58:00.000","85","15","1","6","20","0","4","0"
"DFS068-2016091413:58:29-02","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T13:58:00.000","85","6","2","21","26","0","5","0"
"DFS068-2016091413:58:29-03","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T13:58:00.000","85","6","3","27","32","0","8","0"
"DFS068-2016091413:58:29-04","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T13:58:00.000","85","6","4","33","38","0","13","2"
"DFS068-2016091413:58:29-05","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T13:58:00.000","85","6","5","39","44","0","29","3"
"DFS068-2016091413:58:29-06","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T13:58:00.000","85","6","6","45","50","1","20","20"
"DFS068-2016091413:58:29-07","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T13:58:00.000","85","6","7","51","56","2","3","42"
