"ward","age","female","male"
"Ward 1","0","333","324"
"Ward 1","1","305","343"
"Ward 1","2","322","334"
"Ward 1","3","310","324"
"Ward 1","4","315","334"
"Ward 1","5","292","312"
"Ward 1","6","325","327"
"Ward 1","7","272","298"
"Ward 1","8","260","282"
"Ward 1","9","292","278"
"Ward 1","10","256","284"
"Ward 1","11","250","290"
"Ward 1","12","263","238"
"Ward 1","13","267","306"
"Ward 1","14","251","312"
"Ward 1","15","293","309"
"Ward 1","16","241","294"
"Ward 1","17","294","283"
"Ward 1","18","288","326"
"Ward 1","19","303","325"
"Ward 1","20","341","372"
"Ward 1","21","369","328"
"Ward 1","22","335","371"
"Ward 1","23","333","371"
"Ward 1","24","355","396"
"Ward 1","25","379","411"
"Ward 1","26","350","401"
"Ward 1","27","417","360"
"Ward 1","28","388","414"
"Ward 1","29","423","372"
"Ward 1","30","421","435"
"Ward 1","31","470","454"
"Ward 1","32","432","440"
"Ward 1","33","436","443"
"Ward 1","34","405","466"
"Ward 1","35","384","371"
"Ward 1","36","384","416"
"Ward 1","37","383","370"
"Ward 1","38","362","372"
"Ward 1","39","371","376"
"Ward 1","40","353","348"
"Ward 1","41","347","377"
"Ward 1","42","363","362"
"Ward 1","43","377","369"
"Ward 1","44","388","386"
"Ward 1","45","391","352"
"Ward 1","46","366","392"
"Ward 1","47","377","363"
"Ward 1","48","367","327"
"Ward 1","49","403","424"
"Ward 1","50","450","438"
"Ward 1","51","449","426"
"Ward 1","52","429","390"
"Ward 1","53","439","432"
"Ward 1","54","453","460"
"Ward 1","55","427","430"
"Ward 1","56","466","436"
"Ward 1","57","454","414"
"Ward 1","58","407","430"
"Ward 1","59","406","395"
"Ward 1","60","369","345"
"Ward 1","61","369","351"
"Ward 1","62","324","298"
"Ward 1","63","290","302"
"Ward 1","64","317","272"
"Ward 1","65","287","253"
"Ward 1","66","298","227"
"Ward 1","67","308","240"
"Ward 1","68","245","193"
"Ward 1","69","202","174"
"Ward 1","70","241","183"
"Ward 1","71","207","179"
"Ward 1","72","203","153"
"Ward 1","73","236","166"
"Ward 1","74","204","137"
"Ward 1","75","191","141"
"Ward 1","76","190","152"
"Ward 1","77","183","122"
"Ward 1","78","206","118"
"Ward 1","79","179","118"
"Ward 1","80","146","107"
"Ward 1","81","173","120"
"Ward 1","82","163","113"
"Ward 1","83","155","80"
"Ward 1","84","132","108"
"Ward 1","85+","817","476"
"Ward 1","No Response","5932","6874"
"Ward 2","0","322","359"
"Ward 2","1","355","374"
"Ward 2","2","315","362"
"Ward 2","3","386","352"
"Ward 2","4","347","376"
"Ward 2","5","350","356"
"Ward 2","6","327","365"
"Ward 2","7","332","350"
"Ward 2","8","316","343"
"Ward 2","9","294","313"
"Ward 2","10","293","319"
"Ward 2","11","255","292"
"Ward 2","12","296","324"
"Ward 2","13","294","321"
"Ward 2","14","321","305"
"Ward 2","15","289","287"
"Ward 2","16","267","304"
"Ward 2","17","272","330"
"Ward 2","18","342","327"
"Ward 2","19","328","349"
"Ward 2","20","351","358"
"Ward 2","21","361","381"
"Ward 2","22","373","418"
"Ward 2","23","427","463"
"Ward 2","24","391","470"
"Ward 2","25","434","452"
"Ward 2","26","459","457"
"Ward 2","27","428","476"
"Ward 2","28","465","489"
"Ward 2","29","451","478"
"Ward 2","30","479","507"
"Ward 2","31","433","516"
"Ward 2","32","438","446"
"Ward 2","33","430","459"
"Ward 2","34","444","475"
"Ward 2","35","437","442"
"Ward 2","36","429","416"
"Ward 2","37","409","412"
"Ward 2","38","404","430"
"Ward 2","39","378","393"
"Ward 2","40","376","392"
"Ward 2","41","409","411"
"Ward 2","42","349","419"
"Ward 2","43","355","369"
"Ward 2","44","386","443"
"Ward 2","45","389","410"
"Ward 2","46","364","398"
"Ward 2","47","369","365"
"Ward 2","48","392","353"
"Ward 2","49","425","451"
"Ward 2","50","461","439"
"Ward 2","51","396","431"
"Ward 2","52","407","433"
"Ward 2","53","421","448"
"Ward 2","54","379","476"
"Ward 2","55","397","395"
"Ward 2","56","394","375"
"Ward 2","57","371","354"
"Ward 2","58","361","378"
"Ward 2","59","382","372"
"Ward 2","60","342","327"
"Ward 2","61","276","320"
"Ward 2","62","291","291"
"Ward 2","63","293","239"
"Ward 2","64","260","238"
"Ward 2","65","257","218"
"Ward 2","66","223","244"
"Ward 2","67","243","206"
"Ward 2","68","185","157"
"Ward 2","69","186","170"
"Ward 2","70","180","149"
"Ward 2","71","188","197"
"Ward 2","72","182","128"
"Ward 2","73","191","137"
"Ward 2","74","191","142"
"Ward 2","75","179","132"
"Ward 2","76","195","136"
"Ward 2","77","153","119"
"Ward 2","78","197","116"
"Ward 2","79","192","124"
"Ward 2","80","164","124"
"Ward 2","81","169","115"
"Ward 2","82","150","117"
"Ward 2","83","152","113"
"Ward 2","84","148","87"
"Ward 2","85+","979","499"
"Ward 2","No Response","6848","8090"
"Ward 3","0","335","354"
"Ward 3","1","373","341"
"Ward 3","2","345","403"
"Ward 3","3","370","404"
"Ward 3","4","376","417"
"Ward 3","5","433","384"
"Ward 3","6","426","421"
"Ward 3","7","393","414"
"Ward 3","8","370","381"
"Ward 3","9","358","370"
"Ward 3","10","403","421"
"Ward 3","11","357","354"
"Ward 3","12","378","403"
"Ward 3","13","371","419"
"Ward 3","14","363","409"
"Ward 3","15","378","418"
"Ward 3","16","381","422"
"Ward 3","17","404","416"
"Ward 3","18","418","471"
"Ward 3","19","392","431"
"Ward 3","20","401","478"
"Ward 3","21","411","451"
"Ward 3","22","395","440"
"Ward 3","23","411","457"
"Ward 3","24","369","429"
"Ward 3","25","455","454"
"Ward 3","26","434","446"
"Ward 3","27","395","442"
"Ward 3","28","394","420"
"Ward 3","29","436","439"
"Ward 3","30","420","425"
"Ward 3","31","417","404"
"Ward 3","32","463","405"
"Ward 3","33","433","413"
"Ward 3","34","449","421"
"Ward 3","35","440","361"
"Ward 3","36","395","416"
"Ward 3","37","413","395"
"Ward 3","38","410","397"
"Ward 3","39","387","388"
"Ward 3","40","392","390"
"Ward 3","41","419","375"
"Ward 3","42","386","373"
"Ward 3","43","426","406"
"Ward 3","44","389","429"
"Ward 3","45","404","419"
"Ward 3","46","418","446"
"Ward 3","47","423","384"
"Ward 3","48","434","418"
"Ward 3","49","487","451"
"Ward 3","50","455","466"
"Ward 3","51","505","474"
"Ward 3","52","457","438"
"Ward 3","53","473","462"
"Ward 3","54","449","472"
"Ward 3","55","465","494"
"Ward 3","56","462","416"
"Ward 3","57","430","442"
"Ward 3","58","408","399"
"Ward 3","59","368","416"
"Ward 3","60","398","371"
"Ward 3","61","358","328"
"Ward 3","62","339","312"
"Ward 3","63","329","340"
"Ward 3","64","313","316"
"Ward 3","65","244","330"
"Ward 3","66","262","268"
"Ward 3","67","278","250"
"Ward 3","68","254","234"
"Ward 3","69","197","198"
"Ward 3","70","204","165"
"Ward 3","71","184","179"
"Ward 3","72","162","171"
"Ward 3","73","140","172"
"Ward 3","74","155","183"
"Ward 3","75","132","148"
"Ward 3","76","139","140"
"Ward 3","77","116","105"
"Ward 3","78","138","126"
"Ward 3","79","109","116"
"Ward 3","80","116","101"
"Ward 3","81","99","93"
"Ward 3","82","83","88"
"Ward 3","83","91","78"
"Ward 3","84","70","83"
"Ward 3","85+","348","410"
"Ward 3","No Response","4381","4643"
"Ward 4","0","440","463"
"Ward 4","1","443","448"
"Ward 4","2","465","467"
"Ward 4","3","452","479"
"Ward 4","4","439","470"
"Ward 4","5","492","446"
"Ward 4","6","424","447"
"Ward 4","7","422","419"
"Ward 4","8","373","392"
"Ward 4","9","375","405"
"Ward 4","10","385","405"
"Ward 4","11","373","374"
"Ward 4","12","379","373"
"Ward 4","13","400","439"
"Ward 4","14","384","406"
"Ward 4","15","391","394"
"Ward 4","16","386","400"
"Ward 4","17","379","451"
"Ward 4","18","415","407"
"Ward 4","19","380","409"
"Ward 4","20","411","425"
"Ward 4","21","441","491"
"Ward 4","22","458","476"
"Ward 4","23","530","521"
"Ward 4","24","500","517"
"Ward 4","25","555","540"
"Ward 4","26","568","537"
"Ward 4","27","612","547"
"Ward 4","28","610","552"
"Ward 4","29","594","637"
"Ward 4","30","589","597"
"Ward 4","31","578","624"
"Ward 4","32","608","544"
"Ward 4","33","541","564"
"Ward 4","34","536","556"
"Ward 4","35","484","526"
"Ward 4","36","525","523"
"Ward 4","37","499","495"
"Ward 4","38","503","432"
"Ward 4","39","469","474"
"Ward 4","40","425","433"
"Ward 4","41","453","440"
"Ward 4","42","435","430"
"Ward 4","43","418","475"
"Ward 4","44","422","432"
"Ward 4","45","442","425"
"Ward 4","46","466","423"
"Ward 4","47","442","437"
"Ward 4","48","385","416"
"Ward 4","49","452","458"
"Ward 4","50","495","474"
"Ward 4","51","488","490"
"Ward 4","52","445","417"
"Ward 4","53","474","443"
"Ward 4","54","468","426"
"Ward 4","55","476","455"
"Ward 4","56","445","438"
"Ward 4","57","373","419"
"Ward 4","58","419","410"
"Ward 4","59","402","333"
"Ward 4","60","358","357"
"Ward 4","61","360","321"
"Ward 4","62","339","298"
"Ward 4","63","304","350"
"Ward 4","64","302","283"
"Ward 4","65","301","267"
"Ward 4","66","300","256"
"Ward 4","67","260","270"
"Ward 4","68","227","191"
"Ward 4","69","212","172"
"Ward 4","70","212","188"
"Ward 4","71","165","137"
"Ward 4","72","166","135"
"Ward 4","73","170","136"
"Ward 4","74","139","120"
"Ward 4","75","141","123"
"Ward 4","76","125","106"
"Ward 4","77","110","83"
"Ward 4","78","107","101"
"Ward 4","79","90","67"
"Ward 4","80","106","77"
"Ward 4","81","95","81"
"Ward 4","82","83","67"
"Ward 4","83","59","57"
"Ward 4","84","68","41"
"Ward 4","85+","301","180"
"Ward 4","No Response","4954","5499"
"Ward 5","0","336","375"
"Ward 5","1","405","425"
"Ward 5","2","367","401"
"Ward 5","3","421","406"
"Ward 5","4","434","455"
"Ward 5","5","416","400"
"Ward 5","6","430","407"
"Ward 5","7","389","405"
"Ward 5","8","356","395"
"Ward 5","9","362","365"
"Ward 5","10","344","369"
"Ward 5","11","348","381"
"Ward 5","12","363","383"
"Ward 5","13","326","356"
"Ward 5","14","396","377"
"Ward 5","15","362","401"
"Ward 5","16","400","413"
"Ward 5","17","343","441"
"Ward 5","18","366","412"
"Ward 5","19","379","408"
"Ward 5","20","404","427"
"Ward 5","21","413","417"
"Ward 5","22","437","419"
"Ward 5","23","414","463"
"Ward 5","24","411","458"
"Ward 5","25","431","439"
"Ward 5","26","414","427"
"Ward 5","27","457","459"
"Ward 5","28","462","455"
"Ward 5","29","472","462"
"Ward 5","30","478","455"
"Ward 5","31","491","448"
"Ward 5","32","529","469"
"Ward 5","33","507","438"
"Ward 5","34","456","459"
"Ward 5","35","478","463"
"Ward 5","36","453","450"
"Ward 5","37","465","428"
"Ward 5","38","456","460"
"Ward 5","39","465","421"
"Ward 5","40","442","490"
"Ward 5","41","426","423"
"Ward 5","42","489","414"
"Ward 5","43","438","454"
"Ward 5","44","432","402"
"Ward 5","45","460","427"
"Ward 5","46","417","451"
"Ward 5","47","418","403"
"Ward 5","48","431","435"
"Ward 5","49","443","423"
"Ward 5","50","494","424"
"Ward 5","51","535","467"
"Ward 5","52","520","442"
"Ward 5","53","475","457"
"Ward 5","54","481","430"
"Ward 5","55","491","456"
"Ward 5","56","473","436"
"Ward 5","57","434","414"
"Ward 5","58","460","406"
"Ward 5","59","400","401"
"Ward 5","60","373","355"
"Ward 5","61","337","323"
"Ward 5","62","352","301"
"Ward 5","63","330","304"
"Ward 5","64","303","298"
"Ward 5","65","272","266"
"Ward 5","66","267","263"
"Ward 5","67","251","235"
"Ward 5","68","201","214"
"Ward 5","69","199","164"
"Ward 5","70","188","175"
"Ward 5","71","178","137"
"Ward 5","72","170","129"
"Ward 5","73","166","122"
"Ward 5","74","159","112"
"Ward 5","75","155","134"
"Ward 5","76","140","124"
"Ward 5","77","131","114"
"Ward 5","78","125","103"
"Ward 5","79","107","90"
"Ward 5","80","110","92"
"Ward 5","81","114","75"
"Ward 5","82","95","84"
"Ward 5","83","101","68"
"Ward 5","84","81","60"
"Ward 5","85+","578","304"
"Ward 5","No Response","4487","4847"
"Ward 6","0","220","240"
"Ward 6","1","245","207"
"Ward 6","2","191","172"
"Ward 6","3","186","182"
