"row_id","site_id","location_description","direction","speed_limit","speed_unit_of_measure","minimum_speed_detection_setting","maximum_speed_detection_setting","log_timestamp","vehicle_count_for_log_interval","speed_range_for_bin","bin_number","minimum_speed_for_bin_number","maximum_speed_for_bin_number","bin_over_speed_limit_flag","vehicle_count_at_slowest_speed_detected","vehicle_count_at_highest_speed_detected"
"DFS135-2017071208:55:30-01","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T08:55:00.000","40","24","1","6","29","0","6","4"
"DFS135-2017071208:55:30-02","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T08:55:00.000","40","5","2","30","34","0","6","0"
"DFS135-2017071208:55:30-03","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T08:55:00.000","40","5","3","35","39","0","8","5"
"DFS135-2017071208:55:30-04","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T08:55:00.000","40","5","4","40","44","0","16","2"
"DFS135-2017071208:55:30-05","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T08:55:00.000","40","5","5","45","49","0","3","16"
"DFS135-2017071208:55:30-06","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T08:55:00.000","40","5","6","50","54","1","1","11"
"DFS135-2017071208:55:30-07","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T08:55:00.000","40","5","7","55","59","2","0","2"
"DFS135-2017071208:55:30-08","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T08:55:00.000","40","5","8","60","64","2","0","0"
"DFS135-2017071208:55:30-09","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T08:55:00.000","40","5","9","65","69","2","0","0"
"DFS135-2017071208:55:30-10","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T08:55:00.000","40","156","10","70","225","2","0","0"
"DFS135-2017071209:10:30-01","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T09:10:00.000","38","24","1","6","29","0","18","6"
"DFS135-2017071209:10:30-02","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T09:10:00.000","38","5","2","30","34","0","4","4"
"DFS135-2017071209:10:30-03","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T09:10:00.000","38","5","3","35","39","0","6","7"
"DFS135-2017071209:10:30-04","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T09:10:00.000","38","5","4","40","44","0","3","6"
