"activitydesc","activityid","activitytitle","coursedesc","courseid","coursetitle","startdatetime","startdate","starttime","enddatetime","enddate","endtime","age","barcode","brochure_section_id","brochure_subsection_id","brochure_subsection_title","brochure_title","confirmationtext","course_fee_id","dayofweek","facility","facilityid","fee","feetitle","internetdisplay","max_reg","min_reg","num_reg","num_waitl","registration_date","season"
"Lifesaving Society Bronze Star","CTK1077","Lifesaving Society Bronze Star",,"712665","Lifesaving Society Bronze Star","2022-09-17T11:45:00.000","2022-09-17T00:00:00.000","11:45:00","2022-12-17T12:45:00.000","2022-12-17T00:00:00.000","12:45:00","11-15","712665","11","2","Youth/Teen","Certification & Training",,"0","Sat","Terwillegar Community Recreation Centre","5559","195.75","Retail","https://movelearnplay.edmonton.ca/COE/public/booking/CourseDetails/712665","12","4","20","1","2022-08-09T08:30:00.000","2022 Fall Programs"
"Lifesaving Society Bronze Star","CTK1077","Lifesaving Society Bronze Star",,"711568","Lifesaving Society Bronze Star","2022-09-17T13:00:00.000","2022-09-17T00:00:00.000","13:00:00","2022-12-10T14:00:00.000","2022-12-10T00:00:00.000","14:00:00","11-15","711568","11","2","Youth/Teen","Certification & Training",,"0","Sat","Mill Woods Rec Centre","6","182.9","Retail","https://movelearnplay.edmonton.ca/COE/public/booking/CourseDetails/711568","12","4","21","0","2022-08-10T08:30:00.000","2022 Fall Programs"
"Youth In Action","CTK1083","Youth In Action","This class is designed to introduce youth to the basics of fitness and weight training. Upon completion of this program youth 12-15 years old are able to use the fitness centre independently.","713706","Youth in Action","2022-12-04T12:00:00.000","2022-12-04T00:00:00.000","12:00:00","2022-12-04T14:00:00.000","2022-12-04T00:00:00.000","14:00:00","12-15","713706","122","2","Youth/Teen","General Interest",,"0","Sun","Hardisty Leisure Centre","5","35","Retail","https://movelearnplay.edmonton.ca/COE/public/booking/CourseDetails/713706","12","6","13","0","2022-08-10T08:30:00.000","2022 Fall Programs"
"Youth In Action","CTK1083","Youth In Action","This class is designed to introduce youth to the basics of fitness and weight training. Upon completion of this program youth 12-15 years old are able to use the fitness centre independently.","713703","Youth in Action","2022-09-18T12:00:00.000","2022-09-18T00:00:00.000","12:00:00","2022-09-18T14:00:00.000","2022-09-18T00:00:00.000","14:00:00","12-15","713703","122","2","Youth/Teen","General Interest",,"0","Sun","Hardisty Leisure Centre","5","35","Retail","https://movelearnplay.edmonton.ca/COE/public/booking/CourseDetails/713703","12","6","15","0","2022-08-10T08:30:00.000","2022 Fall Programs"
"Youth In Action","CTK1083","Youth In Action","This class is designed to introduce youth to the basics of fitness and weight training. Upon completion of this program youth 12-15 years old are able to use the fitness centre independently.","713705","Youth in Action","2022-11-20T12:00:00.000","2022-11-20T00:00:00.000","12:00:00","2022-11-20T14:00:00.000","2022-11-20T00:00:00.000","14:00:00","12-15","713705","122","2","Youth/Teen","General Interest",,"0","Sun","Hardisty Leisure Centre","5","35","Retail","https://movelearnplay.edmonton.ca/COE/public/booking/CourseDetails/713705","12","6","12","0","2022-08-10T08:30:00.000","2022 Fall Programs"
"Youth In Action","CTK1083","Youth In Action","This class is designed to introduce youth to the basics of fitness and weight training. Upon completion of this program youth 12-15 years old are able to use the fitness centre independently.","713704","Youth in Action","2022-10-16T12:00:00.000","2022-10-16T00:00:00.000","12:00:00","2022-10-16T14:00:00.000","2022-10-16T00:00:00.000","14:00:00","12-15","713704","122","2","Youth/Teen","General Interest",,"0","Sun","Hardisty Leisure Centre","5","35","Retail","https://movelearnplay.edmonton.ca/COE/public/booking/CourseDetails/713704","12","6","12","0","2022-08-10T08:30:00.000","2022 Fall Programs"
"Swim Assessment","CTK11611","Swim Assessment",,"711091","Swim Assessment","2022-12-06T16:30:00.000","2022-12-06T00:00:00.000","16:30:00","2022-12-06T16:45:00.000","2022-12-06T00:00:00.000","16:45:00","4+","711091","4","3","Children","Aquatics and Swimming",,"0","Tue","Hardisty Leisure Centre","5","35.25","Retail","https://movelearnplay.edmonton.ca/COE/public/booking/CourseDetails/711091","1","1","1","0","2022-08-10T08:30:00.000","2022 Fall Programs"
"Swim Assessment","CTK11611","Swim Assessment",,"711090","Swim Assessment","2022-12-01T16:30:00.000","2022-12-01T00:00:00.000","16:30:00","2022-12-01T16:45:00.000","2022-12-01T00:00:00.000","16:45:00","4+","711090","4","3","Children","Aquatics and Swimming",,"0","Thu","Hardisty Leisure Centre","5","35.25","Retail","https://movelearnplay.edmonton.ca/COE/public/booking/CourseDetails/711090","1","1","1","0","2022-08-10T08:30:00.000","2022 Fall Programs"
"Swim Assessment","CTK11611","Swim Assessment",,"711088","Swim Assessment","2022-11-24T16:30:00.000","2022-11-24T00:00:00.000","16:30:00","2022-11-24T16:45:00.000","2022-11-24T00:00:00.000","16:45:00","4+","711088","4","3","Children","Aquatics and Swimming",,"0","Thu","Hardisty Leisure Centre","5","35.25","Retail","https://movelearnplay.edmonton.ca/COE/public/booking/CourseDetails/711088","1","1","1","0","2022-08-10T08:30:00.000","2022 Fall Programs"
"Swim Assessment","CTK11611","Swim Assessment",,"711086","Swim Assessment","2022-11-22T16:30:00.000","2022-11-22T00:00:00.000","16:30:00","2022-11-22T16:45:00.000","2022-11-22T00:00:00.000","16:45:00","4+","711086","4","3","Children","Aquatics and Swimming",,"0","Tue","Hardisty Leisure Centre","5","35.25","Retail","https://movelearnplay.edmonton.ca/COE/public/booking/CourseDetails/711086","1","1","1","0","2022-08-10T08:30:00.000","2022 Fall Programs"
"Swim Assessment","CTK11611","Swim Assessment",,"711094","Swim Assessment","2022-12-13T16:30:00.000","2022-12-13T00:00:00.000","16:30:00","2022-12-13T16:45:00.000","2022-12-13T00:00:00.000","16:45:00","4+","711094","4","3","Children","Aquatics and Swimming",,"0","Tue","Hardisty Leisure Centre","5","35.25","Retail","https://movelearnplay.edmonton.ca/COE/public/booking/CourseDetails/711094","1","1","1","0","2022-08-10T08:30:00.000","2022 Fall Programs"
