"pd_id","energy_star_partner","product_category","product_type","brand_name","model_name","model_number","additional_model_information","upc","energy_star_model_identifier"
"2251132","RAB Lighting, Inc.","Light Fixtures","Directional Luminaire","RAB Lighting Inc","ND4R12D + NDLED4RD-******-S","ND4R12D + NDLED4RD-******-S",",ND4R12D + NDLED4RD-XXXXXX-M-#,; ,ND4R12D + NDLED4RD-XXXXXX-W-#,; ,ND4R20D + NDLED4RD-XXXXXX-M-#,; ,ND4R20D + NDLED4RD-XXXXXX-S-#,; ,ND4R20D + NDLED4RD-XXXXXX-W-#,; ,ND4S12D + NDLED4SD-XXXXXX-M-#,; ,ND4S12D + NDLED4SD-XXXXXX-S-#,; ,ND4S12D + NDLED4SD-XXXXXX-W-#,; ,ND4S20D + NDLED4SD-XXXXXX-M-#,; ,ND4S20D + NDLED4SD-XXXXXX-S-#,; ,ND4S20D + NDLED4SD-XXXXXX-W-#,; ,RDLED4R12D-XXXXXX-M-#,; ,RDLED4R12D-XXXXXX-S-#,; ,RDLED4R12D-XXXXXX-W-#,; ,RDLED4R20D-XXXXXX-M-#,; ,RDLED4R20D-XXXXXX-S-#,; ,RDLED4R20D-XXXXXX-W-#,; ,RDLED4S12D-XXXXXX-M-#,; ,RDLED4S12D-XXXXXX-S-#,; ,RDLED4S12D-XXXXXX-W-#,; ,RDLED4S20D-XXXXXX-M-#,; ,RDLED4S20D-XXXXXX-S-#,; ,RDLED4S20D-XXXXXX-W-#,; ND4R12D + NDLED4RD-******-S,ND4R12D + NDLED4RD-******-S,","","ES_1100782_ND4R12D + NDLED4RD-******-S_10222015220331_1411301"
"2251133","RAB Lighting, Inc.","Light Fixtures","Directional Luminaire","RAB Lighting Inc","ND6R20D + NDLED6RD-XXXXXX-S-#","ND6R20D + NDLED6RD-XXXXXX-S-#",",ND6R20D + NDLED6RD-XXXXXX-M-#,; ,ND6R20D + NDLED6RD-XXXXXX-W-#,; ,ND6R26D + NDLED6RD-XXXXXX-M-#,; ,ND6R26D + NDLED6RD-XXXXXX-S-#,; ,ND6R26D + NDLED6RD-XXXXXX-W-#,; ,ND6S20D + NDLED6SD-XXXXXX-M-#,; ,ND6S20D + NDLED6SD-XXXXXX-S-#,; ,ND6S20D + NDLED6SD-XXXXXX-W-#,; ,ND6S26D + NDLED6SD-XXXXXX-M-#,; ,ND6S26D + NDLED6SD-XXXXXX-S-#,; ,ND6S26D + NDLED6SD-XXXXXX-W-#,; ,RDLED6R20D-XXXXXX-M-#,; ,RDLED6R20D-XXXXXX-S-#,; ,RDLED6R20D-XXXXXX-W-#,; ,RDLED6R26D-XXXXXX-M-#,; ,RDLED6R26D-XXXXXX-S-#,; ,RDLED6R26D-XXXXXX-W-#,; ,RDLED6S20D-XXXXXX-M-#,; ,RDLED6S20D-XXXXXX-S-#,; ,RDLED6S20D-XXXXXX-W-#,; ,RDLED6S26D-XXXXXX-M-#,; ,RDLED6S26D-XXXXXX-S-#,; ,RDLED6S26D-XXXXXX-W-#,; ND6R20D + NDLED6RD-XXXXXX-S-#,ND6R20D + NDLED6RD-XXXXXX-S-#,","","ES_1100782_ND6R20D + NDLED6RD-XXXXXX-S-#_10222015220531_1531620"
"2251134","ETi Solid State Lighting (Zhuhai) Limited","Light Fixtures","Directional Luminaire","ETI","LED Ceiling light","546191XX","(where xx denotes color temperature,,41～50 identifies 4000K),","","ES_1129756_546191XX_10232015065850_3530801"
"2251135","The Home Depot","Light Fixtures","Directional Luminaire","Hampton Bay","LED Ceiling light","540743XX",",,XX denotes color temperature, 41-50 identifies 4000K","","ES_31912_540743XX_10232015085833_0713440"
"2251136","The Home Depot","Light Fixtures","Directional Luminaire","Hampton Bay","LED Ceiling light","546191XX","(where xx denotes color temperature,,41～50 identifies 4000K),","","ES_31912_546191XX_10232015085952_0792617"
"2251181","The Home Depot","Light Fixtures","Directional Luminaire","Hampton Bay","LED Ceiling light","546401XX",",,XX denotes color temperature, 41-50 identifies 4000K","","ES_31912_546401XX_10232015090119_0879001"
"2251182","The Home Depot","Light Fixtures","Directional Luminaire","Hampton Bay","LED Ceiling light","546162XX",",,XX denotes color temperature, 41-50 identifies 4000K","","ES_31912_546162XX_10232015085908_0748431"
"2251183","The Home Depot","Light Fixtures","Directional Luminaire","Hampton Bay","LED Ceiling light","546182XX",",,XX denotes color temperature, 41-50 identifies 4000K","","ES_31912_546182XX_10232015085922_0762644"
"2251184","The Home Depot","Light Fixtures","Directional Luminaire","Hampton Bay","LED Ceiling light","546201XX",",,XX denotes color temperature, 41-50 identifies 4000K","","ES_31912_546201XX_10232015090021_0821771"
"2251186","The Home Depot","Light Fixtures","Directional Luminaire","Hampton Bay","LED Ceiling light","540753XX",",,XX denotes color temperature, 41-50 identifies 4000K","","ES_31912_540753XX_10232015085848_0728189"
"2251214","Signify","Light Fixtures","Directional Luminaire","Lightolier","LyteSpan SpotLED","LLAB127RFxxxxVA","","","ES_41247_LLAB127RFxxxxVA_10262015142853_9733093"
"2251215","Signify","Light Fixtures","Directional Luminaire","Lightolier","LyteSpan SpotLED","LLAB127RNFxxxxVA","","","ES_41247_LLAB127RNFxxxxVA_10262015142928_9768153"
"2251216","Signify","Light Fixtures","Directional Luminaire","Lightolier","LyteSpan SpotLED","LLAB127RSxxxxVA","","","ES_41247_LLAB127RSxxxxVA_10262015142951_9791223"
"2251217","Signify","Light Fixtures","Directional Luminaire","Lightolier","LyteSpan SpotLED","LLAB130RFxxxxVA","","","ES_41247_LLAB130RFxxxxVA_10262015143102_9862472"
"2251218","Signify","Light Fixtures","Directional Luminaire","Lightolier","LyteSpan SpotLED","LLAB130RNFxxxxVA","","","ES_41247_LLAB130RNFxxxxVA_10262015143040_9840039"
"2251219","Signify","Light Fixtures","Directional Luminaire","Lightolier","LyteSpan SpotLED","LLAB130RSxxxxVA","","","ES_41247_LLAB130RSxxxxVA_10262015143019_9819874"
"2251220","Signify","Light Fixtures","Directional Luminaire","Lightolier","LyteSpan SpotLED","LLAB140RFxxxxVA","","","ES_41247_LLAB140RFxxxxVA_10262015143211_9931740"
"2251221","Signify","Light Fixtures","Directional Luminaire","Lightolier","LyteSpan SpotLED","LLAB140RNFxxxxVA","","","ES_41247_LLAB140RNFxxxxVA_10262015143146_9906602"
"2251222","Signify","Light Fixtures","Directional Luminaire","Lightolier","LyteSpan SpotLED","LLAB140RSxxxxVA","","","ES_41247_LLAB140RSxxxxVA_10262015143125_9885921"
"2251241","The Home Depot","Light Fixtures","Directional Luminaire","Commercial Electric","546631##(##=41-50)","546631##(##=41-50)","","","ES_31912_546631XX_10272015050652_2412502"
"2251242","ETi Solid State Lighting (Zhuhai) Limited","Light Fixtures","Directional Luminaire","ETI","546631##(##=41-50)","546631##(##=41-50)","","","ES_1129756_546631XX(41-50)_10272015054832_4912057"
"2251260","ETi Solid State Lighting (Zhuhai) Limited","Light Fixtures","Directional Luminaire","ETI","LED Ceiling light","546671XX(41-55)","","","ES_1129756_546671XX(41-55)_10272015085110_5870780"
"2251399","Zhongshan Luxmode Industrial Co., LTD.","Light Fixtures","Indoor Non-Directional Luminaire","Luxmode","Wall Sconces","LW002","","","ES_1088274_LW002_10282015135048_3213211"
"2251400","Zhongshan Luxmode Industrial Co., LTD.","Light Fixtures","Indoor Non-Directional Luminaire","Luxmode","Ceiling Mount","LC245","","","ES_1088274_LC245_10282015135039_4839048"
