"alm_time","alm_date","inci_no","station","occup_id","number","st_prefix","street","st_type","st_suffix","xstreet","xst_prefix","xst_type","xst_suffix","city","state","zip","latitude","longitude","mutl_aid","shift","alarms","alm_type","inci_type","descript"
"17:42:22","2015-10-13T00:00:00.000","15-0286049","11","22983","6",,"NEW PARK","AV",,,,,,"Hartford","CT","06106","41.756957","-72.706379","N","D","1","1","112","Fires in structure other than in a building"
"18:14:22","2014-06-01T00:00:00.000","14-0152055","11","22445","49",,"HAZEL","ST",,,,,,"Hartford","CT","06106","41.759","-72.705","N","A","1","1","111","Building fire"
"00:12:50","2014-12-20T00:00:00.000","14-0354002","08","16271","108",,"PUTNAM","ST",,,,,,"Hartford","CT","06106","41.758638","-72.6907","N","B","1","1","111","Building fire"
"02:24:46","2017-02-05T00:00:00.000","17-0036005","02","02012","187",,"ALLYN","ST",,,,,,"Hartford","CT","06103","41.768443","-72.680971","N","D","1","4","111","Building fire"
"20:47:08","2015-10-14T00:00:00.000","15-0287057","16","04113","881",,"TOWER","AV",,,,,,"Hartford","CT","06112","41.800391","-72.703027","N","A","1","1","111","Building fire"
"02:08:02","2014-05-27T00:00:00.000","14-0147005","08","14761","39",,"BABCOCK","ST",,,,,,"Hartford","CT","06106","41.7625","-72.68975","N","C","1","1","111","Building fire"
"17:32:32","2015-10-15T00:00:00.000","15-0288055","02","49942","515",,"MARY SHEPARDS PL",,,,,,,"Hartford","CT","06120","41.779385","-72.673855","N","B","1","1","111","Building fire"
"15:12:16","2017-02-05T00:00:00.000","17-0036048","05","19560","198",,"SOUTH MARSHALL","ST",,,,,,"Hartford","CT","06105","41.76569","-72.69898","N","A","1","1","111","Building fire"
"09:45:25","2015-10-18T00:00:00.000","15-0291020","05","11038","34",,"WILLARD","ST",,,,,,"Hartford","CT","06105","41.771535","-72.695122","N","A","1","1","113","Cooking fire, confined to container"
"12:27:47","2015-10-18T00:00:00.000","15-0291030","15","38904","141",,"MONROE","ST",,,,,,"Hartford","CT","06114","41.736075","-72.695763","N","A","1","1","114","Chimney or flue fire, confined to chimney or flue"
"20:04:06","2015-10-20T00:00:00.000","15-0293043","15","27067","45",,"CURTISS","ST",,,,,,"Hartford","CT","06106","41.743538","-72.696348","N","C","1","1","111","Building fire"
"07:29:34","2015-10-21T00:00:00.000","15-0294011","16","53197","100",,"COVENTRY","ST",,,,,,"Hartford","CT","06112","41.799344","-72.6902","N","C","1","1","113","Cooking fire, confined to container"
"11:59:18","2015-10-22T00:00:00.000","15-0295031","08","14787","242",,"PUTNAM","ST",,,,,,"Hartford","CT","06106","41.762379","-72.6907","N","A","1","1","113","Cooking fire, confined to container"
"00:03:53","2015-10-24T00:00:00.000","15-0297001","14","13503","153",,"OAKLAND","TER",,,,,,"Hartford","CT","06112","41.781897","-72.694229","N","B","2","1","111","Building fire"
"00:32:33","2015-10-25T00:00:00.000","15-0298002","15","39117","464",,"HILLSIDE","AV",,,,,,"Hartford","CT","06106","41.73797","-72.69728","N","C","1","1","111","Building fire"
"21:46:02","2015-10-28T00:00:00.000","15-0301057","01","41021","86",,"FRANKLIN","AV",,,,,,"Hartford","CT","06114","41.74931","-72.67776","N","C","1","1","111","Building fire"
"16:34:52","2015-10-29T00:00:00.000","15-0302048","02","52580","76",,"PLINY","ST",,,,,,"Hartford","CT","06120","41.780625","-72.683425","N","D","1","3","111","Building fire"
"09:18:54","2017-02-07T00:00:00.000","17-0038019","11","09670","72",,"OXFORD","ST",,,,,,"Hartford","CT","06105","41.764806","-72.713535","N","C","1","1","111","Building fire"
"20:48:19","2015-10-30T00:00:00.000","15-0303062","14","12636","152",,"EDGEWOOD","ST",,,,,,"Hartford","CT","06112","41.782098","-72.690836","N","A","1","1","111","Building fire"
"22:32:51","2015-11-03T00:00:00.000","15-0307071","14","13553","390",,"WOODLAND","ST",,,,,,"Hartford","CT","06112","41.779612","-72.697532","N","A","1","1","116","Fuel burner/boiler malfunction, fire confined"
"01:53:20","2015-10-24T00:00:00.000","15-0297011","11","09759","81",,"OXFORD","ST",,,,,,"Hartford","CT","06105","41.765161","-72.713482","1","B","1","1","111","Building fire"
"01:03:29","2015-11-04T00:00:00.000","15-0308003","05","19898","150",,"COLLINS","ST",,,,,,"Hartford","CT","06105","41.772552","-72.690285","N","A","1","1","113","Cooking fire, confined to container"
"21:35:49","2015-11-05T00:00:00.000","15-0309069","07","17444","27",,"LOOMIS","ST",,,,,,"Hartford","CT","06120","41.785968","-72.672147","N","C","1","1","111","Building fire"
"18:56:12","2017-02-09T00:00:00.000","17-0040052","08","15133","888",,"PARK","ST",,,,,,"Hartford","CT","06106","41.7579","-72.6907","N","A","1","1","111","Building fire"
"22:45:44","2015-11-07T00:00:00.000","15-0311074","14","12600","51",,"VINE","ST",,,,,,"Hartford","CT","06112","41.780797","-72.688928","N","A","1","3","113","Cooking fire, confined to container"
"16:51:34","2015-11-09T00:00:00.000","15-0313053","02","01644","410",,"ASYLUM","ST",,,,,,"Hartford","CT","06103","41.767577","-72.681223","N","C","1","3","113","Cooking fire, confined to container"
"11:55:41","2015-11-08T00:00:00.000","15-0312033","10","29678","314",,"SOUTH","ST",,,,,,"Hartford","CT","06114","41.733636","-72.685279","N","B","1","1","112","Fires in structure other than in a building"
"16:18:30","2015-11-09T00:00:00.000","15-0313048","08","21488","133",,"HUNGERFORD","ST",,,,,,"Hartford","CT","06106","41.759633","-72.686067","N","C","1","1","113","Cooking fire, confined to container"
"16:04:27","2015-11-10T00:00:00.000","15-0314046","05","11300","91",,"HUNTINGTON","ST",,,,,,"Hartford","CT","06105","41.77318","-72.69102","N","D","1","1","111","Building fire"
"18:00:22","2015-11-10T00:00:00.000","15-0314056","05",,"47",,"WILLARD","ST",,,,,,"Hartford","CT","06105","41.772158","-72.694952","N","D","2","1","111","Building fire"
"15:35:36","2017-02-12T00:00:00.000","17-0043038","09","28583","107",,"NILAN","ST",,,,,,"Hartford","CT","06106","41.739674","-72.702386","N","D","1","1","116","Fuel burner/boiler malfunction, fire confined"
"21:34:13","2015-11-20T00:00:00.000","15-0324074","15","54069","7",,"BROWNELL","AV",,,,,,"Hartford","CT","06106","41.748908","-72.687115","N","B","1","1","113","Cooking fire, confined to container"
"14:09:47","2015-11-20T00:00:00.000","15-0324039","08","15201","601",,"ZION","ST",,,,,,"Hartford","CT","06106","41.75743","-72.69217","N","B","1","1","113","Cooking fire, confined to container"
"00:32:33","2015-10-25T00:00:00.000","15-0298002","15","39117","464",,"HILLSIDE","AV",,,,,,"Hartford","CT","06106","41.73797","-72.69728","N","C","1","1","111","Building fire"
"14:49:28","2015-11-20T00:00:00.000","15-0324044","10","41590","23",,"EAST ELLIOTT","ST",,,,,,"Hartford","CT","06114","41.746774","-72.672268","N","B","1","1","118","Trash or rubbish fire, contained"
"02:33:31","2015-11-23T00:00:00.000","15-0327003","15","33451","62",,"WHITE","ST",,,,,,"Hartford","CT","06114","41.735832","-72.689321","N","D","1","1","111","Building fire"
"10:48:10","2015-11-24T00:00:00.000","15-0328022","11","10003","1058",,"CAPITOL","AV",,,,,,"Hartford","CT","06106","41.759945","-72.7124","N","B","1","1","111","Building fire"
"01:43:23","2015-11-25T00:00:00.000","15-0329006","09","37169","53",,"CUMBERLAND","ST",,,,,,"Hartford","CT","06106","41.731477","-72.704892","N","B","1","3","116","Fuel burner/boiler malfunction, fire confined"
"17:15:39","2018-01-02T00:00:00.000","18-0002067","14","13522","101",,"OAKLAND","TER",,,,,,"Hartford","CT","06112","41.784051","-72.693486","N","C","1","1","113","Cooking fire, confined to container"
"07:23:41","2017-08-11T00:00:00.000","17-0223014","10","30149","590",,"WETHERSFIELD","AV",,,,,,"Hartford","CT","06114","41.739786","-72.672264","N","C","1","1","111","Building fire"
"04:42:37","2017-02-15T00:00:00.000","17-0046008","08","21002","693",,"PARK","ST",,,,,,"Hartford","CT","06106","41.7579","-72.6885","N","B","2","1","111","Building fire"
"02:52:00","2015-12-01T00:00:00.000","15-0335008","07","06505","49",,"ELMER","ST",,,,,,"Hartford","CT","06120","41.785811","-72.676656","N","D","1","1","111","Building fire"
"18:44:03","2017-06-19T00:00:00.000","17-0170068","14","49580","116",,"WOODLAND","DR",,,,,,"Hartford","CT","06105","41.778055","-72.699832","N","C","1","1","111","Building fire"
"11:17:33","2015-12-07T00:00:00.000","15-0341016","10","30392","487",,"WETHERSFIELD","AV",,,,,,"Hartford","CT","06114","41.742453","-72.67318","N","C","1","1","113","Cooking fire, confined to container"
"16:04:19","2015-12-08T00:00:00.000","15-0342050","10","42043","300",,"MAXIM","RD",,,,,,"Hartford","CT","06114","41.7463","-72.6483","N","D","1","2","111","Building fire"
"23:44:33","2015-12-08T00:00:00.000","15-0342073","10","00000",,,"HUBBARD","RD",,"SOUTH",,"ST",,"Hartford","CT","06114","41.7341","-72.683","N","D","1","1","111","Building fire"
"20:36:43","2017-02-17T00:00:00.000","17-0048062","10","35873","100",,"PRESTON","ST",,,,,,"Hartford","CT","06114","41.739478","-72.676878","N","A","1","1","111","Building fire"
"01:00:04","2015-12-12T00:00:00.000","15-0346007","05","11902","31",,"WOODLAND","ST",,,,,,"Hartford","CT","06105","41.769383","-72.702033","N","C","1","1","118","Trash or rubbish fire, contained"
"15:43:59","2015-12-12T00:00:00.000","15-0346038","02","53160","75",,"ALBANY","AV",,,,,,"Hartford","CT","06120","41.774247","-72.67865","N","D","1","1","118","Trash or rubbish fire, contained"
"13:23:27","2015-12-12T00:00:00.000","15-0346033","07","08572","221",,"WESTLAND","ST",,,,,,"Hartford","CT","06112","41.791392","-72.682408","N","D","1","1","111","Building fire"
"02:13:02","2015-12-15T00:00:00.000","15-0349004","05","19897","148",,"COLLINS","ST",,,,,,"Hartford","CT","06105","41.772544","-72.690244","N","B","1","1","111","Building fire"
"14:36:35","2015-12-16T00:00:00.000","15-0350035","02","17805","445",,"GARDEN","ST",,,,,,"Hartford","CT","06112","41.780958","-72.685011","N","D","1","1","111","Building fire"
"13:24:52","2017-02-19T00:00:00.000","17-0050035","08","15383","72",,"HAMILTON","ST",,,,,,"Hartford","CT","06106","41.752632","-72.696698","N","C","1","1","111","Building fire"
"06:51:52","2015-12-21T00:00:00.000","15-0355012","01","47863","80",,"CHARTER OAK","AV",,,,,,"Hartford","CT","06106","41.758862","-72.671177","N","D","1","2","118","Trash or rubbish fire, contained"
"23:47:46","2015-12-27T00:00:00.000","15-0361067","11","12133","442",,"FARMINGTON","AV",,,,,,"Hartford","CT","06105","41.766744","-72.705856","N","C","1","1","118","Trash or rubbish fire, contained"
"17:26:32","2015-12-28T00:00:00.000","15-0362049","15","26944","109",,"ZION","ST",,,,,,"Hartford","CT","06106","41.744","-72.694378","N","D","1","1","116","Fuel burner/boiler malfunction, fire confined"
"03:02:07","2015-12-30T00:00:00.000","15-0364002","07","06971","129",,"BARBOUR","ST",,,,,,"Hartford","CT","06120","41.788665","-72.678971","N","A","2","1","111","Building fire"
"16:32:15","2015-12-31T00:00:00.000","15-0365034","11","22822","10",,"ORANGE","ST",,,,,,"Hartford","CT","06106","41.75782","-72.70374","N","C","1","1","111","Building fire"
"18:08:28","2016-01-01T00:00:00.000","16-0001056","02","06594","64",,"CAPEN","ST",,,,,,"Hartford","CT","06120","41.784786","-72.678014","N","C","1","1","111","Building fire"
"07:02:26","2016-01-08T00:00:00.000","16-0008009","10","26062","125",,"CHESTER","ST",,,,,,"Hartford","CT","06114","41.730229","-72.6806","N","B","1","1","111","Building fire"
"20:45:03","2016-01-09T00:00:00.000","16-0009042","16","03958","321",,"GRANBY","ST",,,,,,"Hartford","CT","06112","41.796717","-72.706942","N","D","1","1","113","Cooking fire, confined to container"
"11:00:48","2016-01-09T00:00:00.000","16-0009014","05","19824","73",,"SUMNER","ST",,,,,,"Hartford","CT","06105","41.769571","-72.690647","N","D","1","1","111","Building fire"
