"permit_number","apply_date","issue_date","expire_date","value","work_description","work_class","division","parcelid","status","permit_type","address","unit_or_suite","global_entity_name","first_name","last_name","geom"
"20110031-E000","2011-01-03T00:00:00.000","2011-01-31T00:00:00.000Z","2011-07-30T00:00:00.000Z","4950","INSTALL FIVE (5) NEW LIGHT FIXTURES AND POWER FOR HAND | DRYERS (1ST FLOOR - BLISS BLDG)MUNIS Permit Number: 20110037","Commercial","Building (L&I)/(DPW) - Commercial","249554003","Issued","Electrical","80 SEYMOUR ST","1 FL","HARTFORD HOSPITAL",,,"
,  
(41.75427461285394, -72.67988885396049)"
"201100001-C020","2011-01-03T00:00:00.000","2011-07-20T00:00:00.000Z",,"19500","MISC DEMOLITION, INSTALL NEW LIGHTING, DIMMERS, SENSORS, | RECEPTACLES, TEL/DATA WIRING & AUDIO VISUAL CONDUITS (8TH FLMUNIS Permit Number: 20111037","Commercial","Building (L&I)/(DPW) - Commercial","269360011","Issued","Certificate of Approval","50 PROSPECT ST","8 FL",,"TRAVELERS INDEMNITY - C B RICHARD ELLIS",,"
,  
(41.764208298110844, -72.67033171572253)"
"201100001-E000","2011-01-03T00:00:00.000","2011-01-31T00:00:00.000Z","2011-07-30T00:00:00.000Z","19500","MISC DEMOLITION, INSTALL NEW LIGHTING, DIMMERS, SENSORS, | RECEPTACLES, TEL/DATA WIRING & AUDIO VISUAL CONDUITS (8TH FLMUNIS Permit Number: 20110036","Commercial","Building (L&I)/(DPW) - Commercial","269360011","Issued","Electrical","50 PROSPECT ST","8 FL",,"TRAVELERS INDEMNITY - C B RICHARD ELLIS",,"
,  
(41.764208298110844, -72.67033171572253)"
"20110035-M000","2011-01-03T00:00:00.000","2011-01-20T00:00:00.000Z","2011-07-19T00:00:00.000Z","9000","(4) INDOOR EVAP AND (2) OUTSIDE CONDENSERS | (MITSUBISHI DUCTLESS HEAT PUMP SYSTEM)MUNIS Permit Number: 20110028","Residential","Building (L&I)/(DPW) - Residential, HCE CAO, HPA","273580003","Issued","Mechanical","261 WETHERSFIELD AV",,,"AIR TEMP MECHANICAL SERVICES INC",,"
,  
(41.74865240647357, -72.67386419418057)"
"20110030-C020","2011-01-03T00:00:00.000","2012-04-20T00:00:00.000Z",,"10000","REMOVE WINDOWS & REPLACE WITH NEW VINYL WINDOWS, REMOVE | KITCHEN DOOR ON 3RD FL & REPLACE IT W/ STEEL PRE-HUNG UNITMUNIS Permit Number: 20120283","Residential","Building (L&I)/(DPW) - Residential, HCE CAO, HPA","276802033","Issued","Certificate of Approval","58 STANDISH ST",,"VENERO LUIS",,,"
,  
(41.73664895081805, -72.67366257560424)"
"201100002-M000","2011-01-03T00:00:00.000","2011-01-28T00:00:00.000Z","2011-07-27T00:00:00.000Z","10950","INSTALL FIRE SUPPRESSION SYSTEMS IN KITCHEN HOODS | (""WEAVER HIGH SCHOOL"")MUNIS Permit Number: 20110047","Commercial","Building (L&I)/(DPW) - Commercial","125001018","Issued","Mechanical","415 GRANBY ST",,"ALLSTATE FIRE EQUIPMENT INC",,,"
,  
(41.80008456365237, -72.70828930695589)"
"20110002-B000","2011-01-03T00:00:00.000","2011-02-22T00:00:00.000Z","2011-08-21T00:00:00.000Z","22500","REROOF- TEAR OFF 2 LAYERS 32 SQ, CERTAINTEED LANDMARK 30 YRS | ROOF LEAKING - EMERGENCYMUNIS Permit Number: 20110113","Alteration","Building (L&I) - Alteration","254776038","Expired","Building (Residential)","200 SOUTH ST",,,"DIGIORGI ROOFING & SIDING INC",,"
,  
(41.73489615765614, -72.67995962905505)"
"20110030-B000","2011-01-03T00:00:00.000","2011-01-06T00:00:00.000Z","2011-07-05T00:00:00.000Z","10000","REMOVE WINDOWS & REPLACE WITH NEW VINYL WINDOWS, REMOVE | KITCHEN DOOR ON 3RD FL & REPLACE IT W/ STEEL PRE-HUNG UNITMUNIS Permit Number: 20110017","Alteration","Building (L&I) - Alteration","276802033","Issued","Building (Residential)","58 STANDISH ST",,"VENERO LUIS",,,"
,  
(41.73664895081805, -72.67366257560424)"
"20110034-E000","2011-01-03T00:00:00.000","2011-01-10T00:00:00.000Z","2011-07-09T00:00:00.000Z","600","ADD OWNERS METERS IN BASEMENT (ROMER - 100 AMP #2 COPPER, | 1 LIGHT METER, 3 LIGHT CIRCUITS, 1 PANEL)MUNIS Permit Number: 20110003","Residential","Building (L&I)/(DPW) - Residential, HCE CAO, HPA","253674132","Issued","Electrical","22 DOUGLAS ST",,"T & T ELECTRICAL CONTRACTORS INC",,,"
,  
(41.738446242689754, -72.67868344426569)"
"20110004-B000","2011-01-03T00:00:00.000","2011-01-26T00:00:00.000Z","2011-07-25T00:00:00.000Z","3000","REPAIR FRAMING DAMAGE AND REPLACE SIDING, REPLACE FLOOR | JOISTS AND STUD WALL 9' X 145', 2"" X 10"" JOISTSMUNIS Permit Number: 20110058","Alteration","Building (L&I) - Alteration","233771028","Issued","Building (Residential)","419 CAMPFIELD AV",,"LAWRENCE DAVID G",,,"
,  
(41.72907956111538, -72.68112192830607)"
