"date","discipline","title"
"1500","Monument","1"
"1916","Meetinghouse","1"
"1927","Pool, Swimming","1"
"1929","Door","0"
"1929","Mural","0"
"1931","Plaque","1"
"1932","Monument","1"
"1933","Plaque","1"
"1934","Plaque","1"
"1935","Door","1"
"1935","Mosaic","1"
"1935","Mural","3"
"1935","Plaque","1"
"1937","Bell, Ship's","1"
"1937","Bridge","1"
"1937","Gate","1"
"1938","Plaque","1"
"1939","Mural","1"
"1940","Mural","1"
"1947","Monument","1"
"1949","Monument","1"
"1951","Plaque","1"
"1955","Plaque","1"
"1956","Mural","1"
"1957","Lantern","0"
"1958","Mural","1"
"1959","Door","1"
"1959","Fountain, Water","1"
"1959","Sculpture","1"
"1960","Lantern","0"
"1960","Sculpture","1"
"1961","Fountain, Water","1"
"1962","Mural","1"
"1963","Lantern","1"
"1963","Plaque","0"
"1964","Mural","1"
"1964","Plaque","1"
"1967","Bust","1"
"1967","Fountain, Water","1"
"1967","Mural","1"
"1967","Sculpture","1"
"1968","Plaque","1"
"1968","Sculpture","2"
"1969","Pole, Totem","1"
"1970","Sculpture","1"
"1971","Sculpture","2"
"1972","Plaque","1"
"1974","Plaque","1"
"1974","Sculpture","1"
"1975","Fountain, Water","1"
"1975","Plaque","1"
"1975","Sculpture","1"
"1976","Sculpture","3"
"1977","Capsule, Time","1"
"1977","Plaque","1"
"1977","Sculpture","2"
"1978","Monument","1"
"1978","Mosaic","1"
"1978","Mural","2"
"1978","Plaque","1"
"1978","Sculpture","1"
"1979","Mural","1"
"1981","Plaque","1"
"1981","Sculpture","1"
"1982","Monument","1"
"1982","Plaque","2"
"1983","Sculpture","1"
"1984","Bell","1"
"1985","Bell","1"
"1987","Mural","1"
"1987","Plaque","1"
"1987","Sculpture","1"
"1987","Tapestry","1"
"1988","Sculpture","1"
"1989","Sculpture","5"
"1989","Tapestry","1"
"1990","Bell","1"
"1990","Plaque","1"
"1990","Sculpture","2"
"1990","Tapestry","1"
"1991","Bell","1"
"1992","Mural","1"
"1992","Urn, Garden","7"
"1992","Vase","1"
"1993","Sculpture","1"
"1994","Case, Display","0"
"1994","Plaque","3"
"1994","Sculpture","2"
"1994","Window","1"
"1995","Plaque","1"
"1995","Sculpture","1"
"1996","Bust","1"
"1996","Mural","1"
"1996","Sculpture","1"
"1997","Bust","1"
"1998","Monument","1"
"1998","Mural","1"
"1998","Sculpture","3"
"1999","Bust","1"
"1999","Plaque","2"
"1999","Sculpture","1"
"1999","Sign","8"
"2000","Monument","1"
"2000","Plaque","1"
"2000","Sculpture","6"
"2001","Gate","1"
"2001","Monument","2"
"2001","Mural","1"
"2001","Sculpture","6"
"2002","Sculpture","1"
"2003","Bust","1"
"2003","Monument","1"
"2003","Sculpture","2"
"2004","Monument","1"
"2004","Plaque","1"
"2004","Sculpture","1"
"2005","Mural","3"
"2005","Plaque","1"
"2005","Sculpture","2"
"2005","Tapestry","1"
"2007","Capsule, Time","1"
"2007","Pedestal","0"
"2007","Plaque","1"
"2007","Sculpture","2"
"2008","Sculpture","1"
"2009","Mural","1"
"2009","Sculpture","1"
"2010","Mural","1"
"2010","Plaque","1"
"2011","Mural","1"
"19919","Plaque","1"
,"Clock","1"
,"Hall, Town","1"
,"Lantern","1"
,"Mural","1"
,"Sculpture","2"
,"Skylight","0"
,"Urn, Garden","8"
