CASE ID,SOURCE,DEPARTMENT,WORK GROUP,REQUEST TYPE,CATEGORY,TYPE,DETAIL,CREATION DATE,CREATION TIME,CREATION MONTH,CREATION YEAR,STATUS,EXCEEDED EST TIMEFRAME,CLOSED DATE,CLOSED MONTH,CLOSED YEAR,DAYS TO CLOSE,STREET ADDRESS,ADDRESS WITH GEOCODE,ZIP CODE,NEIGHBORHOOD,COUNCIL DISTRICT,POLICE DISTRICT,PARCEL ID NO,LATITUDE,LONGITUDE,CASE URL,30-60-90 Days Open Window,Neighborhood Census,Council Districts,County Boundary,Zip Codes
2021026376,PHONE,Parks and Rec,Parks and Rec-Central Region-,Parks & Recreation-Graffiti-Central,Parks & Recreation,Graffiti,Central,04/29/2021,11:04 AM,4,2021,RESOL,Y,05/05/2021,5,2021,6,3501 E 9th St,"3501 E 9th St64127
(39.101907, -94.540285)",64127,Lykins,3,East,257911,39.101907,-94.540285,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2021026376,,215,3,7,95
2021026295,PHONE,Parks and Rec,Parks and Rec-Administration-,Parks & Recreation-Services-Question,Parks & Recreation,Services,Question,04/28/2021,01:22 PM,4,2021,RESOL,N,05/19/2021,5,2021,21,6400 Ward Pkwy,"6400 Ward Pkwy64113
(39.012233, -94.603018)",64113,Romanelli West,6,Metro,108873,39.012233,-94.603018,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2021026295,,76,1,7,164
2021025322,PHONE,Parks and Rec,Parks and Rec-South Region-,Mowing / Weeds-Right of Way (ROW)-Region - South,Mowing / Weeds,Right of Way (ROW),Region - South,04/13/2021,09:16 AM,4,2021,RESOL,N,05/05/2021,5,2021,22,11103 Holmes Rd,"11103 Holmes Rd64131
(38.921817, -94.578823)",64131,Mission Lake,6,South,155540,38.921817,-94.578823,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2021025322,,95,1,7,163
2021024832,PHONE,Parks and Rec,Parks and Rec-Central Region-,Parks & Recreation-Trails-Central,Parks & Recreation,Trails,Central,04/06/2021,06:53 AM,4,2021,RESOL,Y,05/05/2021,5,2021,29,3600 Sunrise Dr,"3600 Sunrise Dr64123
(39.117155, -94.539378)",64123,Scarritt Point,4,East,40362,39.117155,-94.539378,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2021024832,,202,4,7,76
2021022797,WEB,Parks and Rec,Parks and Rec-Landscape Services-Forestry,Trees-Removal-Stump,Trees,Removal,Stump,03/03/2021,08:46 PM,3,2021,RESOL,N,03/10/2021,3,2021,7,4446 Harrison St,"4446 Harrison St64110
(39.045495, -94.574224)",64110,South Hyde Park,4,Central,139133,39.045495,-94.574224,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2021022797,,191,4,7,165
2021022796,WEB,Parks and Rec,Parks and Rec-Central Region-,Parks & Recreation-Park Maintenance-Central,Parks & Recreation,Park Maintenance,Central,03/03/2021,08:46 PM,3,2021,RESOL,Y,06/03/2021,6,2021,92,2200 Elmwood Ave,"2200 Elmwood Ave64127
(39.08455, -94.530557)",64127,East Community Team North,3,East,18711,39.08455,-94.530557,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2021022796,,17,3,7,95
2021022795,WEB,Parks and Rec,Parks and Rec-Landscape Services-Forestry,Trees-Trimming-Tree Limbs,Trees,Trimming,Tree Limbs,03/03/2021,08:44 PM,3,2021,RESOL,N,03/10/2021,3,2021,7,4207 Harrison St,"4207 Harrison St64110
(39.050341, -94.573317)",64110,South Hyde Park,4,Central,133683,39.050341,-94.573317,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2021022795,,191,4,7,165
2021022794,WEB,Parks and Rec,Parks and Rec-Landscape Services-Forestry,Trees-Trimming-Tree Limbs,Trees,Trimming,Tree Limbs,03/03/2021,08:43 PM,3,2021,RESOL,N,03/10/2021,3,2021,7,4427 Harrison St,"4427 Harrison St64110
(39.046079, -94.573537)",64110,South Hyde Park,4,Central,139166,39.046079,-94.573537,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2021022794,,191,4,7,165
2021022792,WEB,Parks and Rec,Parks and Rec-Landscape Services-Forestry,Trees-Removal-Stump,Trees,Removal,Stump,03/03/2021,08:42 PM,3,2021,RESOL,N,03/10/2021,3,2021,7,4446 Troost Ave,"4446 Troost Ave64110
(39.045466, -94.573106)",64110,South Hyde Park,4,Central,139159,39.045466,-94.573106,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2021022792,,191,4,7,165
2021022723,WEB,Parks and Rec,Parks and Rec-Landscape Services-Forestry Tech,Trees-Services-Question,Trees,Services,Question,03/03/2021,05:17 PM,3,2021,RESOL,N,03/10/2021,3,2021,7,3927 Harrison St,"3927 Harrison St64110
(39.054966, -94.573081)",64110,South Hyde Park,4,Central,133128,39.054966,-94.573081,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2021022723,,191,4,7,165
2021022708,PHONE,Parks and Rec,Parks and Rec-Landscape Services-Forestry,Trees-Services-Service Issue / Problem,Trees,Services,Service Issue / Problem,03/03/2021,04:44 PM,3,2021,RESOL,N,03/05/2021,3,2021,2,1917 NW 79th Ter,"1917 NW 79th Ter64151
(39.238355, -94.603082)",64151,Barry Harbour,2,North,162163,39.238355,-94.603082,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2021022708,,59,5,3,66
