"case_id","source","department","work_group","request_type","status","exceeded_est_timeframe","closed_date","zip_code","neighborhood","council_district","parcel_id_no","address_with_geocode","ycoordinate","xcoordinate"
"2012138664","WEB","Public Works","Public Works-Street and Traffic-District 2","Pothole (River south to 47th Street and East of Blue PKWY)","RESOL","N","2012-10-03T00:00:00.000","64106","River Market","4","39096","POINT (-94.581324 39.109482)","39.109482","-94.581324"
"2012174637","PHONE","Public Works","Public Works-Street and Traffic-District 1","Pothole (North of River)","RESOL","Y","2013-01-07T00:00:00.000","64161",,"1","87971","POINT (-94.490092 39.167896)","39.167896","-94.490092"
"2011228249","WEB","Public Works","Public Works-Street and Traffic-District 1","Street Maintenance General (North of the River)","RESOL","Y","2012-06-08T00:00:00.000","64126","Central Blue Valley And Park T","3","21180","POINT (-94.512983 39.084671)","39.084671","-94.512983"
"2012051628","WEB","Public Works","Public Works-Street and Traffic-District 1","Crack Sealing (North of River)","RESOL","N","2012-05-10T00:00:00.000","64158","Shoal Creek","1","98296","POINT (-94.480107 39.230458)","39.230458","-94.480107"
"2012043488","EMAIL","Public Works","Public Works-Street and Traffic-District 1","Street Maintenance General (North of the River)","RESOL","Y","2012-07-05T00:00:00.000","64161","Minneville","1","261796","POINT (-94.463186 39.171086)","39.171086","-94.463186"
"2012045568","PHONE","Public Works","Public Works-Street and Traffic-District 3","Street Maintenance General (South of 47th Street and West of Blue PKWY)","RESOL","Y","2012-05-03T00:00:00.000","64110","Eastern 49-63","5","146861","POINT (-94.568961 39.024568)","39.024568","-94.568961"
"2012042646","PHONE","Public Works","Public Works-Street and Traffic-District 2","Alley Cleaning (South of River to 47th Street and East of Blue PKWY)","RESOL","Y","2012-05-01T00:00:00.000","64123","North Indian Mound","4","43116","POINT (-94.518193 39.115477)","39.115477","-94.518193"
"2012050127","PHONE","Public Works","Public Works-Street and Traffic-District 1","Street Maintenance General (North of the River)","RESOL","Y","2012-05-11T00:00:00.000","64156","Shoal Creek","1","228666","POINT (-94.52692 39.276495)","39.276495","-94.52692"
"2012041309","WEB","Public Works","Public Works-Street and Traffic-District 2","Street Maintenance General (South of River to 47th Street and East of Blue PKWY)","RESOL","Y","2012-05-01T00:00:00.000","64111","Southmoreland","4","132576","POINT (-94.583066 39.053922)","39.053922","-94.583066"
"2012046419","PHONE","Public Works","Public Works-Street and Traffic-District 3","Street Maintenance General (South of 47th Street and West of Blue PKWY)","RESOL","Y","2012-05-02T00:00:00.000","64112","Sunset Hill","4","142310","POINT (-94.592765 39.039097)","39.039097","-94.592765"
"2012049228","WEB","Public Works","Public Works-Street and Traffic-District 3","Street Maintenance General (South of 47th Street and West of Blue PKWY)","RESOL","Y","2012-05-23T00:00:00.000","64120",,"4","46604","POINT (-94.492875 39.1267)","39.1267","-94.492875"
"2012043386","EMAIL","Public Works","Public Works-Street and Traffic-District 2","Street Maintenance General (South of River to 47th Street and East of Blue PKWY)","RESOL","Y","2012-05-09T00:00:00.000","64119","Ravenwood-Somerset","1","232695","POINT (-94.521264 39.206294)","39.206294","-94.521264"
"2012061928","PHONE","Public Works","Public Works-Street and Traffic-District 3","Pothole (South of 47th Street and West Of Blue PKWY)","RESOL","N","2012-05-15T00:00:00.000","64114","Lea Manor","6","152624","POINT (-94.596308 38.952753)","38.952753","-94.596308"
"2012062052","PHONE","Public Works","Public Works-Street and Traffic-District 2","Street Maintenance General (South of River to 47th Street and East of Blue PKWY)","RESOL","N","2012-05-11T00:00:00.000","64110","Manheim Park","3","228344","POINT (-94.568432 39.045431)","39.045431","-94.568432"
"2012070307","PHONE","Public Works","Public Works-Street and Traffic-District 1","Street Maintenance General (North of the River)","RESOL","N","2012-05-30T00:00:00.000","64154","KCI & 2nd Creek","2","171598","POINT (-94.603359 39.276771)","39.276771","-94.603359"
"2012061904","PHONE","Public Works","Public Works-Street and Traffic-District 1","Ditch Cleaning (North from 27th Street )","RESOL","N","2012-05-10T00:00:00.000","64118","Jefferson Highlands","2","93108","POINT (-94.582638 39.242338)","39.242338","-94.582638"
"2012059299","PHONE","Public Works","Public Works-Street and Traffic-District 3","Pothole (South of 47th Street and West Of Blue PKWY)","RESOL","N","2012-05-09T00:00:00.000","64145","Woodbridge","6","173100","POINT (-94.58699 38.89017)","38.89017","-94.58699"
"2012071689","WEB","Public Works","Public Works-Street and Traffic-District 2","Street Maintenance General (South of River to 47th Street and East of Blue PKWY)","RESOL","N","2012-05-31T00:00:00.000","64109","Central Hyde Park","4","131668","POINT (-94.575574 39.062613)","39.062613","-94.575574"
"2012054482","PHONE","Public Works","Public Works-Street and Traffic-District 2","Alley Cleaning (South of River to 47th Street and East of Blue PKWY)","RESOL","N","2012-05-02T00:00:00.000","64124","Lykins","3","9541","POINT (-94.535631 39.104703)","39.104703","-94.535631"
"2012063385","PHONE","Public Works","Public Works-Street and Traffic-District 3","Pothole (South of 47th Street and West Of Blue PKWY)","RESOL","N","2012-05-15T00:00:00.000","64134","Kirkside","6","73867","POINT (-94.502009 38.91054)","38.91054","-94.502009"
"2012064984","PHONE","Public Works","Public Works-Street and Traffic-District 3","Street Maintenance General (South of 47th Street and West of Blue PKWY)","RESOL","N","2012-05-21T00:00:00.000","64133","Blue Vue Hills","5","246725","POINT (-94.419422 39.01085)","39.01085","-94.419422"
"2012058928","PHONE","Public Works","Public Works-Street and Traffic-District 2","Alley Cleaning (South of River to 47th Street and East of Blue PKWY)","RESOL","N","2012-05-08T00:00:00.000","64124","Scarritt Point","4","41974","POINT (-94.538344 39.109248)","39.109248","-94.538344"
