"number","fraction","prefix","name","suffix","month","day","year","res_non","type","sf_mf","dwelling_units_gained_or_lost","permit_value","how_far_east","how_far_north","permit_number","location_1"
"701",,"E",,,"8","15","1973","Non-Residential","Demolition","NA","0","500","2767229","1071581","90778","701 E 5TH
,  "
"3004",,"E","77","TE","5","1","1970","Residential","Demolition","Single Family","1","150","2773707","1026633","23921","3004 E 77 TE
,  "
"8937",,,,,"4","20","1976","Non-Residential","New Construction","NA","0","6975","2792088","1017240","34005","8937 BOOTH
,  "
"408",,"NW","80","ST","12","21","1973","Residential","Additions, Alterations, Repairs","NA","0","200","2764481","1118856","96167","408 NW 80 ST
,  "
"1210",,,,,"3","3","1977","Non-Residential","Demolition","NA","0","10000","2763541","1067896","55795","1210 BROADWAY
,  "
"721",,"NE","100","TE","4","1","1971","Residential","New Construction","Single Family","1","20000","2768773","1132189","40893","721 NE 100 TE
,  "
"4418",,"E",,"ST","9","20","1979","Non-Residential","New Construction","NA","0","11000","2777874","1008944","19971","4418 E 104TH ST
,  "
"1601",,,,,"3","21","1978","Non-Residential","Demolition","NA","0","3300","2758999","1066063","83331","1601 GENESSEE
,  "
"6029",,"E",,"ST","8","15","1977","Non-Residential","Demolition","NA","0","350","2785853","1068113","67986","6029 E 10TH ST
,  "
"2900",,,,,"8","26","1974","Non-Residential","Demolition","NA","0","2300","2758654","1058975","7984","2900 GENESSEE
,  "
"401",,"E",,,"8","14","1973","Non-Residential","New Construction","NA","0","1500","2763355","1000736","90720","401 E 117TH
,  "
"926",,"E",,"ST","12","12","1979","Non-Residential","Demolition","NA","0","21000","2768471","1068448","25398","926 E 11TH ST
,  "
"1818",,,,,"7","19","1973","Non-Residential","Demolition","NA","0","2000","2765568","1064970","89460","1818 GRAND
,  "
"6",,"E",,"TE","5","26","1978","Non-Residential","New Construction","NA","0","3500","2761967","993959","88356","6 E 127TH TE
,  "
"3025",,"E",,,"8","23","1976","Residential","Demolition","Single Family","1","500","2775572","1062725","42582","3025 E 22ND
,  "
"2417",,"E",,"ST","8","1","1972","Residential","Demolition","Single Family","1","489","2773349","1057732","70559","2417 E 30TH ST
,  "
"3617",,"E",,,"3","26","1976","Residential","Demolition","Single Family","1","1225","2777140","1054933","32877","3617 E 34TH
,  "
"1831",,,,,"7","10","1975","Non-Residential","New Construction","NA","0","3000","2770072","1022931","20859","1831 MADDI
,  "
"1101",,,,,"3","1","1971","Non-Residential","Demolition","NA","0","100","2770746","1068238","38573","1101 PASEO
,  "
"1618",,"E",,"ST","12","1","1977","Non-Residential","Demolition","NA","0","189","2770451","1051385","75646","1618 E 40TH ST
,  "
"628",,"W",,"ST","8","22","1974","Non-Residential","Demolition","NA","0","300","2761785","1051781","7835","628 W 40TH ST
,  "
"1512",,,,,"2","16","1978","Non-Residential","Demolition","NA","0","500","2779520","1065685","81541","1512 SPRUCE
,  "
"6320",,,,"AV","5","14","1974","Non-Residential","Demolition","NA","0","100","2767427","1036267","3617","6320 TROOST AV
,  "
"11000",,"E",,"ST","5","2","1978","Non-Residential","New Construction","NA","0","6000","2802926","1043692","86436","11000 E 49TH ST
,  "
"2520",,"E",,"ST","7","1","1975","Non-Residential","Demolition","NA","0","832","2772934","1044677","20559","2520 E 50TH ST
,  "
"5644",,,,,"10","16","1978","Non-Residential","Demolition","NA","0","300","2768284","1040278","97745","5644 TRACY
,  "
"825",,"W",,"TE","6","23","1976","Non-Residential","New Construction","NA","0","5000","2760713","1039528","38349","825 W 58TH TE
,  "
"11710",,"E",,"ST","11","29","1974","Non-Residential","New Construction","NA","0","2400","2804864","1037162","11247","11710 E 59TH ST
,  "
"445",,"E",,"ST","4","12","1978","Non-Residential","New Construction","NA","0","5000","2765521","1035240","84959","445 E 65TH ST
,  "
"9612",,,,,"3","11","1974","Non-Residential","New Construction","NA","0","2600","2791145","1013146","552","9612 WALLACE
,  "
"6930",,,,,"8","2","1978","Non-Residential","Demolition","NA","0","350","2774495","1031749","92769","6930 WALROND
,  "
"2401",,"NW",,,"5","14","1974","Residential","Demolition","Single Family","1","529","2757924","1110820","3632","2401 NW 68TH
,  "
"724",,"E",,"ST","6","3","1974","Non-Residential","New Construction","NA","0","3819","2766306","1030682","4456","724 E 72ND ST
,  "
"204",,"E",,"ST","4","9","1979","Non-Residential","New Construction","NA","0","3360","2763875","1025523","8816","204 E 80TH ST
,  "
"1819",,"E",,"ST","5","27","1976","Non-Residential","Demolition","NA","0","200","2769980","1023763","36445","1819 E 82ND ST
,  "
"14",,"W",,"ST","9","7","1978","Non-Residential","New Construction","NA","0","7200","2762390","1014397","95022","14 W 97TH ST
,  "
"308",,"E",,"ST","6","20","1974","Non-Residential","Demolition","NA","0","180","2763847","1012968","5312","308 E 99TH ST
,  "
