"project_no","title","county","school_district","census_tract","how_far_north","how_far_east","number","direction","name","suffix","location","completion_year_estimate","status","cost_in_millions_of_dollars","overall_classification_type","primary_project_type","primary_activity_type","primary_use_type","complex_project_type","complex_activity_type","complex_use_type","housing_sub_type","office_square_feet","retail_and_commercial_square_feet","industrial_warehouse_heavy_commercial_sq_ft","hotel_rooms","housing_units","description","developer","also_in_1983_to_1989_database","also_in_river_crown_plaza_housing_database"
"1264","Nashua Wastewater Treatment Plant","Clay","Smithville","219","* 2,767,692","* 1,152,845","500","NE","132nd","St","500 NE 132nd St","2005","Completed","* 10","City Capital Improvement","Building","New","Industrial","Building","New","Industrial"," ",,,,," ","new $10 million wastewater treatment plant","City of Kansas City, MO","No","No"
"1762","Aviation Department Fleet Maintenance Facility","Platte","Platte County","303.07","* 2,728,520","* 1,150,570","125","N","Paris","St","125 N Paris St","2010","Completed","* 5","Non-Residential","Building","Expansion","Heavy Commercial","Building","Expansion","Heavy Commercial"," ",,,,," ","37,000 sq. ft. fleet maintenance facility expansion","City of Kansas City, MO","No","No"
"1584","Woodland Creek  Single Family Homes","Clay","Smithville","219","* 2,771,590","* 1,147,656","12312","N","Highland","Av","12312 N Highland Av","2018","Underway","* 17","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 55","55 single family homes built since 2006"," ","No","No"
"1617","ITEC Expo (International Technology Expo Complex)","Platte","Platte County","303.07","* 2,729,935","* 1,147,219","1100"," ","Tel Aviv","Av","1100   Tel Aviv Av","2011","Completed","* 150","Non-Residential","Building","New","Meeting Space","Building","New","Meeting / Education"," ",,,,," ","new 262,5000 sq.ft., 6,000-seat arena, and three exhibit buildings: 258,000 sq. ft. for agriculture, 200,000 for heavy equipment and machinery, 60,000 sq. ft. for trucks and accessories","KC Expo LLC","No","No"
"1850","KCI Field Maintenance Facility Renovation","Platte","Platte County","303.07","* 2,726,105","* 1,147,172","154","N","Tokyo","St","154 N Tokyo St","2012","Completed","* 4","Non-Residential","Building","New","Transportation","Building","New","Transportation"," ",,,,," ","$4 million renovation of 54,000 sq. ft. maintenance building","City of Kansas City, MO","No","No"
"2046","Aviation Department Field Maintenance Facility","Platte","Platte County","303.07","* 2,726,105","* 1,147,172","154","N","Tokyo","St","154 N Tokyo St","2012","Completed","* 4","Non-Residential","Building","Renovation","Transportation","Building","Renovation","Transportation",,,,,,,"$4 million transportation building renovation","City of Kansas City, MO","No","No"
"1815","Vineyard Church Remodeling","Clay","Smithville","219","* 2,764,431","* 1,146,883","12300","N","Arrowhead","Tfwy","12300 N Arrowhead Tfwy","2013","Completed","* 5","Non-Residential","Building","Renovation","Social Service","Building","Renovation","Social Service"," ",,,,," ","$5 million remodeling of church","Vineyard Church","No","No"
"395","Fed. Express Air Cargo Center Expansion","Platte","Platte County","303.07","* 2,727,482","* 1,146,590","1044"," ","Mexico City","Av","1044   Mexico City Av","1997","Completed","* 10","Non-Residential","Building","Expansion","Distribution","Building","Expansion","Distribution"," ",,,,," ","85,000 sq. ft. expansion to distribution facility","Aviation Facilities Co. Inc.","No","No"
"1380","North Creek Village Single Family Homes","Platte","Platte County","306","* 2,740,492","* 1,146,376","12210","N","Pomona","Av","12210 N Pomona Av","2008","Completed","* 19","Residential","Building","New","Housing","Building","New","Housing","Single Family",,,,,"* 78","78 single family homes built since 2003","North Creek Partners","No","No"
"1912","Parking Spot Garages Phase IV","Platte","Platte County","303.07","* 2,734,087","* 1,146,213","12060","NW","Prairie View","Rd","12060 NW Prairie View Rd","2013","Completed","* 3","Non-Residential","Building","Expansion","Parking","Building","Expansion","Parking"," ",,,,," ","$3 million parking garage expansion","The Parking Spot","No","No"
