"race","precinct","leg","cc","countergroup","countertype","count"
"Attorney General","BOT 01-0252","1","1","Polling","John Ladenburg","0"
"Attorney General","BOT 01-0252","1","1","Absentee","John Ladenburg","52"
"Attorney General","BOT 01-0252","1","1","Total","John Ladenburg","64"
"Attorney General","BOT 01-0252","1","1","Polling","John Ladenburg","12"
"Attorney General","BOT 01-0252","1","1","Total","Registered Voters","510"
"Attorney General","BOT 01-0252","1","1","Polling","Registered Voters","0"
"Attorney General","BOT 01-0252","1","1","Polling","Registered Voters","0"
"Attorney General","BOT 01-0252","1","1","Absentee","Registered Voters","0"
"Attorney General","BOT 01-0252","1","1","Absentee","Rob McKenna","113"
"Attorney General","BOT 01-0252","1","1","Polling","Rob McKenna","0"
"Attorney General","BOT 01-0252","1","1","Total","Rob McKenna","130"
"Attorney General","BOT 01-0252","1","1","Polling","Rob McKenna","17"
"Attorney General","BOT 01-0252","1","1","Polling","Times Blank Voted","0"
"Attorney General","BOT 01-0252","1","1","Absentee","Times Blank Voted","5"
"Attorney General","BOT 01-0252","1","1","Total","Times Blank Voted","6"
"Attorney General","BOT 01-0252","1","1","Polling","Times Blank Voted","1"
"Attorney General","BOT 01-0252","1","1","Absentee","Times Counted","170"
"Attorney General","BOT 01-0252","1","1","Polling","Times Counted","30"
"Attorney General","BOT 01-0252","1","1","Total","Times Counted","200"
"Attorney General","BOT 01-0252","1","1","Polling","Times Counted","0"
"Attorney General","BOT 01-0252","1","1","Total","Times Over Voted","0"
"Attorney General","BOT 01-0252","1","1","Polling","Times Over Voted","0"
"Attorney General","BOT 01-0252","1","1","Absentee","Times Over Voted","0"
"Attorney General","BOT 01-0252","1","1","Polling","Times Over Voted","0"
"Attorney General","BOT 01-0253","1","1","Polling","John Ladenburg","10"
"Attorney General","BOT 01-0253","1","1","Total","John Ladenburg","35"
"Attorney General","BOT 01-0253","1","1","Polling","John Ladenburg","0"
"Attorney General","BOT 01-0253","1","1","Absentee","John Ladenburg","25"
"Attorney General","BOT 01-0253","1","1","Polling","Registered Voters","0"
"Attorney General","BOT 01-0253","1","1","Total","Registered Voters","323"
"Attorney General","BOT 01-0253","1","1","Polling","Registered Voters","0"
"Attorney General","BOT 01-0253","1","1","Absentee","Registered Voters","0"
"Attorney General","BOT 01-0253","1","1","Polling","Rob McKenna","10"
"Attorney General","BOT 01-0253","1","1","Total","Rob McKenna","43"
"Attorney General","BOT 01-0253","1","1","Absentee","Rob McKenna","33"
"Attorney General","BOT 01-0253","1","1","Polling","Rob McKenna","0"
"Attorney General","BOT 01-0253","1","1","Total","Times Blank Voted","5"
"Attorney General","BOT 01-0253","1","1","Absentee","Times Blank Voted","4"
"Attorney General","BOT 01-0253","1","1","Polling","Times Blank Voted","1"
"Attorney General","BOT 01-0253","1","1","Polling","Times Blank Voted","0"
"Attorney General","BOT 01-0253","1","1","Total","Times Counted","83"
"Attorney General","BOT 01-0253","1","1","Polling","Times Counted","21"
"Attorney General","BOT 01-0253","1","1","Polling","Times Counted","0"
"Attorney General","BOT 01-0253","1","1","Absentee","Times Counted","62"
"Attorney General","BOT 01-0253","1","1","Polling","Times Over Voted","0"
"Attorney General","BOT 01-0253","1","1","Polling","Times Over Voted","0"
"Attorney General","BOT 01-0253","1","1","Total","Times Over Voted","0"
"Attorney General","BOT 01-0253","1","1","Absentee","Times Over Voted","0"
"Attorney General","BOT 01-0254","1","1","Polling","John Ladenburg","16"
"Attorney General","BOT 01-0254","1","1","Absentee","John Ladenburg","94"
"Attorney General","BOT 01-0254","1","1","Total","John Ladenburg","110"
"Attorney General","BOT 01-0254","1","1","Polling","John Ladenburg","0"
"Attorney General","BOT 01-0254","1","1","Total","Registered Voters","524"
"Attorney General","BOT 01-0254","1","1","Polling","Registered Voters","0"
"Attorney General","BOT 01-0254","1","1","Polling","Registered Voters","0"
"Attorney General","BOT 01-0254","1","1","Absentee","Registered Voters","0"
"Attorney General","BOT 01-0254","1","1","Polling","Rob McKenna","0"
"Attorney General","BOT 01-0254","1","1","Polling","Rob McKenna","23"
"Attorney General","BOT 01-0254","1","1","Absentee","Rob McKenna","63"
"Attorney General","BOT 01-0254","1","1","Total","Rob McKenna","86"
"Attorney General","BOT 01-0254","1","1","Polling","Times Blank Voted","0"
"Attorney General","BOT 01-0254","1","1","Absentee","Times Blank Voted","9"
