"precinct","race","leg","cc","cg","countergroup","party","countertype","sumofcount"
"SHL 32-0001","City of Shoreline Council Position No. 2","32","1","7","Total","NP","Registered Voters","544"
"SHL 32-0001","City of Shoreline Council Position No. 2","32","1","7","Total","NP","Times Counted","80"
"SHL 32-0001","City of Shoreline Council Position No. 2","32","1","7","Total","NP","Times Under Voted","13"
"SHL 32-0001","City of Shoreline Council Position No. 2","32","1","7","Total","<NP>","Vivian Collica","22"
"SHL 32-0001","City of Shoreline Council Position No. 2","32","1","7","Total","<NP>","Keith Patrick Scully","45"
"SHL 32-0001","City of Shoreline Council Position No. 2","32","1","7","Total","<NP>","Write-in","0"
"SHL 32-0001","City of Shoreline Council Position No. 2","32","1","7","Total","NP","Times Over Voted","0"
"SHL 32-0001","Ronald Wastewater District Commissioner Position No. 3","32","1","7","Total","NP","Registered Voters","544"
"SHL 32-0001","Ronald Wastewater District Commissioner Position No. 3","32","1","7","Total","NP","Times Counted","80"
"SHL 32-0001","Ronald Wastewater District Commissioner Position No. 3","32","1","7","Total","NP","Times Under Voted","25"
"SHL 32-0001","Ronald Wastewater District Commissioner Position No. 3","32","1","7","Total","<NP>","Laura Mork","54"
"SHL 32-0001","Ronald Wastewater District Commissioner Position No. 3","32","1","7","Total","<NP>","Write-in","1"
"SHL 32-0001","Ronald Wastewater District Commissioner Position No. 3","32","1","7","Total","NP","Times Over Voted","0"
"SHL 32-0001","North City Water District Commissioner Position No. 2","32","1","7","Total","NP","Registered Voters","544"
"SHL 32-0001","North City Water District Commissioner Position No. 2","32","1","7","Total","NP","Times Counted","80"
"SHL 32-0001","North City Water District Commissioner Position No. 2","32","1","7","Total","NP","Times Under Voted","25"
"SHL 32-0001","North City Water District Commissioner Position No. 2","32","1","7","Total","<NP>","Patty Hale","55"
"SHL 32-0001","North City Water District Commissioner Position No. 2","32","1","7","Total","<NP>","Write-in","0"
"SHL 32-0001","North City Water District Commissioner Position No. 2","32","1","7","Total","NP","Times Over Voted","0"
"SHL 32-0001","King County Advisory Vote No. 20","32","1","7","Total","NP","Registered Voters","544"
"SHL 32-0001","King County Advisory Vote No. 20","32","1","7","Total","NP","Times Counted","80"
"SHL 32-0001","King County Advisory Vote No. 20","32","1","7","Total","NP","Times Under Voted","8"
"SHL 32-0001","King County Advisory Vote No. 20","32","1","7","Total","<NP>","Maintained","35"
"SHL 32-0001","King County Advisory Vote No. 20","32","1","7","Total","<NP>","Repealed","37"
"SHL 32-0001","King County Advisory Vote No. 20","32","1","7","Total","NP","Times Over Voted","0"
"SHL 32-0001","King County Director of Elections","32","1","7","Total","NP","Registered Voters","544"
"SHL 32-0001","King County Director of Elections","32","1","7","Total","NP","Times Counted","80"
"SHL 32-0001","King County Director of Elections","32","1","7","Total","NP","Times Under Voted","14"
"SHL 32-0001","King County Director of Elections","32","1","7","Total","<NP>","Mark Greene","10"
"SHL 32-0001","King County Director of Elections","32","1","7","Total","<NP>","Write-in","1"
"SHL 32-0001","King County Director of Elections","32","1","7","Total","<NP>","Julie Wise","55"
"SHL 32-0001","King County Director of Elections","32","1","7","Total","NP","Times Over Voted","0"
"SHL 32-0001","King County Initiative Measure No. 976","32","1","7","Total","NP","Registered Voters","544"
"SHL 32-0001","King County Initiative Measure No. 976","32","1","7","Total","NP","Times Counted","80"
"SHL 32-0001","King County Initiative Measure No. 976","32","1","7","Total","NP","Times Under Voted","4"
"SHL 32-0001","King County Initiative Measure No. 976","32","1","7","Total","<NP>","Yes","30"
"SHL 32-0001","King County Initiative Measure No. 976","32","1","7","Total","<NP>","No","46"
"SHL 32-0001","King County Initiative Measure No. 976","32","1","7","Total","NP","Times Over Voted","0"
"SHL 32-0001","Shoreline School District No. 412 Director District No. 1","32","1","7","Total","NP","Registered Voters","544"
"SHL 32-0001","Shoreline School District No. 412 Director District No. 1","32","1","7","Total","NP","Times Counted","80"
"SHL 32-0001","Shoreline School District No. 412 Director District No. 1","32","1","7","Total","NP","Times Under Voted","14"
"SHL 32-0001","Shoreline School District No. 412 Director District No. 1","32","1","7","Total","<NP>","Meghan Jernigan","42"
"SHL 32-0001","Shoreline School District No. 412 Director District No. 1","32","1","7","Total","<NP>","Michael Jacobs","24"
"SHL 32-0001","Shoreline School District No. 412 Director District No. 1","32","1","7","Total","<NP>","Write-in","0"
"SHL 32-0001","Shoreline School District No. 412 Director District No. 1","32","1","7","Total","NP","Times Over Voted","0"
"SHL 32-0001","City of Shoreline Proposition No. 1","32","1","7","Total","NP","Registered Voters","544"
"SHL 32-0001","City of Shoreline Proposition No. 1","32","1","7","Total","NP","Times Counted","80"
"SHL 32-0001","City of Shoreline Proposition No. 1","32","1","7","Total","NP","Times Under Voted","2"
"SHL 32-0001","City of Shoreline Proposition No. 1","32","1","7","Total","<NP>","No","30"
"SHL 32-0001","City of Shoreline Proposition No. 1","32","1","7","Total","<NP>","Yes","48"
"SHL 32-0001","City of Shoreline Proposition No. 1","32","1","7","Total","NP","Times Over Voted","0"
"SHL 32-0001","Ronald Wastewater District Commissioner Position No. 4","32","1","7","Total","NP","Registered Voters","544"
"SHL 32-0001","Ronald Wastewater District Commissioner Position No. 4","32","1","7","Total","NP","Times Counted","80"
"SHL 32-0001","Ronald Wastewater District Commissioner Position No. 4","32","1","7","Total","NP","Times Under Voted","27"
"SHL 32-0001","Ronald Wastewater District Commissioner Position No. 4","32","1","7","Total","<NP>","Craig Degginger","52"
"SHL 32-0001","Ronald Wastewater District Commissioner Position No. 4","32","1","7","Total","<NP>","Write-in","1"
"SHL 32-0001","Ronald Wastewater District Commissioner Position No. 4","32","1","7","Total","NP","Times Over Voted","0"
"SHL 32-0001","King County Advisory Vote No. 31","32","1","7","Total","NP","Registered Voters","544"
"SHL 32-0001","King County Advisory Vote No. 31","32","1","7","Total","NP","Times Counted","80"
"SHL 32-0001","King County Advisory Vote No. 31","32","1","7","Total","NP","Times Under Voted","6"
"SHL 32-0001","King County Advisory Vote No. 31","32","1","7","Total","<NP>","Repealed","20"
"SHL 32-0001","King County Advisory Vote No. 31","32","1","7","Total","<NP>","Maintained","54"
"SHL 32-0001","King County Advisory Vote No. 31","32","1","7","Total","NP","Times Over Voted","0"
"SHL 32-0001","King County Advisory Vote No. 30","32","1","7","Total","NP","Registered Voters","544"
"SHL 32-0001","King County Advisory Vote No. 30","32","1","7","Total","NP","Times Counted","80"
"SHL 32-0001","King County Advisory Vote No. 30","32","1","7","Total","NP","Times Under Voted","6"
"SHL 32-0001","King County Advisory Vote No. 30","32","1","7","Total","<NP>","Repealed","32"
"SHL 32-0001","King County Advisory Vote No. 30","32","1","7","Total","<NP>","Maintained","42"
"SHL 32-0001","King County Advisory Vote No. 30","32","1","7","Total","NP","Times Over Voted","0"
"SHL 32-0001","Shoreline Fire Department Commissioner Position No. 5","32","1","7","Total","NP","Registered Voters","544"
"SHL 32-0001","Shoreline Fire Department Commissioner Position No. 5","32","1","7","Total","NP","Times Counted","80"
"SHL 32-0001","Shoreline Fire Department Commissioner Position No. 5","32","1","7","Total","NP","Times Under Voted","26"
"SHL 32-0001","Shoreline Fire Department Commissioner Position No. 5","32","1","7","Total","<NP>","Ken Callahan","53"
"SHL 32-0001","Shoreline Fire Department Commissioner Position No. 5","32","1","7","Total","<NP>","Write-in","1"
"SHL 32-0001","Shoreline Fire Department Commissioner Position No. 5","32","1","7","Total","NP","Times Over Voted","0"
"SHL 32-0001","Shoreline Fire Department Commissioner Position No. 2","32","1","7","Total","NP","Registered Voters","544"
"SHL 32-0001","Shoreline Fire Department Commissioner Position No. 2","32","1","7","Total","NP","Times Counted","80"
"SHL 32-0001","Shoreline Fire Department Commissioner Position No. 2","32","1","7","Total","NP","Times Under Voted","16"
"SHL 32-0001","Shoreline Fire Department Commissioner Position No. 2","32","1","7","Total","<NP>","Write-in","0"
"SHL 32-0001","Shoreline Fire Department Commissioner Position No. 2","32","1","7","Total","<NP>","Kimberly Fischer","50"
"SHL 32-0001","Shoreline Fire Department Commissioner Position No. 2","32","1","7","Total","<NP>","Tom B. Moffat","14"
"SHL 32-0001","Shoreline Fire Department Commissioner Position No. 2","32","1","7","Total","NP","Times Over Voted","0"
"SHL 32-0001","Ronald Wastewater District Commissioner Position No. 2","32","1","7","Total","NP","Registered Voters","544"
"SHL 32-0001","Ronald Wastewater District Commissioner Position No. 2","32","1","7","Total","NP","Times Counted","80"
"SHL 32-0001","Ronald Wastewater District Commissioner Position No. 2","32","1","7","Total","NP","Times Under Voted","28"
"SHL 32-0001","Ronald Wastewater District Commissioner Position No. 2","32","1","7","Total","<NP>","Write-in","1"
"SHL 32-0001","Ronald Wastewater District Commissioner Position No. 2","32","1","7","Total","<NP>","Gretchen Atkinson","51"
"SHL 32-0001","Ronald Wastewater District Commissioner Position No. 2","32","1","7","Total","NP","Times Over Voted","0"
"SHL 32-0001","King County Judge Position No. 1","32","1","7","Total","NP","Registered Voters","544"
"SHL 32-0001","King County Judge Position No. 1","32","1","7","Total","NP","Times Counted","80"
"SHL 32-0001","King County Judge Position No. 1","32","1","7","Total","NP","Times Under Voted","25"
"SHL 32-0001","King County Judge Position No. 1","32","1","7","Total","<NP>","John H. Chun","53"
"SHL 32-0001","King County Judge Position No. 1","32","1","7","Total","<NP>","Write-in","2"
"SHL 32-0001","King County Judge Position No. 1","32","1","7","Total","NP","Times Over Voted","0"
"SHL 32-0001","King County Referendum Measure No. 88","32","1","7","Total","NP","Registered Voters","544"
"SHL 32-0001","King County Referendum Measure No. 88","32","1","7","Total","NP","Times Counted","80"
"SHL 32-0001","King County Referendum Measure No. 88","32","1","7","Total","NP","Times Under Voted","6"
"SHL 32-0001","King County Referendum Measure No. 88","32","1","7","Total","<NP>","Rejected","29"
"SHL 32-0001","King County Referendum Measure No. 88","32","1","7","Total","<NP>","Approved","45"
"SHL 32-0001","King County Referendum Measure No. 88","32","1","7","Total","NP","Times Over Voted","0"
"SHL 32-0001","King County Advisory Vote No. 27","32","1","7","Total","NP","Registered Voters","544"
"SHL 32-0001","King County Advisory Vote No. 27","32","1","7","Total","NP","Times Counted","80"
"SHL 32-0001","King County Advisory Vote No. 27","32","1","7","Total","NP","Times Under Voted","5"
"SHL 32-0001","King County Advisory Vote No. 27","32","1","7","Total","<NP>","Maintained","41"
"SHL 32-0001","King County Advisory Vote No. 27","32","1","7","Total","<NP>","Repealed","34"
"SHL 32-0001","King County Advisory Vote No. 27","32","1","7","Total","NP","Times Over Voted","0"
"SHL 32-0001","King County Advisory Vote No. 22","32","1","7","Total","NP","Registered Voters","544"
"SHL 32-0001","King County Advisory Vote No. 22","32","1","7","Total","NP","Times Counted","80"
"SHL 32-0001","King County Advisory Vote No. 22","32","1","7","Total","NP","Times Under Voted","9"
