"status","reason_id","source","activate","type","pre_dir","post_dir","extra_line","house_from","house_to","side","building_from","building_to","building_req","apt_from","apt_to","apt_req","mail_req","zip_id","precinct_id","map","map_other_1","map_other_2","tb_guide_page","tb_guide_suffix","tb_reference","gis_id","gis_trans_date","gis_user","comment_id","street_trans_id","ltd","timestamp","gen_field","location_1","location_2","location_3","location_4","location_5"
"A",,,"Y","DR",,"S",,"9601","9699","O",,,"N",,,"N","N","82","5",,,,,,,,,,"0","27956","06:32.0","0000000014FBCC48",,"203120
,  ","DES MOINES MEMORIAL
,  ",,,
"A","0",,"Y","PL",,"SW",,"11100","11198","E",,,"N",,,"N","N","96","7",,,,,,,"0",,,"0","0","07:57.6","000000000B31B42F",,"141299
,  ","30TH
,  ",,,
"A","0",,"Y","AVE",,"SW",,"10800","10898","E",,,"N",,,"N","N","96","7",,,,,,,"0",,,"0","0","07:58.4","000000000B31B43C",,"141312
,  ","31ST
,  ",,,
"A","0",,"Y","AVE",,"SW",,"10801","10899","O",,,"N",,,"N","N","96","7",,,,,,,"0",,,"0","0","07:58.5","000000000B31B43D",,"141313
,  ","31ST
,  ",,,
"A","0",,"Y","AVE",,"SW",,"11000","11098","E",,,"N",,,"N","N","96","7",,,,,,,"0",,,"0","0","07:58.5","000000000B31B43E",,"141314
,  ","31ST
,  ",,,
"A","0",,"Y","AVE",,"SW",,"10800","10898","E",,,"N",,,"N","N","96","7",,,,,,,"0",,,"0","0","07:59.0","000000000B31B449",,"141328
,  ","32ND
,  ",,,
"A","0",,"Y","AVE",,"SW",,"10801","10899","O",,,"N",,,"N","N","96","7",,,,,,,"0",,,"0","0","07:59.1","000000000B31B44A",,"141329
,  ","32ND
,  ",,,
"A","0",,"Y","AVE",,"SW",,"11300","11398","E",,,"N",,,"N","N","96","7",,,,,,,"0",,,"0","0","07:59.1","000000000B31B44B",,"141330
,  ","32ND
,  ",,,
"A","0",,"Y","AVE",,"SW",,"11301","11399","O",,,"N",,,"N","N","96","7",,,,,,,"0",,,"0","0","07:59.2","000000000B31B44C",,"141331
,  ","32ND
,  ",,,
"A","0",,"Y","AVE",,"SW",,"10800","11099","B",,,"N",,,"N","N","96","7",,,,,,,"0",,,"0","0","08:00.1","000000000B31B45F",,"141352
,  ","34TH
,  ",,,
"A","0",,"Y","AVE",,"SW",,"11300","11398","E",,,"N",,,"N","N","96","7",,,,,,,"0",,,"0","0","08:00.1","000000000B31B460",,"141356
,  ","34TH
,  ",,,
"A",,,"Y","AVE",,"SW",,"11311","11311","O",,,"N",,,"N","N","96","7",,,,,,,"0",,,"0","59876","04:51.2","000000001EF619E3",,"141357
,  ","34TH
,  ",,,
"A","0",,"Y","AVE",,"SW",,"11400","11498","E",,,"N",,,"N","N","96","7",,,,,,,"0",,,"0","0","08:00.2","000000000B31B462",,"141358
,  ","34TH
,  ",,,
"A","0",,"Y","AVE",,"SW",,"11401","11499","O",,,"N",,,"N","N","96","7",,,,,,,"0",,,"0","0","08:00.3","000000000B31B463",,"141359
,  ","34TH
,  ",,,
"A","0",,"Y","PL",,"SW",,"11100","11198","E",,,"N",,,"N","N","96","7",,,,,,,"0",,,"0","0","08:00.3","000000000B31B464",,"141360
,  ","34TH
,  ",,,
"A","0",,"Y","PL",,"SW",,"11101","11199","O",,,"N",,,"N","N","96","7",,,,,,,"0",,,"0","0","08:00.3","000000000B31B465",,"141361
,  ","34TH
,  ",,,
