LOCATION ACCOUNT #,BUSINESS NAME,DBA NAME,STREET ADDRESS,CITY,ZIP CODE,LOCATION DESCRIPTION,MAILING ADDRESS,MAILING CITY,MAILING ZIP CODE,NAICS,PRIMARY NAICS DESCRIPTION,COUNCIL DISTRICT,LOCATION START DATE,LOCATION END DATE,LOCATION,Zip Codes,Council Districts,Census Tracts,Precinct Boundaries,LA Specific Plans,Neighborhood Councils (Certified)
0000000212-0002-6,HENRY ZAMORA,,6730 TUJUNGA AVENUE,NORTH HOLLYWOOD,91606-1910,6730 TUJUNGA 91606-1910,400 ETON DRIVE,BURBANK,91504-2942,531100,Lessors of real estate (including mini warehouses & self-storage units),2,05/01/1997,,"(34.1932, -118.379)",8889,5,177,1076,,13
0000000320-0036-3,PUBLIC STORAGE INC,PUBLIC STORAGE,11620 SHERMAN WAY,N HOLLYWOOD,91605-5831,11620 SHERMAN 91605-5831,POST OFFICE BOX #25025,GLENDALE,91221-5025,531100,Lessors of real estate (including mini warehouses & self-storage units),2,01/16/2001,,"(34.2011, -118.3848)",8888,5,169,478,,14
0000000320-0041-0,PUBLIC STORAGE INC,PUBLIC STORAGE # 23048,7880 SAN FERNANDO ROAD,SUN VALLEY,91352-4355,7880 SAN FERNANDO 91352-4355,POST OFFICE BOX #25025,GLENDALE,91221-5025,493100,Warehousing & storage (except leases of mini warehouses & self-storage units),2,06/30/2010,,"(34.2144, -118.3614)",19335,5,167,1374,,21
0000000783-0001-9,MARY E MALLORY,,11161 1/4 ACAMA STREET,STUDIO CITY,91602-4110,11161 ACAMA 91602-4110,,,,561500,Travel arrangement & reservation services,2,09/01/2000,,"(34.1461, -118.3729)",8489,5,348,1335,,84
0000000807-0001-6,ANGELA F MARTINEZ,,11271 OTSEGO STREET #201,N HOLLYWOOD,91601-3737,11271 OTSEGO 91601-3737,,,,561420,Telephone call centers (including telephone answering services & telemarketing bureaus),2,01/01/2000,,"(34.1629, -118.3766)",8488,5,210,322,,13
0000000858-0001-9,"JORETTA A SCOTT, R.D.",,10575 OTSEGO STREET,NORTH HOLLYWOOD,91601-4139,10575 OTSEGO 91601-4139,10575 OTSEGO STREET,N HOLLYWOOD,91601-4139,315000,Apparel mfg.,2,01/01/1999,,"(34.163, -118.3611)",8488,7,214,559,,5
0000001364-0001-1,WET PAINT PRODUCTIONS LLC,WET PAINT,5230 KESTER AVENUE #4,SHERMAN OAKS,91411-4019,5230 KESTER 91411-4019,5509 VANTAGE AVENUE,VALLEY VILLAGE,91607-2009,711300,"Promoters of performing arts, sports, & similar events",2,01/01/2000,,,,,,,,
0000001387-0001-1,NATIONAL ORGANIZATION FOR RENAL DISEASE,,11018 AQUA VISTA STREET #19,STUDIO CITY,91602-3137,11018 AQUA VISTA 91602-3137,,,,611000,"Educational services (including schools, colleges, & universities)",2,09/14/1999,,"(34.1449, -118.3705)",8489,5,348,389,,84
0000001442-0001-2,A NATURAL HEALING CENTER INC.,,10142 RIVERSIDE DRIVE,TOLUCA LAKE,91602-2532,10142 RIVERSIDE 91602-2532,,,,621310,Offices of chiropractors,2,01/15/1992,,"(34.1522, -118.3518)",8489,7,342,702,,5
0000001493-0001-5,NORTH HOLLYWOOD HISPANIC FOURSQUARE CHURCH,,11455 BURBANK BLVD,N HOLLYWOOD,91601-2303,11455 BURBANK 91601-2303,11238 EMELITA STREET,N HOLLYWOOD,91601-1217,451211,Book stores,2,01/01/2000,,"(34.1721, -118.3806)",8488,5,207,813,,13
