LOCATION ACCOUNT #,BUSINESS NAME,DBA NAME,STREET ADDRESS,CITY,ZIP CODE,LOCATION DESCRIPTION,MAILING ADDRESS,MAILING CITY,MAILING ZIP CODE,NAICS,PRIMARY NAICS DESCRIPTION,COUNCIL DISTRICT,LOCATION START DATE,LOCATION END DATE,LOCATION,Zip Codes,Council Districts,Census Tracts,Precinct Boundaries,LA Specific Plans,Neighborhood Councils (Certified)
0000000320-0034-7,PUBLIC STORAGE INC,PUBLIC STORAGE #20630,8200 BALBOA BLVD,VAN NUYS,91406-1137,8200 BALBOA 91406-1137,POST OFFICE BOX #25025,GLENDALE,91221-5025,531100,Lessors of real estate (including mini warehouses & self-storage units),6,10/01/1995,,"(34.2179, -118.5013)",19734,3,2325,262,,61
0000000320-0042-8,PUBLIC STORAGE INC,,15145 ROSCOE BLVD,PANORAMA CITY,91402-4527,15145 ROSCOE 91402-4527,701 WESTERN AVENUE,GLENDALE,91201-2349,493100,Warehousing & storage (except leases of mini warehouses & self-storage units),6,03/31/2010,,"(34.2214, -118.462)",19730,3,141,424,,59
0000000570-0001-5,LOS ANGELES SECTION-NATIONAL COUNCIL OF JEWISH WOMEN INC,,14526 VICTORY BLVD,VAN NUYS,91411-1618,14526 VICTORY 91411-1618,543 N FAIRFAX AVENUE,LOS ANGELES,90036-1715,453310,Used merchandise stores,6,01/01/1997,,"(34.1866, -118.4496)",19735,3,240,1339,,18
0000000621-0001-0,CINTHIA RIDING,AROUND THE KORNER CENTER FOR SCHOOL AGE ENRICHMENT,8800 WOODMAN AVENUE,ARLETA,91331-6519,8800 WOODMAN 91331-6519,,,,611000,"Educational services (including schools, colleges, & universities)",6,06/18/1997,,"(34.2296, -118.4362)",19730,3,140,307,,59
0000000712-0001-9,CHAMPIONS IN SERVICE SAN FERNANDO VALLEY AND GREATER LOS ANGELES,,8743 BURNET AVENUE,NORTH HILLS,91343-5403,8743 BURNET 91343-5403,8743 BURNET AVENUE,NORTH HILLS,91343-5403,611000,"Educational services (including schools, colleges, & universities)",6,03/18/1994,,"(34.23, -118.4632)",18914,3,126,452,,73
0000000721-0001-8,ARMANDO S DELARA,,11428 FLEETWOOD STREET,SUN VALLEY,91352-3101,11428 FLEETWOOD 91352-3101,11669   VALERIO STREET   APT #279,NORTH HOLLYWOOD,91605-3962,233210,Single Family Housing Construction (1997 NAICS),6,01/01/2000,,"(34.2253, -118.3799)",19335,3,162,272,,21
0000000849-0001-0,"MOTA LANDSCAPING SERVICES, LLC",JOSE LUIS MOTA LANDSCAPING SERVICES | MOTA LANDSCAPING SERVICES LLC,15846 LEADWELL STREET,VAN NUYS,91406-3112,15846 LEADWELL 91406-3112,,,,561500,Travel arrangement & reservation services,6,01/01/1999,,"(34.2039, -118.4781)",19734,3,221,261,,61
0000001051-0001-9,SPECIAL SERVICE FOR GROUPS,ASIAN PACIFIC COUNSELING & TREATMENT CENTERS,15250   SHERMAN WAY     UNIT #200,VAN NUYS,-,15250 SHERMAN WAY      -,905 E 8TH STREET,LOS ANGELES,90021-1848,621399,Offices of all other miscellaneous health practitioners,6,09/29/1993,,"(0.0, 0.0)",,,,,,
0000001147-0002-9,MISSION CITY COMMUNITY NETWORK INC,,8771 VAN NUYS BLVD,PANORAMA CITY,91402-2401,8771 VAN NUYS 91402-2401,,,,621400,Outpatient  care centers,6,10/15/2015,,"(34.2292, -118.4502)",19730,3,144,417,,59
0000001183-0001-7,OPTIONS FOR YOUTH-BURBANK INC,,6628 VAN NUYS BLVD,VAN NUYS,91405-4617,6628 VAN NUYS 91405-4617,320 N HALSTEAD STREET SUITE #150,PASADENA,91107-3179,541600,"Management, scientific, & technical consulting services",6,09/01/2000,,"(34.1911, -118.4487)",19733,3,236,290,,18
