SRNumber,CreatedDate,UpdatedDate,ActionTaken,Owner,RequestType,Status,RequestSource,MobileOS,Anonymous,AssignTo,ServiceDate,ClosedDate,AddressVerified,ApproximateAddress,Address,HouseNumber,Direction,StreetName,Suffix,ZipCode,Latitude,Longitude,Location,TBMPage,TBMColumn,TBMRow,APC,CD,CDMember,NC,NCName,PolicePrecinct
1-1831742951,01/01/2021 12:06:16 AM,01/02/2021 02:23:21 PM,SR Created,LASAN,Metal/Household Appliances,Closed,Call,,N,EV,01/02/2021 12:00:00 AM,01/02/2021 02:18:38 PM,Y,N,"15251 W CAREY RANCH LANE, 91342",15251,W,CAREY RANCH,LANE,91342,34.2893893478,-118.46359286,"(34.2893893478, -118.46359286)",481,H,6,North Valley APC,7,Monica Rodriguez,5,Sylmar,MISSION
1-1831741721,01/01/2021 12:27:17 AM,01/03/2021 01:44:27 PM,SR Created,LASAN,Metal/Household Appliances,Closed,Call,,N,WV,01/02/2021 12:00:00 AM,01/03/2021 01:43:16 PM,Y,N,"23022 W BLYTHE ST, 91304",23022,W,BLYTHE,ST,91304,34.2140011149,-118.628669123,"(34.2140011149, -118.628669123)",529,G,3,South Valley APC,12,John Lee,11,West Hills,TOPANGA
1-1831744521,01/01/2021 12:39:25 AM,01/01/2021 02:17:19 PM,SR Created,LASAN,Bulky Items,Cancelled,Mobile App,iOS,N,WLA,01/02/2021 12:00:00 AM,01/01/2021 02:17:18 PM,Y,N,"9035 W CATTARAUGUS AVE, 90034",9035,W,CATTARAUGUS,AVE,90034,34.0350731257,-118.389916081,"(34.0350731257, -118.389916081)",632,H,6,South Los Angeles APC,5,Paul Koretz,61,South Robertson,WEST LOS ANGELES
1-1831743461,01/01/2021 12:40:36 AM,01/02/2021 10:49:40 PM,SR Created,LASAN,Bulky Items,Closed,Call,,N,WV,01/02/2021 12:00:00 AM,01/02/2021 10:20:16 AM,Y,N,"23130 W SHERMAN PL, 91307",23130,W,SHERMAN,PL,91307,34.2007135317,-118.630509454,"(34.2007135317, -118.630509454)",529,G,5,South Valley APC,12,John Lee,11,West Hills,TOPANGA
1-1831744681,01/01/2021 12:44:16 AM,01/08/2021 03:21:27 AM,SR Created,LASAN,Bulky Items,Closed,Mobile App,iOS,Y,NC,01/07/2021 12:00:00 AM,01/07/2021 12:04:06 PM,Y,,"123 S ST ANDREWS PL, 90004",123,S,ST ANDREWS,PL,90004,34.0723309679,-118.311496089,"(34.0723309679, -118.311496089)",633,H,1,Central APC,4,Nithya Raman,119,Greater Wilshire,OLYMPIC
1-1831744691,01/01/2021 12:44:33 AM,01/06/2021 07:05:16 AM,SR Created,LASAN,Illegal Dumping Pickup,Closed,Call,,N,NC,01/06/2021 12:00:00 AM,01/06/2021 06:59:22 AM,Y,N,"1401 S STADIUM WAY, 90012",1401,S,STADIUM,WAY,90012,34.069118652,-118.237732618,"(34.069118652, -118.237732618)",634,G,1,Central APC,1,Gilbert Cedillo,128,Historic Cultural North,NORTHEAST
1-1831744761,01/01/2021 12:46:14 AM,01/04/2021 05:20:14 PM,SR Created,LASAN,Bulky Items,Closed,Mobile App,iOS,N,WLA,01/04/2021 12:00:00 AM,01/04/2021 05:18:34 PM,Y,,"1320 E VENICE BLVD, 90291",1320,E,VENICE,BLVD,90291,33.9955119618,-118.4493295,"(33.9955119618, -118.4493295)",672,A,5,West Los Angeles APC,11,Mike Bonin,68,Venice,PACIFIC
1-1831743621,01/01/2021 12:46:35 AM,01/02/2021 02:44:56 PM,SR Created,LASAN,Bulky Items,Closed,Mobile App,iOS,N,NC,01/02/2021 12:00:00 AM,01/02/2021 02:42:24 PM,Y,,"1120 S ARDMORE AVE, 90006",1120,S,ARDMORE,AVE,90006,34.0501531834,-118.30197593,"(34.0501531834, -118.30197593)",633,J,4,Central APC,10,Mark Ridley-Thomas,104,Olympic Park,OLYMPIC
1-1831745261,01/01/2021 12:50:44 AM,01/06/2021 04:43:37 PM,SR Created,LASAN,Bulky Items,Closed,Call,,N,SLA,01/06/2021 12:00:00 AM,01/06/2021 04:40:00 PM,Y,N,"223 W 55TH ST, 90037",223,W,55TH,ST,90037,33.9924982119,-118.277056532,"(33.9924982119, -118.277056532)",674,C,5,South Los Angeles APC,9,Curren D. Price Jr.,125,Zapata King,NEWTON
1-1831745301,01/01/2021 12:51:13 AM,01/05/2021 01:47:56 PM,SR Created,OCB,Graffiti Removal,Closed,Mobile App,Android,N,GAP,01/05/2021 12:00:00 AM,01/05/2021 01:47:55 PM,Y,N,"3409 W 59TH ST, 90043",3409,W,59TH,ST,90043,33.9873215073,-118.331488561,"(33.9873215073, -118.331488561)",673,F,6,South Los Angeles APC,8,Marqueece Harris-Dawson,80,Park Mesa Heights,77TH STREET
1-1831745381,01/01/2021 12:57:49 AM,01/01/2021 12:41:16 PM,SR Created,ITA,Other,Cancelled,Mobile App,iOS,Y,,,01/01/2021 12:41:15 PM,Y,N,"1624 W 12TH PL, 90015",1624,W,12TH,PL,90015,34.0456933294,-118.277476707,"(34.0456933294, -118.277476707)",634,C,5,Central APC,1,Gilbert Cedillo,76,Pico Union,RAMPART
1-1831748171,01/01/2021 01:12:19 AM,01/11/2021 11:26:44 AM,SR Created,LASAN,Illegal Dumping Pickup,Closed,Call,,N,NC,01/08/2021 12:00:00 AM,01/11/2021 11:24:18 AM,Y,N,"5310 W LOMA LINDA AVE, 90027",5310,W,LOMA LINDA,AVE,90027,34.1028375643,-118.305453291,"(34.1028375643, -118.305453291)",593,H,4,Central APC,13,Mitch O'Farrell,36,Los Feliz,HOLLYWOOD
