"permit_nbr","primary_address","zip_code","cd","pin_nbr","associated_pins","apn","zone","apc","cpa","cnc","hl","ct","group","permit_type","permit_sub_type","use_code","use_desc","submitted_date","issue_date","cofo_date","du_changed","adu_changed","square_footage","status","valuation","construction","height","type_lat_lon","lat","lon","refresh_time","work_desc"
"14014-20001-04554","14765 W COBALT ST","91342","7","228B149   251","228B149   251","2502015030","R1-1","North Valley","Sylmar","Sylmar",,"1064.06","Building","Bldg-Addition","1 or 2 Family Dwelling","1","Dwelling - Single Family","2015-04-30T00:00:00.000",,,,,"73","Corrections Issued","3200","Type V-B Construction",,"BUILDING","34.32111614","-118.45474555","2022-09-10T00:00:00.000","Suppl. Permit To 14014-20000-04554, To Revise Carport Framing Dimensions And Attach To (E) Storage, Remove Rec. Room."
"12030-20000-04717","20847 W PIAZZA WAY","91326","12","213B109   673","213B109   673","2701076026","[T]RE-1","North Valley","Chatsworth - Porter Ranch","Porter Ranch","YES","1082.02","Building","Grading","1 or 2 Family Dwelling",,,"2012-10-04T00:00:00.000",,,,,,"PC Approved","0",,,"ADDRESS","34.28342","-118.5872","2022-09-10T00:00:00.000","Gpi & Posting For:   New Sfd W/Att Garage"
"20014-10001-01553","1628 W 256TH ST","90710","15","036B193   765","036B193   765","7410024008","R2-1XL","Harbor","Wilmington - Harbor City","Harbor City",,"2933.04","Building","Bldg-Addition","1 or 2 Family Dwelling",,,"2020-09-30T00:00:00.000",,,,,,"Reviewed by Supervisor","25000",,,"ADDRESS","33.79139","-118.30529","2022-09-10T00:00:00.000","****Supplemental 20014-10000-01553Plan Check OnlyChange Scope Of Work To Convert 1st Floor To 2nd Adu"
"12016-10000-22483","225 S GRAND AVE","90012","14","132A211    60","132A211    60","5151004913","[T][Q]C2-4D","Central","Central City","Downtown Los Angeles",,"2075.02","Building","Bldg-Alter/Repair","Apartment","5","Apartment","2012-11-06T00:00:00.000",,,,,,"PC Approved","501",,,"ADDRESS","34.05388","-118.25078","2022-09-10T00:00:00.000","Terminate Covenant And Agreements Affidavit (# 90-1241757)"
"12016-70000-04594","563 E KENDALL AVE","90042","14","148-5A231 198","148-5A231 198","5301014033","R1-1","East Los Angeles","Northeast Los Angeles","Arroyo Seco",,"1837.02","Building","Bldg-Alter/Repair","1 or 2 Family Dwelling","1","Dwelling - Single Family","2012-03-07T00:00:00.000",,,,,,"Corrections Issued","2000",,,"ADDRESS","34.1009","-118.18487","2022-09-10T00:00:00.000","Relocate Entry Door And Add Ramp"
"17010-10000-01804","800-844 E FLORENCE AVE","90001","9","102B209   120","102B209   120","6023003031","CM-1","South Los Angeles","Southeast Los Angeles","Community and Neighbors for Ninth District Un",,"2395.01","Building","Bldg-New","1 or 2 Family Dwelling","1","Dwelling - Single Family","2017-05-11T00:00:00.000",,,"0",,,"Re-Submittal Required","225000","Type V-B Construction",,"ADDRESS","33.97457","-118.26057","2022-09-10T00:00:00.000","(1) New 3 Story Sfd  (38 Unit Small Lot Subdivision)"
"16030-20000-02241","16560 W CHATTANOOGA PL","90272","11","129B121   547","129B121   547","4419013022","R1-1","West Los Angeles","Brentwood - Pacific Palisades",,"YES","2626.04","Building","Grading","1 or 2 Family Dwelling",,,"2016-03-31T00:00:00.000",,,,,,"PC Approved","0",,,"ADDRESS","34.04894","-118.54275","2022-09-10T00:00:00.000","Gpi & Posting To Add To Sfd"
"13030-20000-05091","8908-8936 N GLENOAKS BLVD","91352","6","195B173   170","195B173   170","2408005029","C2-1VL","North Valley","Sun Valley - La Tuna Canyon","Sun Valley",,"1211.02","Building","Grading","Commercial",,,"2013-08-14T00:00:00.000",,,,,,"Verifications in Progress","0",,,"ADDRESS","34.23112","-118.36747","2022-09-10T00:00:00.000","Gpi For Convert One Ralphs Supermarket To 7 New Lease Spaces ( 3 Shell Only And 4 Retail T.I.  Remodel ), Remodel Front Facade/ Storefront & Restripe Pkg Lot."
"20010-20000-01771","8734 W APPERSON ST","91040","7","204B189   728","204B189   724; 204B189   726; 204B189   727; 204B189   728","2546005009","R1-1","North Valley","Sunland-E LaTuna Cyn-Lakevw Ter-Shadow Hls-Tu","Sunland-Tujunga","YES","1034.00","Building","Bldg-New","1 or 2 Family Dwelling","1","Dwelling - Single Family","2020-05-22T00:00:00.000",,,"1",,"1880","Verifications in Progress","238618","Type V-B Construction",,"ADDRESS","34.25568","-118.32351","2022-09-10T00:00:00.000","New _X_  2-Story Sfd With _X_ Attached Garage. Nfpa 13 D Fire Sprinklers Req'D Throughout"
"19016-10000-22176","11748 W DOROTHY ST","90049","11","129B145   187","129B145   187","4265006044","R3-1","West Los Angeles","Brentwood - Pacific Palisades",,,"2643.01","Building","Bldg-Alter/Repair","Apartment","5","Apartment","2019-07-19T00:00:00.000",,,,,,"Reviewed by Supervisor","60000",,,"ADDRESS","34.05216","-118.46629","2022-09-10T00:00:00.000","Soft Story Retrofit Per Labc Ch 93. Install (N) 4 Sccs."
"18010-10000-03263","366 S LOMA DR","90017","1","133-5A207 268","133-5A207 268","5153019010","R4-1","Central","Westlake","Westlake North",,"2091.04","Building","Bldg-New","Apartment","5","Apartment","2018-08-08T00:00:00.000",,,"39",,"27735","PC Info Complete","5322136","Type III-A Construction","70","ADDRESS","34.05902","-118.26623","2022-09-10T00:00:00.000","New 6-Story, 39-Unit, Apartment Building Over 1 Level1 Of Subterrean Parking Garage. Roof Deck Access Is Provided For Common Open Space. Toc Tier 2."
"22014-10000-02995","2938 S POTOMAC AVE","90016","10","120B181   208","120B181   208","5057019020","R1-1","South Los Angeles","West Adams - Baldwin Hills - Leimert","West Adams",,"2200.00","Building","Bldg-Addition","1 or 2 Family Dwelling","1","Accessory Dwelling Unit","2022-06-17T00:00:00.000",,,,,,"Corrections Issued","80000","Type V-B Construction",,"ADDRESS","34.02829","-118.34379","2022-09-10T00:00:00.000","Eplan New Adu Conversion Of Existing 1-Car Garage Plus Addition To Accessory Dwelling Unit Per Ordinance."
"22047-20000-01848","6233 N ENFIELD AVE","91316","4","177B129   153","177B129   153","2123033014","R1-1-RIO","South Valley","Reseda - West Van Nuys","Encino",,"1329.00","Building","Swimming-Pool/Spa","1 or 2 Family Dwelling","20","Pool/Spa - Private","2022-09-07T00:00:00.000",,,,,,"Corrections Issued","50000",,,"ADDRESS","34.18281","-118.52418","2022-09-10T00:00:00.000","New 17'-0"" X 32'-0"" Pool And 9'-0"" X 9'-0"" Spa With Baja Per City Std. Plan #270"
"20016-10000-13895","424 S WINDSOR BLVD","90020","4","135B189   496","135B189   496","5504003004","RE15-1-HPOZ","Central","Wilshire","Greater Wilshire",,"2117.01","Building","Bldg-Alter/Repair","1 or 2 Family Dwelling","1","Dwelling - Single Family","2020-06-11T00:00:00.000",,,,,,"PC Info Complete","50000",,,"ADDRESS","34.06627","-118.32123","2022-09-10T00:00:00.000","Interior Remodel Only: (E) Kitchen, Bedroom Remodel. Remove (E) Load Bearing Wall, Provide Structure Support Beam And Post, New Kitchen Fixtures, Base And Wall Cabinets, Install 2x4 Wd Studs Wall To Shorting (E) Bedroom"
