"indicator","type","topic","description","response","year","respondent_group","sample_size","result","format"
"1","Council Plan Indicator","Physical activity","Participate in adequate physical activity","Yes, 30 minutes or more on 4 or more days per week","2018","City of Melbourne","1180","52.3","Per cent"
"1","Council Plan Indicator","Physical activity","Participate in adequate physical activity","Yes, 30 minutes or more on 4 or more days per week","2018","Carlton 3053","117","53.8","Per cent"
"1","Council Plan Indicator","Physical activity","Participate in adequate physical activity","Yes, 30 minutes or more on 4 or more days per week","2018","Docklands 3008","95","57.6","Per cent"
"1","Council Plan Indicator","Physical activity","Participate in adequate physical activity","Yes, 30 minutes or more on 4 or more days per week","2018","East Melbourne 3002","79","57.7","Per cent"
"1","Council Plan Indicator","Physical activity","Participate in adequate physical activity","Yes, 30 minutes or more on 4 or more days per week","2018","Kensington/ Flemingon 3031","140","49.7","Per cent"
"1","Council Plan Indicator","Physical activity","Participate in adequate physical activity","Yes, 30 minutes or more on 4 or more days per week","2018","Melbourne 3000","264","55.0","Per cent"
"1","Council Plan Indicator","Physical activity","Participate in adequate physical activity","Yes, 30 minutes or more on 4 or more days per week","2018","North Melbourne 3051 / West Melbourne 3003","175","46.7","Per cent"
"1","Council Plan Indicator","Physical activity","Participate in adequate physical activity","Yes, 30 minutes or more on 4 or more days per week","2018","Parkville 3052","68","46.5","Per cent"
"1","Council Plan Indicator","Physical activity","Participate in adequate physical activity","Yes, 30 minutes or more on 4 or more days per week","2018","Southbank/ South Wharf 3006","118","48.0","Per cent"
"1","Council Plan Indicator","Physical activity","Participate in adequate physical activity","Yes, 30 minutes or more on 4 or more days per week","2018","South Yarra 3141 / Melbourne (St Kilda Road) 3004","124","60.1","Per cent"
"1","Council Plan Indicator","Physical activity","Participate in adequate physical activity","Yes, 30 minutes or more on 4 or more days per week","2018","Male","525","54.1","Per cent"
"1","Council Plan Indicator","Physical activity","Participate in adequate physical activity","Yes, 30 minutes or more on 4 or more days per week","2018","Female","646","50.8","Per cent"
"1","Council Plan Indicator","Physical activity","Participate in adequate physical activity","Yes, 30 minutes or more on 4 or more days per week","2018","18-24 years","259","52.5","Per cent"
"1","Council Plan Indicator","Physical activity","Participate in adequate physical activity","Yes, 30 minutes or more on 4 or more days per week","2018","25-34 years","249","47.1","Per cent"
"1","Council Plan Indicator","Physical activity","Participate in adequate physical activity","Yes, 30 minutes or more on 4 or more days per week","2018","35-44 years","130","51.5","Per cent"
"1","Council Plan Indicator","Physical activity","Participate in adequate physical activity","Yes, 30 minutes or more on 4 or more days per week","2018","45-54 years","130","64.9","Per cent"
"1","Council Plan Indicator","Physical activity","Participate in adequate physical activity","Yes, 30 minutes or more on 4 or more days per week","2018","55-64 years","142","58.7","Per cent"
"1","Council Plan Indicator","Physical activity","Participate in adequate physical activity","Yes, 30 minutes or more on 4 or more days per week","2018","65+ years","270","58.9","Per cent"
"2a","Other","Physical activity","Participate in sports and exercise activities","Yes, in the last 3 months","2018","City of Melbourne","1247","73.3","Per cent"
"2a","Other","Physical activity","Participate in sports and exercise activities","Yes, in the last 3 months","2018","Carlton 3053","126","78.2","Per cent"
"2a","Other","Physical activity","Participate in sports and exercise activities","Yes, in the last 3 months","2018","Docklands 3008","103","69.1","Per cent"
"2a","Other","Physical activity","Participate in sports and exercise activities","Yes, in the last 3 months","2018","East Melbourne 3002","82","68.9","Per cent"
"2a","Other","Physical activity","Participate in sports and exercise activities","Yes, in the last 3 months","2018","Kensington/ Flemingon 3031","142","77.4","Per cent"
"2a","Other","Physical activity","Participate in sports and exercise activities","Yes, in the last 3 months","2018","Melbourne 3000","285","77.8","Per cent"
"2a","Other","Physical activity","Participate in sports and exercise activities","Yes, in the last 3 months","2018","North Melbourne 3051 / West Melbourne 3003","184","70.3","Per cent"
"2a","Other","Physical activity","Participate in sports and exercise activities","Yes, in the last 3 months","2018","Parkville 3052","72","84.6","Per cent"
"2a","Other","Physical activity","Participate in sports and exercise activities","Yes, in the last 3 months","2018","Southbank/ South Wharf 3006","123","58.4","Per cent"
"2a","Other","Physical activity","Participate in sports and exercise activities","Yes, in the last 3 months","2018","South Yarra 3141 / Melbourne (St Kilda Road) 3004","130","77.1","Per cent"
"2a","Other","Physical activity","Participate in sports and exercise activities","Yes, in the last 3 months","2018","Male","549","73.3","Per cent"
"2a","Other","Physical activity","Participate in sports and exercise activities","Yes, in the last 3 months","2018","Female","687","73.5","Per cent"
"2a","Other","Physical activity","Participate in sports and exercise activities","Yes, in the last 3 months","2018","18-24 years","290","82.2","Per cent"
"2a","Other","Physical activity","Participate in sports and exercise activities","Yes, in the last 3 months","2018","25-34 years","262","77.1","Per cent"
"2a","Other","Physical activity","Participate in sports and exercise activities","Yes, in the last 3 months","2018","35-44 years","138","69.0","Per cent"
"2a","Other","Physical activity","Participate in sports and exercise activities","Yes, in the last 3 months","2018","45-54 years","131","64.6","Per cent"
"2a","Other","Physical activity","Participate in sports and exercise activities","Yes, in the last 3 months","2018","55-64 years","146","56.0","Per cent"
"2a","Other","Physical activity","Participate in sports and exercise activities","Yes, in the last 3 months","2018","65+ years","280","48.7","Per cent"
"2b","Other","Physical activity","Participate in sports and exercise activities in City of Melbourne","Yes, in the last 3 months","2018","City of Melbourne","1247","67.1","Per cent"
"2b","Other","Physical activity","Participate in sports and exercise activities in City of Melbourne","Yes, in the last 3 months","2018","Carlton 3053","126","74.6","Per cent"
"2b","Other","Physical activity","Participate in sports and exercise activities in City of Melbourne","Yes, in the last 3 months","2018","Docklands 3008","103","67.6","Per cent"
"2b","Other","Physical activity","Participate in sports and exercise activities in City of Melbourne","Yes, in the last 3 months","2018","East Melbourne 3002","82","61.6","Per cent"
"2b","Other","Physical activity","Participate in sports and exercise activities in City of Melbourne","Yes, in the last 3 months","2018","Kensington/ Flemingon 3031","142","70.6","Per cent"
"2b","Other","Physical activity","Participate in sports and exercise activities in City of Melbourne","Yes, in the last 3 months","2018","Melbourne 3000","285","73.0","Per cent"
"2b","Other","Physical activity","Participate in sports and exercise activities in City of Melbourne","Yes, in the last 3 months","2018","North Melbourne 3051 / West Melbourne 3003","184","61.8","Per cent"
"2b","Other","Physical activity","Participate in sports and exercise activities in City of Melbourne","Yes, in the last 3 months","2018","Parkville 3052","72","69.2","Per cent"
"2b","Other","Physical activity","Participate in sports and exercise activities in City of Melbourne","Yes, in the last 3 months","2018","Southbank/ South Wharf 3006","123","54.3","Per cent"
"2b","Other","Physical activity","Participate in sports and exercise activities in City of Melbourne","Yes, in the last 3 months","2018","South Yarra 3141 / Melbourne (St Kilda Road) 3004","130","58.4","Per cent"
"2b","Other","Physical activity","Participate in sports and exercise activities in City of Melbourne","Yes, in the last 3 months","2018","Male","549","67.0","Per cent"
"2b","Other","Physical activity","Participate in sports and exercise activities in City of Melbourne","Yes, in the last 3 months","2018","Female","687","67.4","Per cent"
"2b","Other","Physical activity","Participate in sports and exercise activities in City of Melbourne","Yes, in the last 3 months","2018","18-24 years","290","74.7","Per cent"
"2b","Other","Physical activity","Participate in sports and exercise activities in City of Melbourne","Yes, in the last 3 months","2018","25-34 years","262","72.6","Per cent"
"2b","Other","Physical activity","Participate in sports and exercise activities in City of Melbourne","Yes, in the last 3 months","2018","35-44 years","138","58.1","Per cent"
