"public_water_supply_id","system_name","county","population","last_monitoring_period_end","lead_90th_percentile_ppb","includes_5th_liter","sampling_next_due_subject"
"MI0000011","ACME TOWNSHIP - HOPE VILLAGE","GRAND TRAVERSE","128","2020-12-31T00:00:00.000","0","N","2023-09-30T00:00:00.000"
"MI0000012","ADA TOWNSHIP","KENT","7068","2021-12-31T00:00:00.000","0","N","2022-09-30T00:00:00.000"
"MI0000020","ADAMS TOWNSHIP","HOUGHTON","2010","2019-12-31T00:00:00.000","1","N","2022-09-30T00:00:00.000"
"MI0000030","ADDISON","LENAWEE","605","2021-12-31T00:00:00.000","3","N","2022-09-30T00:00:00.000"
"MI0000040","ADRIAN","LENAWEE","23663","2020-12-31T00:00:00.000","0","N","2023-09-30T00:00:00.000"
"MI0000045","BROOKDALE ADRIAN","LENAWEE","115","2019-12-31T00:00:00.000","1","N","2022-09-30T00:00:00.000"
"MI0000048","RICHLYN MANOR","LENAWEE","192","2019-12-31T00:00:00.000","1","N","2022-09-30T00:00:00.000"
"MI0000050","AHMEEK","KEWEENAW","148","2019-12-31T00:00:00.000","1","N","2022-09-30T00:00:00.000"
"MI0000070","AKRON","TUSCOLA","402","2019-12-31T00:00:00.000","2","N","2022-09-30T00:00:00.000"
"MI0000072","AKRON TOWNSHIP","TUSCOLA","219","2021-12-31T00:00:00.000","0","N","2022-09-30T00:00:00.000"
"MI0000082","ALABASTER TOWNSHIP","IOSCO","86","2019-06-30T00:00:00.000","0","N","2022-09-30T00:00:00.000"
"MI0000088","ALBEE TOWNSHIP","SAGINAW","411","2021-12-31T00:00:00.000","1","N","2022-09-30T00:00:00.000"
"MI0000100","ALBION","CALHOUN","9144","2022-06-30T00:00:00.000","0","Y","2022-12-31T00:00:00.000"
"MI0000110","ALGONAC, CITY OF","ST CLAIR","4110","2020-12-31T00:00:00.000","2","N","2023-09-30T00:00:00.000"
"MI0000120","ALLEGAN","ALLEGAN","5930","2022-06-30T00:00:00.000","3","Y","2022-12-31T00:00:00.000"
"MI0000125","ALLEGAN COUNTY SERVICES CENTER","ALLEGAN","101","2021-12-31T00:00:00.000","5","N","2024-09-30T00:00:00.000"
"MI0000127","ALLENDALE TOWNSHIP","OTTAWA","19725","2021-12-31T00:00:00.000","0","N","2022-09-30T00:00:00.000"
"MI0000130","ALLEN PARK","WAYNE","28210","2021-12-31T00:00:00.000","11","Y","2022-09-30T00:00:00.000"
"MI0000140","ALMA, CITY OF","GRATIOT","9182","2020-12-31T00:00:00.000","0","Y","2023-09-30T00:00:00.000"
"MI0000150","ALMONT, VILLAGE OF","LAPEER","2674","2021-12-31T00:00:00.000","0","N","2022-09-30T00:00:00.000"
"MI0000160","ALPENA, CITY OF","ALPENA","10483","2019-12-31T00:00:00.000","1","Y","2022-09-30T00:00:00.000"
"MI0000170","ALPENA TOWNSHIP","ALPENA","5197","2019-12-31T00:00:00.000","0","N","2022-09-30T00:00:00.000"
"MI0000180","ALPHA","IRON","198","2020-12-31T00:00:00.000","2","N","2023-09-30T00:00:00.000"
"MI0000200","HEMATITE TOWNSHIP","IRON","350","2019-12-31T00:00:00.000","3","N","2022-09-30T00:00:00.000"
"MI0000210","ANDREWS UNIVERSITY","BERRIEN","3000","2021-12-31T00:00:00.000","0","N","2024-09-30T00:00:00.000"
