"date","fips","state","county","age","gender","veterans","lat","long","location"
"2015-09-30T00:00:00.000","1061","AL","Geneva","85+","Male","75","31.092382","-85.821022","POINT (-85.821022 31.092382)"
"2015-09-30T00:00:00.000","1093","AL","Marion","85+","Male","176","34.138219","-87.881551","POINT (-87.881551 34.138219)"
"2015-09-30T00:00:00.000","5113","AR","Polk","65-84","Male","896","34.490915","-94.230884","POINT (-94.230884 34.490915)"
"2015-09-30T00:00:00.000","5139","AR","Union","85+","Male","205","33.168219","-92.598145","POINT (-92.598145 33.168219)"
"2015-09-30T00:00:00.000","8047","CO","Gilpin","85+","Female","0","39.861156","-105.528878","POINT (-105.528878 39.861156)"
"2015-09-30T00:00:00.000","8089","CO","Otero","85+","Male","46","37.88417","-103.72126","POINT (-103.72126 37.88417)"
"2015-09-30T00:00:00.000","12085","FL","Martin","85+","Male","3124","27.083604","-80.398201","POINT (-80.398201 27.083604)"
"2015-09-30T00:00:00.000","12125","FL","Union","85+","Female","0","30.05428","-82.366918","POINT (-82.366918 30.05428)"
"2015-09-30T00:00:00.000","13263","GA","Talbot","85+","Male","12","32.704603","-84.530029","POINT (-84.530029 32.704603)"
"2015-09-30T00:00:00.000","17061","IL","Greene","85+","Male","107","39.355439","-90.387682","POINT (-90.387682 39.355439)"
"2015-09-30T00:00:00.000","17115","IL","Macon","85+","Male","674","39.860237","-88.961529","POINT (-88.961529 39.860237)"
"2015-09-30T00:00:00.000","17173","IL","Shelby","85+","Male","280","39.384926","-88.798862","POINT (-88.798862 39.384926)"
"2015-09-30T00:00:00.000","18051","IN","Gibson","85+","Male","174","38.317398","-87.580523","POINT (-87.580523 38.317398)"
"2015-09-30T00:00:00.000","19067","IA","Floyd","85+","Male","177","43.052741","-92.787367","POINT (-92.787367 43.052741)"
"2015-09-30T00:00:00.000","19135","IA","Monroe","85+","Male","26","41.028847","-92.869642","POINT (-92.869642 41.028847)"
"2015-09-30T00:00:00.000","19195","IA","Worth","85+","Male","54","43.373491","-93.248533","POINT (-93.248533 43.373491)"
"2015-09-30T00:00:00.000","20135","KS","Ness","45-64","Male","45","38.480437","-99.908745","POINT (-99.908745 38.480437)"
"2015-09-30T00:00:00.000","21075","KY","Fulton","85+","Male","41","36.552511","-89.187659","POINT (-89.187659 36.552511)"
"2015-09-30T00:00:00.000","21081","KY","Grant","85+","Male","72","38.649167","-84.625924","POINT (-84.625924 38.649167)"
"2015-09-30T00:00:00.000","21211","KY","Shelby","85+","Male","95","38.239011","-85.228247","POINT (-85.228247 38.239011)"
"2015-09-30T00:00:00.000","27059","MN","Isanti","85+","Male","261","45.562431","-93.296339","POINT (-93.296339 45.562431)"
"2015-09-30T00:00:00.000","27099","MN","Mower","85+","Male","383","43.666249","-92.759514","POINT (-92.759514 43.666249)"
"2015-09-30T00:00:00.000","27105","MN","Nobles","85+","Male","144","43.677686","-95.763132","POINT (-95.763132 43.677686)"
