"recordid","year","month","abdomen_including_groin","disc","internal_organs","lower_back_area","lumbar_or_sacral_vertebrae","heart","lungs","spinal_cord","buttocks","pelvis","chest","multiple_trunk","upper_back_area","sacrum_and_coccyx"
"122012","2012","12","101","8","18","724","17","9","58",,"17","5","124","40","131","13"
"112012","2012","11","120","7","42","744","21","2","41","1","16","10","122","44","121","11"
"102012","2012","10","145","3","18","892","16","6","95","1","25","18","122","53","121","6"
"92012","2012","9","127","15","14","780","19","5","73","3","21","11","107","54","141","5"
"82012","2012","8","147","7","36","936","19","11","93","1","23","9","132","52","160","7"
"72012","2012","7","125","8","47","748","32","14","30",,"17","9","120","52","141","10"
"62012","2012","6","104","8","18","821","22","7","108","1","29","12","138","43","119","8"
"52012","2012","5","130","9","26","803","25","10","42",,"18","13","125","47","131","5"
"42012","2012","4","123","7","52","736","23","9","124",,"15","9","98","43","125","5"
"32012","2012","3","144","10","26","776","25","8","60","4","11","6","121","39","138","10"
"22012","2012","2","116","10","19","731","18","9","38","1","13","8","116","36","107","11"
"12012","2012","1","126","4","17","841","17","11","32","1","36","8","144","46","130","11"
"122011","2011","12","124","8","15","696","14","4","29","2","14","7","103","56","109","4"
"112011","2011","11","104","9","23","794","26","5","48","2","22","17","92","48","119","8"
"102011","2011","10","144","7","19","798","17","8","40","2","21","7","120","41","119","6"
"92011","2011","9","125","9","19","780","22","9","38","1","21","15","120","43","99","11"
"82011","2011","8","162","6","32","915","32","13","41","2","17","11","136","39","128","11"
"72011","2011","7","108","9","21","747","26","8","45","1","22","5","121","39","109","6"
"62011","2011","6","137","11","29","821","26","4","61","1","14","8","111","39","113","11"
"52011","2011","5","116","5","22","743","27","10","28","1","12","7","124","49","108","16"
"42011","2011","4","118","4","12","830","22","5","38","1","18","2","119","39","98","5"
"32011","2011","3","112","13","30","948","32","13","78","1","28","12","148","38","103","11"
"22011","2011","2","99","11","25","935","29","12","40","3","60","13","143","52","133","23"
"12011","2011","1","122","12","31","864","28","4","70","3","29","7","123","47","131","15"
"122010","2010","12","95","9","22","817","13","7","39",,"37","9","108","51","111","21"
"112010","2010","11","101","6","51","777","25","6","18","7","21","7","125","38","98","5"
"102010","2010","10","130","8","37","878","21","6","25","2","20","11","138","36","116","7"
"92010","2010","9","122","12","33","882","22","10","34",,"25","7","133","36","135","14"
"82010","2010","8","127","7","27","894","31","9","47",,"18","4","140","47","124","7"
"72010","2010","7","129","7","26","825","35","9","36","2","22","11","131","39","126","10"
"62010","2010","6","140","8","49","897","39","6","43","1","20","6","115","46","120","15"
"52010","2010","5","121","12","20","899","17","14","32","2","17","6","128","48","117","11"
"42010","2010","4","124","9","16","826","22","7","43",,"14","13","130","37","115","12"
"32010","2010","3","121","10","22","937","20","12","26","1","27","10","129","64","117","4"
"22010","2010","2","100","8","20","911","32","9","39","2","38","7","119","49","129","21"
"12010","2010","1","113","5","16","875","18","7","32","3","37","7","158","49","129","22"
"122009","2009","12","103","10","40","817","27","1","34","3","30","6","108","46","116","10"
"112009","2009","11","102","8","33","821","25","10","32","1","13","7","113","48","128","8"
"102009","2009","10","118","7","68","943","28","6","56","1","21","8","125","50","119","9"
"92009","2009","9","143","9","26","917","19","8","19",,"22","7","133","52","125","7"
"82009","2009","8","122","4","35","934","22","9","22","2","26","8","118","53","122","16"
"72009","2009","7","120","8","25","856","25","14","36","1","25","2","129","42","113","9"
"62009","2009","6","127","4","32","857","18","9","33",,"17","3","123","58","118","9"
"52009","2009","5","109","8","16","777","16","6","38","2","18","8","124","38","114","6"
"42009","2009","4","122","5","19","834","19","7","31","3","20","10","121","58","146","8"
"32009","2009","3","138","4","21","945","23","3","32","1","15","12","135","39","139","17"
"22009","2009","2","124","4","22","888","12","3","33","1","31","2","131","54","115","11"
"12009","2009","1","113","5","25","852","25","5","50","2","34","12","137","57","117","19"
"122008","2008","12","97","7","20","908","33","3","41","3","51","8","114","49","109","12"
"112008","2008","11","123","3","12","734","21","3","30","1","24","8","110","36","91","8"
"102008","2008","10","179","7","24","1148","19","7","56","3","24","12","151","60","151","17"
"92008","2008","9","133","5","31","1068","23","3","42","2","17","10","136","58","127","20"
"82008","2008","8","148","6","24","1005","17","16","25",,"19","10","130","56","150","10"
"72008","2008","7","147","6","20","998","32","8","40","2","24","7","150","46","136","8"
"62008","2008","6","136","5","23","1007","29","5","37","1","21","11","161","52","131","11"
"52008","2008","5","144","7","15","991","35","6","42",,"31","10","140","45","133","8"
"42008","2008","4","143","10","34","1065","36","7","72","2","30","9","156","49","193","16"
"32008","2008","3","117","9","35","1063","26","8","46",,"45","6","136","58","161","11"
"22008","2008","2","139","5","23","1026","34","4","68","1","41","11","160","51","146","13"
"12008","2008","1","143","3","27","1020","37","8","27","2","36","7","143","65","146","18"
"122007","2007","12","143","1","25","952","27","4","49","2","37","4","138","49","170","16"
"112007","2007","11","160","6","31","935","30","6","67","2","11","6","156","54","125","9"
"102007","2007","10","178","11","28","1210","25","3","53",,"21","10","168","83","161","16"
"92007","2007","9","132","7","38","1016","23","8","48","2","19","13","141","56","129","10"
"82007","2007","8","193","5","42","1222","22","9","51","1","29","14","168","58","160","18"
"72007","2007","7","139","7","16","996","33","6","55","2","25","12","145","67","120","7"
"62007","2007","6","176","7","26","1080","26","10","40",,"20","8","140","76","176","11"
"52007","2007","5","141","8","28","1068","35","5","62","1","22","13","155","79","170","12"
"42007","2007","4","154","8","28","1005","27","10","42","1","20","8","132","77","138","16"
"32007","2007","3","148","3","24","1117","15","7","72","3","18","8","165","48","143","10"
"22007","2007","2","138","7","30","1086","21","5","39","1","34","19","147","62","171","28"
"12007","2007","1","143","8","28","1192","19","7","67","1","44","14","174","74","161","18"
"122006","2006","12","138","9","20","1032","25","6","43","1","34","13","130","58","168","20"
"112006","2006","11","147","5","22","1008","17","7","29","1","22","11","125","62","155","10"
"102006","2006","10","163","9","25","1184","25","16","38","2","18","15","171","62","165","21"
"92006","2006","9","127","5","29","1063","21","6","31","1","25","16","138","65","145","16"
"82006","2006","8","169","10","63","1291","17","8","38",,"15","20","151","105","194","16"
"72006","2006","7","151","5","31","1022","19","10","84","1","22","18","126","60","128","14"
"62006","2006","6","142","6","28","1101","14","4","120","3","25","14","135","70","140","8"
"52006","2006","5","156","5","18","1082","21","8","50","1","18","16","144","91","171","14"
"42006","2006","4","138","6","32","1023","14","3","19","3","23","7","124","71","138","11"
"32006","2006","3","162","7","61","1232","22","3","68",,"26","17","163","79","155","11"
"22006","2006","2","136","3","30","1017","13","7","43",,"23","23","142","70","147","12"
"12006","2006","1","169","8","35","1144","12","5","25",,"24","16","125","75","173","16"
"122005","2005","12","126","7","31","1102","15","2","43","1","17","18","145","78","136","21"
"112005","2005","11","143","11","39","1055","17","9","36","2","15","11","142","54","150","12"
"102005","2005","10","154","5","22","1212","22","12","57","1","28","18","168","70","161","15"
"92005","2005","9","169","15","46","1265","13","4","34","1","28","16","145","66","210","10"
"82005","2005","8","166","11","33","1303","31","9","62","2","20","20","196","78","185","14"
"72005","2005","7","133","9","49","1122","23","9","93","1","17","22","142","75","182","19"
"62005","2005","6","165","7","60","1298","25","4","35",,"27","13","171","81","183","11"
"52005","2005","5","156","5","43","1149","17","7","63","1","15","19","126","69","146","11"
"42005","2005","4","143","8","30","1005","12","3","58","4","20","20","156","50","164","12"
"32005","2005","3","158","6","32","1339","18","9","63",,"13","28","181","86","198","20"
"22005","2005","2","142","9","38","1205","21","5","60","1","25","13","176","73","173","14"
"12005","2005","1","126","5","29","1226","15","7","66",,"25","13","148","69","149","20"
"122004","2004","12","133","8","24","1161","22","4","57",,"19","18","116","54","153","16"
"112004","2004","11","147","3","32","1140","22","10","36","1","15","13","153","57","142","12"
"102004","2004","10","141","8","12","1249","21","8","48","1","18","19","153","77","160","22"
"92004","2004","9","157","5","31","1204","17","6","62","2","18","15","160","85","163","18"
"82004","2004","8","169","5","26","1393","20","12","39","1","18","19","151","73","159","14"
"72004","2004","7","153","4","20","1269","21","11","92","1","23","13","171","77","167","16"
"62004","2004","6","161","8","29","1357","20","11","67","1","23","16","197","92","183","17"
"52004","2004","5","149","6","18","1197","23","5","47",,"16","15","161","77","139","11"
"42004","2004","4","178","12","25","1296","11","5","45","1","25","22","150","66","182","15"
"32004","2004","3","171","8","23","1399","15","8","43","2","31","26","146","72","169","20"
"22004","2004","2","141","9","19","1283","26","14","57","3","35","19","167","79","154","28"
"12004","2004","1","123","5","20","1220","21","7","46","1","30","14","151","75","165","10"
"122003","2003","12","139","9","21","1228","25","7","61","2","31","16","174","55","150","20"
"112003","2003","11","166","7","25","1242","15","5","46","1","23","19","163","75","160","12"
"102003","2003","10","162","8","34","1466","20","3","59","3","20","20","192","93","212","19"
"92003","2003","9","188","9","30","1412","20","11","55","1","22","23","189","78","170","18"
"82003","2003","8","156","9","30","1279","14","8","34","2","19","23","122","85","172","15"
"72003","2003","7","151","2","21","1235","14","8","59","3","23","20","147","84","157","14"
"62003","2003","6","165","6","21","1315","20","4","45","1","27","24","183","68","150","15"
"52003","2003","5","155","5","21","1267","10","11","40","2","21","20","176","83","173","20"
"42003","2003","4","154","13","23","1237","19","11","49","1","29","23","176","67","145","12"
"32003","2003","3","178","12","23","1427","24","12","49","4","37","23","175","89","173","22"
"22003","2003","2","153","5","21","1369","19","8","36",,"23","20","132","90","163","13"
"12003","2003","1","212","8","23","1643","20","14","58","4","30","17","169","76","196","19"
"122002","2002","12","163","9","21","1311","11","7","34","2","29","17","158","68","156","14"
"112002","2002","11","161","10","14","1355","15","6","42",,"30","21","159","66","170","7"
"102002","2002","10","222","8","27","1575","20","7","72",,"22","17","166","95","228","22"
"92002","2002","9","179","5","41","1328","11","14","45","2","11","26","182","75","167","28"
"82002","2002","8","200","5","55","1563","19","10","53","3","24","30","178","55","200","16"
"72002","2002","7","198","10","20","1381","17","7","80","2","33","18","181","60","166","19"
"62002","2002","6","177","7","15","1431","17","14","69","1","23","17","181","86","191","19"
"52002","2002","5","184","11","21","1568","27","6","49","2","27","28","191","71","167","13"
"42002","2002","4","194","10","31","1590","26","12","60","1","49","26","181","54","217","18"
"32002","2002","3","165","16","24","1615","21","17","80","2","24","22","196","70","209","27"
"22002","2002","2","175","3","23","1364","22","8","52",,"26","17","153","69","189","11"
"12002","2002","1","189","9","20","1402","13","13","119","2","27","30","194","51","192","16"
"122001","2001","12","185","10","34","1379","17","5","39","17","29","17","141","58","155","12"
"112001","2001","11","159","7","30","1406","14","9","71","2","24","28","174","53","238","7"
"102001","2001","10","222","17","25","1717","29","11","47",,"31","30","244","100","331","21"
"92001","2001","9","194","16","29","1545","17","19","45","2","25","13","167","81","219","10"
"82001","2001","8","225","15","35","1853","16","16","61","4","25","28","254","79","213","18"
"72001","2001","7","188","15","27","1600","24","16","59",,"31","28","180","91","193","18"
"62001","2001","6","223","21","21","1653","16","8","95","1","28","25","204","77","182","13"
"52001","2001","5","200","20","20","1523","13","16","67","2","15","22","182","68","167","14"
"42001","2001","4","186","13","26","1535","20","11","55","3","22","42","175","74","168","18"
"32001","2001","3","203","13","26","1822","22","14","59","4","30","36","229","75","213","23"
"22001","2001","2","197","18","52","1431","20","6","77","2","30","28","184","74","178","21"
"12001","2001","1","214","12","23","1767","30","11","56","2","51","24","215","76","199","31"
