"incident_id","cr_number","crash_reports","start_time","end_time","priority","initial_type","close_type","address","city","state","zip","longitude","latitude","police_district_number","sector","pra","calltime_callroute","calltime_dispatch","calltime_arrive","calltime_cleared","callroute_dispatch","dispatch_arrive","arrive_cleared","disposition_desc","geolocation"
"P2200246077",,,"2022-09-13T12:16:51.000","2022-09-13T12:36:25.000","2","ASSIST OTHER AGENCY","ASSIST OTHER AGENCY","1300 BLK  PICCARD DR","ROCKVILLE","MD","20850","-77.1785","39.10219","1D","A3","242","129","248","336","1174","118","87","838","SUSPICIOUSSIT/PRSON/VEH","POINT (-77.1785 39.1022)"
"P2200246054",,,"2022-09-13T11:56:24.000","2022-09-13T12:31:51.000","4","THEFT/LARCENY - OCCURRED EARLIER","THEFT/LARCENY - OCCURRED EARLIER","600 BLK N FREDERICK AVE","GAITHERSBURG","MD","20877","-77.2101","39.15003","6D","P2","428","104","127","506","2127","23","379","1620","LARCENYOTHEROVER$200","POINT (-77.2101 39.15)"
"P2200246062",,,"2022-09-13T12:05:39.000","2022-09-13T12:30:37.000","1","ORDNANCE - FOUND UNEXPLODED","ORDNANCE - FOUND UNEXPLODED","1  BLK W WATKINS MILL RD","GAITHERSBURG","MD","20878","-77.2329","39.14766","6D","P2","593","70","317","362","1498","246","45","1136","RECOVEREDPROPERTY/OTHER","POINT (-77.2329 39.1477)"
"P2200246068",,,"2022-09-13T12:08:01.000","2022-09-13T12:29:40.000","1","CHECK WELFARE","CHECK WELFARE","13800 BLK  CASTLE BLVD","SILVER SPRING","MD","20904","-76.9435","39.0835","3D","I2","380","292","362","828","1299","70","466","470","OTHERMISCELLANEOUS","POINT (-76.9435 39.0835)"
"P2200246079",,,"2022-09-13T12:14:57.000","2022-09-13T12:28:22.000","1","CHECK WELFARE","CHECK WELFARE","11400 BLK  JULY DR","SILVER SPRING","MD","20904","-76.9817","39.04158","3D","I1","145","290","327","652","805","37","324","152","OTHERMISCELLANEOUS","POINT (-76.9817 39.0416)"
"P2200246059",,,"2022-09-13T12:03:25.000","2022-09-13T12:28:07.000","1","ALARMRB - RESIDENTIAL BURGLARY/INTRUSION","ALARMRB - RESIDENTIAL BURGLARY/INTRUSION","4500 BLK  ROSEDALE AVE","BETHESDA","MD","20814","-77.0896","38.99269","2D","D2","043","124","643","1214","1482","519","570","267","ALARMRESID-UNKNOWNCAUS","POINT (-77.0896 38.9927)"
"P2200246064",,,"2022-09-13T12:05:19.000","2022-09-13T12:26:03.000","1","DOMESTIC DISTURBANCE/VIOLENCE","DOMESTIC DISTURBANCE/VIOLENCE","200 BLK  PARK AVE","GAITHERSBURG","MD","20877","-77.1952","39.14539","6D","P3","427","185","275","421","1244","90","146","822","FAMILYTROUBLE","POINT (-77.1952 39.1454)"
"P2200246041",,,"2022-09-13T11:44:38.000","2022-09-13T12:25:51.000","4","THEFT/LARCENY - OCCURRED EARLIER","THEFT/LARCENY - OCCURRED EARLIER","1  BLK  WHITE OAK VISTA CT","SILVER SPRING","MD","20904","-76.9834","39.0459","3D","I1","145","115","719","1061","2472","603","342","1410","SUSPICIOUSSIT/PRSON/VEH","POINT (-76.9834 39.0459)"
"P2200246026",,,"2022-09-13T11:36:38.000","2022-09-13T12:17:00.000","1","CDS","CDS","10000 BLK  COLESVILLE RD","SILVER SPRING","MD","20901","-77.0145","39.01891","3D","H2","160","70","717","2141","2422","646","1424","281","TRESPASSING","POINT (-77.0145 39.0189)"
"P2200246010",,,"2022-09-13T11:24:26.000","2022-09-13T12:13:08.000","0","CAR JACKING","CAR JACKING","4100 BLK  BRIARS RD","OLNEY","MD","20832","-77.0804","39.16337","4D","J2","400","157","215","1442","2922","57","1227","1479","SUSPICIOUSSIT/PRSON/VEH","POINT (-77.0804 39.1634)"
