"season","category","facility","age_group","day","times"
"Fall 2016","Badminton","Bauer Drive Community Center","18 & Up","Tuesday","6:00pm - 9:45pm"
"Fall 2016","Basketball","Bauer Drive Community Center","Ages 12 - 17","Monday - Thursday","2:30pm - 5:45pm"
"Fall 2016","Basketball","Bauer Drive Community Center","18 & Up","Thursday","8:15pm - 9:45pm"
"Fall 2016","Basketball","Bauer Drive Community Center","55 & Up","Tuesday & Thursday","9:00am - 12:00pm"
"Fall 2016","Basketball","Bauer Drive Community Center","All Ages","Saturday","2:30pm - 3:45pm"
"Fall 2016","Microflyers","Bauer Drive Community Center","18 & Up","Wednesday","12:30pm - 2:30pm"
"Fall 2016","Pickleball","Bauer Drive Community Center","55 & Up","Monday","12:30pm - 2:15pm"
"Fall 2016","Table Tennis","Bauer Drive Community Center","18 & Up","Tuesday & Thursday","8:30pm - 9:45pm"
"Fall 2016","Volleyball","Bauer Drive Community Center","18 & Up","Wednesday","8:15pm - 9:45pm"
"Fall 2016","Volleyball","Bauer Drive Community Center","55 & Up","Monday & Wednesday","10:30am - 12:30pm"
"Fall 2016","Pickleball","Clara Barton Community Center","55 & Up","Monday","12:00pm - 1:30pm"
"Fall 2016","Badminton","Coffield Community Center","18 & Up","Thursday","6:00pm - 8:45pm"
"Fall 2016","Basketball","Coffield Community Center","All Ages","Sunday","3:00pm - 5:00pm"
"Fall 2016","Basketball","Coffield Community Center","18 & Up","Monday - Thursday","12:00pm - 2:00pm"
"Fall 2016","Basketball","Coffield Community Center","18 & Up","Friday","12:00pm - 3:00pm"
"Fall 2016","Basketball","Coffield Community Center","17 & Under","Monday - Friday","3:00pm - 6:00pm"
"Fall 2016","Basketball","Coffield Community Center","18 & Up","Wednesday","6:00pm - 8:45pm"
"Fall 2016","Basketball","Coffield Community Center","All Ages","Saturday","9:30am - 6:00pm"
"Fall 2016","Floor Hockey","Coffield Community Center","18 & Up","Monday","6:00pm - 8:45pm"
"Fall 2016","Table Tennis","Coffield Community Center","All Ages","Sunday","1:00pm - 2:00pm"
"Fall 2016","Table Tennis","Coffield Community Center","55 & Up","Wednesday","12:00pm - 3:00pm"
"Fall 2016","Tiny Tots","Coffield Community Center","5 & Under w/Parent","Monday, Wednesday & Friday","9:30am - 11:00am"
"Fall 2016","Volleyball","Coffield Community Center","18 & Up","Tuesday","6:00pm - 8:45pm"
"Fall 2016","Badminton","Damascus Community Center","All Ages","Thursday","6:30pm - 8:30pm"
"Fall 2016","Basketball","Damascus Community Center","17 & Under","Monday - Friday","2:45pm - 5:45pm"
"Fall 2016","Basketball","Damascus Community Center","18 & Up","Monday","7:30pm - 9:00pm"
"Fall 2016","Basketball - Women's","Damascus Community Center","18 & Up","Tuesday","7:30pm - 9:00pm"
"Fall 2016","Pickleball","Damascus Community Center","55 & Up","Tuesday, Thursday & Saturday","10:00am - 12:00pm"
"Fall 2016","Table Tennis","Damascus Community Center","All Ages","Tuesday","6:30pm - 7:30pm"
"Fall 2016","Volleyball","Damascus Community Center","All Ages","Monday","6:15pm - 7:15pm"
"Fall 2016","Badminton","East County Community Center","18 & Up","Thursday","6:00pm - 9:00pm"
"Fall 2016","Basketball","East County Community Center","18 & Up","Monday - Thursday","11:30am - 1:30pm"
"Fall 2016","Basketball","East County Community Center","17 & Under","Monday - Friday","3:00pm - 6:00pm"
"Fall 2016","Basketball","East County Community Center","25 & Up","Tuesday","6:00pm - 9:00pm"
"Fall 2016","Basketball","East County Community Center","18 & Up","Wednesday","6:00pm - 9:00pm"
"Fall 2016","Pickleball","East County Community Center","55 & Up","Friday","12:30pm - 2:30pm"
"Fall 2016","Tiny Tots","East County Community Center","5 & Under w/Parent","Tuesday","10:30am - 12:00pm"
"Fall 2016","Badminton","Germantown Community Center","18 & Up","Thursday","6:00pm - 8:45pm"
"Fall 2016","Badminton","Germantown Community Center","18 & Up","Saturday","9:00am - 11:45am"
"Fall 2016","Basketball","Germantown Community Center","18 & Up","Monday","6:00pm - 9:00pm"
"Fall 2016","Basketball","Germantown Community Center","Middle & High School","Monday, Wednesday & Thursday","3:00pm - 5:45pm"
"Fall 2016","Basketball","Germantown Community Center","Middle & High School","Friday","3:00pm - 4:45pm"
"Fall 2016","Basketball","Germantown Community Center","18 & Up","Saturday","12:00pm - 2:45pm"
