"case_number","status","case_request","case_subrequest","additional_subrequest","date_time_opened","date_time_closed","case_origin","oem_id","contact_type","preferred_language","state_issue","parent_case","closed_when_created","incident_address","incident_city","incident_council_district","incident_zip_code","latitude","longitude","mapped_location"
"170144","Closed","Streets, Roads & Sidewalks","Overgrowth on right of way","Roadway","2019-04-16T15:54:00.000","2019-04-18T16:06:00.000","Phone",,,,"FALSE",,"FALSE","Hailey Ave","NASHVILLE","2","37218","36.1903195","-86.8317307","(36.1903195, -86.8317307)"
"161502","Closed","Trash, Recycling & Litter","Missed Pickup - Recycle Cart Service","Recycle - Curbside/Alley Missed Pickup","2019-03-29T14:27:00.000","2019-04-03T21:29:00.000","hubNashville Community",,,,"FALSE",,"FALSE","2009 Beechwood Ave","NASHVILLE","18","37212","36.126657","-86.802857","(36.126657, -86.802857)"
"169037","Closed","Resolved by hubNashville on First Call","Resolved by hubNashville on First Call","Resolved by hubNashville on First Call","2019-04-12T21:08:00.000","2019-04-12T21:08:00.000","Phone",,,,"FALSE",,"TRUE","563 Annex Ave","NASHVILLE","20","37209","36.158487","-86.8787774","(36.158487, -86.8787774)"
"169463","Closed","Resolved by hubNashville on First Call","Resolved by hubNashville on First Call","Resolved by hubNashville on First Call","2019-04-15T15:26:00.000","2019-04-15T15:26:00.000","Phone",,,,"FALSE",,"TRUE",,,,,,,
"160904","Closed","Streets, Roads & Sidewalks","Request New Sign","Request New Sign","2019-03-28T15:30:00.000","2019-06-26T16:22:00.000","Phone",,,,"FALSE",,"FALSE","Ned Shelton Rd & Bell Rd","NASHVILLE","29","37217","36.10801","-86.62996","(36.10801, -86.62996)"
"163508","Closed","Trash, Recycling & Litter","File a Trash or Recycling Complaint","Trash Collection Complaint","2019-04-03T06:16:00.000","2019-04-05T10:12:00.000","hubNashville Community",,,,"FALSE",,"FALSE","5927 Carl Pl","NASHVILLE","20","37209","36.1596285","-86.8611735","(36.1596285, -86.8611735)"
"159641","Closed","Resolved by hubNashville on First Call","Resolved by hubNashville on First Call","Resolved by hubNashville on First Call","2019-03-26T16:14:00.000","2019-03-26T16:14:00.000","Phone",,,,"FALSE",,"TRUE",,,,,,,
"173188","Closed","Trash, Recycling & Litter","Extra Cart Pickup Request","Extra Trash Cart Pickup","2019-04-22T21:53:00.000","2019-05-03T09:04:00.000","Phone",,,,"FALSE",,"FALSE","1105 Lenore St","NASHVILLE","6","37206","36.1654093","-86.7510281","(36.1654093, -86.7510281)"
"158413","Closed","Trash, Recycling & Litter","New Service/Activate Service","New Construction Residential Recycle","2019-03-22T17:45:00.000","2019-04-17T20:44:00.000","Phone",,,,"FALSE",,"FALSE","3846 Cross Creek Rd","NASHVILLE","25","37215","36.10693","-86.82215","(36.10693, -86.82215)"
"161144","Closed","Streets, Roads & Sidewalks","Traffic Light Timing","Traffic Light Timing","2019-03-28T19:19:00.000","2019-04-03T17:40:00.000","hubNashville Community",,,,"FALSE",,"FALSE","2901 Nolensville Pike","NASHVILLE","16","37211","36.11086361","-86.74516702","(36.11086361, -86.74516702)"
