"date","start_time","end_time","event_title","description","location","county","contact","contact_title","phone","email","calendartype","directions","registration_link","location_1"
"2020-02-24T00:00:00.000","9:30 am","11:00 am","Top Notch Resume - II","Build on the topics covered in the Basic Resume workshop. In addition to the different resume formats and basic layouts, participants will see the advantages of targeting custom resumes for a specific employer, job openings and/or industry. Topics will also include how to detail accomplishments, achievements, and develop an effective summary/profile. A discussion of a using a professional cover letter and references is included as well.","Sussex - Newton OSCC","Sussex","Paula Genschow","JJC Coordinator","973-383-2775","Paula.Genschow@dol.nj.gov","JJC",,,"Sussex County Mall, Route 206 North
Newton, NJ 07860-1818"
"2020-02-21T00:00:00.000","9:30 am","11:00 am","Acing the Job Interview","An overview of the interview process, including how to prepare for the interview; and what to expect during each phase of the interview process. Including how to follow up after the conclusion of the interview. There will also be an in-depth review of typical interview questions and answers, including the use of SOARS and other formats to develop your own answers to these questions Attendees will be given the opportunity to participate in a mock interview session.","Sussex - Newton OSCC","Sussex","Paula Genschow","JJC Coordinator","973-383-2775","Paula.Genschow@dol.nj.gov","JJC",,,"Sussex County Mall, Route 206 North
Newton, NJ 07860-1818"
"2020-02-14T00:00:00.000","7:00 am","7:00 am","LinkedIn 101","Learn the basics of using LinkedIn. Find out how to register and build a profile on the site. Job search and building your network through groups will be reviewed. How to modify privacy and account settings will also be discussed.","Sussex - Newton OSCC","Sussex","Paula Genschow","JJC Coordinator","973-383-2775","Paula.Genschow@dol.nj.gov","JJC",,,"Sussex County Mall, Route 206 North
Newton, NJ 07860-1818"
"2020-02-10T00:00:00.000","9:30 am","11:00 am","Master the Art of Networking","An overview of current strategies for effective networking. Topics include use of professional associations, developing an elevator speech, and how to develop your network using social media.","Sussex - Newton OSCC","Sussex","Paula Genschow","JJC Coordinator","973-383-2775","Paula.Genschow@dol.nj.gov","JJC",,,"Sussex County Mall, Route 206 North
Newton, NJ 07860-1818"
"2020-02-07T00:00:00.000","9:30 am","11:00 am","Top Notch Resume - I","The use of branding, marketing yourself, and the importance of having a competent resume is discussed. Participants will see the advantages and disadvantages of different resume formats, and review the basic elements of an effective resume and cover letter. ","Sussex - Newton OSCC","Sussex","Paula Genschow","JJC Coordinator","973-383-2775","Paula.Genschow@dol.nj.gov","JJC",,,"Sussex County Mall, Route 206 North
Newton, NJ 07860-1818"
"2020-02-03T00:00:00.000","9:30 am","11:00 am","Path to Employment-Starting Your Job Search","An in-depth Orientation that includes a discussion of the emotional impact of job loss, and setting effective career goals. Traditional work search methods and how to develop job search plans are also discussed.","Sussex - Newton OSCC","Sussex","Paula Genschow","JJC Coordinator","973-383-2775","Paula.Genschow@dol.nj.gov","JJC",,,"Sussex County Mall, Route 206 North
Newton, NJ 07860-1818"
"2020-01-27T00:00:00.000","9:30 am","11:00 am","Top Notch Resume - II","Build on the topics covered in the Basic Resume workshop. In addition to the different resume formats and basic layouts, participants will see the advantages of targeting custom resumes for a specific employer, job openings and/or industry. Topics will also include how to detail accomplishments, achievements, and develop an effective summary/profile. A discussion of a using a professional cover letter and references is included as well.","Sussex - Newton OSCC","Sussex","Paula Genschow","JJC Coordinator","973-383-2775","Paula.Genschow@dol.nj.gov","JJC",,,"Sussex County Mall, Route 206 North
Newton, NJ 07860-1818"
"2020-01-24T00:00:00.000","9:30 am","11:00 am","Acing the Job Interview","An overview of the interview process, including how to prepare for the interview; and what to expect during each phase of the interview process. Including how to follow up after the conclusion of the interview. There will also be an in-depth review of typical interview questions and answers, including the use of SOARS and other formats to develop your own answers to these questions Attendees will be given the opportunity to participate in a mock interview session.","Sussex - Newton OSCC","Sussex","Paula Genschow","JJC Coordinator","973-383-2775","Paula.Genschow@dol.nj.gov","JJC",,,"Sussex County Mall, Route 206 North
Newton, NJ 07860-1818"
"2020-01-17T00:00:00.000","9:30 am","11:00 am","LinkedIn 101","Learn the basics of using LinkedIn. Find out how to register and build a profile on the site. Job search and building your network through groups will be reviewed. How to modify privacy and account settings will also be discussed.","Sussex - Newton OSCC","Sussex","Paula Genschow","JJC Coordinator","973-383-2775","Paula.Genschow@dol.nj.gov","JJC",,,"Sussex County Mall, Route 206 North
Newton, NJ 07860-1818"
"2020-01-13T00:00:00.000","9:30 am","11:00 am","Master the Art of Networking","An overview of current strategies for effective networking. Topics include use of professional associations, developing an elevator speech, and how to develop your network using social media.","Sussex - Newton OSCC","Sussex","Paula Genschow","JJC Coordinator","973-383-2775","Paula.Genschow@dol.nj.gov","JJC",,,"Sussex County Mall, Route 206 North
Newton, NJ 07860-1818"
