"department","division","position_title","city","gender","ethnicity","education","veteran_status","startyear","birthyear"
"Fire-Rescue","Fire-Rescue","Firefighter EMT-P","Chesapeake","Male","White","Not Indicated","Not Indicated","2013","1981"
"Public Works","Public Works-Towing Operations","Support Technician","Virginia Beach","Male","Black","Some College","Not Indicated","2014","1990"
"Clerk of the Circuit Court","Clerk of the Circuit Court","Deputy Clerk II-CC","Norfolk","Female","White","Not Indicated","Not Indicated","2008","1977"
"Human Services","Hum Svc Div of Social Services","Mgmt Services Administrator","Norfolk","Male","White","Bachelors Level Degree","Not Indicated","2013","1952"
"Norfolk Community Services Board","NCSB-Case Management","Management Analyst II","Norfolk","Female","White","Not Indicated","Not Indicated","2010","1986"
"Parks and Recreation","RPOS - Landscape Services","Groundskeeper Crew Leader","Norfolk","Male","White","Not Indicated","Not Indicated","2012","1982"
"Fire-Rescue","Fire-Rescue","Firefighter EMT-P","Virginia Beach","Female","White","Not Indicated","Not Indicated","2011","1984"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff (Master)","Chesapeake","Male","White","Not Indicated","Not Indicated","2009","1985"
"Public Works","PW Director's Office","Management Analyst III","Norfolk","Female","Black","Not Indicated","Not Indicated","2011","1991"
"Fire-Rescue","Fire-Rescue","Firefighter EMT - Advanced","Virginia Beach","Male","White","Not Indicated","Not Indicated","2010","1985"
"Police","Police Administration - Sworn","Master Police Officer","Virginia Beach","Male","Black","Not Indicated","Not Indicated","2010","1986"
"Resilience","Office of Resilience","Special Assistant","Virginia Beach","Male","White","Not Indicated","Not Indicated","2010","1985"
"Fire-Rescue","Fire-Rescue","Firefighter EMT - Advanced","Virginia Beach","Male","White","Not Indicated","Not Indicated","2012","1968"
"Police","Police Administration - Sworn","Police Sergeant","Moyock","Male","White","Some College","Not Indicated","2010","1987"
"Utilities","Utilities Water Production","Waterworks Operator IV","Norfolk","Female","White","Not Indicated","Not Indicated","2013","1989"
"Fire-Rescue","Fire-Rescue","Fire Lieutenant","Chesapeake","Male","White","Not Indicated","Not Indicated","2010","1989"
"City Manager","City Manager - Norfolk Arts","Arts Manager","Norfolk","Female","White","Not Indicated","Not Indicated","2012","1954"
"Public Works","PW Div of Streets & Bridges","Maintenance Worker I","Norfolk","Male","Black","HS Graduate or Equivalent","Not Indicated","2019","1974"
"City Real Estate Assessor","City Assessor","Real Estate Appraiser IV","Elizabeth City","Male","White","Not Indicated","Not Indicated","2009","1965"
"Cemeteries","Cemetery Fund","Equipment Operator III","Norfolk","Male","Black","Not Indicated","Not Indicated","2019","1990"
"City Real Estate Assessor","City Assessor","Real Estate Appraisal Tm Ldr","Virginia Beach","Male","White","Not Indicated","Not Indicated","2009","1966"
"Public Works","PW Storm Water Mgmt","Utility Maintenance Supervisor","Norfolk","Male","White","Not Indicated","Not Indicated","2009","1985"
"Parks and Recreation","RPOS - Landscape Services","Forestry Crew Leader","Norfolk","Male","Black","HS Graduate or Equivalent","Not Indicated","2012","1987"
"Human Services","Hum Svc Div of Social Services","Fiscal Monitoring Spec I","Chesapeake","Female","Black","Not Indicated","Not Indicated","2009","1961"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff (Lieutenant)","Norfolk","Male","Black","HS Graduate or Equivalent","Not Indicated","2012","1966"
"Transit","Transit - Transportation","Traffic Signal Technician IV","Virginia Beach","Male","White","Not Indicated","Not Indicated","2011","1980"
"Utilities","Utilities Water Production","General Utility Maint Supv","Virginia Beach","Male","White","Not Indicated","Not Indicated","2013","1955"
"Fire-Rescue","Fire-Rescue","Firefighter EMT - Advanced","Virginia Beach","Male","White","Not Indicated","Not Indicated","2010","1987"
"General Services","Gen Srvs-PublicInfrastructure","Plumber","Virginia Beach","Male","White","Not Indicated","Not Indicated","2011","1952"
"General Services","Gen Srvs-PublicInfrastructure","Electrician II","Suffolk","Male","White","Less Than HS Graduate","Not Indicated","2019","1981"
"Police","Police Field Operations-Sworn","Police Sergeant","Portsmouth","Female","Black","HS Graduate or Equivalent","Not Indicated","2012","1982"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff (Lieutenant)","Chesapeake","Male","Black","Not Indicated","Not Indicated","2011","1981"
"Public Works","PW Div of Streets & Bridges","Automotive Mechanic","Norfolk","Male","Black","HS Graduate or Equivalent","Not Indicated","2017","1971"
"Utilities","Utilities WasteWater","Equipment Operator III","Norfolk","Male","Black","HS Graduate or Equivalent","Not Indicated","2019","1979"
"Public Works","PW Div of Streets & Bridges","Street Maintenance Supv","Norfolk","Male","Black","Not Indicated","Not Indicated","2012","1979"
"Police","Police Field Operations-Guards","School Crossing Guard","Virginia Beach","Female","Black","Not Indicated","Not Indicated","2012","1992"
"City Auditor","City Auditor","Assistant City Auditor II","Norfolk","Female","Black","HS Graduate or Equivalent","Not Indicated","2019","1978"
"Fire-Rescue","Fire-Rescue","Firefighter EMT-P","Virginia Beach","Male","White","Not Indicated","Not Indicated","2011","1978"
"General Services","Gen Srvs-PublicInfrastructure","Operating Engineer II","Suffolk","Male","Black","Not Indicated","Not Indicated","2019","1973"
"Norfolk Community Services Board","NCSB-Medical Services","Psychiatrist","Virginia Beach","Male","White","Not Indicated","Not Indicated","2009","1956"
"Budget and Strategic Planning","Office Budget & Strategic Plan","Assistant Director","Temple","Female","White","Masters Level Degree","Not Indicated","2015","1986"
"Police","Police Investigative Svc-Sworn","Master Police Officer","Virginia Beach","Male","White","Not Indicated","Not Indicated","2011","1989"
